event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS001,F,01:31:00,,F,2,R255,"7-6(7),6-4",P. Rafter,R. Krajicek,,,AUS,NED,7-6(7),6-4,,,,01:31:00,7,3,291,/en/stats/leaderboard?page=serve,2,4,65,45,69,76,34,45,58,14,24,50,1,2,11,264,/en/stats/leaderboard?page=serve,3,10,56,37,66,68,25,37,52,15,29,60,3,5.0,11,70,48,69,39,26,66,55,74,135,61,40,66,30,21,69,45,61,135,A,,,,,,,P. Rafter,R. Krajicek,R255,K214,AUS,NED,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS002,SF,01:52:00,,F,3,K214,"4-6,7-5,6-2",R. Krajicek,A. Agassi,,,NED,USA,4-6,7-5,6-2,,,01:52:00,,,294,/en/stats/leaderboard?page=serve,5,17,54,51,95,80,41,51,55,24,44,83,5,6,15,267,/en/stats/leaderboard?page=serve,4,0,65,54,83,74,40,54,52,15,29,63,5,8.0,15,68,65,95,34,28,83,52,93,178,66,55,83,32,30,95,48,85,178,A,,,,,,,R. Krajicek,A. Agassi,K214,A092,NED,USA,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS003,SF,01:12:00,,F,2,R255,"6-2,6-4",P. Rafter,T. Henman,,,AUS,GBR,6-2,6-4,,,,01:12:00,,,234,/en/stats/leaderboard?page=serve,,5,62,26,42,92,24,26,75,12,16,0,0,,9,225,/en/stats/leaderboard?page=serve,3,2,52,34,65,76,26,34,32,10,31,25,1,4.0,9,86,36,42,45,29,65,61,65,107,55,36,65,14,6,42,39,42,107,A,False,,,,,,P. Rafter,T. Henman,R255,H336,AUS,GBR,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS004,QF,02:01:00,,F,3,A092,"6-7(5),6-1,6-2",A. Agassi,P. Sampras,,,USA,USA,6-7(5),6-1,6-2,,,02:01:00,5,7,290,/en/stats/leaderboard?page=serve,3,4,74,72,97,71,51,72,52,13,25,88,7,8,14,236,/en/stats/leaderboard?page=serve,12,22,58,59,101,69,41,59,38,16,42,64,9,14.0,13,66,64,97,44,44,101,55,108,198,56,57,101,34,33,97,45,90,198,A,,,,,,,A. Agassi,P. Sampras,A092,S402,USA,USA,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS005,QF,01:02:00,,F,2,K214,"6-4,6-4",R. Krajicek,Y. Kafelnikov,,,NED,RUS,6-4,6-4,,,,01:02:00,,,286,/en/stats/leaderboard?page=serve,,21,57,34,60,82,28,34,46,12,26,60,3,5,10,216,/en/stats/leaderboard?page=serve,5,1,54,29,54,66,19,29,40,10,25,33,2,6.0,10,67,40,60,46,25,54,57,65,114,54,29,54,33,20,60,43,49,114,A,False,,,,,,R. Krajicek,Y. Kafelnikov,K214,K267,NED,RUS,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS006,QF,01:06:00,,F,2,R255,"6-3,6-2",P. Rafter,J. Bjorkman,,,AUS,SWE,6-3,6-2,,,,01:06:00,,,303,/en/stats/leaderboard?page=serve,,5,71,40,56,70,28,40,69,11,16,75,3,4,9,199,/en/stats/leaderboard?page=serve,,0,60,32,53,56,18,32,33,7,21,33,2,6.0,8,70,39,56,53,28,53,61,67,109,47,25,53,30,17,56,39,42,109,A,False,False,,,,,P. Rafter,J. Bjorkman,R255,B446,AUS,SWE,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS007,QF,01:47:00,,F,3,H336,"6-3,5-7,6-1",T. Henman,D. Vacek,,,GBR,CZE,6-3,5-7,6-1,,,01:47:00,,,276,/en/stats/leaderboard?page=serve,4,10,56,52,93,83,43,52,46,19,41,71,5,7,14,232,/en/stats/leaderboard?page=serve,3,4,56,52,93,67,35,52,44,18,41,58,7,12.0,14,67,62,93,43,40,93,55,102,186,57,53,93,33,31,93,45,84,186,A,,,,,,,T. Henman,D. Vacek,H336,V141,GBR,CZE,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS008,R16,01:29:00,,F,2,S402,"7-6(7),6-2",P. Sampras,T. Haas,,,USA,GER,7-6(7),6-2,,,,01:29:00,7,5,294,/en/stats/leaderboard?page=serve,5,11,56,35,62,83,29,35,59,16,27,50,1,2,10,246,/en/stats/leaderboard?page=serve,1,5,56,40,72,78,31,40,38,12,32,63,5,8.0,10,73,45,62,40,29,72,55,74,134,60,43,72,27,17,62,45,60,134,A,,,,,,,P. Sampras,T. Haas,S402,H355,USA,GER,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS009,R16,01:42:00,,F,3,A092,"2-6,7-5,6-3",A. Agassi,G. Ivanisevic,,,USA,CRO,2-6,7-5,6-3,,,01:42:00,,,259,/en/stats/leaderboard?page=serve,4,9,55,48,87,75,36,48,46,18,39,40,2,5,14,261,/en/stats/leaderboard?page=serve,5,20,47,43,91,86,37,43,40,19,48,64,7,11.0,15,62,54,87,38,35,91,50,89,178,62,56,91,38,33,87,50,89,178,A,,,,,,,A. Agassi,G. Ivanisevic,A092,I034,USA,CRO,,
421,1998,ATP Masters 1000 Canada,1000,1998-08-03T00:00:00,1998-08-09T00:00:00,Hard,56,2200000,$,MS010,R16,01:23:00,,F,2,K267,"7-6(8),6-2",Y. Kafelnikov,M. Washington,,,RUS,USA,7-6(8),6-2,,,,01:23:00,8,6,256,/en/stats/leaderboard?page=serve,4,5,44,28,63,71,20,28,60,21,35,0,0,2,10,222,/en/stats/leaderboard?page=serve,4,6,46,32,70,56,18,32,58,22,38,20,1,5.0,10,65,41,63,43,30,70,53,71,133,57,40,70,35,22,63,47,62,133,A,,,,,,,Y. Kafelnikov,M. Washington,K267,W124,RUS,USA,,
