event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS001,F,01:21:00,,F,2,N254,"6-4,6-4",J. Novak,B. Steven,,,CZE,NZL,6-4,6-4,,,,01:21:00,238,/en/stats/leaderboard?page=serve,2,0,78,42,54,60,25,42,42,5,12,0,0,4,10,197,/en/stats/leaderboard?page=serve,2,0,74,48,65,50,24,48,35,6,17,60,9,15,10,56,30,54,54,35,65,55,65,119,46,30,65,44,24,54,45,54,119,A,,,,,,,,,J. Novak,B. Steven,N254,S321,CZE,NZL,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS002,SF,01:31:00,,F,3,N254,"3-6,6-4,7-5",J. Novak,J. Frana,,,CZE,ARG,3-6,6-4,7-5,,,01:31:00,292,/en/stats/leaderboard?page=serve,,0,77,69,90,64,44,69,71,15,21,50,3,6,15,262,/en/stats/leaderboard?page=serve,,6,62,53,85,75,40,53,44,14,32,20,1,5,16,66,59,90,36,31,85,51,90,175,64,54,85,34,31,90,49,85,175,A,False,False,,,,,,,J. Novak,J. Frana,N254,F041,CZE,ARG,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS003,SF,02:24:00,,F,3,S321,"6-7(5),6-4,6-3",B. Steven,G. Forget,,,NZL,FRA,6-7(5),6-4,6-3,,,02:24:00,302,/en/stats/leaderboard?page=serve,1,8,76,79,104,66,52,79,60,15,25,88,7,8,15,263,/en/stats/leaderboard?page=serve,,8,57,60,105,67,40,60,56,25,45,64,7,11,16,64,67,104,38,40,105,51,107,209,62,65,105,36,37,104,49,102,209,A,,False,5,7,,,,,B. Steven,G. Forget,S321,F035,NZL,FRA,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS004,QF,00:54:00,,F,2,N254,"6-2,6-1",J. Novak,J. Yzaga,,,CZE,PER,6-2,6-1,,,,00:54:00,256,/en/stats/leaderboard?page=serve,2,4,70,31,44,81,25,31,46,6,13,,0,,7,174,/en/stats/leaderboard?page=serve,2,1,51,29,57,55,16,29,32,9,28,17,1,6,8,70,31,44,56,32,57,62,63,101,44,25,57,30,13,44,38,38,101,A,,,,,,,,,J. Novak,J. Yzaga,N254,Y017,CZE,PER,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS005,QF,01:20:00,,F,2,F041,"6-3,7-6(7)",J. Frana,H. Gumy,,,ARG,ARG,6-3,7-6(7),,,,01:20:00,297,/en/stats/leaderboard?page=serve,,2,58,35,60,91,32,35,56,14,25,75,3,4,10,239,/en/stats/leaderboard?page=serve,6,1,56,41,73,66,27,41,50,16,32,50,3,6,11,77,46,60,41,30,73,57,76,133,59,43,73,23,14,60,43,57,133,A,False,,,,7,2,,,J. Frana,H. Gumy,F041,G247,ARG,ARG,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS006,QF,01:28:00,,F,2,S321,"6-4,7-5",B. Steven,D. Rikl,,,NZL,CZE,6-4,7-5,,,,01:28:00,290,/en/stats/leaderboard?page=serve,,2,72,51,71,71,36,51,55,11,20,75,3,4,11,249,/en/stats/leaderboard?page=serve,,0,64,43,67,67,29,43,46,11,24,50,3,6,11,66,47,71,40,27,67,54,74,138,60,40,67,34,24,71,46,64,138,A,False,False,,,,,,,B. Steven,D. Rikl,S321,R203,NZL,CZE,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS007,QF,01:11:00,,F,2,F035,"7-6(7),6-2",G. Forget,M. Washington,,,FRA,USA,7-6(7),6-2,,,,01:11:00,303,/en/stats/leaderboard?page=serve,1,6,55,30,55,93,28,30,60,15,25,0,0,1,10,259,/en/stats/leaderboard?page=serve,3,6,69,41,59,61,25,41,56,10,18,67,6,9,10,78,43,55,41,24,59,59,67,114,59,35,59,22,12,55,41,47,114,A,,,7,2,,,,,G. Forget,M. Washington,F035,W124,FRA,USA,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS008,R16,01:33:00,,F,2,Y017,"7-5,6-4",J. Yzaga,T. Enqvist,,,PER,SWE,7-5,6-4,,,,01:33:00,274,/en/stats/leaderboard?page=serve,2,5,55,44,80,82,36,44,44,16,36,86,6,7,11,242,/en/stats/leaderboard?page=serve,3,3,57,41,72,71,29,41,42,13,31,50,3,6,11,65,52,80,42,30,72,54,82,152,58,42,72,35,28,80,46,70,152,A,,,,,,,,,J. Yzaga,T. Enqvist,Y017,E113,PER,SWE,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS009,R16,01:06:00,,F,2,N254,"6-2,6-3",J. Novak,S. Pescosolido,,,CZE,ITA,6-2,6-3,,,,01:06:00,297,/en/stats/leaderboard?page=serve,,1,79,34,43,74,25,34,56,5,9,50,1,2,8,191,/en/stats/leaderboard?page=serve,3,0,62,48,78,65,31,48,23,7,30,62,8,13,9,70,30,43,51,40,78,58,70,121,49,38,78,30,13,43,42,51,121,A,False,,,,,,,,J. Novak,S. Pescosolido,N254,P235,CZE,ITA,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS011,R16,01:09:00,,F,2,G247,"6-3,6-2",H. Gumy,A. Corretja,,,ARG,ESP,6-3,6-2,,,,01:09:00,288,/en/stats/leaderboard?page=serve,2,3,71,36,51,86,31,36,53,8,15,,0,,9,230,/en/stats/leaderboard?page=serve,,1,60,27,45,63,17,27,44,8,18,40,2,5,8,76,39,51,44,20,45,61,59,96,56,25,45,24,12,51,39,37,96,A,,False,,,,,,,H. Gumy,A. Corretja,G247,C344,ARG,ESP,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS012,R16,00:59:00,,F,2,S321,"6-3,6-4",B. Steven,C. Ruud,,,NZL,NOR,6-3,6-4,,,,00:59:00,255,/en/stats/leaderboard?page=serve,,4,82,41,50,80,33,41,89,8,9,0,0,,10,271,/en/stats/leaderboard?page=serve,,2,60,29,48,69,20,29,63,12,19,33,1,3,9,82,41,50,33,16,48,58,57,98,67,32,48,18,9,50,42,41,98,A,False,False,,,,,,,B. Steven,C. Ruud,S321,R219,NZL,NOR,,
301,1996,Auckland,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS013,R16,01:52:00,,F,3,R203,"6-2,3-6,6-3",D. Rikl,C. Adams,,,CZE,USA,6-2,3-6,6-3,,,01:52:00,284,/en/stats/leaderboard?page=serve,3,5,58,45,78,76,34,45,64,21,33,78,7,9,13,234,/en/stats/leaderboard?page=serve,6,4,53,51,97,73,37,51,41,19,46,73,11,15,13,71,55,78,42,41,97,55,96,175,58,56,97,29,23,78,45,79,175,A,,,,,,,,,D. Rikl,C. Adams,R203,A199,CZE,USA,,
