event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS001,F,01:24:00,,F,2,K214,"6-4,7-6(7)",R. Krajicek,M. Rosset,,,NED,SUI,6-4,7-6(7),,,,01:24:00,7,5,297,/en/stats/leaderboard?page=serve,3,18,61,49,80,86,42,49,45,14,31,75,3,4,11,289,/en/stats/leaderboard?page=serve,4,7,62,37,60,86,32,37,57,13,23,33,1,3,11,70,56,80,25,15,60,51,71,140,75,45,60,30,24,80,49,69,140,A,,,,,,,R. Krajicek,M. Rosset,K214,R214,NED,SUI,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS002,SF,01:22:00,,F,2,K214,"6-4,6-4",R. Krajicek,T. Johansson,,,NED,SWE,6-4,6-4,,,,01:22:00,,,255,/en/stats/leaderboard?page=serve,3,12,61,37,61,89,33,37,46,11,24,,0,,10,252,/en/stats/leaderboard?page=serve,2,3,50,38,76,82,31,38,39,15,38,67,4,6,10,72,44,61,39,30,76,54,74,137,61,46,76,28,17,61,46,63,137,A,,,,,,,R. Krajicek,T. Johansson,K214,J129,NED,SWE,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS003,SF,01:02:00,,F,2,R214,"6-1,6-4",M. Rosset,C. Pioline,,,SUI,FRA,6-1,6-4,,,,01:02:00,,,233,/en/stats/leaderboard?page=serve,1,13,62,24,39,92,22,24,67,10,15,0,0,,8,203,/en/stats/leaderboard?page=serve,4,0,51,33,65,70,23,33,31,10,32,43,3,7,9,82,32,39,49,32,65,62,64,104,51,33,65,18,7,39,38,40,104,A,,,,,,,M. Rosset,C. Pioline,R214,P226,SUI,FRA,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS004,QF,01:00:00,,F,2,K214,"7-6(7),6-1",R. Krajicek,D. Vacek,,,NED,CZE,7-6(7),6-1,,,,01:00:00,,,234,/en/stats/leaderboard?page=serve,2,12,63,34,54,91,31,34,70,14,20,0,0,,10,268,/en/stats/leaderboard?page=serve,1,3,67,36,54,72,26,36,50,9,18,0,0,2,9,83,45,54,35,19,54,59,64,108,65,35,54,17,9,54,41,44,108,A,7,4,,,,,R. Krajicek,D. Vacek,K214,V141,NED,CZE,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS005,QF,01:13:00,,F,2,J129,"6-3,6-3",T. Johansson,F. Santoro,,,SWE,FRA,6-3,6-3,,,,01:13:00,,,282,/en/stats/leaderboard?page=serve,1,6,54,30,56,77,23,30,58,15,26,67,2,3,9,212,/en/stats/leaderboard?page=serve,2,1,54,28,52,46,13,28,58,14,24,33,2,6,9,68,38,56,48,25,52,58,63,108,52,27,52,32,18,56,42,45,108,A,,,,,,,T. Johansson,F. Santoro,J129,S424,SWE,FRA,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS006,QF,01:13:00,,F,2,R214,"6-4,6-3",M. Rosset,D. Hrbaty,,,SUI,SVK,6-4,6-3,,,,01:13:00,,,215,/en/stats/leaderboard?page=serve,2,9,65,30,46,93,28,30,50,8,16,0,0,,9,238,/en/stats/leaderboard?page=serve,5,3,55,42,77,69,29,42,46,16,35,75,9,12,10,78,36,46,42,32,77,55,68,123,58,45,77,22,10,46,45,55,123,A,,,,,,,M. Rosset,D. Hrbaty,R214,H377,SUI,SVK,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS007,QF,02:01:00,,F,3,P226,"4-6,6-3,7-5",C. Pioline,H. Dreekmann,,,FRA,GER,4-6,6-3,7-5,,,02:01:00,,,269,/en/stats/leaderboard?page=serve,5,8,56,53,95,79,42,53,50,21,42,67,6,9,16,250,/en/stats/leaderboard?page=serve,6,12,59,54,91,74,40,54,38,14,37,43,3,7,15,66,63,95,41,37,91,54,100,186,59,54,91,34,32,95,46,86,186,A,,,,,,,C. Pioline,H. Dreekmann,P226,D249,FRA,GER,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS008,R16,01:42:00,,F,3,K214,"6-7(2),6-4,6-2",R. Krajicek,D. Prinosil,,,NED,GER,6-7(2),6-4,6-2,,,01:42:00,,,305,/en/stats/leaderboard?page=serve,5,14,63,55,88,82,45,55,58,19,33,0,0,1,15,243,/en/stats/leaderboard?page=serve,10,8,47,42,90,81,34,42,44,21,48,0,0,4,15,73,64,88,39,35,90,56,99,178,61,55,90,27,24,88,44,79,178,A,2,7,,,,,R. Krajicek,D. Prinosil,K214,P273,NED,GER,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS009,R16,00:39:00,,F,2,V141,"6-2,2-1",D. Vacek,J. Knippschild,,,CZE,GER,6-2,2-1,,,,00:39:00,,,258,/en/stats/leaderboard?page=serve,4,2,50,18,36,83,15,18,44,8,18,75,3,4,6,199,/en/stats/leaderboard?page=serve,4,4,59,22,37,50,11,22,40,6,15,67,6,9,6,64,23,36,54,20,37,59,43,73,46,17,37,36,13,36,41,30,73,A,,,,,,,D. Vacek,J. Knippschild,V141,K260,CZE,GER,,
568,1998,St. Petersburg,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Carpet,32,315000,$,MS010,R16,01:32:00,,F,2,S424,"6-3,7-5",F. Santoro,J. Bachelot,,,FRA,FRA,6-3,7-5,,,,01:32:00,,,247,/en/stats/leaderboard?page=serve,3,1,57,40,70,73,29,40,47,14,30,25,1,4,11,197,/en/stats/leaderboard?page=serve,7,5,45,39,86,64,25,39,40,19,47,69,11,16,10,61,43,70,49,42,86,54,85,156,51,44,86,39,27,70,46,71,156,A,,,,,,,F. Santoro,J. Bachelot,S424,B562,FRA,FRA,,
