event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS001,F,02:43:00,,F,4,B028,"6-4,6-7(7),6-2,6-3",B. Becker,J. Siemerink,,,GER,NED,6-4,6-7(7),6-2,6-3,,02:43:00,7,9,290,/en/stats/leaderboard?page=serve,7,13,55,66,119,86,57,66,68,36,53,0,20,274,/en/stats/leaderboard?page=serve,8,22,62,80,130,80,64,80,40,20,50,43,3,7,19,78,93,119,35,46,130,56,139,249,65,84,130,22,26,119,44,110,249,A,,,,,,,,,B. Becker,J. Siemerink,B028,S381,GER,NED,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS002,SF,01:39:00,,F,2,S381,"7-6(9),6-4",J. Siemerink,A. Boetsch,,,NED,FRA,7-6(9),6-4,,,,01:39:00,,,275,/en/stats/leaderboard?page=serve,5,6,53,40,76,78,31,40,53,19,36,2,11,265,/en/stats/leaderboard?page=serve,5,7,52,39,75,74,29,39,56,20,36,71,5,7,11,66,50,76,35,26,75,50,76,151,65,49,75,34,26,76,50,75,151,A,9,7,67,3,,,,,J. Siemerink,A. Boetsch,S381,B053,NED,FRA,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS003,SF,01:52:00,,F,3,B028,"3-6,6-4,6-2",B. Becker,T. Martin,,,GER,USA,3-6,6-4,6-2,,,01:52:00,,,287,/en/stats/leaderboard?page=serve,3,15,61,43,70,86,37,43,44,12,27,3,13,251,/en/stats/leaderboard?page=serve,5,6,54,43,80,63,27,43,62,23,37,60,6,10,14,70,49,70,38,30,80,53,79,150,63,50,80,30,21,70,47,71,150,A,,,60,5,,,,,B. Becker,T. Martin,B028,M442,GER,USA,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS004,QF,02:24:00,,F,3,S381,"5-7,7-5,7-6(7)",J. Siemerink,S. Edberg,,,NED,SWE,5-7,7-5,7-6(7),,,02:24:00,,,271,/en/stats/leaderboard?page=serve,6,15,61,74,122,68,50,74,56,27,48,9,18,263,/en/stats/leaderboard?page=serve,7,7,60,61,102,72,44,61,54,22,41,0,0,4,18,63,77,122,35,36,102,50,113,224,65,66,102,37,45,122,50,111,224,A,,,69,13,7,4,,,J. Siemerink,S. Edberg,S381,E004,NED,SWE,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS005,QF,01:46:00,,F,2,B053,"7-6(7),7-6(7)",A. Boetsch,Y. Kafelnikov,,,FRA,RUS,7-6(7),7-6(7),,,,01:46:00,7,2,262,/en/stats/leaderboard?page=serve,3,11,43,34,79,76,26,34,60,27,45,2,12,248,/en/stats/leaderboard?page=serve,3,5,48,36,75,64,23,36,59,23,39,0,0,3,12,67,53,79,39,29,75,53,82,154,61,46,75,33,26,79,47,72,154,A,7,5,40,5,,,,,A. Boetsch,Y. Kafelnikov,B053,K267,FRA,RUS,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS006,QF,01:44:00,,F,2,B028,"7-6(11),7-5",B. Becker,M. Rosset,,,GER,SUI,7-6(11),7-5,,,,01:44:00,,,319,/en/stats/leaderboard?page=serve,2,14,65,46,71,91,42,46,68,17,25,0,12,294,/en/stats/leaderboard?page=serve,4,14,51,42,83,86,36,42,56,23,41,89,8,9,12,83,59,71,29,24,83,54,83,154,71,59,83,17,12,71,46,71,154,A,11,9,,,,,,,B. Becker,M. Rosset,B028,R214,GER,SUI,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS007,QF,01:41:00,,F,3,M442,"4-6,6-3,6-3",T. Martin,G. Ivanisevic,,,USA,CRO,4-6,6-3,6-3,,,01:41:00,,,289,/en/stats/leaderboard?page=serve,4,11,56,46,82,78,36,46,56,20,36,0,14,268,/en/stats/leaderboard?page=serve,7,20,56,51,91,76,39,51,45,18,40,57,4,7,14,68,56,82,37,34,91,52,90,173,63,57,91,32,26,82,48,83,173,A,,,0,1,,,,,T. Martin,G. Ivanisevic,M442,I034,USA,CRO,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS008,R16,02:09:00,,F,3,E004,"6-4,6-7(2),7-5",S. Edberg,T. Muster,,,SWE,AUT,6-4,6-7(2),7-5,,,02:09:00,2,7,293,/en/stats/leaderboard?page=serve,4,9,65,69,106,78,54,69,57,21,37,0,17,291,/en/stats/leaderboard?page=serve,1,10,59,59,100,76,45,59,59,24,41,71,5,7,17,71,75,106,31,31,100,51,106,206,69,69,100,29,31,106,49,100,206,A,,,,,,,,,S. Edberg,T. Muster,E004,M099,SWE,AUT,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS009,R16,01:56:00,,F,2,S381,"7-6(8),7-5",J. Siemerink,T. Enqvist,,,NED,SWE,7-6(8),7-5,,,,01:56:00,,,272,/en/stats/leaderboard?page=serve,9,14,54,42,78,86,36,42,44,16,36,2,12,241,/en/stats/leaderboard?page=serve,8,5,59,59,100,64,38,59,46,19,41,75,9,12,12,67,52,78,43,43,100,53,95,178,57,57,100,33,26,78,47,83,178,A,8,6,50,4,,,,,J. Siemerink,T. Enqvist,S381,E113,NED,SWE,,
337,1996,Vienna,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,675000,$,MS010,R16,01:08:00,,F,2,K267,"6-4,6-3",Y. Kafelnikov,O. Camporese,,,RUS,ITA,6-4,6-3,,,,01:08:00,,,296,/en/stats/leaderboard?page=serve,2,11,54,31,57,81,25,31,62,16,26,2,10,234,/en/stats/leaderboard?page=serve,3,5,49,28,57,79,22,28,38,11,29,73,8,11,9,72,41,57,42,24,57,57,65,114,58,33,57,28,16,57,43,49,114,A,,,67,3,,,,,Y. Kafelnikov,O. Camporese,K267,C009,RUS,ITA,,
