event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS001,F,01:14:00,,F,2,R255,"6-3,6-4",P. Rafter,M. Tillstrom,,,AUS,SWE,6-3,6-4,,,,01:14:00,265,/en/stats/leaderboard?page=serve,2,3,65,42,65,71,30,42,48,11,23,78,7,9,10,206,/en/stats/leaderboard?page=serve,6,2,54,29,54,41,12,29,60,15,25,43,3,7,9,63,41,65,50,27,54,57,68,119,50,27,54,37,24,65,43,51,119,A,,,,,,,,,P. Rafter,M. Tillstrom,R255,T166,AUS,SWE,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS002,SF,01:34:00,,F,2,R255,"6-3,7-6(7)",P. Rafter,L. Paes,,,AUS,IND,6-3,7-6(7),,,,01:34:00,290,/en/stats/leaderboard?page=serve,2,5,68,48,71,77,37,48,52,12,23,67,2,3,11,263,/en/stats/leaderboard?page=serve,2,2,57,39,68,67,26,39,59,17,29,75,6,8,10,69,49,71,37,25,68,53,74,139,63,43,68,31,22,71,47,65,139,A,7,5,,,,,,,P. Rafter,L. Paes,R255,P269,AUS,IND,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS003,SF,00:55:00,,F,2,T166,"6-2,6-2",M. Tillstrom,T. Woodbridge,,,SWE,AUS,6-2,6-2,,,,00:55:00,274,/en/stats/leaderboard?page=serve,2,1,47,23,49,83,19,23,58,15,26,67,2,3,8,184,/en/stats/leaderboard?page=serve,4,1,57,29,51,48,14,29,45,10,22,29,2,7,8,69,34,49,53,27,51,61,61,100,47,24,51,31,15,49,39,39,100,A,,,,,,,,,M. Tillstrom,T. Woodbridge,T166,W136,SWE,AUS,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS004,QF,02:23:00,,F,3,R255,"7-6(7),0-6,7-5",P. Rafter,L. Burgsmuller,,,AUS,GER,7-6(7),0-6,7-5,,,02:23:00,256,/en/stats/leaderboard?page=serve,5,5,60,60,100,70,42,60,53,21,40,67,8,12,15,283,/en/stats/leaderboard?page=serve,4,4,72,78,109,67,52,78,58,18,31,71,5,7,15,63,63,100,36,39,109,49,102,209,64,70,109,37,37,100,51,107,209,A,,,7,3,,,,,P. Rafter,L. Burgsmuller,R255,B484,AUS,GER,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS005,QF,02:22:00,,F,3,P269,"6-7(3),6-4,7-5",L. Paes,G. Solves,,,IND,FRA,6-7(3),6-4,7-5,,,02:22:00,274,/en/stats/leaderboard?page=serve,2,4,53,56,106,71,40,56,60,30,50,50,2,4,17,260,/en/stats/leaderboard?page=serve,5,4,63,70,112,70,49,70,52,22,42,73,11,15,17,66,70,106,37,41,112,51,111,218,63,71,112,34,36,106,49,107,218,A,,,3,7,,,,,L. Paes,G. Solves,P269,S523,IND,FRA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS006,QF,01:55:00,,F,3,T166,"6-3,2-6,7-6(7)",M. Tillstrom,M. Woodforde,,,SWE,AUS,6-3,2-6,7-6(7),,,01:55:00,254,/en/stats/leaderboard?page=serve,5,7,51,47,92,77,36,47,51,23,45,50,4,8,15,251,/en/stats/leaderboard?page=serve,3,4,57,52,91,79,41,52,36,14,39,57,4,7,14,64,59,92,40,36,91,52,95,183,60,55,91,36,33,92,48,88,183,A,,,,,7,3,,,M. Tillstrom,M. Woodforde,T166,W035,SWE,AUS,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS007,QF,01:25:00,,F,2,W136,"6-4,6-4",T. Woodbridge,A. Pavel,,,AUS,ROU,6-4,6-4,,,,01:25:00,258,/en/stats/leaderboard?page=serve,4,1,53,36,68,81,29,36,47,15,32,67,4,6,10,218,/en/stats/leaderboard?page=serve,3,3,63,44,70,68,30,44,27,7,26,50,4,8,10,65,44,68,47,33,70,56,77,138,53,37,70,35,24,68,44,61,138,A,,,,,,,,,T. Woodbridge,A. Pavel,W136,P280,AUS,ROU,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS008,R16,01:21:00,,F,2,R255,"6-2,6-4",P. Rafter,I. Heuberger,,,AUS,SUI,6-2,6-4,,,,01:21:00,292,/en/stats/leaderboard?page=serve,2,3,65,36,55,75,27,36,63,12,19,,0,,9,224,/en/stats/leaderboard?page=serve,2,1,50,33,66,61,20,33,48,16,33,63,5,8,9,71,39,55,45,30,66,57,69,121,55,36,66,29,16,55,43,52,121,A,,,,,,,,,P. Rafter,I. Heuberger,R255,H380,AUS,SUI,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS009,R16,01:08:00,,F,2,B484,"6-3,6-2",L. Burgsmuller,A. Clement,,,GER,FRA,6-3,6-2,,,,01:08:00,287,/en/stats/leaderboard?page=serve,,3,56,29,52,66,19,29,74,17,23,50,1,2,9,208,/en/stats/leaderboard?page=serve,3,3,60,31,52,55,17,31,43,9,21,60,6,10,8,69,36,52,50,26,52,60,62,104,50,26,52,31,16,52,40,42,104,A,,,,,,,False,,L. Burgsmuller,A. Clement,B484,C487,GER,FRA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS010,R16,01:43:00,,F,3,S523,"4-6,6-3,6-2",G. Solves,B. Becker,,,FRA,GER,4-6,6-3,6-2,,,01:43:00,292,/en/stats/leaderboard?page=serve,2,2,65,55,85,75,41,55,60,18,30,83,5,6,14,260,/en/stats/leaderboard?page=serve,3,7,49,39,80,82,32,39,49,20,41,70,7,10,13,69,59,85,35,28,80,53,87,165,65,52,80,31,26,85,47,78,165,A,,,,,,,,,G. Solves,B. Becker,S523,B028,FRA,GER,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS011,R16,02:06:00,,F,3,P269,"7-6(7),2-6,3-1",L. Paes,J. Golmard,,,IND,FRA,7-6(7),2-6,3-1,,,02:06:00,252,/en/stats/leaderboard?page=serve,6,8,55,54,98,76,41,54,43,19,44,70,7,10,13,260,/en/stats/leaderboard?page=serve,5,2,64,52,81,71,37,52,45,13,29,75,6,8,12,61,60,98,38,31,81,51,91,179,62,50,81,39,38,98,49,88,179,A,,,7,4,,,,,L. Paes,J. Golmard,P269,G319,IND,FRA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS012,R16,01:17:00,,F,2,T166,"7-5,6-3",M. Tillstrom,O. Delaitre,,,SWE,FRA,7-5,6-3,,,,01:17:00,302,/en/stats/leaderboard?page=serve,1,5,52,28,54,79,22,28,77,20,26,0,0,1,11,239,/en/stats/leaderboard?page=serve,3,2,63,43,68,67,29,43,40,10,25,63,5,8,10,78,42,54,43,29,68,58,71,122,57,39,68,22,12,54,42,51,122,A,,,,,,,,,M. Tillstrom,O. Delaitre,T166,D015,SWE,FRA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS013,R16,01:08:00,,F,2,W035,"6-4,6-2",M. Woodforde,R. Schuettler,,,AUS,GER,6-4,6-2,,,,01:08:00,294,/en/stats/leaderboard?page=serve,2,2,56,28,50,82,23,28,68,15,22,,0,,9,231,/en/stats/leaderboard?page=serve,4,0,57,36,63,56,20,36,56,15,27,50,3,6,9,76,38,50,44,28,63,58,66,113,56,35,63,24,12,50,42,47,113,A,,,,,,,,,M. Woodforde,R. Schuettler,W035,S636,AUS,GER,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS014,R16,00:55:00,,F,2,P280,"6-4,6-0",A. Pavel,A. Belobrajdic,,,ROU,AUS,6-4,6-0,,,,00:55:00,260,/en/stats/leaderboard?page=serve,3,6,57,25,44,72,18,25,53,10,19,33,1,3,8,168,/en/stats/leaderboard?page=serve,2,0,78,43,55,42,18,43,25,3,12,45,5,11,8,64,28,44,62,34,55,63,62,99,38,21,55,36,16,44,37,37,99,A,,,,,,,,,A. Pavel,A. Belobrajdic,P280,B510,ROU,AUS,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS015,R16,02:08:00,,F,3,W136,"6-0,6-7(5),6-2",T. Woodbridge,C. Caratti,,,AUS,ITA,6-0,6-7(5),6-2,,,02:08:00,254,/en/stats/leaderboard?page=serve,7,7,52,58,111,67,39,58,51,27,53,80,8,10,13,189,/en/stats/leaderboard?page=serve,5,0,61,51,83,53,27,51,34,11,32,22,2,9,13,59,66,111,54,45,83,57,111,194,46,38,83,41,45,111,43,83,194,A,5,7,,,,,,,T. Woodbridge,C. Caratti,W136,C270,AUS,ITA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS016,R32,00:59:00,,F,2,R255,"6-2,6-1",P. Rafter,O. Stanoytchev,,,AUS,BUL,6-2,6-1,,,,00:59:00,207,/en/stats/leaderboard?page=serve,3,2,53,19,36,84,16,19,71,12,17,0,0,,7,166,/en/stats/leaderboard?page=serve,8,2,34,20,59,65,13,20,36,14,39,44,4,9,8,78,28,36,54,32,59,63,60,95,46,27,59,22,8,36,37,35,95,A,,,,,,,,,P. Rafter,O. Stanoytchev,R255,S519,AUS,BUL,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS017,R32,01:30:00,,F,2,H380,"6-2,7-5",I. Heuberger,P. Tramacchi,,,SUI,AUS,6-2,7-5,,,,01:30:00,271,/en/stats/leaderboard?page=serve,3,3,55,38,69,68,26,38,58,18,31,80,4,5,10,226,/en/stats/leaderboard?page=serve,2,3,58,38,66,68,26,38,39,11,28,43,3,7,10,64,44,69,44,29,66,54,73,135,56,37,66,36,25,69,46,62,135,A,,,,,,,,,I. Heuberger,P. Tramacchi,H380,T156,SUI,AUS,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS018,R32,00:46:00,,F,2,B484,"6-0,6-2",L. Burgsmuller,M. Sell,,,GER,USA,6-0,6-2,,,,00:46:00,281,/en/stats/leaderboard?page=serve,2,5,54,20,37,80,16,20,59,10,17,0,0,1,7,128,/en/stats/leaderboard?page=serve,3,0,59,22,37,45,10,22,13,2,15,14,1,7,7,70,26,37,68,25,37,69,51,74,32,12,37,30,11,37,31,23,74,A,,,,,,,,,L. Burgsmuller,M. Sell,B484,S601,GER,USA,,
891,1998,Chennai,WS,1998-04-06T00:00:00,1998-04-12T00:00:00,Hard,32,405000,$,MS019,R32,00:55:00,,F,2,C487,"6-2,6-0",A. Clement,A. Richardson,,,FRA,GBR,6-2,6-0,,,,00:55:00,299,/en/stats/leaderboard?page=serve,1,3,59,19,32,84,16,19,69,9,13,0,0,1,7,145,/en/stats/leaderboard?page=serve,2,2,54,32,59,44,14,32,33,9,27,54,7,13,7,78,25,32,61,36,59,67,61,91,39,23,59,22,7,32,33,30,91,A,,,,,,,,,A. Clement,A. Richardson,C487,R266,FRA,GBR,,
