event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS011,R16,02:28:00,,F,3,T166,"6-4,4-6,7-6(7)",M. Tillstrom,T. Johansson,,,SWE,SWE,6-4,4-6,7-6(7),,,02:28:00,,,280,/en/stats/leaderboard?page=serve,3,9,55,65,119,69,45,65,57,31.0,54.0,5,16,271,/en/stats/leaderboard?page=serve,3,8,38,45,118,82,37,45,53,39,73,89,8,9,16,64,76,119,36,42,118,50,118,237,64,76,118,36,43,119,50,119,237,A,83,6,,7,4,,,M. Tillstrom,T. Johansson,T166,J129,SWE,SWE,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS012,R16,02:11:00,,F,3,B484,"6-3,6-7(2),7-5",L. Burgsmuller,K. Carlsen,,,GER,DEN,6-3,6-7(2),7-5,,,02:11:00,2,7,286,/en/stats/leaderboard?page=serve,3,2,58,62,107,73,45,62,62,28.0,45.0,3,17,283,/en/stats/leaderboard?page=serve,3,17,56,58,103,74,43,58,58,26,45,75,9,12,16,68,73,107,33,34,103,51,107,210,67,69,103,32,34,107,49,103,210,A,75,4,,,,,,L. Burgsmuller,K. Carlsen,B484,C328,GER,DEN,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS013,R16,01:09:00,,F,2,P273,"6-4,6-4",D. Prinosil,J. Apell,,,GER,SWE,6-4,6-4,,,,01:09:00,,,265,/en/stats/leaderboard?page=serve,1,12,47,28,59,89,25,28,58,18.0,31.0,0,10,261,/en/stats/leaderboard?page=serve,3,1,60,39,65,69,27,39,54,14,26,60,3,5,10,73,43,59,37,24,65,54,67,124,63,41,65,27,16,59,46,57,124,A,,,,,,,,D. Prinosil,J. Apell,P273,A176,GER,SWE,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS014,R16,00:58:00,,F,2,G182,"6-2,6-2",M. Gustafsson,A. Jarryd,,,SWE,SWE,6-2,6-2,,,,00:58:00,,,283,/en/stats/leaderboard?page=serve,2,3,61,31,51,74,23,31,60,12.0,20.0,0,8,216,/en/stats/leaderboard?page=serve,2,4,59,30,51,53,16,30,52,11,21,33,2,6,8,69,35,51,47,24,51,58,59,102,53,27,51,31,16,51,42,43,102,A,,,,,,,,M. Gustafsson,A. Jarryd,G182,J006,SWE,SWE,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS015,R16,00:58:00,,F,2,V141,"6-2,6-1",D. Vacek,J. Golmard,,,CZE,FRA,6-2,6-1,,,,00:58:00,,,221,/en/stats/leaderboard?page=serve,2,8,58,21,36,90,19,21,67,10.0,15.0,0,7,179,/en/stats/leaderboard?page=serve,4,2,47,31,66,68,21,31,29,10,35,62,8,13,8,81,29,36,53,35,66,63,64,102,47,31,66,19,7,36,37,38,102,A,0,,,,,,,D. Vacek,J. Golmard,V141,G319,CZE,FRA,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS016,R32,00:55:00,,F,2,K267,"6-3,6-3",Y. Kafelnikov,O. Camporese,,,RUS,ITA,6-3,6-3,,,,00:55:00,,,286,/en/stats/leaderboard?page=serve,2,5,53,26,49,77,20,26,65,15.0,23.0,2,9,205,/en/stats/leaderboard?page=serve,2,5,33,15,45,67,10,15,47,14,30,20,1,5,9,71,35,49,47,21,45,60,56,94,53,24,45,29,14,49,40,38,94,A,67,3,,,,,,Y. Kafelnikov,O. Camporese,K267,C009,RUS,ITA,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS017,R32,00:58:00,,F,2,N233,"6-1,6-4",D. Norman,A. Cherkasov,,,BEL,RUS,6-1,6-4,,,,00:58:00,,,223,/en/stats/leaderboard?page=serve,3,12,58,26,45,88,23,26,68,13.0,19.0,0,9,212,/en/stats/leaderboard?page=serve,8,0,47,21,45,57,12,21,54,13,24,40,2,5,8,80,36,45,44,20,45,62,56,90,56,25,45,20,9,45,38,34,90,A,0,,,,,,,D. Norman,A. Cherkasov,N233,C260,BEL,RUS,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS019,R32,01:55:00,,F,3,T136,"6-7(7),6-2,6-1",J. Tarango,C. Steeb,,,USA,GER,6-7(7),6-2,6-1,,,01:55:00,,,293,/en/stats/leaderboard?page=serve,4,11,67,61,91,70,43,61,57,17.0,30.0,0,14,230,/en/stats/leaderboard?page=serve,5,5,55,49,89,61,30,49,53,21,40,64,9,14,13,66,60,91,43,38,89,54,98,180,57,51,89,34,31,91,46,82,180,A,0,1,,,,7,9,J. Tarango,C. Steeb,T136,S080,USA,GER,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS020,R32,01:34:00,,F,3,D228,"6-3,4-6,6-1",F. Dewulf,O. Ogorodov,,,BEL,UZB,6-3,4-6,6-1,,,01:34:00,,,283,/en/stats/leaderboard?page=serve,1,5,47,34,72,79,27,34,61,23.0,38.0,0,13,247,/en/stats/leaderboard?page=serve,2,12,55,47,85,68,32,47,45,17,38,50,4,8,13,69,50,72,42,36,85,55,86,157,58,49,85,31,22,72,45,71,157,A,0,1,,,,,,F. Dewulf,O. Ogorodov,D228,O127,BEL,UZB,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS021,R32,01:31:00,,F,2,M197,"6-4,7-6(7)",N. Marques,O. Delaitre,,,POR,FRA,6-4,7-6(7),,,,01:31:00,7,4,273,/en/stats/leaderboard?page=serve,5,1,78,62,80,68,42,62,50,9.0,18.0,2,11,251,/en/stats/leaderboard?page=serve,3,3,59,37,63,78,29,37,42,11,26,40,2,5,11,64,51,80,37,23,63,52,74,143,63,40,63,36,29,80,48,69,143,A,50,4,,,,,,N. Marques,O. Delaitre,M197,D015,POR,FRA,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS022,R32,01:48:00,,F,3,J129,"6-7(5),6-3,6-3",T. Johansson,A. Olhovskiy,,,SWE,RUS,6-7(5),6-3,6-3,,,01:48:00,,,292,/en/stats/leaderboard?page=serve,1,5,46,41,89,80,33,41,69,33.0,48.0,0,15,238,/en/stats/leaderboard?page=serve,16,12,48,58,120,71,41,58,50,31,62,73,11,15,15,74,66,89,40,48,120,55,114,209,60,72,120,26,23,89,45,95,209,A,0,1,,,,5,7,T. Johansson,A. Olhovskiy,J129,O009,SWE,RUS,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS023,R32,01:21:00,,F,2,T166,"6-2,7-5",M. Tillstrom,A. Volkov,,,SWE,RUS,6-2,7-5,,,,01:21:00,,,250,/en/stats/leaderboard?page=serve,,3,56,35,62,69,24,35,52,14.0,27.0,1,10,181,/en/stats/leaderboard?page=serve,4,4,41,32,78,59,19,32,41,19,46,65,11,17,10,61,38,62,51,40,78,56,78,140,49,38,78,39,24,62,44,62,140,A,25,4,False,,,,,M. Tillstrom,A. Volkov,T166,V037,SWE,RUS,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS025,R32,01:13:00,,F,2,B484,"6-4,6-4",L. Burgsmuller,S. Noszaly,,,GER,HUN,6-4,6-4,,,,01:13:00,,,288,/en/stats/leaderboard?page=serve,3,8,63,41,65,80,33,41,50,12.0,24.0,4,10,244,/en/stats/leaderboard?page=serve,5,4,62,36,58,72,26,36,41,9,22,0,0,3,10,69,45,65,40,23,58,55,68,123,60,35,58,31,20,65,45,55,123,A,80,5,,,,,,L. Burgsmuller,S. Noszaly,B484,N112,GER,HUN,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS026,R32,01:37:00,,F,3,A176,"4-6,6-2,6-4",J. Apell,N. Kulti,,,SWE,SWE,4-6,6-2,6-4,,,01:37:00,,,300,/en/stats/leaderboard?page=serve,4,14,69,54,78,87,47,54,42,10.0,24.0,2,14,262,/en/stats/leaderboard?page=serve,5,6,56,44,79,70,31,44,57,20,35,40,2,5,14,73,57,78,35,28,79,54,85,157,65,51,79,27,21,78,46,72,157,A,67,3,,,,,,J. Apell,N. Kulti,A176,K181,SWE,SWE,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS027,R32,00:48:00,,F,2,P273,"6-1,6-2",D. Prinosil,F. Fetterlein,,,GER,DEN,6-1,6-2,,,,00:48:00,,,286,/en/stats/leaderboard?page=serve,1,6,65,33,51,73,24,33,56,10.0,18.0,2,8,139,/en/stats/leaderboard?page=serve,5,2,46,18,39,44,8,18,24,5,21,38,3,8,7,67,34,51,67,26,39,67,60,90,33,13,39,33,17,51,33,30,90,A,67,3,,,,,,D. Prinosil,F. Fetterlein,P273,F206,GER,DEN,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS028,R32,01:11:00,,F,2,G182,"6-2,6-4",M. Gustafsson,L. Roux,,,SWE,FRA,6-2,6-4,,,,01:11:00,,,282,/en/stats/leaderboard?page=serve,3,2,75,41,55,71,29,41,71,10.0,14.0,0,9,232,/en/stats/leaderboard?page=serve,2,1,59,36,61,56,20,36,52,13,25,75,9,12,9,71,39,55,46,28,61,58,67,116,54,33,61,29,16,55,42,49,116,A,,,,,,,,M. Gustafsson,L. Roux,G182,R280,SWE,FRA,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS029,R32,01:10:00,,F,2,J006,"6-3,6-2",A. Jarryd,H. Holm,,,SWE,SWE,6-3,6-2,,,,01:10:00,,,269,/en/stats/leaderboard?page=serve,,1,54,26,48,73,19,26,64,14.0,22.0,0,9,173,/en/stats/leaderboard?page=serve,10,6,47,28,60,71,20,28,22,7,32,58,7,12,8,69,33,48,55,33,60,61,66,108,45,27,60,31,15,48,39,42,108,A,0,2,False,,,,,A. Jarryd,H. Holm,J006,H191,SWE,SWE,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS030,R32,01:42:00,,F,3,G319,"4-6,6-3,6-4",J. Golmard,J. Van Herck,,,FRA,BEL,4-6,6-3,6-4,,,01:42:00,,,277,/en/stats/leaderboard?page=serve,7,9,60,63,105,79,50,63,43,18.0,42.0,7,15,288,/en/stats/leaderboard?page=serve,5,13,52,38,73,92,35,38,51,18,35,33,1,3,14,65,68,105,27,20,73,49,88,178,73,53,73,35,37,105,51,90,178,A,88,8,,,,,,J. Golmard,J. Van Herck,G319,V167,FRA,BEL,,
568,1996,St. Petersburg,GP,1996-03-18T00:00:00,1996-03-31T00:00:00,Carpet,32,300000,$,MS031,R32,01:42:00,,F,3,V141,"4-6,6-1,6-4",D. Vacek,A. Chesnokov,,,CZE,RUS,4-6,6-1,6-4,,,01:42:00,,,284,/en/stats/leaderboard?page=serve,5,9,57,50,88,78,39,50,53,20.0,38.0,4,14,250,/en/stats/leaderboard?page=serve,2,2,51,42,83,69,29,42,54,22,41,25,1,4,13,67,59,88,39,32,83,53,91,171,61,51,83,33,29,88,47,80,171,A,80,5,,,,,,D. Vacek,A. Chesnokov,V141,C031,CZE,RUS,,
