event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS001,F,01:35:00,,F,2,B397,"7-6(7),6-3",B. Black,M. Damm,,,ZIM,CZE,7-6(7),6-3,,,,01:35:00,7,3,254,/en/stats/leaderboard?page=serve,False,1,61,46,75,72,33,46,48,14,29,67,6,9,11,221,/en/stats/leaderboard?page=serve,2,5,52,37,71,62,23,37,44,15,34,56,5,9,10,63,47,75,46,33,71,55,80,146,54,38,71,37,28,75,45,66,146,A,,,,B. Black,M. Damm,B397,D214,ZIM,CZE,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS002,SF,01:07:00,,F,2,B397,"6-2,6-4",B. Black,T. Henman,,,ZIM,GBR,6-2,6-4,,,,01:07:00,,,285,/en/stats/leaderboard?page=serve,False,0,57,32,56,69,22,32,71,17,24,67,2,3,9,217,/en/stats/leaderboard?page=serve,2,5,65,35,54,57,20,35,37,7,19,56,5,9,9,70,39,56,50,27,54,60,66,110,50,27,54,30,17,56,40,44,110,A,,,,B. Black,T. Henman,B397,H336,ZIM,GBR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS003,SF,01:21:00,,F,2,D214,"6-3,7-5",M. Damm,J. Kroslak,,,CZE,SVK,6-3,7-5,,,,01:21:00,,,290,/en/stats/leaderboard?page=serve,False,8,56,35,62,80,28,35,56,15,27,50,1,2,11,239,/en/stats/leaderboard?page=serve,5,4,52,33,64,76,25,33,42,13,31,57,4,7,10,69,43,62,41,26,64,55,69,126,59,38,64,31,19,62,45,57,126,A,,,,M. Damm,J. Kroslak,D214,K296,CZE,SVK,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS004,QF,00:55:00,,F,2,B397,"6-3,6-1",B. Black,G. Pozzi,,,ZIM,ITA,6-3,6-1,,,,00:55:00,,,290,/en/stats/leaderboard?page=serve,,1,66,29,44,72,21,29,67,10,15,50,1,2,8,177,/en/stats/leaderboard?page=serve,2,5,48,24,50,58,14,24,31,8,26,29,2,7,8,70,31,44,56,28,50,63,59,94,44,22,50,30,13,44,37,35,94,A,3,,,B. Black,G. Pozzi,B397,P045,ZIM,ITA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS005,QF,01:56:00,,F,3,H336,"3-6,7-6(7),6-3",T. Henman,S. Matsuoka,,,GBR,JPN,3-6,7-6(7),6-3,,,01:56:00,,,268,/en/stats/leaderboard?page=serve,,5,58,58,100,78,45,58,52,22,42,57,4,7,16,277,/en/stats/leaderboard?page=serve,6,12,64,55,86,80,44,55,42,13,31,33,1,3,14,67,67,100,34,29,86,52,96,186,66,57,86,33,33,100,48,90,186,A,6,7,3,T. Henman,S. Matsuoka,H336,M338,GBR,JPN,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS006,QF,01:46:00,,F,3,K296,"7-5,4-6,6-2",J. Kroslak,O. Ogorodov,,,SVK,UZB,7-5,4-6,6-2,,,01:46:00,,,265,/en/stats/leaderboard?page=serve,,7,61,63,103,73,46,63,45,18,40,78,7,9,15,250,/en/stats/leaderboard?page=serve,4,7,59,52,88,71,37,52,44,16,36,60,6,10,15,62,64,103,40,35,88,52,99,191,60,53,88,38,39,103,48,92,191,A,7,,,J. Kroslak,O. Ogorodov,K296,O127,SVK,UZB,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS007,QF,02:00:00,,F,3,D214,"6-4,6-7(5),7-5",M. Damm,G. Rusedski,,,CZE,GBR,6-4,6-7(5),7-5,,,02:00:00,,,301,/en/stats/leaderboard?page=serve,,11,62,61,99,79,48,61,63,24,38,33,1,3,17,281,/en/stats/leaderboard?page=serve,1,13,63,61,97,77,47,61,53,19,36,56,5,9,17,73,72,99,32,31,97,53,103,196,68,66,97,27,27,99,47,93,196,A,2,5,7,M. Damm,G. Rusedski,D214,R237,CZE,GBR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS009,R16,01:12:00,,F,2,P045,"6-3,7-5",G. Pozzi,J. Tarango,,,ITA,USA,6-3,7-5,,,,01:12:00,,,266,/en/stats/leaderboard?page=serve,,5,45,23,51,74,17,23,64,18,28,33,1,3,10,232,/en/stats/leaderboard?page=serve,3,3,70,47,67,53,25,47,55,11,20,44,4,9,11,69,35,51,46,31,67,56,66,118,54,36,67,31,16,51,44,52,118,A,2,,,G. Pozzi,J. Tarango,P045,T136,ITA,USA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS010,R16,01:16:00,,F,2,H336,"6-3,7-5",T. Henman,T. Johansson,,,GBR,SWE,6-3,7-5,,,,01:16:00,,,240,/en/stats/leaderboard?page=serve,,0,53,36,68,64,23,36,53,17,32,67,6,9,11,199,/en/stats/leaderboard?page=serve,2,1,50,26,52,69,18,26,31,8,26,0,0,5,10,59,40,68,50,26,52,55,66,120,50,26,52,41,28,68,45,54,120,A,2,,,T. Henman,T. Johansson,H336,J129,GBR,SWE,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS011,R16,01:01:00,,F,2,M338,"6-4,6-1",S. Matsuoka,A. Radulescu,,,JPN,GER,6-4,6-1,,,,01:01:00,,,288,/en/stats/leaderboard?page=serve,,5,66,38,58,71,27,38,60,12,20,83,5,6,9,204,/en/stats/leaderboard?page=serve,3,5,47,21,45,67,14,21,38,9,24,20,1,5,8,67,39,58,49,22,45,59,61,103,51,23,45,33,19,58,41,42,103,A,2,,,S. Matsuoka,A. Radulescu,M338,R284,JPN,GER,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS012,R16,01:02:00,,F,2,K296,"6-2,6-3",J. Kroslak,J. Renzenbrink,,,SVK,GER,6-2,6-3,,,,01:02:00,,,266,/en/stats/leaderboard?page=serve,,2,53,32,60,72,23,32,57,16,28,83,5,6,8,200,/en/stats/leaderboard?page=serve,3,5,62,37,60,62,23,37,30,7,23,50,5,10,9,65,39,60,50,30,60,58,69,120,50,30,60,35,21,60,43,51,120,A,5,,,J. Kroslak,J. Renzenbrink,K296,R273,SVK,GER,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS013,R16,02:08:00,,F,3,O127,"4-6,6-2,6-3",O. Ogorodov,K. Carlsen,,,UZB,DEN,4-6,6-2,6-3,,,02:08:00,,,266,/en/stats/leaderboard?page=serve,,5,57,70,123,76,53,70,42,22,53,92,12,13,14,244,/en/stats/leaderboard?page=serve,7,2,43,39,90,77,30,39,53,27,51,77,10,13,13,61,75,123,37,33,90,51,108,213,63,57,90,39,48,123,49,105,213,A,6,,,O. Ogorodov,K. Carlsen,O127,C328,UZB,DEN,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS014,R16,00:53:00,,F,2,D214,"6-3,6-0",M. Damm,J. Grabb,,,CZE,USA,6-3,6-0,,,,00:53:00,,,285,/en/stats/leaderboard?page=serve,,7,58,26,45,73,19,26,63,12,19,50,1,2,8,150,/en/stats/leaderboard?page=serve,4,1,53,20,38,55,11,20,17,3,18,17,1,6,7,69,31,45,63,24,38,66,55,83,37,14,38,31,14,45,34,28,83,A,3,,,M. Damm,J. Grabb,D214,G039,CZE,USA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS015,R16,01:57:00,,F,3,R237,"1-6,7-6(7),6-3",G. Rusedski,J. Stark,,,GBR,USA,1-6,7-6(7),6-3,,,01:57:00,,,265,/en/stats/leaderboard?page=serve,,7,51,45,89,71,32,45,57,25,44,75,6,8,13,280,/en/stats/leaderboard?page=serve,3,12,58,59,102,69,41,59,58,25,43,80,8,10,15,64,57,89,35,36,102,49,93,191,65,66,102,36,32,89,51,98,191,A,5,7,5,G. Rusedski,J. Stark,R237,S403,GBR,USA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS016,R32,01:04:00,,F,2,B397,"6-0,6-3",B. Black,S. Lee,,,ZIM,KOR,6-0,6-3,,,,01:04:00,,,276,/en/stats/leaderboard?page=serve,,3,65,36,55,69,25,36,53,10,19,67,2,3,8,169,/en/stats/leaderboard?page=serve,1,0,58,30,52,57,17,30,27,6,22,50,5,10,7,64,35,55,56,29,52,60,64,107,44,23,52,36,20,55,40,43,107,A,1,,,B. Black,S. Lee,B397,L298,ZIM,KOR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS017,R32,01:02:00,,F,2,L226,"6-4,6-2",S. Lareau,M. Knowles,,,CAN,BAH,6-4,6-2,,,,01:02:00,,,254,/en/stats/leaderboard?page=serve,,6,58,31,53,77,24,31,41,9,22,60,3,5,9,189,/en/stats/leaderboard?page=serve,5,3,53,28,53,54,15,28,40,10,25,17,1,6,9,62,33,53,53,28,53,58,61,106,47,25,53,38,20,53,42,45,106,A,5,,,S. Lareau,M. Knowles,L226,K171,CAN,BAH,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS019,R32,01:34:00,,F,2,T136,"7-6(7),6-4",J. Tarango,M. Norman,,,USA,SWE,7-6(7),6-4,,,,01:34:00,7,0,292,/en/stats/leaderboard?page=serve,,4,58,38,65,82,31,38,59,16,27,86,6,7,11,246,/en/stats/leaderboard?page=serve,4,3,46,41,89,76,31,41,44,21,48,80,8,10,11,72,47,65,42,37,89,55,84,154,58,52,89,28,18,65,45,70,154,A,1,,,J. Tarango,M. Norman,T136,N250,USA,SWE,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS020,R32,00:59:00,,F,2,H336,"6-1,6-4",T. Henman,D. Norman,,,GBR,BEL,6-1,6-4,,,,00:59:00,,,297,/en/stats/leaderboard?page=serve,,4,62,32,52,81,26,32,65,13,20,,0,,9,221,/en/stats/leaderboard?page=serve,7,4,51,29,57,72,21,29,39,11,28,40,2,5,8,75,39,52,44,25,57,59,64,109,56,32,57,25,13,52,41,45,109,A,3,,,T. Henman,D. Norman,H336,N233,GBR,BEL,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS022,R32,01:29:00,,F,3,R284,"6-3,3-6,6-1",A. Radulescu,H. Lee,,,GER,KOR,6-3,3-6,6-1,,,01:29:00,,,258,/en/stats/leaderboard?page=serve,,11,52,44,84,75,33,44,48,19,40,57,4,7,13,228,/en/stats/leaderboard?page=serve,3,0,78,56,72,57,32,56,38,6,16,38,3,8,12,62,52,84,47,34,72,55,86,156,53,38,72,38,32,84,45,70,156,A,4,,,A. Radulescu,H. Lee,R284,L311,GER,KOR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS023,R32,02:11:00,,F,3,M338,"6-7(1),6-3,6-2",S. Matsuoka,K. Ullyett,,,JPN,ZIM,6-7(1),6-3,6-2,,,02:11:00,1,7,270,/en/stats/leaderboard?page=serve,,5,64,66,103,73,48,66,46,17,37,75,6,8,15,238,/en/stats/leaderboard?page=serve,2,1,65,67,103,63,42,67,47,17,36,50,5,10,14,63,65,103,43,44,103,53,109,206,57,59,103,37,38,103,47,97,206,A,4,,,S. Matsuoka,K. Ullyett,M338,U024,JPN,ZIM,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS024,R32,01:01:00,,F,2,K296,"7-5,6-1",J. Kroslak,J. Van Herck,,,SVK,BEL,7-5,6-1,,,,01:01:00,,,286,/en/stats/leaderboard?page=serve,,7,64,36,56,75,27,36,55,11,20,50,1,2,10,202,/en/stats/leaderboard?page=serve,5,1,49,26,53,65,17,26,37,10,27,50,4,8,9,68,38,56,49,26,53,59,64,109,51,27,53,32,18,56,41,45,109,A,5,,,J. Kroslak,J. Van Herck,K296,V167,SVK,BEL,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS025,R32,01:17:00,,F,2,R273,"6-3,6-4",J. Renzenbrink,J. Cunha-Silva,,,GER,POR,6-3,6-4,,,,01:17:00,,,277,/en/stats/leaderboard?page=serve,,2,57,37,65,70,26,37,61,17,28,67,2,3,10,228,/en/stats/leaderboard?page=serve,3,2,51,31,61,65,20,31,47,14,30,50,3,6,9,66,43,65,44,27,61,56,70,126,56,34,61,34,22,65,44,56,126,A,3,,,J. Renzenbrink,J. Cunha-Silva,R273,C113,GER,POR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS026,R32,00:54:00,,F,2,O127,"6-2,6-2",O. Ogorodov,A. Chang,,,UZB,CAN,6-2,6-2,,,,00:54:00,,,249,/en/stats/leaderboard?page=serve,,4,48,26,54,77,20,26,71,20,28,,0,,8,208,/en/stats/leaderboard?page=serve,1,1,61,27,44,56,15,27,41,7,17,43,3,7,8,74,40,54,50,22,44,63,62,98,50,22,44,26,14,54,37,36,98,A,1,,,O. Ogorodov,A. Chang,O127,C308,UZB,CAN,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS027,R32,01:07:00,,F,2,C328,"6-4,6-0",K. Carlsen,C. Caratti,,,DEN,ITA,6-4,6-0,,,,01:07:00,,,266,/en/stats/leaderboard?page=serve,,5,44,22,50,86,19,22,46,13,28,67,2,3,8,200,/en/stats/leaderboard?page=serve,1,1,77,49,64,53,26,49,33,5,15,50,5,10,8,64,32,50,52,33,64,57,65,114,48,31,64,36,18,50,43,49,114,A,2,,,K. Carlsen,C. Caratti,C328,C270,DEN,ITA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS028,R32,02:01:00,,F,3,G039,"6-4,4-6,6-4",J. Grabb,C. Wilkinson,,,USA,GBR,6-4,4-6,6-4,,,02:01:00,,,275,/en/stats/leaderboard?page=serve,,6,59,54,92,70,38,54,58,22,38,67,4,6,15,254,/en/stats/leaderboard?page=serve,4,0,57,54,95,67,36,54,54,22,41,63,5,8,15,65,60,92,39,37,95,52,97,187,61,58,95,35,32,92,48,90,187,A,4,,,J. Grabb,C. Wilkinson,G039,W150,USA,GBR,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS029,R32,02:38:00,,F,3,D214,"6-7(5),7-6(7),6-4",M. Damm,L. Roux,,,CZE,FRA,6-7(5),7-6(7),6-4,,,02:38:00,5,7,273,/en/stats/leaderboard?page=serve,,12,53,61,115,72,44,61,61,33,54,63,5,8,17,258,/en/stats/leaderboard?page=serve,3,6,62,76,123,66,50,76,51,24,47,56,5,9,17,67,77,115,40,49,123,53,126,238,60,74,123,33,38,115,47,112,238,A,7,7,2,M. Damm,L. Roux,D214,R280,CZE,FRA,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS030,R32,01:15:00,,F,2,S403,"6-3,6-4",J. Stark,P. Baur,,,USA,GER,6-3,6-4,,,,01:15:00,,,260,/en/stats/leaderboard?page=serve,,7,67,41,61,66,27,41,45,9,20,50,2,4,9,196,/en/stats/leaderboard?page=serve,8,2,51,29,57,69,20,29,32,9,28,44,4,9,10,59,36,61,49,28,57,54,64,118,51,29,57,41,25,61,46,54,118,A,2,,,J. Stark,P. Baur,S403,B293,USA,GER,,
434,1996,Seoul,GP,1996-04-22T00:00:00,1996-04-28T00:00:00,Hard,32,203000,$,MS031,R32,01:28:00,,F,2,R237,"7-6(7),6-4",G. Rusedski,J. Fleurian,,,GBR,FRA,7-6(7),6-4,,,,01:28:00,7,4,267,/en/stats/leaderboard?page=serve,,3,60,42,70,81,34,42,43,12,28,60,3,5,11,251,/en/stats/leaderboard?page=serve,2,1,68,53,78,64,34,53,48,12,25,25,1,4,11,66,46,70,41,32,78,53,78,148,59,46,78,34,24,70,47,70,148,A,1,,,G. Rusedski,J. Fleurian,R237,F031,GBR,FRA,,
