event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS001,F,02:41:00,,F,3,F324,"6-3,6-4,7-6(13)",R. Federer,A. Murray,,,SUI,GBR,6-3,6-4,7-6(13),,,02:41:00,A,R. Federer,A. Murray,SUI,GBR,,,13.0,11.0,294,/en/stats/leaderboard?page=serve,2,11,67,75,112,72,54,75,59,22,37,75,6,8,16,256,/en/stats/leaderboard?page=serve,4,10,56,58,104,69,40,58,52,24,46,67,8,12,15,68,76,112,38,40,104,54,116,216,62,64,104,32,36,112,46,100,216,,,,,,,F324,MC10
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS003,SF,03:02:00,,F,4,MC10,"3-6,6-4,6-4,6-2",A. Murray,M. Cilic,,,GBR,CRO,3-6,6-4,6-4,6-2,,03:02:00,A,A. Murray,M. Cilic,GBR,CRO,,,,,285,/en/stats/leaderboard?page=serve,1,4,64,68,107,75,51,68,59,23,39,67,6,9,19,242,/en/stats/leaderboard?page=serve,6,6,56,70,124,70,49,70,44,24,54,69,11,16,18,69,74,107,41,51,124,54,125,231,59,73,124,31,33,107,46,106,231,,,,,,,MC10,C977
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS004,QF,02:36:00,,F,4,F324,"2-6,6-3,6-0,7-5",R. Federer,N. Davydenko,,,SUI,RUS,2-6,6-3,6-0,7-5,,02:36:00,A,R. Federer,N. Davydenko,SUI,RUS,,,,,252,/en/stats/leaderboard?page=serve,4,8,60,73,122,67,49,73,49,24,49,74,14,19,18,209,/en/stats/leaderboard?page=serve,4,1,62,66,107,59,39,66,39,16,41,43,6,14,17,60,73,122,49,52,107,55,125,229,51,55,107,40,49,122,45,104,229,,,,,,,F324,D402
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS005,QF,03:52:00,,F,5,T786,"7-6(10),6-7(5),1-6,6-3,6-1",J. Tsonga,N. Djokovic,,,FRA,SRB,7-6(10),6-7(5),1-6,6-3,6-1,03:52:00,A,J. Tsonga,N. Djokovic,FRA,SRB,,,,,270,/en/stats/leaderboard?page=serve,2,19,65,109,168,68,74,109,47,28,59,63,10,16,23,248,/en/stats/leaderboard?page=serve,9,2,69,100,145,67,67,100,49,22,45,36,4,11,24,61,102,168,39,56,145,50,158,313,61,89,145,39,66,168,50,155,313,10.0,8.0,5.0,7.0,,,T786,D643
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS006,QF,03:50:00,,F,5,C977,"7-6(7),6-3,3-6,2-6,6-3",M. Cilic,A. Roddick,,,CRO,USA,7-6(7),6-3,3-6,2-6,6-3,03:50:00,A,M. Cilic,A. Roddick,CRO,USA,,,,,260,/en/stats/leaderboard?page=serve,6,20,50,77,155,75,58,77,46,36,78,63,10,16,24,276,/en/stats/leaderboard?page=serve,1,15,64,90,141,69,62,90,51,26,51,62,8,13,23,61,94,155,38,53,141,50,147,296,62,88,141,39,61,155,50,149,296,7.0,4.0,,,,,C977,R485
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS007,QF,02:30:00,,F,3,MC10,"6-3,7-6(7),3-0",A. Murray,R. Nadal,,,GBR,ESP,6-3,7-6(7),3-0,,,02:30:00,A,A. Murray,R. Nadal,GBR,ESP,,,,,276,/en/stats/leaderboard?page=serve,1,12,59,57,97,77,44,57,45,18,40,83,10,12,13,235,/en/stats/leaderboard?page=serve,1,1,67,48,72,63,30,48,42,10,24,60,6,10,11,64,62,97,44,32,72,56,94,169,56,40,72,36,35,97,44,75,169,,,7.0,2.0,,,MC10,N409
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS008,R16,01:55:00,,F,3,F324,"6-2,6-3,6-4",R. Federer,L. Hewitt,,,SUI,AUS,6-2,6-3,6-4,,,01:55:00,A,R. Federer,L. Hewitt,SUI,AUS,,,,,304,/en/stats/leaderboard?page=serve,0,7,63,50,79,76,38,50,66,19,29,80,4,5,14,232,/en/stats/leaderboard?page=serve,2,5,61,61,100,61,37,61,46,18,39,67,10,15,13,72,57,79,45,45,100,57,102,179,55,55,100,28,22,79,43,77,179,,,,,,,F324,H432
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS009,R16,03:57:00,,F,5,D402,"6-2,7-5,4-6,6-7(5),6-3",N. Davydenko,F. Verdasco,,,RUS,ESP,6-2,7-5,4-6,6-7(5),6-3,03:57:00,A,N. Davydenko,F. Verdasco,RUS,ESP,,,,,272,/en/stats/leaderboard?page=serve,5,6,62,108,173,68,73,108,57,37,65,67,8,12,26,241,/en/stats/leaderboard?page=serve,20,14,57,88,155,73,64,88,45,30,67,42,5,12,25,64,110,173,39,61,155,52,171,328,61,94,155,36,63,173,48,157,328,,,,,5.0,7.0,D402,V306
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS010,R16,01:55:00,,F,3,D643,"6-1,6-2,7-5",N. Djokovic,L. Kubot,,,SRB,POL,6-1,6-2,7-5,,,01:55:00,A,N. Djokovic,L. Kubot,SRB,POL,,,,,320,/en/stats/leaderboard?page=serve,1,10,69,51,74,80,41,51,70,16,23,50,1,2,14,214,/en/stats/leaderboard?page=serve,4,4,61,46,76,67,31,46,33,10,30,33,3,9,13,77,57,74,46,35,76,61,92,150,54,41,76,23,17,74,39,58,150,,,,,,,D643,K540
580,2010,Australian Open,GS,2010-01-18T00:00:00,2010-01-31T00:00:00,Hard,128,11048640,A$,MS011,R16,03:33:00,,F,5,T786,"6-3,6-4,4-6,6-7(6),9-7",J. Tsonga,N. Almagro,,,FRA,ESP,6-3,6-4,4-6,6-7(6),9-7,03:33:00,A,J. Tsonga,N. Almagro,FRA,ESP,,,,,323,/en/stats/leaderboard?page=serve,4,25,58,93,161,85,79,93,63,43,68,75,3,4,29,306,/en/stats/leaderboard?page=serve,1,13,77,133,173,75,100,133,53,21,40,73,8,11,28,76,122,161,30,52,173,52,174,334,70,121,173,24,39,161,48,160,334,,,,,6.0,8.0,T786,A479
