event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_loser,breakpointssaved_divisor_tot_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS021,R32,01:36:00,,F,2,E138,"7-5,7-6(11)",G. Etlis,S. Hirszon,,,ARG,CRO,7-5,7-6(11),,,,01:36:00,,,,,264,/en/stats/leaderboard?page=serve,3,13,54,43,79,72,31,43,53,19,36,40,2,5,12,245,/en/stats/leaderboard?page=serve,2,2,53,40,75,75,30,40,51,18,35,1,12,63,50,79,36,27,75,50,77,154,64,48,75,37,29,79,50,77,154,A,20,5,,11,9,,G. Etlis,S. Hirszon,E138,H274,ARG,CRO,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS022,R32,01:18:00,,F,2,S315,"6-1,6-3",G. Schaller,D. Hrbaty,,,AUT,SVK,6-1,6-3,,,,01:18:00,,,,,251,/en/stats/leaderboard?page=serve,4,4,53,30,57,77,23,30,59,16,27,,0,,8,204,/en/stats/leaderboard?page=serve,3,7,50,30,60,67,20,30,33,10,30,6,8,68,39,57,50,30,60,59,69,117,50,30,60,32,18,57,41,48,117,A,60,10,,,,,G. Schaller,D. Hrbaty,S315,H377,AUT,SVK,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS023,R32,01:41:00,,F,2,S015,"7-6(8),7-6(7)",J. Sanchez,J. Viloca-Puig,,,ESP,ESP,7-6(8),7-6(7),,,,01:41:00,8,6,,,296,/en/stats/leaderboard?page=serve,1,4,75,60,80,70,42,60,65,13,20,0,0,2,12,268,/en/stats/leaderboard?page=serve,3,6,58,51,88,73,37,51,51,19,37,4,12,69,55,80,36,32,88,52,87,168,64,56,88,31,25,80,48,81,168,A,67,6,,7,5,,J. Sanchez,J. Viloca-Puig,S015,V161,ESP,ESP,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS024,R32,01:54:00,,F,3,F192,"3-6,7-6(7),6-4",R. Furlan,J. Frana,,,ITA,ARG,3-6,7-6(7),6-4,,,01:54:00,,,,,286,/en/stats/leaderboard?page=serve,1,9,65,60,92,83,50,60,44,14,32,75,6,8,15,291,/en/stats/leaderboard?page=serve,,13,63,61,97,72,44,61,56,20,36,5,16,70,64,92,34,33,97,51,97,189,66,64,97,30,28,92,49,92,189,A,71,7,False,7,4,,R. Furlan,J. Frana,F192,F041,ITA,ARG,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS025,R32,03:37:00,,F,3,D214,"6-7(6),7-6(9),7-6(7)",M. Damm,K. Carlsen,,,CZE,DEN,6-7(6),7-6(9),7-6(7),,,03:37:00,6,8,7,3,221,/en/stats/leaderboard?page=serve,1,13,57,63,110,84,53,63,68,32,47,0,0,,18,286,/en/stats/leaderboard?page=serve,5,19,61,85,140,75,64,85,64,35,55,0,18,77,85,110,29,41,140,50,126,250,71,99,140,23,25,110,50,124,250,A,,,,9,7,,M. Damm,K. Carlsen,D214,C328,CZE,DEN,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS027,R32,02:08:00,,F,3,S381,"6-3,5-7,6-4",J. Siemerink,R. Vasek,,,NED,CZE,6-3,5-7,6-4,,,02:08:00,,,,,312,/en/stats/leaderboard?page=serve,3,22,60,55,91,82,45,55,58,21,36,88,7,8,16,259,/en/stats/leaderboard?page=serve,7,3,55,58,106,74,43,58,48,23,48,6,15,73,66,91,38,40,106,54,106,197,62,66,106,27,25,91,46,91,197,A,75,8,,,,,J. Siemerink,R. Vasek,S381,V151,NED,CZE,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS028,R32,01:37:00,,F,3,P273,"6-7(5),6-3,6-0",D. Prinosil,I. Ljubicic,,,GER,CRO,6-7(5),6-3,6-0,,,01:37:00,5,7,,,265,/en/stats/leaderboard?page=serve,5,12,44,38,86,89,34,38,56,27,48,,0,,13,244,/en/stats/leaderboard?page=serve,3,11,55,46,83,76,35,46,41,15,37,1,14,71,61,86,40,33,83,56,94,169,60,50,83,29,25,86,44,75,169,A,17,6,,,,,D. Prinosil,I. Ljubicic,P273,L360,GER,CRO,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS029,R32,01:36:00,,F,3,A226,"2-6,6-1,6-4",H. Arazi,T. Carbonell,,,MAR,ESP,2-6,6-1,6-4,,,01:36:00,,,,,259,/en/stats/leaderboard?page=serve,4,8,49,37,76,84,31,37,46,18,39,67,6,9,13,241,/en/stats/leaderboard?page=serve,5,5,71,72,102,61,44,72,43,13,30,13,12,64,49,76,44,45,102,53,94,178,56,57,102,36,27,76,47,84,178,A,76,17,,,,,H. Arazi,T. Carbonell,A226,C216,MAR,ESP,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS030,R32,01:51:00,,F,3,A203,"7-6(8),1-6,6-1",K. Alami,A. Chesnokov,,,MAR,RUS,7-6(8),1-6,6-1,,,01:51:00,8,6,,,269,/en/stats/leaderboard?page=serve,3,8,59,49,83,76,37,49,53,18,34,57,4,7,13,256,/en/stats/leaderboard?page=serve,2,8,59,68,115,66,45,68,49,23,47,7,13,66,55,83,41,47,115,52,102,198,59,68,115,34,28,83,48,96,198,A,70,10,,,,,K. Alami,A. Chesnokov,A203,C031,MAR,RUS,,
7301,1997,Zagreb,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,375000,$,MS031,R32,01:50:00,,F,3,E113,"6-7(1),6-3,6-3",T. Enqvist,P. Fredriksson,,,SWE,SWE,6-7(1),6-3,6-3,,,01:50:00,1,7,,,281,/en/stats/leaderboard?page=serve,3,16,56,49,87,84,41,49,42,16,38,67,4,6,15,236,/en/stats/leaderboard?page=serve,8,13,50,50,101,68,34,50,47,24,51,8,15,66,57,87,43,43,101,53,100,188,57,58,101,34,30,87,47,88,188,A,62,13,,,,,T. Enqvist,P. Fredriksson,E113,F278,SWE,SWE,,
