event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS001,F,01:09:00,,F,2,S402,"6-4,7-5",P. Sampras,R. Reneberg,,,USA,USA,6-4,7-5,,,,01:09:00,306,/en/stats/leaderboard?page=serve,False,8,68,39,57,79,31,39,61,11,18,0,0,1,11,250,/en/stats/leaderboard?page=serve,3,3,54,37,69,68,25,37,56,18,32,70,7,10,11,74,42,57,38,26,69,54,68,126,62,43,69,26,15,57,46,58,126,A,,,,,,,,,P. Sampras,R. Reneberg,S402,R016,USA,USA,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS002,SF,01:34:00,,F,2,S402,"7-6(7),6-4",P. Sampras,M. Woodforde,,,USA,AUS,7-6(7),6-4,,,,01:34:00,305,/en/stats/leaderboard?page=serve,,10,54,37,69,89,33,37,63,20,32,,0,,11,264,/en/stats/leaderboard?page=serve,5,5,45,39,87,79,31,39,50,24,48,83,5,6,11,77,53,69,37,32,87,54,85,156,63,55,87,23,16,69,46,71,156,A,7,5,1,,,,,,P. Sampras,M. Woodforde,S402,W035,USA,AUS,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS003,SF,02:13:00,,F,3,R016,"3-6,6-4,7-6(7)",R. Reneberg,H. Dreekmann,,,USA,GER,3-6,6-4,7-6(7),,,02:13:00,263,/en/stats/leaderboard?page=serve,,9,58,63,108,73,46,63,51,23,45,56,5,9,16,252,/en/stats/leaderboard?page=serve,7,3,55,63,115,65,41,63,56,29,52,75,9,12,15,64,69,108,39,45,115,51,114,223,61,70,115,36,39,108,49,109,223,A,,,3,7,4,,,,R. Reneberg,H. Dreekmann,R016,D249,USA,GER,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS004,QF,01:30:00,,F,3,S402,"3-6,6-3,6-4",P. Sampras,G. Forget,,,USA,FRA,3-6,6-3,6-4,,,01:30:00,316,/en/stats/leaderboard?page=serve,,18,61,44,72,86,38,44,61,17,28,50,1,2,14,289,/en/stats/leaderboard?page=serve,2,14,59,48,82,77,37,48,56,19,34,33,1,3,14,76,55,72,32,26,82,53,81,154,68,56,82,24,17,72,47,73,154,A,,,2,,,,,,P. Sampras,G. Forget,S402,F035,USA,FRA,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS005,QF,01:31:00,,F,2,W035,"6-4,7-5",M. Woodforde,T. Enqvist,,,AUS,SWE,6-4,7-5,,,,01:31:00,287,/en/stats/leaderboard?page=serve,False,8,47,28,60,89,25,28,53,17,32,75,3,4,11,237,/en/stats/leaderboard?page=serve,8,6,57,43,76,65,28,43,45,15,33,67,6,9,11,70,42,60,43,33,76,55,75,136,57,43,76,30,18,60,45,61,136,A,,,,,,,,,M. Woodforde,T. Enqvist,W035,E113,AUS,SWE,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS006,QF,01:35:00,,F,2,D249,"7-6(7),7-6(9)",H. Dreekmann,R. Krajicek,,,GER,NED,7-6(7),7-6(9),,,,01:35:00,272,/en/stats/leaderboard?page=serve,,2,49,45,92,80,36,45,57,27,47,86,6,7,12,311,/en/stats/leaderboard?page=serve,,17,61,46,75,87,40,46,55,16,29,75,3,4,12,68,63,92,25,19,75,49,82,167,75,56,75,32,29,92,51,85,167,A,7,5,7,,,9,7,False,H. Dreekmann,R. Krajicek,D249,K214,GER,NED,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS007,QF,01:34:00,,F,2,R016,"6-4,7-6(7)",R. Reneberg,M. Chang,,,USA,USA,6-4,7-6(7),,,,01:34:00,265,/en/stats/leaderboard?page=serve,,6,51,39,76,77,30,39,51,19,37,33,1,3,11,253,/en/stats/leaderboard?page=serve,1,9,58,42,73,67,28,42,48,15,31,40,2,5,11,64,49,76,41,30,73,53,79,149,59,43,73,36,27,76,47,70,149,A,,,1,,,7,3,,R. Reneberg,M. Chang,R016,C274,USA,USA,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS008,R16,01:35:00,,F,3,S402,"5-7,6-4,6-1",P. Sampras,M. Norman,,,USA,SWE,5-7,6-4,6-1,,,01:35:00,313,/en/stats/leaderboard?page=serve,False,15,65,53,82,81,43,53,59,17,29,50,1,2,15,263,/en/stats/leaderboard?page=serve,1,8,48,40,83,88,35,40,42,18,43,57,4,7,14,73,60,82,36,30,83,55,90,165,64,53,83,27,22,82,45,75,165,A,,,,,,,,,P. Sampras,M. Norman,S402,N250,USA,SWE,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS009,R16,01:30:00,,F,2,F035,"6-4,6-4",G. Forget,T. Woodbridge,,,FRA,AUS,6-4,6-4,,,,01:30:00,233,/en/stats/leaderboard?page=serve,,7,51,35,69,83,29,35,53,18,34,,0,,10,262,/en/stats/leaderboard?page=serve,2,4,56,38,68,74,28,38,50,15,30,71,5,7,10,68,47,69,37,25,68,53,72,137,63,43,68,32,22,69,47,65,137,A,,,1,,,,,,G. Forget,T. Woodbridge,F035,W136,FRA,AUS,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS010,R16,01:09:00,,F,2,E113,"7-6(7),6-1",T. Enqvist,G. Rusedski,,,SWE,GBR,7-6(7),6-1,,,,01:09:00,293,/en/stats/leaderboard?page=serve,,5,57,34,60,79,27,34,65,17,26,50,1,2,10,242,/en/stats/leaderboard?page=serve,1,11,56,35,62,69,24,35,41,11,27,57,4,7,9,73,44,60,44,27,62,58,71,122,56,35,62,27,16,60,42,51,122,A,7,4,3,,,,,,T. Enqvist,G. Rusedski,E113,R237,SWE,GBR,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS011,R16,01:07:00,,F,2,W035,"6-3,6-2",M. Woodforde,F. Fetterlein,,,AUS,DEN,6-3,6-2,,,,01:07:00,285,/en/stats/leaderboard?page=serve,,6,55,26,47,81,21,26,57,12,21,50,1,2,8,212,/en/stats/leaderboard?page=serve,1,1,80,53,66,57,30,53,31,4,13,50,5,10,9,70,33,47,48,32,66,58,65,113,52,34,66,30,14,47,42,48,113,A,,,1,,,,,,M. Woodforde,F. Fetterlein,W035,F206,AUS,DEN,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS012,R16,00:57:00,,F,2,K214,"7-5,6-0",R. Krajicek,D. Prinosil,,,NED,GER,7-5,6-0,,,,00:57:00,221,/en/stats/leaderboard?page=serve,,13,59,29,49,100,29,29,50,10,20,0,0,,9,222,/en/stats/leaderboard?page=serve,1,0,57,30,53,63,19,30,48,11,23,33,2,6,9,80,39,49,43,23,53,61,62,102,57,30,53,,0,,,0,,A,,,1,,,,,,R. Krajicek,D. Prinosil,K214,P273,NED,GER,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS013,R16,01:09:00,,F,2,D249,"6-4,6-3",H. Dreekmann,W. Ferreira,,,GER,RSA,6-4,6-3,,,,01:09:00,262,/en/stats/leaderboard?page=serve,,0,64,38,59,79,30,38,43,9,21,71,5,7,10,223,/en/stats/leaderboard?page=serve,2,4,61,35,57,69,24,35,36,8,22,33,2,6,9,66,39,59,44,25,57,55,64,116,56,32,57,34,20,59,45,52,116,A,,,4,,,,,,H. Dreekmann,W. Ferreira,D249,F196,GER,RSA,,
329,1996,Tokyo,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Hard,56,935000,$,MS014,R16,01:10:00,,F,2,R016,"6-2,6-4",R. Reneberg,S. Lareau,,,USA,CAN,6-2,6-4,,,,01:10:00,272,/en/stats/leaderboard?page=serve,,3,47,28,59,82,23,28,55,17,31,80,4,5,9,216,/en/stats/leaderboard?page=serve,4,9,56,35,62,63,22,35,37,10,27,60,6,10,9,68,40,59,48,30,62,58,70,121,52,32,62,32,19,59,42,51,121,A,,,3,,,,,,R. Reneberg,S. Lareau,R016,L226,USA,CAN,,
