event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS019,R32,01:54:00,,F,3,B028,"6-2,6-7(5),6-2",B. Becker,M. Goellner,,,GER,GER,6-2,6-7(5),6-2,,,01:54:00,5,7,269,/en/stats/leaderboard?page=serve,5,29,57,54,95,87,47,54,51,21,41,0,14,257,/en/stats/leaderboard?page=serve,6,10,49,42,85,86,36,42,47,20,43,33,2,6,14,72,68,95,34,29,85,54,97,180,66,56,85,28,27,95,46,83,180,A,,,,,,,B. Becker,M. Goellner,B028,G252,GER,GER,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS020,R32,01:50:00,,F,3,K214,"5-7,6-4,6-2",R. Krajicek,L. Paes,,,NED,IND,5-7,6-4,6-2,,,01:50:00,,,278,/en/stats/leaderboard?page=serve,3,14,59,52,88,81,42,52,47,17,36,2,15,232,/en/stats/leaderboard?page=serve,5,2,60,59,99,61,36,59,48,19,40,44,4,9,15,67,59,88,44,44,99,55,103,187,56,55,99,33,29,88,45,84,187,A,40,5,,,,,R. Krajicek,L. Paes,K214,P269,NED,IND,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS021,R32,02:08:00,,F,3,S015,"6-4,6-7(2),6-2",J. Sanchez,L. Jonsson,,,ESP,SWE,6-4,6-7(2),6-2,,,02:08:00,2,7,251,/en/stats/leaderboard?page=serve,4,8,59,56,95,64,36,56,51,20,39,3,15,210,/en/stats/leaderboard?page=serve,3,1,51,58,113,64,37,58,44,24,55,53,8,15,15,59,56,95,46,52,113,52,108,208,54,61,113,41,39,95,48,100,208,A,43,7,,,,,J. Sanchez,L. Jonsson,S015,J084,ESP,SWE,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS022,R32,01:34:00,,F,2,D170,"6-4,7-6(8)",H. Davids,R. Furlan,,,NED,ITA,6-4,7-6(8),,,,01:34:00,8,6,285,/en/stats/leaderboard?page=serve,1,4,59,44,74,86,38,44,47,14,30,4,11,258,/en/stats/leaderboard?page=serve,5,3,49,36,74,83,30,36,47,18,38,50,2,4,11,70,52,74,35,26,74,53,78,148,65,48,74,30,22,74,47,70,148,A,80,5,,,,,H. Davids,R. Furlan,D170,F192,NED,ITA,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS023,R32,01:18:00,,F,3,N254,"2-6,6-0,7-5",J. Novak,C. Moya,,,CZE,ESP,2-6,6-0,7-5,,,01:18:00,,,269,/en/stats/leaderboard?page=serve,3,2,60,44,73,75,33,44,59,17,29,3,13,217,/en/stats/leaderboard?page=serve,3,1,56,40,72,68,27,40,34,11,32,38,3,8,13,68,50,73,47,34,72,58,84,145,53,38,72,32,23,73,42,61,145,A,50,6,,,,,J. Novak,C. Moya,N254,M605,CZE,ESP,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS024,R32,01:07:00,,F,2,C378,"6-2,6-4",A. Costa,D. Prinosil,,,ESP,GER,6-2,6-4,,,,01:07:00,,,288,/en/stats/leaderboard?page=serve,3,2,59,32,54,78,25,32,64,14,22,0,9,231,/en/stats/leaderboard?page=serve,3,9,42,27,65,78,21,27,39,15,38,50,3,6,9,72,39,54,45,29,65,57,68,119,55,36,65,28,15,54,43,51,119,A,,,,,,,A. Costa,D. Prinosil,C378,P273,ESP,GER,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS025,R32,01:19:00,,F,2,C243,"6-3,6-3",J. Courier,A. Medvedev,,,USA,UKR,6-3,6-3,,,,01:19:00,,,266,/en/stats/leaderboard?page=serve,3,1,56,32,57,88,28,32,36,9,25,5,9,207,/en/stats/leaderboard?page=serve,3,1,54,31,57,65,20,31,35,9,26,20,1,5,9,65,37,57,49,28,57,57,65,114,51,29,57,35,20,57,43,49,114,A,83,6,,,,,J. Courier,A. Medvedev,C243,M475,USA,UKR,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS026,R32,01:44:00,,F,2,C023,"7-6(7),7-6(8)",P. Cash,C. Costa,,,AUS,ESP,7-6(7),7-6(8),,,,01:44:00,8,6,298,/en/stats/leaderboard?page=serve,1,7,60,44,73,82,36,44,59,17,29,0,12,274,/en/stats/leaderboard?page=serve,3,2,62,54,87,70,38,54,52,17,33,67,2,3,12,73,53,73,37,32,87,53,85,160,63,55,87,27,20,73,47,75,160,A,0,1,7,4,,,P. Cash,C. Costa,C023,C179,AUS,ESP,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS027,R32,01:38:00,,F,2,F196,"6-3,7-6(10)",W. Ferreira,R. Carretero,,,RSA,ESP,6-3,7-6(10),,,,01:38:00,10,8,228,/en/stats/leaderboard?page=serve,4,3,35,25,71,76,19,25,48,22,46,2,10,193,/en/stats/leaderboard?page=serve,12,1,50,45,90,58,26,45,42,19,45,55,6,11,11,58,41,71,50,45,90,53,86,161,50,45,90,42,30,71,47,75,161,A,40,5,,,,,W. Ferreira,R. Carretero,F196,C383,RSA,ESP,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS028,R32,02:01:00,,F,3,R219,"6-4,2-6,6-3",C. Ruud,F. Mantilla,,,NOR,ESP,6-4,2-6,6-3,,,02:01:00,,,263,/en/stats/leaderboard?page=serve,2,6,42,36,85,78,28,36,55,27,49,5,13,261,/en/stats/leaderboard?page=serve,2,6,61,62,101,69,43,62,49,19,39,67,6,9,14,65,55,85,39,39,101,51,94,186,61,62,101,35,30,85,49,92,186,A,71,7,,,,,C. Ruud,F. Mantilla,R219,M535,NOR,ESP,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS029,R32,01:17:00,,F,2,G247,"6-4,6-3",H. Gumy,J. Sekulov,,,ARG,AUS,6-4,6-3,,,,01:17:00,,,256,/en/stats/leaderboard?page=serve,3,4,54,29,54,86,25,29,60,15,25,0,9,248,/en/stats/leaderboard?page=serve,,0,58,32,55,63,20,32,57,13,23,0,0,3,10,74,40,54,40,22,55,57,62,109,60,33,55,26,14,54,43,47,109,A,,,,,,False,H. Gumy,J. Sekulov,G247,S626,ARG,AUS,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS030,R32,01:32:00,,F,2,S367,"7-6(7),6-4",M. Sinner,T. Henman,,,GER,GBR,7-6(7),6-4,,,,01:32:00,,,269,/en/stats/leaderboard?page=serve,5,2,53,45,85,69,31,45,60,24,40,8,11,266,/en/stats/leaderboard?page=serve,6,11,40,26,65,81,21,26,59,23,39,33,1,3,11,65,55,85,32,21,65,51,76,150,68,44,65,35,30,85,49,74,150,A,89,9,7,5,,,M. Sinner,T. Henman,S367,H336,GER,GBR,,
495,1997,Dubai,GP,1997-02-10T00:00:00,1997-02-16T00:00:00,Hard,32,1014250,$,MS031,R32,01:23:00,,F,2,M099,"6-4,6-3",T. Muster,T. Nydahl,,,AUT,SWE,6-4,6-3,,,,01:23:00,,,275,/en/stats/leaderboard?page=serve,,4,53,28,53,82,23,28,48,12,25,1,9,221,/en/stats/leaderboard?page=serve,2,4,57,36,63,58,21,36,44,12,27,33,2,6,10,66,35,53,48,30,63,56,65,116,52,33,63,34,18,53,44,51,116,A,50,2,,,False,,T. Muster,T. Nydahl,M099,N099,AUT,SWE,,
