event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS011,R16,01:52:00,,F,3,P273,"6-7(4),6-2,6-3",D. Prinosil,M. Philippoussis,,,GER,AUS,6-7(4),6-2,6-3,,,01:52:00,292,/en/stats/leaderboard?page=serve,2,15,44,41,94,90,37,41,53,28,53,75,3,4,14,241,/en/stats/leaderboard?page=serve,8,13,53,49,93,78,38,49,39,17,44,44,4,9,15,69,65,94,41,38,93,55,103,187,59,55,93,31,29,94,45,84,187,A,,,,,,,4,7,D. Prinosil,M. Philippoussis,P273,P338,GER,AUS,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS012,R16,01:19:00,,F,2,K237,"7-6(7),6-2",K. Kucera,A. Berasategui,,,SVK,ESP,7-6(7),6-2,,,,01:19:00,257,/en/stats/leaderboard?page=serve,8,12,58,47,81,83,39,47,32,11,34,75,6,8,10,224,/en/stats/leaderboard?page=serve,4,3,69,51,74,61,31,51,35,8,23,20,1,5,10,62,50,81,47,35,74,55,85,155,53,39,74,38,31,81,45,70,155,A,,,,,,,7,4,K. Kucera,A. Berasategui,K237,B428,SVK,ESP,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS013,R16,01:10:00,,F,2,K316,"6-3,6-4",N. Kiefer,M. Martelli,,,GER,ITA,6-3,6-4,,,,01:10:00,283,/en/stats/leaderboard?page=serve,2,9,42,24,57,96,23,24,48,16,33,80,4,5,10,227,/en/stats/leaderboard?page=serve,3,6,45,26,58,69,18,26,44,14,32,50,3,6,9,68,39,57,45,26,58,57,65,115,55,32,58,32,18,57,43,50,115,A,,,,,,,,,N. Kiefer,M. Martelli,K316,M543,GER,ITA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS014,R16,02:35:00,,F,3,B053,"3-6,7-6(7),6-4",A. Boetsch,M. Rosset,,,FRA,SUI,3-6,7-6(7),6-4,,,02:35:00,263,/en/stats/leaderboard?page=serve,3,2,59,60,102,75,45,60,50,21,42,80,12,15,15,254,/en/stats/leaderboard?page=serve,10,12,54,61,112,82,50,61,35,18,51,67,6,9,16,65,66,102,39,44,112,51,110,214,61,68,112,35,36,102,49,104,214,A,7,1,,,,,,,A. Boetsch,M. Rosset,B053,R214,FRA,SUI,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS015,R16,01:01:00,,F,2,B350,"6-4,6-0",S. Bruguera,J. Sanchez,,,ESP,ESP,6-4,6-0,,,,01:01:00,273,/en/stats/leaderboard?page=serve,,3,56,31,55,81,25,31,58,14,24,,0,,8,208,/en/stats/leaderboard?page=serve,2,5,64,34,53,65,22,34,26,5,19,64,7,11,8,71,39,55,49,26,53,60,65,108,51,27,53,29,16,55,40,43,108,A,,,,False,,,,,S. Bruguera,J. Sanchez,B350,S015,ESP,ESP,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS016,R32,01:42:00,,F,3,I034,"7-6(7),6-7(2),6-2",G. Ivanisevic,A. Olhovskiy,,,CRO,RUS,7-6(7),6-7(2),6-2,,,01:42:00,284,/en/stats/leaderboard?page=serve,13,22,52,58,111,83,48,58,47,25,53,80,4,5,16,278,/en/stats/leaderboard?page=serve,3,17,48,45,94,80,36,45,55,27,49,25,1,4,16,66,73,111,33,31,94,51,104,205,67,63,94,34,38,111,49,101,205,A,2,7,,,,,7,2,G. Ivanisevic,A. Olhovskiy,I034,O009,CRO,RUS,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS017,R32,01:53:00,,F,3,P226,"4-6,6-4,6-1",C. Pioline,O. Camporese,,,FRA,ITA,4-6,6-4,6-1,,,01:53:00,300,/en/stats/leaderboard?page=serve,3,9,57,44,77,84,37,44,61,20,33,67,2,3,14,255,/en/stats/leaderboard?page=serve,1,9,42,36,86,83,30,36,46,23,50,40,2,5,13,74,57,77,38,33,86,55,90,163,62,53,86,26,20,77,45,73,163,A,,,,,,,,,C. Pioline,O. Camporese,P226,C009,FRA,ITA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS018,R32,01:20:00,,F,2,V141,"6-3,7-6(8)",D. Vacek,F. Wibier,,,CZE,NED,6-3,7-6(8),,,,01:20:00,282,/en/stats/leaderboard?page=serve,4,14,54,34,63,82,28,34,55,16,29,33,1,3,11,236,/en/stats/leaderboard?page=serve,9,11,58,42,72,69,29,42,37,11,30,40,2,5,10,70,44,63,44,32,72,56,76,135,56,40,72,30,19,63,44,59,135,A,8,6,,,,,,,D. Vacek,F. Wibier,V141,W171,CZE,NED,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS019,R32,01:08:00,,F,2,U032,"7-5,6-0",B. Ulihrach,A. Corretja,,,CZE,ESP,7-5,6-0,,,,01:08:00,305,/en/stats/leaderboard?page=serve,,3,52,22,42,77,17,22,85,17,20,0,0,1,9,190,/en/stats/leaderboard?page=serve,2,3,52,32,62,66,21,32,27,8,30,44,4,9,9,81,34,42,53,33,62,64,67,104,47,29,62,19,8,42,36,37,104,A,,,,False,,,,,B. Ulihrach,A. Corretja,U032,C344,CZE,ESP,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS020,R32,00:44:00,,F,2,H336,"6-1,6-2",T. Henman,A. Voinea,,,GBR,ROU,6-1,6-2,,,,00:44:00,229,/en/stats/leaderboard?page=serve,1,13,47,18,38,100,18,18,70,14,20,0,0,,8,192,/en/stats/leaderboard?page=serve,2,4,57,24,42,58,14,24,33,6,18,56,5,9,7,84,32,38,52,22,42,68,54,80,48,20,42,,0,,,0,,A,,,,,,,,,T. Henman,A. Voinea,H336,V166,GBR,ROU,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS021,R32,01:02:00,,F,2,K148,"6-3,6-3",P. Korda,A. Medvedev,,,CZE,UKR,6-3,6-3,,,,01:02:00,270,/en/stats/leaderboard?page=serve,5,3,43,22,51,86,19,22,66,19,29,,0,,9,237,/en/stats/leaderboard?page=serve,2,1,54,29,54,66,19,29,52,13,25,57,4,7,9,75,38,51,41,22,54,57,60,105,59,32,54,25,13,51,43,45,105,A,,,,,,,,,P. Korda,A. Medvedev,K148,M475,CZE,UKR,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS022,R32,00:52:00,,F,2,P338,"6-1,6-3",M. Philippoussis,D. Musa,,,AUS,ITA,6-1,6-3,,,,00:52:00,227,/en/stats/leaderboard?page=serve,2,8,55,21,38,95,20,21,71,12,17,0,0,,8,215,/en/stats/leaderboard?page=serve,,2,69,37,54,59,22,37,35,6,17,50,4,8,8,84,32,38,48,26,54,63,58,92,52,28,54,16,6,38,37,34,92,A,,,False,,,,,,M. Philippoussis,D. Musa,P338,M510,AUS,ITA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS023,R32,01:48:00,,F,3,P273,"5-7,6-4,6-2",D. Prinosil,M. Stich,,,GER,GER,5-7,6-4,6-2,,,01:48:00,251,/en/stats/leaderboard?page=serve,7,4,47,48,102,77,37,48,50,27,54,67,6,9,15,242,/en/stats/leaderboard?page=serve,11,14,52,44,85,80,35,44,41,17,41,64,9,14,15,63,64,102,39,33,85,52,97,187,61,52,85,37,38,102,48,90,187,A,,,,,,,,,D. Prinosil,M. Stich,P273,S351,GER,GER,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS024,R32,00:58:00,,F,2,B428,"6-3,6-4",A. Berasategui,A. Gaudenzi,,,ESP,ITA,6-3,6-4,,,,00:58:00,298,/en/stats/leaderboard?page=serve,2,3,57,25,44,84,21,25,68,13,19,50,1,2,9,226,/en/stats/leaderboard?page=serve,3,4,54,30,56,80,24,30,31,8,26,43,3,7,10,77,34,44,43,24,56,58,58,100,57,32,56,23,10,44,42,42,100,A,,,,,,,,,A. Berasategui,A. Gaudenzi,B428,G254,ESP,ITA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS025,R32,01:10:00,,F,2,K237,"6-4,6-2",K. Kucera,C. Caratti,,,SVK,ITA,6-4,6-2,,,,01:10:00,251,/en/stats/leaderboard?page=serve,4,2,49,27,55,70,19,27,57,16,28,0,0,2,9,196,/en/stats/leaderboard?page=serve,1,2,57,36,63,61,22,36,33,9,27,44,4,9,9,64,35,55,51,32,63,57,67,118,49,31,63,36,20,55,43,51,118,A,,,,,,,,,K. Kucera,C. Caratti,K237,C270,SVK,ITA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS026,R32,01:33:00,,F,3,M543,"2-6,6-4,6-4",M. Martelli,M. Goellner,,,ITA,GER,2-6,6-4,6-4,,,01:33:00,265,/en/stats/leaderboard?page=serve,8,9,44,38,87,84,32,38,51,25,49,80,8,10,14,304,/en/stats/leaderboard?page=serve,3,19,52,37,71,89,33,37,62,21,34,50,2,4,14,66,57,87,24,17,71,47,74,158,76,54,71,34,30,87,53,84,158,A,,,,,,,,,M. Martelli,M. Goellner,M543,G252,ITA,GER,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS027,R32,00:58:00,,F,2,K316,"6-1,6-4",N. Kiefer,G. Forget,,,GER,FRA,6-1,6-4,,,,00:58:00,200,/en/stats/leaderboard?page=serve,2,10,47,25,53,84,21,25,61,17,28,0,0,,9,230,/en/stats/leaderboard?page=serve,1,3,53,26,49,65,17,26,48,11,23,25,1,4,8,72,38,53,43,21,49,58,59,102,57,28,49,28,15,53,42,43,102,A,,,,,,,,,N. Kiefer,G. Forget,K316,F035,GER,FRA,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS028,R32,01:00:00,,F,2,R214,"6-4,6-2",M. Rosset,F. Clavet,,,SUI,ESP,6-4,6-2,,,,01:00:00,297,/en/stats/leaderboard?page=serve,4,8,79,37,47,76,28,37,50,5,10,0,0,1,9,225,/en/stats/leaderboard?page=serve,3,2,62,32,52,59,19,32,50,10,20,43,3,7,9,70,33,47,44,23,52,57,56,99,56,29,52,30,14,47,43,43,99,A,,,,,,,,,M. Rosset,F. Clavet,R214,C252,SUI,ESP,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS029,R32,00:56:00,,F,2,B053,"6-2,6-2",A. Boetsch,K. Alami,,,FRA,MAR,6-2,6-2,,,,00:56:00,239,/en/stats/leaderboard?page=serve,5,2,46,23,50,87,20,23,59,16,27,,0,,8,213,/en/stats/leaderboard?page=serve,3,3,62,31,50,48,15,31,53,10,19,43,3,7,8,72,36,50,50,25,50,61,61,100,50,25,50,28,14,50,39,39,100,A,,,,,,,,,A. Boetsch,K. Alami,B053,A203,FRA,MAR,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS030,R32,01:35:00,,F,3,S015,"4-6,6-3,6-2",J. Sanchez,C. Costa,,,ESP,ESP,4-6,6-3,6-2,,,01:35:00,292,/en/stats/leaderboard?page=serve,5,1,67,56,84,73,41,56,64,18,28,83,5,6,14,252,/en/stats/leaderboard?page=serve,,4,44,34,78,71,24,34,57,25,44,50,3,6,13,70,59,84,37,29,78,54,88,162,63,49,78,30,25,84,46,74,162,A,,,False,,,,,,J. Sanchez,C. Costa,S015,C179,ESP,ESP,,
408,1997,Milan,GP,1997-02-24T00:00:00,1997-03-02T00:00:00,Carpet,32,689250,$,MS031,R32,02:07:00,,F,3,B350,"4-6,7-6(7),7-6(15)",S. Bruguera,R. Krajicek,,,ESP,NED,4-6,7-6(7),7-6(15),,,02:07:00,283,/en/stats/leaderboard?page=serve,4,11,67,87,130,71,62,87,56,24,43,70,7,10,17,292,/en/stats/leaderboard?page=serve,5,25,62,77,124,86,66,77,36,17,47,33,1,3,17,66,86,130,33,41,124,50,127,254,67,83,124,34,44,130,50,127,254,A,7,3,,,15,13,,,S. Bruguera,R. Krajicek,B350,K214,ESP,NED,,
