event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS011,R16,01:02:00,,F,2,A479,"6-2,5-1",N. Almagro,J. Tipsarevic,,,ESP,SRB,6-2,5-1,,,,01:02:00,A,N. Almagro,J. Tipsarevic,ESP,SRB,,,303,/en/stats/leaderboard?page=serve,1,5,51,22,43,86,19,22,62,13,21,100,1,1,7,186,/en/stats/leaderboard?page=serve,0,2,52,24,46,58,14,24,32,7,22,56,5,9,7,74,32,43,54,25,46,64,57,89,46,21,46,26,11,43,36,32,89,,,,,01:02:00,01:02:00,,,,,A479,T742
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS012,R16,02:42:00,,F,4,CA12,"5-7,6-3,6-2,6-2",J. Chardy,A. Seppi,,,FRA,ITA,5-7,6-3,6-2,6-2,,02:42:00,A,J. Chardy,A. Seppi,FRA,ITA,,,278,/en/stats/leaderboard?page=serve,10,10,65,81,124,77,62,81,47,20,43,82,9,11,19,240,/en/stats/leaderboard?page=serve,3,9,63,75,119,69,52,75,36,16,44,60,9,15,18,66,82,124,43,51,119,55,133,243,57,68,119,34,42,124,45,110,243,,,,,02:42:00,02:42:00,,,,,CA12,SA93
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS013,R16,01:35:00,,F,3,MC10,"6-3,6-1,6-3",A. Murray,G. Simon,,,GBR,FRA,6-3,6-1,6-3,,,01:35:00,A,A. Murray,G. Simon,GBR,FRA,,,292,/en/stats/leaderboard?page=serve,0,12,62,39,63,77,30,39,58,14,24,0,0,2,12,191,/en/stats/leaderboard?page=serve,2,1,67,60,90,57,34,60,30,9,30,47,7,15,13,70,44,63,52,47,90,59,91,153,48,43,90,30,19,63,41,62,153,,,,,01:35:00,01:35:00,,,,,MC10,SD32
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS014,R16,02:20:00,,F,4,T786,"6-4,3-6,6-3,6-2",J. Tsonga,R. Gasquet,,,FRA,FRA,6-4,3-6,6-3,6-2,,02:20:00,A,J. Tsonga,R. Gasquet,FRA,FRA,,,296,/en/stats/leaderboard?page=serve,1,11,55,58,106,81,47,58,56,27,48,86,6,7,18,265,/en/stats/leaderboard?page=serve,4,7,58,59,102,78,46,59,49,21,43,56,5,9,18,70,74,106,34,35,102,52,109,208,66,67,102,30,32,106,48,99,208,,,,,02:20:00,02:20:00,,,,,T786,G628
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS015,R16,01:53:00,,F,3,F324,"6-4,7-6(7),6-2",R. Federer,M. Raonic,,,SUI,CAN,6-4,7-6(7),6-2,,,01:53:00,A,R. Federer,M. Raonic,SUI,CAN,,,342,/en/stats/leaderboard?page=serve,1,14,64,50,78,90,45,50,75,21,28,0,0,0,15,282,/en/stats/leaderboard?page=serve,5,19,66,63,96,70,44,63,52,17,33,57,4,7,15,85,66,78,36,35,96,58,101,174,64,61,96,15,12,78,42,73,174,,,7,4,01:53:00,01:53:00,,,,,F324,R975
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS016,R32,02:22:00,,F,3,D643,"6-4,6-3,7-5",N. Djokovic,R. Stepanek,,,SRB,CZE,6-4,6-3,7-5,,,02:22:00,A,N. Djokovic,R. Stepanek,SRB,CZE,,,323,/en/stats/leaderboard?page=serve,1,7,65,55,85,85,47,55,67,20,30,100,2,2,16,261,/en/stats/leaderboard?page=serve,3,4,69,74,107,69,51,74,42,14,33,73,8,11,15,79,67,85,39,42,107,57,109,192,61,65,107,21,18,85,43,83,192,,,,,02:22:00,02:22:00,,,,,D643,S694
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS017,R32,02:09:00,,F,3,W367,"7-6(8),7-5,6-4",S. Wawrinka,S. Querrey,,,SUI,USA,7-6(8),7-5,6-4,,,02:09:00,A,S. Wawrinka,S. Querrey,SUI,USA,,,296,/en/stats/leaderboard?page=serve,5,13,53,56,105,84,47,56,57,28,49,75,3,4,17,282,/en/stats/leaderboard?page=serve,3,12,68,75,111,79,59,75,44,16,36,63,5,8,17,71,75,105,32,36,111,51,111,216,68,75,111,29,30,105,49,105,216,8,6,,,02:09:00,02:09:00,,,,,W367,Q927
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS018,R32,03:46:00,,F,5,A678,"4-6,6-3,4-6,7-6(7),6-2",K. Anderson,F. Verdasco,,,RSA,ESP,4-6,6-3,4-6,7-6(7),6-2,03:46:00,A,K. Anderson,F. Verdasco,RSA,ESP,,,288,/en/stats/leaderboard?page=serve,4,9,77,113,147,75,85,113,47,16,34,56,5,9,25,270,/en/stats/leaderboard?page=serve,4,5,68,110,162,68,75,110,54,28,52,64,9,14,24,69,101,147,36,59,162,52,160,309,64,103,162,31,46,147,48,149,309,,,,,03:46:00,03:46:00,7,4,,,A678,V306
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS019,R32,01:49:00,,F,3,BA47,"6-3,6-2,6-2",T. Berdych,J. Melzer,,,CZE,AUT,6-3,6-2,6-2,,,01:49:00,A,T. Berdych,J. Melzer,CZE,AUT,,,321,/en/stats/leaderboard?page=serve,1,13,64,49,76,82,40,49,63,17,27,100,1,1,13,222,/en/stats/leaderboard?page=serve,1,3,66,54,82,57,31,54,39,11,28,50,5,10,12,75,57,76,49,40,82,61,97,158,51,42,82,25,19,76,39,61,158,,,,,01:49:00,01:49:00,,,,,BA47,M762
580,2013,Australian Open,GS,2013-01-14T00:00:00,2013-01-27T00:00:00,Hard,128,13803160,A$,MS020,R32,01:57:00,,F,3,F401,"6-4,6-2,6-3",D. Ferrer,M. Baghdatis,,,ESP,CYP,6-4,6-2,6-3,,,01:57:00,A,D. Ferrer,M. Baghdatis,ESP,CYP,,,280,/en/stats/leaderboard?page=serve,1,5,64,54,85,69,37,54,58,18,31,60,3,5,14,218,/en/stats/leaderboard?page=serve,1,4,57,43,76,53,23,43,52,17,33,33,3,9,13,65,55,85,47,36,76,57,91,161,53,40,76,35,30,85,43,70,161,,,,,01:57:00,01:57:00,,,,,F401,B837
