event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS011,R16,01:15:00,,F,2,M535,"7-6(7),6-2",F. Mantilla,G. Blanco,,,ESP,ESP,7-6(7),6-2,,,,01:15:00,203,/en/stats/leaderboard?page=serve,,3,72,43,60,88,38,43,41,7,17,0,10,264,/en/stats/leaderboard?page=serve,1,4,56,37,66,73,27,37,52,15,29,71,5,7,10,75,45,60,36,24,66,55,69,126,64,42,66,25,15,60,45,57,126,A,1,0,,,,7,5,,,,F. Mantilla,G. Blanco,M535,B518,ESP,ESP,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS012,R16,01:17:00,,F,2,K316,"7-5,6-3",N. Kiefer,R. Reneberg,,,GER,USA,7-5,6-3,,,,01:17:00,257,/en/stats/leaderboard?page=serve,,7,46,31,67,84,26,31,44,16,36,3,11,224,/en/stats/leaderboard?page=serve,3,4,55,32,58,66,21,32,42,11,26,33,2,6,10,63,42,67,45,26,58,54,68,125,55,32,58,37,25,67,46,57,125,A,5,60,5,,,,,,,,N. Kiefer,R. Reneberg,K316,R016,GER,USA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS013,R16,01:26:00,,F,2,V161,"6-3,7-6(7)",J. Viloca-Puig,M. Rios,,,ESP,CHI,6-3,7-6(7),,,,01:26:00,268,/en/stats/leaderboard?page=serve,,8,57,47,83,77,36,47,47,17,36,5,11,233,/en/stats/leaderboard?page=serve,7,7,52,34,65,82,28,34,29,9,31,25,1,4,10,64,53,83,43,28,65,55,81,148,57,37,65,36,30,83,45,67,148,A,2,71,7,7,3,,,,,,J. Viloca-Puig,M. Rios,V161,R286,ESP,CHI,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS014,R16,02:06:00,,F,3,B428,"7-6(7),1-6,7-5",A. Berasategui,R. Furlan,,,ESP,ITA,7-6(7),1-6,7-5,,,02:06:00,253,/en/stats/leaderboard?page=serve,,2,68,65,96,62,40,65,61,19,31,9,15,244,/en/stats/leaderboard?page=serve,5,5,51,56,110,79,44,56,39,21,54,71,10,14,16,61,59,96,41,45,110,50,104,206,59,65,110,39,37,96,50,102,206,A,6,64,14,,,7,2,,,,A. Berasategui,R. Furlan,B428,F192,ESP,ITA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS015,R16,00:51:00,,F,2,C344,"6-2,3-2",A. Corretja,C. Pioline,,,ESP,FRA,6-2,3-2,,,,00:51:00,264,/en/stats/leaderboard?page=serve,,2,64,28,44,79,22,28,63,10,16,0,7,241,/en/stats/leaderboard?page=serve,2,3,61,28,46,64,18,28,44,8,18,71,5,7,7,73,32,44,43,20,46,58,52,90,57,26,46,27,12,44,42,38,90,A,1,,,,,,,,,,A. Corretja,C. Pioline,C344,P226,ESP,FRA,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS016,R32,00:59:00,,F,2,R214,"6-4,6-3",M. Rosset,Y. Kafelnikov,,,SUI,RUS,6-4,6-3,,,,00:59:00,276,/en/stats/leaderboard?page=serve,,6,62,32,52,88,28,32,55,11,20,0,9,241,/en/stats/leaderboard?page=serve,6,3,50,29,58,79,23,29,45,13,29,50,3,6,10,75,39,52,38,22,58,55,61,110,62,36,58,25,13,52,45,49,110,A,1,,,,,,,,,,M. Rosset,Y. Kafelnikov,R214,K267,SUI,RUS,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS017,R32,02:20:00,,F,3,H377,"6-7(9),7-6(7),6-4",D. Hrbaty,M. Sinner,,,SVK,GER,6-7(9),7-6(7),6-4,,,02:20:00,275,/en/stats/leaderboard?page=serve,,8,51,60,118,78,47,60,57,33,58,5,17,267,/en/stats/leaderboard?page=serve,7,9,52,66,126,73,48,66,58,35,60,63,5,8,17,68,80,118,34,43,126,50,123,244,66,83,126,32,38,118,50,121,244,A,7,71,7,7,4,9,11,,,,D. Hrbaty,M. Sinner,H377,S367,SVK,GER,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS018,R32,00:48:00,,F,2,V195,"6-2,6-1",F. Vicente,K. Alami,,,ESP,MAR,6-2,6-1,,,,00:48:00,266,/en/stats/leaderboard?page=serve,,2,54,28,52,79,22,28,58,14,24,0,8,186,/en/stats/leaderboard?page=serve,,2,44,20,45,70,14,20,28,7,25,56,5,9,7,69,36,52,53,24,45,62,60,97,47,21,45,31,16,52,38,37,97,A,2,,,,,,,False,,,F. Vicente,K. Alami,V195,A203,ESP,MAR,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS019,R32,01:52:00,,F,3,F196,"3-6,6-4,6-4",W. Ferreira,F. Clavet,,,RSA,ESP,3-6,6-4,6-4,,,01:52:00,230,/en/stats/leaderboard?page=serve,,8,47,44,94,77,34,44,38,19,50,6,14,238,/en/stats/leaderboard?page=serve,3,5,66,64,97,58,37,64,52,17,33,60,9,15,15,56,53,94,44,43,97,50,96,191,56,54,97,44,41,94,50,95,191,A,4,55,11,,,,,,,,W. Ferreira,F. Clavet,F196,C252,RSA,ESP,,
314,1997,Gstaad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,525000,$,MS020,R32,01:05:00,,F,2,B350,"6-3,6-1",S. Bruguera,P. Cash,,,ESP,AUS,6-3,6-1,,,,01:05:00,278,/en/stats/leaderboard?page=serve,,3,61,30,49,77,23,30,63,12,19,0,8,193,/en/stats/leaderboard?page=serve,6,3,40,22,55,73,16,22,33,11,33,33,2,6,8,71,35,49,51,28,55,61,63,104,49,27,55,29,14,49,39,41,104,A,1,,,,,,,,,,S. Bruguera,P. Cash,B350,C023,ESP,AUS,,
