event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS001,F,01:29:00,,F,3,K214,"6-4,6-3,6-3",R. Krajicek,Y. Kafelnikov,,,NED,RUS,6-4,6-3,6-3,,,01:29:00,234,/en/stats/leaderboard?page=serve,1,20,67,48,72,94,45,48,54,13,24,0,0,,14,253,/en/stats/leaderboard?page=serve,5,10,51,42,82,76,32,42,50,20,40,33,2,6,14,81,58,72,37,30,82,57,88,154,63,52,82,19,14,72,43,66,154,A,,,,,,,,R. Krajicek,Y. Kafelnikov,K214,K267,NED,RUS,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS002,SF,01:56:00,,F,3,K214,"6-7(2),6-4,7-6(7)",R. Krajicek,P. Sampras,,,NED,USA,6-7(2),6-4,7-6(7),,,01:56:00,312,/en/stats/leaderboard?page=serve,4,16,55,56,101,91,51,56,60,27,45,,0,,17,320,/en/stats/leaderboard?page=serve,6,17,60,60,100,80,48,60,75,30,40,80,4,5,17,77,78,101,22,22,100,50,100,201,78,78,100,23,23,101,50,101,201,A,2,7,7,5,,,,R. Krajicek,P. Sampras,K214,S402,NED,USA,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS003,SF,01:15:00,,F,2,K267,"6-2,7-5",Y. Kafelnikov,J. Bjorkman,,,RUS,SWE,6-2,7-5,,,,01:15:00,280,/en/stats/leaderboard?page=serve,3,9,55,34,62,79,27,34,50,14,28,50,1,2,10,230,/en/stats/leaderboard?page=serve,2,1,63,42,67,60,25,42,48,12,25,71,10,14,10,66,41,62,45,30,67,55,71,129,55,37,67,34,21,62,45,58,129,A,,,,,,,,Y. Kafelnikov,J. Bjorkman,K267,B446,RUS,SWE,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS004,QF,00:22:00,,F,1,S402,4-1,P. Sampras,J. Gambill,,,USA,USA,4-1,,,,,00:22:00,178,/en/stats/leaderboard?page=serve,1,0,42,5,12,80,4,5,57,4,7,0,0,,3,183,/en/stats/leaderboard?page=serve,1,1,63,12,19,58,7,12,29,2,7,0,0,2,3,67,8,12,53,10,19,58,18,31,47,9,19,33,4,12,42,13,31,A,,,,,,,,P. Sampras,J. Gambill,S402,G352,USA,USA,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS005,QF,01:25:00,,F,2,K214,"7-6(7),7-6(7)",R. Krajicek,G. Ivanisevic,,,NED,CRO,7-6(7),7-6(7),,,,01:25:00,317,/en/stats/leaderboard?page=serve,1,11,63,46,73,83,38,46,70,19,27,50,1,2,12,286,/en/stats/leaderboard?page=serve,6,10,60,51,85,75,38,51,56,19,34,75,3,4,12,78,57,73,33,28,85,54,85,158,67,57,85,22,16,73,46,73,158,A,7,3,,,7,5,,R. Krajicek,G. Ivanisevic,K214,I034,NED,CRO,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS006,QF,01:06:00,,F,2,B446,"6-3,6-2",J. Bjorkman,G. Rusedski,,,SWE,GBR,6-3,6-2,,,,01:06:00,239,/en/stats/leaderboard?page=serve,1,0,53,32,60,78,25,32,54,15,28,,0,,9,228,/en/stats/leaderboard?page=serve,3,6,43,22,51,82,18,22,38,11,29,63,5,8,8,67,40,60,43,22,51,56,62,111,57,29,51,33,20,60,44,49,111,A,,,,,,,,J. Bjorkman,G. Rusedski,B446,R237,SWE,GBR,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS008,R16,01:00:00,,F,2,S402,"6-3,6-3",P. Sampras,B. Ulihrach,,,USA,CZE,6-3,6-3,,,,01:00:00,282,/en/stats/leaderboard?page=serve,7,13,56,32,57,88,28,32,44,11,25,67,2,3,9,209,/en/stats/leaderboard?page=serve,2,1,56,34,61,62,21,34,37,10,27,43,3,7,9,68,39,57,49,30,61,58,69,118,51,31,61,32,18,57,42,49,118,A,,,,,,,,P. Sampras,B. Ulihrach,S402,U032,USA,CZE,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS009,R16,02:14:00,,F,3,G352,"7-6(7),1-6,7-6(7)",J. Gambill,T. Henman,,,USA,GBR,7-6(7),1-6,7-6(7),,,02:14:00,264,/en/stats/leaderboard?page=serve,3,6,54,60,111,70,42,60,57,29,51,63,5,8,15,297,/en/stats/leaderboard?page=serve,8,25,53,55,103,84,46,55,50,24,48,88,7,8,16,64,71,111,32,33,103,49,104,214,68,70,103,36,40,111,51,110,214,A,7,2,7,5,,,,J. Gambill,T. Henman,G352,H336,USA,GBR,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS010,R16,01:34:00,,F,2,I034,"7-6(7),7-6(7)",G. Ivanisevic,B. Becker,,,CRO,GER,7-6(7),7-6(7),,,,01:34:00,288,/en/stats/leaderboard?page=serve,5,17,63,56,89,86,48,56,36,12,33,80,4,5,12,302,/en/stats/leaderboard?page=serve,2,16,55,40,73,75,30,40,67,22,33,75,3,4,12,67,60,89,29,21,73,50,81,162,71,52,73,33,29,89,50,81,162,A,7,5,,,7,5,,G. Ivanisevic,B. Becker,I034,B028,CRO,GER,,
357,1998,ATP Masters 1000 Stuttgart,1000,1998-10-26T00:00:00,1998-11-01T00:00:00,Hard,48,2200000,$,MS011,R16,00:59:00,,F,2,K214,"6-3,6-4",R. Krajicek,A. Agassi,,,NED,USA,6-3,6-4,,,,00:59:00,308,/en/stats/leaderboard?page=serve,1,9,57,29,51,90,26,29,73,16,22,,0,,10,257,/en/stats/leaderboard?page=serve,2,3,60,31,52,71,22,31,48,10,21,60,3,5,9,82,42,51,38,20,52,60,62,103,62,32,52,18,9,51,40,41,103,A,,,,,,,,R. Krajicek,A. Agassi,K214,A092,NED,USA,,
