event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS021,R32,01:00:00,,F,2,W212,"6-4,6-3",C. Woodruff,J. Kroslak,,,USA,SVK,6-4,6-3,,,,01:00:00,289,/en/stats/leaderboard?page=serve,2,11,67,41,61,83,34,41,50,10,20,,0,,10,282,/en/stats/leaderboard?page=serve,,10,76,42,55,67,28,42,54,7,13,67,4,6,9,72,44,61,36,20,55,55,64,116,64,35,55,28,17,61,45,52,116,A,,,2,,,,C. Woodruff,J. Kroslak,W212,K296,USA,SVK,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS022,R32,01:48:00,,F,2,R280,"7-6(7),7-6(10)",L. Roux,N. Pereira,,,FRA,VEN,7-6(7),7-6(10),,,,01:48:00,297,/en/stats/leaderboard?page=serve,2,7,64,58,91,76,44,58,61,20,33,80,4,5,12,290,/en/stats/leaderboard?page=serve,,7,56,46,82,74,34,46,64,23,36,80,4,5,12,70,64,91,30,25,82,51,89,173,70,57,82,30,27,91,49,84,173,A,10,8,2,,7,1,L. Roux,N. Pereira,R280,P218,FRA,VEN,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS023,R32,01:08:00,,F,2,R016,"6-4,6-3",R. Reneberg,M. Ondruska,,,USA,RSA,6-4,6-3,,,,01:08:00,275,/en/stats/leaderboard?page=serve,1,2,48,27,56,74,20,27,62,18,29,50,1,2,10,245,/en/stats/leaderboard?page=serve,False,5,64,29,45,72,21,29,38,6,16,0,0,3,9,68,38,56,40,18,45,55,56,101,60,27,45,32,18,56,45,45,101,A,,,,,,,R. Reneberg,M. Ondruska,R016,O098,USA,RSA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS024,R32,01:38:00,,F,3,C378,"6-3,2-6,6-4",A. Costa,S. Campbell,,,ESP,USA,6-3,2-6,6-4,,,01:38:00,271,/en/stats/leaderboard?page=serve,2,5,60,55,91,69,38,55,61,22,36,63,5,8,14,263,/en/stats/leaderboard?page=serve,,5,66,57,87,65,37,57,53,16,30,75,9,12,13,66,60,91,39,34,87,53,94,178,61,53,87,34,31,91,47,84,178,A,,,2,,,,A. Costa,S. Campbell,C378,C355,ESP,USA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS025,R32,01:13:00,,F,2,C328,"6-3,6-3",K. Carlsen,S. Lareau,,,DEN,CAN,6-3,6-3,,,,01:13:00,271,/en/stats/leaderboard?page=serve,5,3,55,30,55,70,21,30,60,15,25,67,2,3,9,199,/en/stats/leaderboard?page=serve,,5,45,29,65,72,21,29,33,12,36,67,8,12,9,65,36,55,49,32,65,57,68,120,51,33,65,35,19,55,43,52,120,A,,,11,,,,K. Carlsen,S. Lareau,C328,L226,DEN,CAN,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS026,R32,01:59:00,,F,3,A226,"7-6(8),3-6,6-4",H. Arazi,D. Prinosil,,,MAR,GER,7-6(8),3-6,6-4,,,01:59:00,252,/en/stats/leaderboard?page=serve,5,4,59,70,118,71,50,70,42,20,48,77,10,13,16,276,/en/stats/leaderboard?page=serve,,11,51,48,95,77,37,48,55,26,47,60,3,5,15,59,70,118,34,32,95,48,102,213,66,63,95,41,48,118,52,111,213,A,,,4,,8,6,H. Arazi,D. Prinosil,A226,P273,MAR,GER,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS027,R32,01:25:00,,F,2,G288,"6-4,6-4",N. Godwin,J. Courier,,,RSA,USA,6-4,6-4,,,,01:25:00,253,/en/stats/leaderboard?page=serve,2,6,49,34,70,76,26,34,64,23,36,,0,,10,261,/en/stats/leaderboard?page=serve,,2,51,32,63,78,25,32,52,16,31,50,2,4,10,70,49,70,35,22,63,53,71,133,65,41,63,30,21,70,47,62,133,A,,,2,,,,N. Godwin,J. Courier,G288,C243,RSA,USA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS028,R32,01:35:00,,F,3,H223,"3-6,6-4,6-1",P. Haarhuis,M. Joyce,,,NED,USA,3-6,6-4,6-1,,,01:35:00,263,/en/stats/leaderboard?page=serve,3,12,53,43,81,72,31,43,53,20,38,0,0,3,13,211,/en/stats/leaderboard?page=serve,,3,49,40,82,65,26,40,40,17,42,38,3,8,13,63,51,81,48,39,82,55,90,163,52,43,82,37,30,81,45,73,163,A,,,7,,,,P. Haarhuis,M. Joyce,H223,J100,NED,USA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS029,R32,01:17:00,,F,2,H256,"6-3,6-4",M. Hadad,W. McGuire,,,COL,USA,6-3,6-4,,,,01:17:00,190,/en/stats/leaderboard?page=serve,3,1,66,42,64,81,34,42,45,10,22,0,0,,10,261,/en/stats/leaderboard?page=serve,,4,60,30,50,63,19,30,60,12,20,50,2,4,9,69,44,64,38,19,50,55,63,114,62,31,50,31,20,64,45,51,114,A,,,3,,,,M. Hadad,W. McGuire,H256,M564,COL,USA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS030,R32,00:59:00,,F,2,S544,"6-4,6-1",V. Spadea,B. Shelton,,,USA,USA,6-4,6-1,,,,00:59:00,262,/en/stats/leaderboard?page=serve,,5,69,36,52,81,29,36,63,10,16,,0,,9,229,/en/stats/leaderboard?page=serve,,4,58,26,45,69,18,26,42,8,19,0,0,3,8,75,39,52,42,19,45,60,58,97,58,26,45,25,13,52,40,39,97,A,,,6,False,,,V. Spadea,B. Shelton,S544,S380,USA,USA,,
418,1996,Washington,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Hard,56,550000,$,MS031,R32,01:03:00,,F,2,C274,"6-1,6-3",M. Chang,G. Grant,,,USA,USA,6-1,6-3,,,,01:03:00,209,/en/stats/leaderboard?page=serve,,9,44,19,43,89,17,19,67,16,24,0,0,,8,216,/en/stats/leaderboard?page=serve,,1,68,38,56,50,19,38,50,9,18,60,6,10,8,77,33,43,50,28,56,62,61,99,50,28,56,23,10,43,38,38,99,A,,,3,False,,,M. Chang,G. Grant,C274,G300,USA,USA,,
