event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS034,R64,01:27:00,,F,3,B747,"3-6,6-3,6-2",J. Benneteau,M. Llodra,,,FRA,FRA,3-6,6-3,6-2,,,01:27:00,A,J. Benneteau,M. Llodra,FRA,FRA,,,,,,,289,/en/stats/leaderboard?page=serve,5,11,73,52,71,73,38,52,53,10,19,0,0,2,13,261,/en/stats/leaderboard?page=serve,3,9,79,61,77,69,42,61,38,6,16,50,4,8,13,68,48,71,38,29,77,52,77,148,62,48,77,32,23,71,48,71,148,,,B747,L428
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS035,R64,01:11:00,,F,2,W367,"6-3,6-3",S. Wawrinka,N. Almagro,,,SUI,ESP,6-3,6-3,,,,01:11:00,A,S. Wawrinka,N. Almagro,SUI,ESP,,,,,,,309,/en/stats/leaderboard?page=serve,2,8,54,28,52,86,24,28,63,15,24,100,3,3,9,235,/en/stats/leaderboard?page=serve,2,3,54,29,54,66,19,29,48,12,25,40,2,5,9,75,39,52,43,23,54,58,62,106,57,31,54,25,13,52,42,44,106,,,W367,A479
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS036,R64,01:46:00,,F,2,B837,"6-4,7-5",M. Baghdatis,M. Cilic,,,CYP,CRO,6-4,7-5,,,,01:46:00,A,M. Baghdatis,M. Cilic,CYP,CRO,,,,,,,274,/en/stats/leaderboard?page=serve,3,5,39,28,72,86,24,28,57,25,44,86,6,7,11,257,/en/stats/leaderboard?page=serve,1,4,56,35,63,69,24,35,57,16,28,25,1,4,11,68,49,72,37,23,63,53,72,135,63,40,63,32,23,72,47,63,135,,,B837,C977
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS037,R64,01:47:00,,F,2,BD20,"7-6(8),7-5",T. Bellucci,B. Becker,,,BRA,GER,7-6(8),7-5,,,,01:47:00,A,T. Bellucci,B. Becker,BRA,GER,,,8.0,6.0,,,292,/en/stats/leaderboard?page=serve,2,12,54,42,78,79,33,42,58,21,36,75,3,4,12,268,/en/stats/leaderboard?page=serve,3,4,61,51,83,76,39,51,47,15,32,50,2,4,12,69,54,78,35,29,83,52,83,161,65,54,83,31,24,78,48,78,161,,,BD20,B896
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS038,R64,02:26:00,,F,3,M850,"6-7(6),7-6(7),6-3",P. Mathieu,V. Hanescu,,,FRA,ROU,6-7(6),7-6(7),6-3,,,02:26:00,A,P. Mathieu,V. Hanescu,FRA,ROU,,,6.0,8.0,7.0,2.0,307,/en/stats/leaderboard?page=serve,3,4,63,71,112,80,57,71,63,26,41,100,5,5,17,302,/en/stats/leaderboard?page=serve,3,13,67,70,104,73,51,70,59,20,34,75,3,4,16,74,83,112,32,33,104,54,116,216,68,71,104,26,29,112,46,100,216,,,M850,H528
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS041,R64,00:46:00,,F,2,I165,"6-3,6-0",D. Istomin,J. Blake,,,UZB,USA,6-3,6-0,,,,00:46:00,A,D. Istomin,J. Blake,UZB,USA,,,,,,,327,/en/stats/leaderboard?page=serve,1,10,56,22,39,86,19,22,76,13,17,0,0,0,8,176,/en/stats/leaderboard?page=serve,3,1,41,16,39,69,11,16,26,6,23,43,3,7,7,82,32,39,56,22,39,69,54,78,44,17,39,18,7,39,31,24,78,,,I165,B676
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS042,R64,02:17:00,,F,3,K435,"6-7(2),6-3,6-4",P. Kohlschreiber,H. Zeballos,,,GER,ARG,6-7(2),6-3,6-4,,,02:17:00,A,P. Kohlschreiber,H. Zeballos,GER,ARG,,,2.0,7.0,,,304,/en/stats/leaderboard?page=serve,3,14,58,53,92,83,44,53,59,23,39,50,1,2,16,274,/en/stats/leaderboard?page=serve,2,10,58,61,106,70,43,61,58,26,45,73,8,11,15,73,67,92,35,37,106,53,104,198,65,69,106,27,25,92,47,94,198,,,K435,Z184
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS043,R64,01:01:00,,F,2,F444,"6-3,6-4",A. Falla,G. Monfils,,,COL,FRA,6-3,6-4,,,,01:01:00,A,A. Falla,G. Monfils,COL,FRA,,,,,,,289,/en/stats/leaderboard?page=serve,1,3,68,41,60,76,31,41,53,10,19,75,3,4,10,248,/en/stats/leaderboard?page=serve,3,2,66,33,50,58,19,33,59,10,17,25,1,4,9,68,41,60,42,21,50,56,62,110,58,29,50,32,19,60,44,48,110,,,F444,MC65
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS044,R64,01:56:00,,F,3,F401,"3-6,6-3,6-4",D. Ferrer,A. Dolgopolov,,,ESP,UKR,3-6,6-3,6-4,,,01:56:00,A,D. Ferrer,A. Dolgopolov,ESP,UKR,,,,,,,280,/en/stats/leaderboard?page=serve,4,3,66,55,83,73,40,55,57,16,28,60,3,5,14,253,/en/stats/leaderboard?page=serve,3,6,56,58,103,67,39,58,49,22,45,70,7,10,14,67,56,83,41,42,103,53,98,186,59,61,103,33,27,83,47,88,186,,,F401,D801
422,2010,ATP Masters 1000 Cincinnati,1000,2010-08-15T00:00:00,2010-08-22T00:00:00,Hard,56,2430000,$,MS045,R64,00:51:00,,F,2,Q927,"6-1,6-4",S. Querrey,P. Petzschner,,,USA,GER,6-1,6-4,,,,00:51:00,A,S. Querrey,P. Petzschner,USA,GER,,,,,,,291,/en/stats/leaderboard?page=serve,3,7,67,32,48,88,28,32,44,7,16,67,2,3,9,201,/en/stats/leaderboard?page=serve,2,2,52,22,42,59,13,22,40,8,20,20,1,5,8,73,35,48,50,21,42,62,56,90,50,21,42,27,13,48,38,34,90,,,Q927,P624
