event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS012,R16,01:29:00,,F,2,K310,"7-5,6-3",S. Koubek,N. Lapentti,,,AUT,ECU,7-5,6-3,,,,01:29:00,,,254,/en/stats/leaderboard?page=serve,3,3,71,51,72,59,30,51,52,11,21,50,3,6,11,218,/en/stats/leaderboard?page=serve,2,2,70,51,73,53,27,51,45,10,22,38,3,8,10,57,41,72,49,36,73,53,77,145,51,37,73,43,31,72,47,68,145,A,,,,,,,S. Koubek,N. Lapentti,K310,L290,AUT,ECU,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS013,R16,01:57:00,,F,2,B518,"7-6(7),7-5",G. Blanco,A. Corretja,,,ESP,ESP,7-6(7),7-5,,,,01:57:00,7,4,249,/en/stats/leaderboard?page=serve,5,1,51,42,82,64,27,42,63,25,40,57,4,7,12,240,/en/stats/leaderboard?page=serve,4,5,62,50,81,72,36,50,39,12,31,67,8,12,12,63,52,82,41,33,81,52,85,163,59,48,81,37,30,82,48,78,163,A,,,,,,,G. Blanco,A. Corretja,B518,C344,ESP,ESP,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS014,R16,01:03:00,,F,2,D228,"6-4,6-2",F. Dewulf,J. Viloca-Puig,,,BEL,ESP,6-4,6-2,,,,01:03:00,,,236,/en/stats/leaderboard?page=serve,3,3,58,36,62,72,26,36,62,16,26,,0,,9,249,/en/stats/leaderboard?page=serve,1,2,60,34,57,65,22,34,57,13,23,40,2,5,9,68,42,62,39,22,57,54,64,119,61,35,57,32,20,62,46,55,119,A,,,,,,,F. Dewulf,J. Viloca-Puig,D228,V161,BEL,ESP,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS015,R16,02:02:00,,F,3,K267,"7-6(7),6-7(2),6-1",Y. Kafelnikov,R. Furlan,,,RUS,ITA,7-6(7),6-7(2),6-1,,,02:02:00,7,5,246,/en/stats/leaderboard?page=serve,6,5,48,50,104,70,35,50,54,29,54,50,4,8,16,227,/en/stats/leaderboard?page=serve,4,9,43,41,95,80,33,41,39,21,54,33,3,9,15,62,64,104,43,41,95,53,105,199,57,54,95,38,40,104,47,94,199,A,,,,2,7,,Y. Kafelnikov,R. Furlan,K267,F192,RUS,ITA,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS016,R32,01:21:00,,F,2,M099,"6-3,6-1",T. Muster,C. Costa,,,AUT,ESP,6-3,6-1,,,,01:21:00,,,267,/en/stats/leaderboard?page=serve,1,0,60,32,53,69,22,32,52,11,21,67,2,3,8,173,/en/stats/leaderboard?page=serve,2,1,50,23,46,48,11,23,39,9,23,38,3,8,8,62,33,53,57,26,46,60,59,99,43,20,46,38,20,53,40,40,99,A,,,,,,,T. Muster,C. Costa,M099,C179,AUT,ESP,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS017,R32,01:12:00,,F,2,D198,"6-3,6-2",S. Dosedel,T. Champion,,,CZE,FRA,6-3,6-2,,,,01:12:00,,,281,/en/stats/leaderboard?page=serve,,2,58,32,55,72,23,32,61,14,23,50,1,2,9,214,/en/stats/leaderboard?page=serve,3,2,58,29,50,59,17,29,48,10,21,33,2,6,8,67,37,55,46,23,50,57,60,105,54,27,50,33,18,55,43,45,105,A,,,,,,False,S. Dosedel,T. Champion,D198,C028,CZE,FRA,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS018,R32,01:02:00,,F,2,F165,"6-3,6-2",M. Filippini,A. Volkov,,,URU,RUS,6-3,6-2,,,,01:02:00,,,271,/en/stats/leaderboard?page=serve,2,1,70,35,50,80,28,35,60,9,15,,0,,8,194,/en/stats/leaderboard?page=serve,6,1,47,26,55,69,18,26,28,8,29,50,4,8,9,74,37,50,53,29,55,63,66,105,47,26,55,26,13,50,37,39,105,A,,,,,,,M. Filippini,A. Volkov,F165,V037,URU,RUS,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS019,R32,01:18:00,,F,2,A226,"6-4,7-6(7)",H. Arazi,G. Mandl,,,MAR,AUT,6-4,7-6(7),,,,01:18:00,,,281,/en/stats/leaderboard?page=serve,5,4,45,30,67,90,27,30,57,21,37,0,0,1,11,258,/en/stats/leaderboard?page=serve,7,6,49,36,74,92,33,36,37,14,38,50,2,4,11,72,48,67,36,27,74,53,75,141,64,47,74,28,19,67,47,66,141,A,,,,7,5,,H. Arazi,G. Mandl,A226,M435,MAR,AUT,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS020,R32,01:07:00,,F,2,G247,"6-1,6-3",H. Gumy,G. Kuerten,,,ARG,BRA,6-1,6-3,,,,01:07:00,,,270,/en/stats/leaderboard?page=serve,3,2,50,24,48,67,16,24,67,16,24,75,3,4,8,181,/en/stats/leaderboard?page=serve,2,2,44,22,50,68,15,22,32,9,28,17,1,6,8,67,32,48,52,26,50,59,58,98,48,24,50,33,16,48,41,40,98,A,,,,,,,H. Gumy,G. Kuerten,G247,K293,ARG,BRA,,
319,1997,Kitzbuhel,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,48,500000,$,MS021,R32,00:41:00,,F,2,D249,"6-0,6-1",H. Dreekmann,J. Munoz-Hernandez,,,GER,ESP,6-0,6-1,,,,00:41:00,,,193,/en/stats/leaderboard?page=serve,3,4,53,18,34,83,15,18,56,9,16,0,0,,6,145,/en/stats/leaderboard?page=serve,,1,62,28,45,39,11,28,29,5,17,33,3,9,7,71,24,34,64,29,45,67,53,79,36,16,45,29,10,34,33,26,79,A,,,False,,,,H. Dreekmann,J. Munoz-Hernandez,D249,M478,GER,ESP,,
