event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS011,R16,01:51:00,,F,2,S523,"7-5,7-6(7)",G. Solves,J. Gimelstob,,,FRA,USA,7-5,7-6(7),,,,01:51:00,7,5,281,/en/stats/leaderboard?page=serve,1,5,73,64,88,75,48,64,38,9,24,89,8,9,12,262,/en/stats/leaderboard?page=serve,4,6,60,50,83,78,39,50,39,13,33,33,1,3,12,65,57,88,37,31,83,51,88,171,63,52,83,35,31,88,49,83,171,A,,,,,,,G. Solves,J. Gimelstob,S523,G354,FRA,USA,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS012,R16,01:13:00,,F,2,P269,"6-3,6-3",L. Paes,T. Nydahl,,,IND,SWE,6-3,6-3,,,,01:13:00,,,274,/en/stats/leaderboard?page=serve,1,7,66,33,50,82,27,33,65,11,17,,0,,9,245,/en/stats/leaderboard?page=serve,1,2,65,40,62,63,25,40,50,11,22,57,4,7,9,76,38,50,42,26,62,57,64,112,58,36,62,24,12,50,43,48,112,A,,,,,,,L. Paes,T. Nydahl,P269,N099,IND,SWE,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS013,R16,00:45:00,,F,2,T136,"6-1,6-2",J. Tarango,L. Jonsson,,,USA,SWE,6-1,6-2,,,,00:45:00,,,214,/en/stats/leaderboard?page=serve,3,4,67,28,42,82,23,28,64,9,14,0,0,,8,203,/en/stats/leaderboard?page=serve,,4,65,24,37,54,13,24,38,5,13,33,2,6,7,76,32,42,51,19,37,65,51,79,49,18,37,24,10,42,35,28,79,A,,,False,,,,J. Tarango,L. Jonsson,T136,J084,USA,SWE,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS014,R16,01:22:00,,F,3,K296,"3-6,6-0,6-3",J. Kroslak,O. Ogorodov,,,SVK,UZB,3-6,6-0,6-3,,,01:22:00,,,291,/en/stats/leaderboard?page=serve,2,3,72,52,72,77,40,52,50,10,20,50,1,2,12,241,/en/stats/leaderboard?page=serve,,1,67,49,73,61,30,49,46,11,24,64,7,11,12,69,50,72,44,32,73,57,82,145,56,41,73,31,22,72,43,63,145,A,,,False,,,,J. Kroslak,O. Ogorodov,K296,O127,SVK,UZB,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS015,R16,01:57:00,,F,3,G319,"4-6,6-3,6-4",J. Golmard,T. Champion,,,FRA,FRA,4-6,6-3,6-4,,,01:57:00,,,315,/en/stats/leaderboard?page=serve,1,9,71,59,83,76,45,59,67,16,24,67,2,3,15,283,/en/stats/leaderboard?page=serve,1,8,77,64,83,77,49,64,37,7,19,67,4,6,14,73,61,83,33,27,83,53,88,166,67,56,83,27,22,83,47,78,166,A,,,,,,,J. Golmard,T. Champion,G319,C028,FRA,FRA,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS016,R32,01:22:00,,F,2,F191,"6-4,6-4",D. Flach,S. Dosedel,,,USA,CZE,6-4,6-4,,,,01:22:00,,,258,/en/stats/leaderboard?page=serve,1,3,56,40,71,65,26,40,55,17,31,50,2,4,10,222,/en/stats/leaderboard?page=serve,5,6,55,36,66,56,20,36,50,15,30,43,3,7,10,61,43,71,47,31,66,54,74,137,53,35,66,39,28,71,46,63,137,A,,,,,,,D. Flach,S. Dosedel,F191,D198,USA,CZE,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS017,R32,02:01:00,,F,3,U024,"7-6(7),3-6,7-6(7)",K. Ullyett,J. Eltingh,,,ZIM,NED,7-6(7),3-6,7-6(7),,,02:01:00,,,260,/en/stats/leaderboard?page=serve,13,11,54,62,115,79,49,62,47,25,53,40,2,5,17,299,/en/stats/leaderboard?page=serve,5,11,64,68,107,74,50,68,62,24,39,86,6,7,16,64,74,115,31,33,107,48,107,222,69,74,107,36,41,115,52,115,222,A,7,3,,,7,3,K. Ullyett,J. Eltingh,U024,E106,ZIM,NED,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS018,R32,01:36:00,,F,2,R243,"7-6(7),6-4",E. Ran,S. Pescosolido,,,ISR,ITA,7-6(7),6-4,,,,01:36:00,,,250,/en/stats/leaderboard?page=serve,2,5,64,50,78,74,37,50,64,18,28,,0,,11,277,/en/stats/leaderboard?page=serve,3,4,56,39,70,72,28,39,58,18,31,0,0,1,11,71,55,78,34,24,70,53,79,148,66,46,70,29,23,78,47,69,148,A,7,1,,,,,E. Ran,S. Pescosolido,R243,P235,ISR,ITA,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS019,R32,01:13:00,,F,2,V037,"7-5,6-2",A. Volkov,J. Xia,,,RUS,CHN,7-5,6-2,,,,01:13:00,,,285,/en/stats/leaderboard?page=serve,1,0,61,35,57,80,28,35,55,12,22,50,1,2,10,219,/en/stats/leaderboard?page=serve,1,1,60,48,80,58,28,48,41,13,32,67,8,12,10,70,40,57,49,39,80,58,79,137,51,41,80,30,17,57,42,58,137,A,,,,,,,A. Volkov,J. Xia,V037,X002,RUS,CHN,,
890,1997,Shanghai,GP,1997-01-27T00:00:00,1997-02-02T00:00:00,Carpet,32,305000,$,MS020,R32,01:04:00,,F,2,D228,"6-4,6-4",F. Dewulf,S. Matsuoka,,,BEL,JPN,6-4,6-4,,,,01:04:00,,,289,/en/stats/leaderboard?page=serve,,5,68,42,62,81,34,42,55,11,20,,0,,10,290,/en/stats/leaderboard?page=serve,1,9,60,30,50,67,20,30,75,15,20,50,2,4,10,73,45,62,30,15,50,54,60,112,70,35,50,27,17,62,46,52,112,A,,,,False,,,F. Dewulf,S. Matsuoka,D228,M338,BEL,JPN,,
