event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS001,F,01:12:00,,F,2,G628,"6-3,6-1",R. Gasquet,M. Gicquel,,,FRA,FRA,6-3,6-1,,,,01:12:00,340,/en/stats/leaderboard?page=serve,0,6,77,30,39,90,27,30,67,6,9,100,1,1,8,209,/en/stats/leaderboard?page=serve,0,2,52,33,63,58,19,33,47,14,30,60,6,10,8,85,33,39,48,30,63,62,63,102,52,33,63,15,6,39,38,39,102,A,,,,,,,R. Gasquet,M. Gicquel,G628,G436,FRA,FRA,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS002,SF,02:19:00,,F,3,G628,"6-7(6),6-4,6-1",R. Gasquet,A. Clement,,,FRA,FRA,6-7(6),6-4,6-1,,,02:19:00,303,/en/stats/leaderboard?page=serve,1,12,64,73,114,74,54,73,54,22,41,100,5,5,15,273,/en/stats/leaderboard?page=serve,2,7,63,50,80,80,40,50,47,14,30,40,2,5,14,67,76,114,33,26,80,53,102,194,68,54,80,33,38,114,47,92,194,A,6.0,8.0,,,,,R. Gasquet,A. Clement,G628,C487,FRA,FRA,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS003,SF,02:26:00,,F,3,G436,"6-4,1-6,7-6(7)",M. Gicquel,X. Malisse,,,FRA,BEL,6-4,1-6,7-6(7),,,02:26:00,267,/en/stats/leaderboard?page=serve,0,9,66,69,104,58,40,69,63,22,35,73,11,15,14,271,/en/stats/leaderboard?page=serve,3,10,60,69,115,67,46,69,57,26,46,73,8,11,15,60,62,104,37,43,115,48,105,219,63,72,115,40,42,104,52,114,219,A,,,7.0,5.0,,,M. Gicquel,X. Malisse,G436,M680,FRA,BEL,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS004,QF,00:58:00,,F,2,C487,"6-3,6-2",A. Clement,N. Almagro,,,FRA,ESP,6-3,6-2,,,,00:58:00,317,/en/stats/leaderboard?page=serve,0,10,69,34,49,91,31,34,47,7,15,100,2,2,9,231,/en/stats/leaderboard?page=serve,2,6,60,29,48,79,23,29,26,5,19,25,1,4,8,78,38,49,42,20,48,60,58,97,58,28,48,22,11,49,40,39,97,A,,,,,,,A. Clement,N. Almagro,C487,A479,FRA,ESP,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS005,QF,01:51:00,,F,3,G628,"4-6,6-3,6-3",R. Gasquet,R. Soderling,,,FRA,SWE,4-6,6-3,6-3,,,01:51:00,271,/en/stats/leaderboard?page=serve,1,12,70,63,90,71,45,63,41,11,27,63,5,8,14,246,/en/stats/leaderboard?page=serve,4,11,71,66,93,67,44,66,37,10,27,64,9,14,14,62,56,90,42,39,93,52,95,183,58,54,93,38,34,90,48,88,183,A,,,,,,,R. Gasquet,R. Soderling,G628,SA49,FRA,SWE,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS006,QF,02:08:00,,F,3,G436,"7-5,1-6,7-6(7)",M. Gicquel,S. Grosjean,,,FRA,FRA,7-5,1-6,7-6(7),,,02:08:00,270,/en/stats/leaderboard?page=serve,2,10,58,52,90,79,41,52,45,17,38,50,3,6,15,280,/en/stats/leaderboard?page=serve,4,12,57,57,100,79,45,57,49,21,43,71,5,7,16,64,58,90,34,34,100,48,92,190,66,66,100,36,32,90,52,98,190,A,,,7.0,5.0,,,M. Gicquel,S. Grosjean,G436,G379,FRA,FRA,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS007,QF,01:20:00,,F,2,M680,"6-4,6-3",X. Malisse,R. Ginepri,,,BEL,USA,6-4,6-3,,,,01:20:00,281,/en/stats/leaderboard?page=serve,2,6,67,36,54,78,28,36,44,8,18,67,2,3,9,224,/en/stats/leaderboard?page=serve,0,4,72,47,65,60,28,47,28,5,18,56,5,9,10,67,36,54,49,32,65,57,68,119,51,33,65,33,18,54,43,51,119,A,,,,,,,X. Malisse,R. Ginepri,M680,G569,BEL,USA,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS008,R16,01:52:00,,F,3,C487,"2-6,6-1,7-6(7)",A. Clement,M. Llodra,,,FRA,FRA,2-6,6-1,7-6(7),,,01:52:00,290,/en/stats/leaderboard?page=serve,0,8,69,60,87,73,44,60,56,15,27,67,4,6,13,274,/en/stats/leaderboard?page=serve,0,15,72,58,81,74,43,58,35,8,23,0,0,3,14,68,59,87,37,30,81,53,89,168,63,51,81,32,28,87,47,79,168,A,,,7.0,2.0,,,A. Clement,M. Llodra,C487,L428,FRA,FRA,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS009,R16,01:14:00,,F,2,A479,"7-6(7),6-4",N. Almagro,F. Mayer,,,ESP,GER,7-6(7),6-4,,,,01:14:00,308,/en/stats/leaderboard?page=serve,2,11,55,42,77,81,34,42,63,22,35,100,5,5,11,297,/en/stats/leaderboard?page=serve,2,3,69,47,68,66,31,47,71,15,21,0,0,1,11,73,56,77,32,22,68,54,78,145,68,46,68,27,21,77,46,67,145,A,7.0,5.0,,,,,N. Almagro,F. Mayer,A479,MB02,ESP,GER,,
7309,2006,Lyon,WS,2006-10-23T00:00:00,2006-10-29T00:00:00,Carpet,32,775000,$,MS010,R16,01:27:00,,F,2,G628,"6-3,6-4",R. Gasquet,D. Norman,,,FRA,BEL,6-3,6-4,,,,01:27:00,301,/en/stats/leaderboard?page=serve,2,6,58,36,62,89,32,36,50,13,26,100,4,4,10,258,/en/stats/leaderboard?page=serve,3,12,57,42,74,74,31,42,41,13,32,75,6,8,9,73,45,62,41,30,74,55,75,136,59,44,74,27,17,62,45,61,136,A,,,,,,,R. Gasquet,D. Norman,G628,N233,FRA,BEL,,
