event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS001,F,02:52:00,,F,5,S402,"6-7(2),7-6(11),6-4,3-6,6-2",P. Sampras,G. Ivanisevic,,,USA,CRO,6-7(2),7-6(11),6-4,3-6,6-2,02:52:00,2,7,11,9,288,/en/stats/leaderboard?page=serve,8,11,55,96,174,82,79,96,56,44,78,78,7,9,25,275,/en/stats/leaderboard?page=serve,20,32,57,132,230,87,115,132,35,34,98,71,10,14,26,71,123,174,35,81,230,50,204,404,65,149,230,29,51,174,50,200,404,A,,,,,,,P. Sampras,G. Ivanisevic,S402,I034,USA,CRO,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS002,SF,02:24:00,,F,4,S402,"6-3,4-6,7-5,6-3",P. Sampras,T. Henman,,,USA,GBR,6-3,4-6,7-5,6-3,,02:24:00,,,,,293,/en/stats/leaderboard?page=serve,7,15,57,77,136,87,67,77,51,30,59,67,4,6,20,244,/en/stats/leaderboard?page=serve,10,7,51,66,130,79,52,66,42,27,64,38,3,8,20,71,97,136,39,51,130,56,148,266,61,79,130,29,39,136,44,118,266,A,,,,,,,P. Sampras,T. Henman,S402,H336,USA,GBR,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS003,SF,03:22:00,,F,5,I034,"6-3,6-4,5-7,6-7(5),15-13",G. Ivanisevic,R. Krajicek,,,CRO,NED,6-3,6-4,5-7,6-7(5),15-13,03:22:00,,,,,295,/en/stats/leaderboard?page=serve,16,28,53,81,153,79,64,81,58,42,72,50,2,4,32,338,/en/stats/leaderboard?page=serve,5,42,69,94,137,82,77,94,60,26,43,0,0,3,32,69,106,153,25,34,137,48,140,290,75,103,137,31,47,153,52,150,290,A,5,7,,,,,G. Ivanisevic,R. Krajicek,I034,K214,CRO,NED,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS004,QF,01:45:00,,F,3,S402,"7-6(7),6-4,6-4",P. Sampras,M. Philippoussis,,,USA,AUS,7-6(7),6-4,6-4,,,01:45:00,7,5,,,292,/en/stats/leaderboard?page=serve,6,10,46,47,102,96,45,47,65,36,55,,0,,16,285,/en/stats/leaderboard?page=serve,7,14,58,70,120,83,58,70,50,25,50,60,3,5,16,79,81,102,31,37,120,53,118,222,69,83,120,21,21,102,47,104,222,A,,,,,,,P. Sampras,M. Philippoussis,S402,P338,USA,AUS,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS005,QF,01:45:00,,F,3,H336,"6-3,6-4,6-2",T. Henman,P. Korda,,,GBR,CZE,6-3,6-4,6-2,,,01:45:00,,,,,200,/en/stats/leaderboard?page=serve,3,5,61,57,94,86,49,57,51,19,37,0,0,,14,235,/en/stats/leaderboard?page=serve,3,5,45,44,97,77,34,44,42,22,53,43,3,7,13,72,68,94,42,41,97,57,109,191,58,56,97,28,26,94,43,82,191,A,,,,,,,T. Henman,P. Korda,H336,K148,GBR,CZE,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS006,QF,02:28:00,,F,3,I034,"7-6(12),7-6(7),7-6(8)",G. Ivanisevic,J. Siemerink,,,CRO,NED,7-6(12),7-6(7),7-6(8),,,02:28:00,12,10,7,5,294,/en/stats/leaderboard?page=serve,10,24,62,104,168,88,92,104,42,27,64,60,3,5,18,284,/en/stats/leaderboard?page=serve,6,14,56,87,154,78,68,87,54,36,67,67,4,6,18,71,119,168,32,50,154,52,169,322,68,104,154,29,49,168,48,153,322,A,,,8,6,,,G. Ivanisevic,J. Siemerink,I034,S381,CRO,NED,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS007,QF,01:20:00,,F,3,K214,"6-2,6-3,6-4",R. Krajicek,D. Sanguinetti,,,NED,ITA,6-2,6-3,6-4,,,01:20:00,,,,,316,/en/stats/leaderboard?page=serve,2,16,66,63,96,86,54,63,58,19,33,50,1,2,14,214,/en/stats/leaderboard?page=serve,6,3,57,54,95,67,36,54,32,13,41,64,9,14,13,76,73,96,48,46,95,62,119,191,52,49,95,24,23,96,38,72,191,A,,,,,,,R. Krajicek,D. Sanguinetti,K214,S480,NED,ITA,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS008,R16,01:32:00,,F,3,S402,"6-3,6-4,6-4",P. Sampras,S. Grosjean,,,USA,FRA,6-3,6-4,6-4,,,01:32:00,,,,,306,/en/stats/leaderboard?page=serve,5,16,55,53,96,96,51,53,51,22,43,0,0,1,15,248,/en/stats/leaderboard?page=serve,2,4,55,52,94,65,34,52,55,23,42,64,7,11,14,76,73,96,39,37,94,58,110,190,61,57,94,24,23,96,42,80,190,A,,,,,,,P. Sampras,S. Grosjean,S402,G379,USA,FRA,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS009,R16,02:24:00,,F,4,P338,"5-7,6-1,6-3,6-3",M. Philippoussis,J. Stoltenberg,,,AUS,AUS,5-7,6-1,6-3,6-3,,02:24:00,,,,,273,/en/stats/leaderboard?page=serve,8,9,58,83,143,80,66,83,45,27,60,67,4,6,19,238,/en/stats/leaderboard?page=serve,8,12,61,97,159,70,68,97,37,23,62,54,7,13,18,65,93,143,43,68,159,53,161,302,57,91,159,35,50,143,47,141,302,A,,,,,,,M. Philippoussis,J. Stoltenberg,P338,S331,AUS,AUS,,
540,1998,Wimbledon,GS,1998-06-22T00:00:00,1998-07-05T00:00:00,Grass,128,5638006,$,MS010,R16,02:08:00,,F,3,K148,"6-3,6-4,7-6(7)",P. Korda,J. van Lottum,,,CZE,NED,6-3,6-4,7-6(7),,,02:08:00,,,,,271,/en/stats/leaderboard?page=serve,10,12,50,57,115,89,51,57,43,25,58,33,1,3,16,227,/en/stats/leaderboard?page=serve,8,3,43,55,128,78,43,55,38,28,73,67,8,12,15,66,76,115,45,57,128,55,133,243,55,71,128,34,39,115,45,110,243,A,,,7,4,,,P. Korda,J. van Lottum,K148,V201,CZE,NED,,
