event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS001,F,02:13:00,,F,3,M605,"6-3,7-5,6-3",C. Moya,A. Corretja,,,ESP,ESP,6-3,7-5,6-3,,,02:13:00,283,/en/stats/leaderboard?page=serve,False,4,61,57,93,74,42,57,58,21,36,67,4,6,15,219,/en/stats/leaderboard?page=serve,3,2,52,58,111,66,38,58,42,22,53,67,12,18,15,68,63,93,46,51,111,56,114,204,54,60,111,32,30,93,44,90,204,A,,,,,,,,,,,C. Moya,A. Corretja,M605,C344,ESP,ESP,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS002,SF,02:45:00,,F,4,M605,"5-7,6-2,6-4,6-2",C. Moya,F. Mantilla,,,ESP,ESP,5-7,6-2,6-4,6-2,,02:45:00,286,/en/stats/leaderboard?page=serve,,11,56,80,142,76,61,80,55,34,62,71,5,7,19,234,/en/stats/leaderboard?page=serve,5,4,55,65,118,65,42,65,47,25,53,0,0,6,19,67,95,142,43,51,118,56,146,260,57,67,118,33,47,142,44,114,260,A,1,,,,,,,,,,C. Moya,F. Mantilla,M605,M535,ESP,ESP,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS003,SF,02:22:00,,F,3,C344,"6-3,6-4,6-2",A. Corretja,C. Pioline,,,ESP,FRA,6-3,6-4,6-2,,,02:22:00,266,/en/stats/leaderboard?page=serve,,5,46,46,100,78,36,46,50,27,54,92,11,12,13,213,/en/stats/leaderboard?page=serve,6,4,59,67,113,64,43,67,35,16,46,50,6,12,14,63,63,100,48,54,113,55,117,213,52,59,113,37,37,100,45,96,213,A,5,,,,,,,,,,A. Corretja,C. Pioline,C344,P226,ESP,FRA,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS004,QF,02:26:00,,F,4,M535,"6-4,6-2,4-6,6-3",F. Mantilla,T. Muster,,,ESP,AUT,6-4,6-2,4-6,6-3,,02:26:00,270,/en/stats/leaderboard?page=serve,False,1,59,57,97,68,39,57,65,26,40,43,3,7,18,221,/en/stats/leaderboard?page=serve,5,7,65,95,146,66,63,95,31,16,51,47,7,15,19,67,65,97,46,67,146,54,132,243,54,79,146,33,32,97,46,111,243,A,,,,,,,,,,,F. Mantilla,T. Muster,M535,M099,ESP,AUT,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS005,QF,02:01:00,,F,4,M605,"6-1,2-6,6-2,6-4",C. Moya,M. Rios,,,ESP,CHI,6-1,2-6,6-2,6-4,,02:01:00,273,/en/stats/leaderboard?page=serve,,7,58,66,113,74,49,66,55,26,47,63,5,8,17,233,/en/stats/leaderboard?page=serve,2,2,60,62,103,60,37,62,51,21,41,40,4,10,16,66,75,113,44,45,103,56,120,216,56,58,103,34,38,113,44,96,216,A,3,,,,,,,,,,C. Moya,M. Rios,M605,R286,ESP,CHI,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS006,QF,01:50:00,,F,3,C344,"7-5,6-4,6-3",A. Corretja,F. Dewulf,,,ESP,BEL,7-5,6-4,6-3,,,01:50:00,303,/en/stats/leaderboard?page=serve,,7,58,53,92,87,46,53,59,23,39,0,0,1,16,246,/en/stats/leaderboard?page=serve,4,4,58,54,93,74,40,54,41,16,39,33,2,6,15,75,69,92,40,37,93,57,106,185,60,56,93,25,23,92,43,79,185,A,1,,,,,,,,,,A. Corretja,F. Dewulf,C344,D228,ESP,BEL,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS007,QF,03:42:00,,F,5,P226,"3-6,6-2,7-6(8),4-6,6-3",C. Pioline,H. Arazi,,,FRA,MAR,3-6,6-2,7-6(8),4-6,6-3,03:42:00,265,/en/stats/leaderboard?page=serve,,9,59,113,190,78,88,113,40,31,77,79,15,19,25,286,/en/stats/leaderboard?page=serve,,10,64,99,155,71,70,99,59,33,56,56,5,9,23,63,119,190,34,52,155,50,171,345,66,103,155,37,71,190,50,174,345,A,5,8,6,False,,,,,,,C. Pioline,H. Arazi,P226,A226,FRA,MAR,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS008,R16,01:46:00,,F,3,M535,"6-2,6-2,6-4",F. Mantilla,R. Delgado,,,ESP,PAR,6-2,6-2,6-4,,,01:46:00,266,/en/stats/leaderboard?page=serve,,8,60,62,104,76,47,62,48,20,42,70,7,10,13,193,/en/stats/leaderboard?page=serve,2,6,55,43,78,65,28,43,31,11,35,38,5,13,13,64,67,104,50,39,78,58,106,182,50,39,78,36,37,104,42,76,182,A,2,,,,,,,,,,F. Mantilla,R. Delgado,M535,D316,ESP,PAR,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS009,R16,03:19:00,,F,5,M099,"6-4,6-7(8),6-3,3-6,6-3",T. Muster,F. Meligeni,,,AUT,BRA,6-4,6-7(8),6-3,3-6,6-3,03:19:00,274,/en/stats/leaderboard?page=serve,,5,64,109,171,67,73,109,58,36,62,64,7,11,25,248,/en/stats/leaderboard?page=serve,9,6,63,111,175,66,73,111,47,30,64,45,5,11,24,64,109,171,41,72,175,52,181,346,59,103,175,36,62,171,48,165,346,A,4,,,,8,10,,,,,T. Muster,F. Meligeni,M099,M443,AUT,BRA,,
520,1998,Roland Garros,GS,1998-05-25T00:00:00,1998-06-07T00:00:00,Clay,128,5026607,$,MS010,R16,02:38:00,,F,4,R286,"4-6,6-4,6-3,6-3",M. Rios,A. Costa,,,CHI,ESP,4-6,6-4,6-3,6-3,,02:38:00,246,/en/stats/leaderboard?page=serve,,8,65,88,135,69,61,88,38,18,47,64,9,14,19,229,/en/stats/leaderboard?page=serve,3,2,76,101,133,56,57,101,41,13,32,50,8,16,19,59,79,135,47,63,133,53,142,268,53,70,133,41,56,135,47,126,268,A,7,,,,,,,,,,M. Rios,A. Costa,R286,C378,CHI,ESP,,
