event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS015,R16,00:57:00,,F,2,M535,"6-0,6-1",F. Mantilla,E. Medica,,,ESP,ARG,6-0,6-1,,,,00:57:00,267,/en/stats/leaderboard?page=serve,,4,29,9,31,89,8,9,64,14,22,0,0,1,6,126,/en/stats/leaderboard?page=serve,3,1,62,32,52,41,13,32,25,5,20,42,5,12,7,71,22,31,65,34,52,67,56,83,35,18,52,29,9,31,33,27,83,A,2,,,,,,,,F. Mantilla,E. Medica,M535,M588,ESP,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS016,R32,01:42:00,,F,3,R286,"6-2,1-6,6-3",M. Rios,M. Carlsson,,,CHI,BRA,6-2,1-6,6-3,,,01:42:00,230,/en/stats/leaderboard?page=serve,,7,51,41,81,71,29,41,43,17,40,69,9,13,12,219,/en/stats/leaderboard?page=serve,1,3,53,46,86,61,28,46,45,18,40,64,9,14,12,57,46,81,47,40,86,51,86,167,53,46,86,43,35,81,49,81,167,A,8,,,,,,,,M. Rios,M. Carlsson,R286,C369,CHI,BRA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS017,R32,02:30:00,,F,3,R251,"3-6,6-3,7-6(9)",M. Rodriguez,G. Canas,,,ARG,ARG,3-6,6-3,7-6(9),,,02:30:00,261,/en/stats/leaderboard?page=serve,,4,40,49,122,73,36,49,59,43,73,92,12,13,15,273,/en/stats/leaderboard?page=serve,7,1,63,62,98,79,49,62,44,16,36,75,3,4,15,65,79,122,34,33,98,51,112,220,66,65,98,35,43,122,49,108,220,A,8,,,9,7,,,,M. Rodriguez,G. Canas,R251,C433,ARG,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS018,R32,01:49:00,,F,3,M578,"3-6,6-1,6-3",J. Marin,G. Pozzi,,,CRC,ITA,3-6,6-1,6-3,,,01:49:00,267,/en/stats/leaderboard?page=serve,False,2,54,46,85,78,36,46,49,19,39,60,3,5,13,231,/en/stats/leaderboard?page=serve,1,5,54,44,82,75,33,44,32,12,38,56,5,9,12,65,55,85,45,37,82,55,92,167,55,45,82,35,30,85,45,75,167,A,,,,,,,,,J. Marin,G. Pozzi,M578,P045,CRC,ITA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS019,R32,01:37:00,,F,2,S568,"6-3,7-5",F. Squillari,N. Massu,,,ARG,CHI,6-3,7-5,,,,01:37:00,271,/en/stats/leaderboard?page=serve,,4,52,37,71,76,28,37,53,18,34,88,7,8,10,238,/en/stats/leaderboard?page=serve,4,4,64,46,72,65,30,46,46,12,26,56,5,9,11,65,46,71,42,30,72,53,76,143,58,42,72,35,25,71,47,67,143,A,4,,,,,,,,F. Squillari,N. Massu,S568,M655,ARG,CHI,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS020,R32,02:04:00,,F,3,K293,"6-7(5),6-4,7-5",G. Kuerten,L. Morejon,,,BRA,ECU,6-7(5),6-4,7-5,,,02:04:00,264,/en/stats/leaderboard?page=serve,,12,56,67,119,75,50,67,44,23,52,57,4,7,17,260,/en/stats/leaderboard?page=serve,,2,57,57,100,54,31,57,77,33,43,50,5,10,17,61,73,119,36,36,100,50,109,219,64,64,100,39,46,119,50,110,219,A,5,,,,,5,7,False,G. Kuerten,L. Morejon,K293,M506,BRA,ECU,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS021,R32,01:43:00,,F,3,L290,"4-6,6-3,6-3",N. Lapentti,C. Costa,,,ECU,ESP,4-6,6-3,6-3,,,01:43:00,268,/en/stats/leaderboard?page=serve,,6,67,46,69,87,40,46,35,8,23,0,0,3,14,223,/en/stats/leaderboard?page=serve,7,5,43,38,88,82,31,38,36,18,50,38,3,8,14,70,48,69,44,39,88,55,87,157,56,49,88,30,21,69,45,70,157,A,5,,,,,,,,N. Lapentti,C. Costa,L290,C179,ECU,ESP,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS022,R32,00:33:00,,F,1,A272,5-2,J. Alonso,J. Viloca-Puig,,,ESP,ESP,5-2,,,,,00:33:00,252,/en/stats/leaderboard?page=serve,,2,50,11,22,73,8,11,55,6,11,,0,,4,188,/en/stats/leaderboard?page=serve,3,1,60,15,25,60,9,15,20,2,10,60,3,5,4,64,14,22,56,14,25,60,28,47,44,11,25,36,8,22,40,19,47,A,3,,,,,,,,J. Alonso,J. Viloca-Puig,A272,V161,ESP,ESP,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS023,R32,01:23:00,,F,2,C252,"6-4,6-4",F. Clavet,R. Delgado,,,ESP,PAR,6-4,6-4,,,,01:23:00,263,/en/stats/leaderboard?page=serve,,0,62,40,65,63,25,40,60,15,25,60,3,5,10,227,/en/stats/leaderboard?page=serve,1,3,55,37,67,57,21,37,53,16,30,43,3,7,10,62,40,65,45,30,67,53,70,132,55,37,67,38,25,65,47,62,132,A,2,,,,,,,,F. Clavet,R. Delgado,C252,D316,ESP,PAR,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS024,R32,01:54:00,,F,3,P372,"2-6,7-6(7),6-3",M. Puerta,F. Vicente,,,ARG,ESP,2-6,7-6(7),6-3,,,01:54:00,259,/en/stats/leaderboard?page=serve,False,3,63,46,73,78,36,46,44,12,27,0,0,4,14,244,/en/stats/leaderboard?page=serve,7,3,51,52,102,56,29,52,68,34,50,43,3,7,15,66,48,73,38,39,102,50,87,175,62,63,102,34,25,73,50,88,175,A,,7,2,,,,,,M. Puerta,F. Vicente,P372,V195,ARG,ESP,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS025,R32,02:29:00,,F,3,A228,"6-2,3-6,6-3",L. Arnold Ker,M. Hood,,,ARG,ARG,6-2,3-6,6-3,,,02:29:00,255,/en/stats/leaderboard?page=serve,,7,62,65,105,63,41,65,50,20,40,70,7,10,13,237,/en/stats/leaderboard?page=serve,1,0,74,71,96,63,45,71,40,10,25,67,10,15,13,58,61,105,43,41,96,51,102,201,57,55,96,42,44,105,49,99,201,A,3,,,,,,,,L. Arnold Ker,M. Hood,A228,H322,ARG,ARG,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS026,R32,01:16:00,,F,2,E121,"6-3,6-4",Y. El Aynaoui,K. Alami,,,MAR,MAR,6-3,6-4,,,,01:16:00,286,/en/stats/leaderboard?page=serve,,3,52,29,56,83,24,29,70,19,27,,0,,10,246,/en/stats/leaderboard?page=serve,2,3,43,23,54,70,16,23,55,17,31,33,1,3,9,77,43,56,39,21,54,58,64,110,61,33,54,23,13,56,42,46,110,A,2,,,,,,,,Y. El Aynaoui,K. Alami,E121,A203,MAR,MAR,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS027,R32,01:01:00,,F,2,B428,"6-1,6-3",A. Berasategui,G. Blanco,,,ESP,ESP,6-1,6-3,,,,01:01:00,276,/en/stats/leaderboard?page=serve,,0,76,31,41,77,24,31,50,5,10,50,2,4,8,165,/en/stats/leaderboard?page=serve,1,1,53,32,60,44,14,32,43,12,28,50,6,12,8,71,29,41,57,34,60,62,63,101,43,26,60,29,12,41,38,38,101,A,2,,,,,,,,A. Berasategui,G. Blanco,B428,B518,ESP,ESP,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS028,R32,01:11:00,,F,2,H377,"7-6(7),6-4",D. Hrbaty,A. Sa,,,SVK,BRA,7-6(7),6-4,,,,01:11:00,259,/en/stats/leaderboard?page=serve,,6,50,32,64,88,28,32,47,15,32,57,4,7,11,234,/en/stats/leaderboard?page=serve,5,5,64,51,80,59,30,51,48,14,29,33,2,6,11,67,43,64,45,36,80,55,79,144,55,44,80,33,21,64,45,65,144,A,4,,,,,7,3,,D. Hrbaty,A. Sa,H377,S604,SVK,BRA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS029,R32,01:29:00,,F,2,C243,"7-6(7),6-4",J. Courier,M. Martelli,,,USA,ITA,7-6(7),6-4,,,,01:29:00,218,/en/stats/leaderboard?page=serve,,9,56,34,61,85,29,34,70,19,27,0,0,,11,283,/en/stats/leaderboard?page=serve,3,9,55,41,75,76,31,41,56,19,34,83,5,6,11,79,48,61,33,25,75,54,73,136,67,50,75,21,13,61,46,63,136,A,2,,,,,7,2,,J. Courier,M. Martelli,C243,M543,USA,ITA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS030,R32,01:41:00,,F,3,M588,"6-4,1-6,6-1",E. Medica,F. Meligeni,,,ARG,BRA,6-4,1-6,6-1,,,01:41:00,237,/en/stats/leaderboard?page=serve,,1,58,45,78,71,32,45,45,15,33,20,1,5,12,209,/en/stats/leaderboard?page=serve,4,3,44,37,84,68,25,37,40,19,47,50,5,10,12,60,47,78,48,40,84,54,87,162,52,44,84,40,31,78,46,75,162,A,4,,,,,,,,E. Medica,F. Meligeni,M588,M443,ARG,BRA,,
8996,1998,Santiago,WS,1998-11-09T00:00:00,1998-11-15T00:00:00,Clay,32,315000,$,MS031,R32,01:07:00,,F,2,M535,"6-2,6-3",F. Mantilla,M. Zabaleta,,,ESP,ARG,6-2,6-3,,,,01:07:00,290,/en/stats/leaderboard?page=serve,,3,50,26,52,85,22,26,65,17,26,,0,,9,219,/en/stats/leaderboard?page=serve,2,3,41,21,51,62,13,21,53,16,30,57,4,7,8,75,39,52,43,22,51,59,61,103,57,29,51,25,13,52,41,42,103,A,1,,,,,,,,F. Mantilla,M. Zabaleta,M535,Z073,ESP,ARG,,
