event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS011,R16,01:03:00,,F,2,H377,"6-3,3-2",D. Hrbaty,H. Gumy,,,SVK,ARG,6-3,3-2,,,,01:03:00,203,/en/stats/leaderboard?page=serve,1,2,47,17,36,76,13,17,79,15,19,0,0,,8,223,/en/stats/leaderboard?page=serve,7,2,35,18,52,78,14,18,44,15,34,50,2,4,7,78,28,36,44,23,52,58,51,88,56,29,52,22,8,36,42,37,88,A,,,,,,,D. Hrbaty,H. Gumy,H377,G247,SVK,ARG,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS012,R16,03:10:00,,F,3,F165,"7-6(7),6-7(3),7-5",M. Filippini,C. Ruud,,,URU,NOR,7-6(7),6-7(3),7-5,,,03:10:00,242,/en/stats/leaderboard?page=serve,5,3,58,69,120,65,45,69,49,25,51,62,8,13,18,229,/en/stats/leaderboard?page=serve,5,2,55,73,132,60,44,73,51,30,59,54,7,13,18,58,70,120,44,58,132,51,128,252,56,74,132,42,50,120,49,124,252,A,,,7,4,3,7,M. Filippini,C. Ruud,F165,R219,URU,NOR,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS013,R16,01:15:00,,F,2,S015,"6-4,6-4",J. Sanchez,J. Alonso,,,ESP,ESP,6-4,6-4,,,,01:15:00,262,/en/stats/leaderboard?page=serve,2,2,76,44,58,70,31,44,36,5,14,60,3,5,10,225,/en/stats/leaderboard?page=serve,4,3,58,39,67,54,21,39,54,15,28,43,3,7,10,62,36,58,46,31,67,54,67,125,54,36,67,38,22,58,46,58,125,A,,,,,,,J. Sanchez,J. Alonso,S015,A272,ESP,ESP,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS014,R16,01:06:00,,F,2,A203,"6-4,6-3",K. Alami,D. Pescariu,,,MAR,ROU,6-4,6-3,,,,01:06:00,279,/en/stats/leaderboard?page=serve,2,5,56,33,59,82,27,33,50,13,26,80,4,5,9,246,/en/stats/leaderboard?page=serve,1,1,80,48,60,56,27,48,50,6,12,33,2,6,10,68,40,59,45,27,60,56,67,119,55,33,60,32,19,59,44,52,119,A,,,,,,,K. Alami,D. Pescariu,A203,P254,MAR,ROU,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS015,R16,01:42:00,,F,3,B428,"6-4,4-6,6-3",A. Berasategui,C. Costa,,,ESP,ESP,6-4,4-6,6-3,,,01:42:00,257,/en/stats/leaderboard?page=serve,4,1,82,80,97,60,48,80,47,8,17,60,6,10,14,221,/en/stats/leaderboard?page=serve,3,3,75,72,96,65,47,72,21,5,24,65,11,17,15,58,56,97,46,44,96,52,100,193,54,52,96,42,41,97,48,93,193,A,,,,,,,A. Berasategui,C. Costa,B428,C179,ESP,ESP,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS016,R32,02:11:00,,F,3,C344,"5-7,6-3,6-2",A. Corretja,M. Martelli,,,ESP,ITA,5-7,6-3,6-2,,,02:11:00,259,/en/stats/leaderboard?page=serve,7,2,51,47,92,77,36,47,56,25,45,67,6,9,15,217,/en/stats/leaderboard?page=serve,5,5,34,32,94,72,23,32,47,29,62,29,2,7,14,66,61,92,45,42,94,55,103,186,55,52,94,34,31,92,45,83,186,A,,,,,,,A. Corretja,M. Martelli,C344,M543,ESP,ITA,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS017,R32,02:09:00,,F,3,F164,"6-1,6-7(3),6-3",R. Fromberg,N. Lapentti,,,AUS,ECU,6-1,6-7(3),6-3,,,02:09:00,266,/en/stats/leaderboard?page=serve,5,7,57,51,90,76,39,51,51,20,39,57,4,7,15,206,/en/stats/leaderboard?page=serve,2,0,50,42,84,62,26,42,43,18,42,45,5,11,13,66,59,90,48,40,84,57,99,174,52,44,84,34,31,90,43,75,174,A,,,,,3,7,R. Fromberg,N. Lapentti,F164,L290,AUS,ECU,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS018,R32,02:02:00,,F,3,S544,"2-6,6-4,6-0",V. Spadea,M. Valeri,,,USA,ITA,2-6,6-4,6-0,,,02:02:00,233,/en/stats/leaderboard?page=serve,1,1,59,53,90,62,33,53,46,17,37,67,8,12,12,206,/en/stats/leaderboard?page=serve,3,6,49,39,79,69,27,39,35,14,40,40,4,10,12,56,50,90,48,38,79,52,88,169,52,41,79,44,40,90,48,81,169,A,,,,,,,V. Spadea,M. Valeri,S544,V154,USA,ITA,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS019,R32,01:08:00,,F,2,C252,"6-3,6-1",F. Clavet,D. Sanguinetti,,,ESP,ITA,6-3,6-1,,,,01:08:00,285,/en/stats/leaderboard?page=serve,2,3,67,34,51,65,22,34,65,11,17,50,1,2,8,182,/en/stats/leaderboard?page=serve,1,3,56,34,61,65,22,34,22,6,27,55,6,11,8,65,33,51,54,33,61,59,66,112,46,28,61,35,18,51,41,46,112,A,,,,,,,F. Clavet,D. Sanguinetti,C252,S480,ESP,ITA,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS020,R32,02:03:00,,F,3,P305,"5-7,6-4,6-3",A. Portas,M. Craca,,,ESP,GER,5-7,6-4,6-3,,,02:03:00,260,/en/stats/leaderboard?page=serve,,3,67,76,113,64,49,76,51,19,37,64,7,11,16,236,/en/stats/leaderboard?page=serve,4,7,58,63,109,63,40,63,46,21,46,67,10,15,15,60,68,113,44,48,109,52,116,222,56,61,109,40,45,113,48,106,222,A,,False,,,,,A. Portas,M. Craca,P305,C439,ESP,GER,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS021,R32,01:16:00,,F,2,M511,"6-4,6-3",F. Messori,A. Voinea,,,ITA,ROU,6-4,6-3,,,,01:16:00,245,/en/stats/leaderboard?page=serve,1,2,44,25,57,64,16,25,59,19,32,71,5,7,9,188,/en/stats/leaderboard?page=serve,9,1,47,28,59,57,16,28,42,13,31,29,2,7,10,61,35,57,51,30,59,56,65,116,49,29,59,39,22,57,44,51,116,A,,,,,,,F. Messori,A. Voinea,M511,V166,ITA,ROU,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS022,R32,02:05:00,,F,2,G247,"6-3,7-6(7)",H. Gumy,H. Dreekmann,,,ARG,GER,6-3,7-6(7),,,,02:05:00,234,/en/stats/leaderboard?page=serve,3,3,45,35,78,71,25,35,58,25,43,,0,,10,247,/en/stats/leaderboard?page=serve,3,3,54,53,99,66,35,53,46,21,46,82,9,11,11,64,50,78,43,43,99,53,93,177,57,56,99,36,28,78,47,84,177,A,,,,,7,3,H. Gumy,H. Dreekmann,G247,D249,ARG,GER,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS023,R32,01:22:00,,F,2,H377,"6-4,6-3",D. Hrbaty,J. Marin,,,SVK,CRC,6-4,6-3,,,,01:22:00,273,/en/stats/leaderboard?page=serve,3,1,57,41,72,76,31,41,52,16,31,86,6,7,10,237,/en/stats/leaderboard?page=serve,,1,50,25,50,64,16,25,56,14,25,25,1,4,9,65,47,72,40,20,50,55,67,122,60,30,50,35,25,72,45,55,122,A,False,,,,,,D. Hrbaty,J. Marin,H377,M578,SVK,CRC,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS024,R32,01:02:00,,F,2,F165,"6-1,6-2",M. Filippini,G. Blanco,,,URU,ESP,6-1,6-2,,,,01:02:00,288,/en/stats/leaderboard?page=serve,2,4,70,32,46,72,23,32,57,8,14,0,0,1,8,168,/en/stats/leaderboard?page=serve,3,3,57,26,46,38,10,26,45,9,20,50,5,10,7,67,31,46,59,27,46,63,58,92,41,19,46,33,15,46,37,34,92,A,,,,,,,M. Filippini,G. Blanco,F165,B518,URU,ESP,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS025,R32,02:00:00,,F,2,R219,"7-6(9),7-5",C. Ruud,E. Benfele Alvarez,,,NOR,ESP,7-6(9),7-5,,,,02:00:00,269,/en/stats/leaderboard?page=serve,5,6,66,55,83,76,42,55,43,12,28,71,5,7,12,254,/en/stats/leaderboard?page=serve,1,5,64,56,87,63,35,56,48,15,31,57,4,7,12,65,54,83,43,37,87,54,91,170,57,50,87,35,29,83,46,79,170,A,,,9,7,,,C. Ruud,E. Benfele Alvarez,R219,A190,NOR,ESP,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS026,R32,02:22:00,,F,3,A272,"6-4,6-7(6),7-5",J. Alonso,G. Schaller,,,ESP,AUT,6-4,6-7(6),7-5,,,02:22:00,230,/en/stats/leaderboard?page=serve,5,3,57,66,116,61,40,66,50,25,50,50,6,12,17,216,/en/stats/leaderboard?page=serve,3,0,82,103,125,58,60,103,27,6,22,56,10,18,17,56,65,116,47,59,125,51,124,241,53,66,125,44,51,116,49,117,241,A,,,,,6,8,J. Alonso,G. Schaller,A272,S315,ESP,AUT,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS027,R32,01:19:00,,F,2,S015,"7-5,6-3",J. Sanchez,H. Arazi,,,ESP,MAR,7-5,6-3,,,,01:19:00,262,/en/stats/leaderboard?page=serve,3,4,63,43,68,74,32,43,44,11,25,71,5,7,10,217,/en/stats/leaderboard?page=serve,2,1,57,43,76,65,28,43,42,14,33,44,4,9,11,63,43,68,45,34,76,53,77,144,55,42,76,37,25,68,47,67,144,A,,,,,,,J. Sanchez,H. Arazi,S015,A226,ESP,MAR,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS028,R32,00:49:00,,F,2,A203,"6-3,2-0",K. Alami,A. Gaudenzi,,,MAR,ITA,6-3,2-0,,,,00:49:00,279,/en/stats/leaderboard?page=serve,,1,61,20,33,80,16,20,54,7,13,,0,,6,190,/en/stats/leaderboard?page=serve,2,0,51,19,37,58,11,19,33,6,18,57,4,7,6,70,23,33,54,20,37,61,43,70,46,17,37,30,10,33,39,27,70,A,,False,,,,,K. Alami,A. Gaudenzi,A203,G254,MAR,ITA,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS029,R32,01:15:00,,F,2,P254,"7-5,6-3",D. Pescariu,D. Scala,,,ROU,ITA,7-5,6-3,,,,01:15:00,273,/en/stats/leaderboard?page=serve,1,6,69,40,58,60,24,40,67,12,18,25,1,4,11,201,/en/stats/leaderboard?page=serve,4,0,57,32,56,69,22,32,29,7,24,0,0,5,10,62,36,58,48,27,56,55,63,114,52,29,56,38,22,58,45,51,114,A,,,,,,,D. Pescariu,D. Scala,P254,S465,ROU,ITA,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS030,R32,01:23:00,,F,2,C179,"6-4,6-4",C. Costa,J. Viloca-Puig,,,ESP,ESP,6-4,6-4,,,,01:23:00,291,/en/stats/leaderboard?page=serve,,5,51,26,51,85,22,26,60,15,25,0,0,1,10,232,/en/stats/leaderboard?page=serve,6,2,52,37,71,70,26,37,44,15,34,57,4,7,10,73,37,51,42,30,71,55,67,122,58,41,71,27,14,51,45,55,122,A,,False,,,,,C. Costa,J. Viloca-Puig,C179,V161,ESP,ESP,,
325,1997,Palermo,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Clay,32,303000,$,MS031,R32,02:22:00,,F,3,B428,"6-4,5-7,6-4",A. Berasategui,F. Vicente,,,ESP,ESP,6-4,5-7,6-4,,,02:22:00,261,/en/stats/leaderboard?page=serve,2,0,89,110,124,55,61,110,57,8,14,67,12,18,16,210,/en/stats/leaderboard?page=serve,3,1,58,66,114,67,44,66,31,15,48,63,12,19,16,56,69,124,48,55,114,52,124,238,52,59,114,44,55,124,48,114,238,A,,,,,,,A. Berasategui,F. Vicente,B428,V195,ESP,ESP,,
