event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS022,R32,00:02:00,,F,3,H336,"6-2,7-6(7),6-4",T. Henman,T. Martin,,,GBR,USA,6-2,7-6(7),6-4,,,00:02:00,,,264,/en/stats/leaderboard?page=serve,5,4,51,58,114,78,45,58,50,28,56,3,15,267,/en/stats/leaderboard?page=serve,1,7,69,62,90,69,43,62,57,16,28,17,1,6,15,64,73,114,34,31,90,51,104,204,66,59,90,36,41,114,49,100,204,A,,,,,60,5,,,7,4,,,T. Henman,T. Martin,H336,M442,GBR,USA,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS023,R32,00:02:00,,F,3,E004,"6-4,7-6(7),6-1",S. Edberg,P. Haarhuis,,,SWE,NED,6-4,7-6(7),6-1,,,00:02:00,,,301,/en/stats/leaderboard?page=serve,1,4,64,64,100,77,49,64,64,23,36,4,15,254,/en/stats/leaderboard?page=serve,1,4,58,56,96,64,36,56,58,23,40,43,3,7,14,72,72,100,39,37,96,56,109,196,61,59,96,28,28,100,44,87,196,A,,,,,80,5,,,7,4,,,S. Edberg,P. Haarhuis,E004,H223,SWE,NED,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS024,R32,00:02:00,,F,3,A092,"6-4,6-2,7-6(9)",A. Agassi,J. Siemerink,,,USA,NED,6-4,6-2,7-6(9),,,00:02:00,9,7,255,/en/stats/leaderboard?page=serve,6,1,49,52,106,79,41,52,46,25,54,2,15,220,/en/stats/leaderboard?page=serve,10,5,50,57,114,72,41,57,37,21,57,44,4,9,15,62,66,106,46,52,114,54,118,220,54,62,114,38,40,106,46,102,220,A,,,,,50,4,,,,,,,A. Agassi,J. Siemerink,A092,S381,USA,NED,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS025,R32,00:03:00,,F,4,W123,"1-6,7-5,6-1,6-2",D. Wheaton,A. O'Brien,,,USA,USA,1-6,7-5,6-1,6-2,,00:03:00,,,291,/en/stats/leaderboard?page=serve,5,16,71,102,144,73,74,102,48,20,42,13,17,254,/en/stats/leaderboard?page=serve,5,16,68,92,136,78,72,92,27,12,44,55,6,11,17,65,94,144,38,52,136,52,146,280,62,84,136,35,50,144,48,134,280,A,,,,,87,15,,,,,,,D. Wheaton,A. O'Brien,W123,O099,USA,USA,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS026,R32,00:02:00,,F,3,E113,"6-4,6-4,6-2",T. Enqvist,P. Campana,,,SWE,ECU,6-4,6-4,6-2,,,00:02:00,,,298,/en/stats/leaderboard?page=serve,5,15,69,72,105,82,59,72,45,15,33,2,14,237,/en/stats/leaderboard?page=serve,5,7,65,60,92,62,37,60,44,14,32,38,3,8,14,70,74,105,45,41,92,58,115,197,55,51,92,30,31,105,42,82,197,A,,,,,67,3,,,,,,,T. Enqvist,P. Campana,E113,C329,SWE,ECU,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS027,R32,00:01:00,,F,3,M099,"6-2,6-4,6-3",T. Muster,S. Bruguera,,,AUT,ESP,6-2,6-4,6-3,,,00:01:00,,,279,/en/stats/leaderboard?page=serve,4,6,63,65,103,72,47,65,50,19,38,6,13,219,/en/stats/leaderboard?page=serve,3,7,55,58,106,74,43,58,29,14,48,45,5,11,14,64,66,103,46,49,106,55,115,209,54,57,106,36,37,103,45,94,209,A,,,,,86,7,,,,,,,T. Muster,S. Bruguera,M099,B350,AUT,ESP,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS028,R32,00:03:00,,F,5,S015,"6-4,3-6,4-6,6-2,7-6(8)",J. Sanchez,J. Stoltenberg,,,ESP,AUS,6-4,3-6,4-6,6-2,7-6(8),00:03:00,,,239,/en/stats/leaderboard?page=serve,9,6,53,96,181,72,69,96,42,36,85,11,24,239,/en/stats/leaderboard?page=serve,9,9,49,86,176,79,68,86,39,35,90,50,7,14,25,58,105,181,41,73,176,50,178,357,59,103,176,42,76,181,50,179,357,A,,,8,6,65,17,,,,,,,J. Sanchez,J. Stoltenberg,S015,S331,ESP,AUS,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS029,R32,02:13:00,,F,3,B053,"6-4,6-2,7-6(8)",A. Boetsch,J. Tarango,,,FRA,USA,6-4,6-2,7-6(8),,,02:13:00,8,6,267,/en/stats/leaderboard?page=serve,6,5,50,56,113,79,44,56,53,30,57,6,15,238,/en/stats/leaderboard?page=serve,1,2,55,61,111,52,32,61,64,32,50,62,8,13,15,65,74,113,42,47,111,54,121,224,58,64,111,35,39,113,46,103,224,A,,,,,75,8,,,,,,,A. Boetsch,J. Tarango,B053,T136,FRA,USA,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS030,R32,01:32:00,,F,3,H025,"7-5,6-1,6-2",J. Hlasek,H. Gumy,,,SUI,ARG,7-5,6-1,6-2,,,01:32:00,,,195,/en/stats/leaderboard?page=serve,5,6,51,46,90,93,43,46,50,22,44,0,14,225,/en/stats/leaderboard?page=serve,5,6,60,56,94,66,37,56,37,14,38,44,4,9,13,72,65,90,46,43,94,59,108,184,54,51,94,28,25,90,41,76,184,A,,,,,0,,,,,,,,J. Hlasek,H. Gumy,H025,G247,SUI,ARG,,
560,1996,US Open,GS,1996-08-26T00:00:00,1996-09-08T00:00:00,Hard,128,4806000,$,MS031,R32,03:50:00,,F,5,C274,"6-4,5-7,2-6,7-5,6-3",M. Chang,V. Spadea,,,USA,USA,6-4,5-7,2-6,7-5,6-3,03:50:00,,,222,/en/stats/leaderboard?page=serve,12,10,35,64,181,80,51,64,44,52,117,3,26,233,/en/stats/leaderboard?page=serve,4,7,53,93,176,66,61,93,47,39,83,53,10,19,25,57,103,181,43,76,176,50,179,357,57,100,176,43,78,181,50,178,357,A,,,,,25,12,,,,,,,M. Chang,V. Spadea,C274,S544,USA,USA,,
