event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS060,R64,00:06:00,,F,4,M442,"6-2,7-5,3-6,7-6(7)",T. Martin,R. Reneberg,,,USA,USA,6-2,7-5,3-6,7-6(7),,00:06:00,270,/en/stats/leaderboard?page=serve,3,15,61,89,147,72,64,89,50,29,58,58,7,12,20,241,/en/stats/leaderboard?page=serve,4,6,54,84,155,65,55,84,54,38,71,67,14,21,21,63,93,147,40,62,155,51,155,302,60,93,155,37,54,147,49,147,302,A,,,,,,,,,7,5,T. Martin,R. Reneberg,M442,R016,USA,USA,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS061,R64,00:01:00,,F,3,B446,"6-1,6-3,6-2",J. Bjorkman,T. Henman,,,SWE,GBR,6-1,6-3,6-2,,,00:01:00,278,/en/stats/leaderboard?page=serve,2,1,68,53,78,60,32,53,68,17,25,67,4,6,12,159,/en/stats/leaderboard?page=serve,11,4,49,47,96,62,29,47,22,11,49,56,10,18,12,63,49,78,58,56,96,60,105,174,42,40,96,37,29,78,40,69,174,A,,,,,,,,,,,J. Bjorkman,T. Henman,B446,H336,SWE,GBR,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS062,R64,00:06:00,,F,3,B401,"6-3,7-6(9),6-1",S. Bryan,S. Stolle,,,USA,AUS,6-3,7-6(9),6-1,,,00:06:00,274,/en/stats/leaderboard?page=serve,2,3,66,59,90,69,41,59,58,18,31,25,1,4,15,225,/en/stats/leaderboard?page=serve,5,11,60,66,110,74,49,66,32,14,44,63,10,16,13,66,59,90,43,47,110,53,106,200,57,63,110,34,31,90,47,94,200,A,,,,9,7,,,,,,S. Bryan,S. Stolle,B401,S443,USA,AUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS065,R128,00:02:00,,F,3,J100,"6-4,6-4,6-3",M. Joyce,K. Goossens,,,USA,BEL,6-4,6-4,6-3,,,00:02:00,242,/en/stats/leaderboard?page=serve,3,3,62,61,99,62,38,61,47,18,38,43,3,7,14,183,/en/stats/leaderboard?page=serve,9,4,56,61,108,52,32,61,34,16,47,27,3,11,15,57,56,99,56,60,108,56,116,207,44,48,108,43,43,99,44,91,207,A,,,,,,,,,,,M. Joyce,K. Goossens,J100,G285,USA,BEL,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS066,R128,00:04:00,,F,3,P338,"7-6(7),6-0,6-1",M. Philippoussis,N. Kiefer,,,AUS,GER,7-6(7),6-0,6-1,,,00:04:00,289,/en/stats/leaderboard?page=serve,4,6,64,58,91,79,46,58,52,17,33,80,4,5,13,202,/en/stats/leaderboard?page=serve,8,8,58,69,120,59,41,69,35,18,51,63,10,16,12,69,63,91,51,61,120,59,124,211,49,59,120,31,28,91,41,87,211,A,,,,,,7,3,,,,M. Philippoussis,N. Kiefer,P338,K316,AUS,GER,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS067,R128,00:02:00,,F,3,R243,"6-1,6-3,6-1",E. Ran,A. Cherkasov,,,ISR,RUS,6-1,6-3,6-1,,,00:02:00,297,/en/stats/leaderboard?page=serve,2,6,56,40,71,78,31,40,68,21,31,67,2,3,12,168,/en/stats/leaderboard?page=serve,5,0,66,49,74,59,29,49,12,3,25,30,3,10,11,73,52,71,57,42,74,65,94,145,43,32,74,27,19,71,35,51,145,A,,,,,,,,,,,E. Ran,A. Cherkasov,R243,C260,ISR,RUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS068,R128,00:05:00,,F,5,S367,"5-7,3-6,6-4,7-5,6-3",M. Sinner,A. Belobrajdic,,,GER,AUS,5-7,3-6,6-4,7-5,6-3,00:05:00,239,/en/stats/leaderboard?page=serve,9,4,60,111,186,77,86,111,31,23,75,65,11,17,26,235,/en/stats/leaderboard?page=serve,7,2,72,129,178,71,91,129,24,12,49,61,11,18,26,59,109,186,42,75,178,51,184,364,58,103,178,41,77,186,49,180,364,A,,,,,,,,,,,M. Sinner,A. Belobrajdic,S367,B510,GER,AUS,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS070,R128,00:02:00,,F,3,C252,"6-0,6-3,6-3",F. Clavet,E. Sanchez,,,ESP,ESP,6-0,6-3,6-3,,,00:02:00,268,/en/stats/leaderboard?page=serve,5,1,54,41,76,73,30,41,54,19,35,50,1,2,12,200,/en/stats/leaderboard?page=serve,3,3,68,50,74,58,29,50,33,8,24,30,3,10,12,64,49,76,50,37,74,57,86,150,50,37,74,36,27,76,43,64,150,A,,,,,,,,,,,F. Clavet,E. Sanchez,C252,S014,ESP,ESP,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS071,R128,00:02:00,,F,3,D228,"6-4,6-4,6-4",F. Dewulf,P. Haarhuis,,,BEL,NED,6-4,6-4,6-4,,,00:02:00,280,/en/stats/leaderboard?page=serve,5,5,61,55,90,76,42,55,57,20,35,33,1,3,15,245,/en/stats/leaderboard?page=serve,2,4,68,63,92,68,43,63,41,12,29,44,4,9,15,69,62,90,40,37,92,54,99,182,60,55,92,31,28,90,46,83,182,A,,,,,,,,,,,F. Dewulf,P. Haarhuis,D228,H223,BEL,NED,,
580,1996,Australian Open,GS,1996-01-15T00:00:00,1996-01-28T00:00:00,Hard,128,3180318,$,MS072,R128,00:08:00,,F,3,I034,"6-4,7-6(11),6-3",G. Ivanisevic,B. Karbacher,,,CRO,GER,6-4,7-6(11),6-3,,,00:08:00,273,/en/stats/leaderboard?page=serve,3,9,57,80,140,78,62,80,45,27,60,85,11,13,16,249,/en/stats/leaderboard?page=serve,2,6,55,64,117,72,46,64,45,24,53,60,6,10,15,64,89,140,40,47,117,53,136,257,60,70,117,36,51,140,47,121,257,A,,,,11,9,,,,,,G. Ivanisevic,B. Karbacher,I034,K190,CRO,GER,,
