event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS013,R16,01:18:00,,F,2,E113,"6-4,6-3",T. Enqvist,D. Wheaton,,,SWE,USA,6-4,6-3,,,,01:18:00,,,268,/en/stats/leaderboard?page=serve,3,2,62,42,68,62,26,42,65,17,26,67,4,6,10,221,/en/stats/leaderboard?page=serve,4,7,51,29,57,66,19,29,46,13,28,60,6,10,9,63,43,68,44,25,57,54,68,125,56,32,57,37,25,68,46,57,125,A,,,,,,T. Enqvist,D. Wheaton,E113,W123,SWE,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS014,R16,01:20:00,,F,2,R280,"6-3,6-4",L. Roux,S. Edberg,,,FRA,SWE,6-3,6-4,,,,01:20:00,,,246,/en/stats/leaderboard?page=serve,2,4,60,33,55,73,24,33,41,9,22,25,1,4,10,189,/en/stats/leaderboard?page=serve,6,2,57,35,61,57,20,35,35,9,26,44,4,9,9,60,33,55,52,32,61,56,65,116,48,29,61,40,22,55,44,51,116,A,,,,,,L. Roux,S. Edberg,R280,E004,FRA,SWE,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS015,R16,01:01:00,,F,2,I034,"6-3,6-3",G. Ivanisevic,P. Korda,,,CRO,CZE,6-3,6-3,,,,01:01:00,,,281,/en/stats/leaderboard?page=serve,1,10,53,31,59,77,24,31,54,15,28,88,7,8,9,199,/en/stats/leaderboard?page=serve,8,2,47,25,53,64,16,25,39,11,28,43,3,7,9,66,39,59,49,26,53,58,65,112,51,27,53,34,20,59,42,47,112,A,,,,,,G. Ivanisevic,P. Korda,I034,K148,CRO,CZE,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS016,R32,02:14:00,,F,3,S402,"7-6(7),6-7(8),6-2",P. Sampras,D. Johnson,,,USA,USA,7-6(7),6-7(8),6-2,,,02:14:00,7,3,305,/en/stats/leaderboard?page=serve,2,12,54,53,99,94,50,53,54,25,46,0,0,1,16,269,/en/stats/leaderboard?page=serve,5,6,68,84,123,70,59,84,49,19,39,77,10,13,16,76,75,99,37,45,123,54,120,222,63,78,123,24,24,99,46,102,222,A,,,8,10,,P. Sampras,D. Johnson,S402,J098,USA,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS017,R32,01:44:00,,F,2,O098,"6-2,7-6(7)",M. Ondruska,S. Bryan,,,RSA,USA,6-2,7-6(7),,,,01:44:00,,,261,/en/stats/leaderboard?page=serve,4,7,57,43,75,74,32,43,47,15,32,71,5,7,10,213,/en/stats/leaderboard?page=serve,6,3,53,48,90,65,31,48,38,16,42,75,12,16,10,63,47,75,48,43,90,55,90,165,52,47,90,37,28,75,45,75,165,A,,,7,5,,M. Ondruska,S. Bryan,O098,B401,RSA,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS018,R32,01:28:00,,F,2,W035,"6-2,7-6(12)",M. Woodforde,J. Salzenstein,,,AUS,USA,6-2,7-6(12),,,,01:28:00,,,295,/en/stats/leaderboard?page=serve,2,8,57,37,65,81,30,37,61,17,28,0,0,1,10,251,/en/stats/leaderboard?page=serve,3,3,68,51,75,63,32,51,50,12,24,63,5,8,10,72,47,65,41,31,75,56,78,140,59,44,75,28,18,65,44,62,140,A,,,12,10,,M. Woodforde,J. Salzenstein,W035,S564,AUS,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS019,R32,00:56:00,,F,2,H355,"6-1,6-2",T. Haas,R. Furlan,,,GER,ITA,6-1,6-2,,,,00:56:00,,,275,/en/stats/leaderboard?page=serve,2,3,55,30,55,60,18,30,72,18,25,67,2,3,8,179,/en/stats/leaderboard?page=serve,1,3,56,24,43,46,11,24,47,9,19,0,0,5,7,65,36,55,53,23,43,60,59,98,47,20,43,35,19,55,40,39,98,A,,,,,,T. Haas,R. Furlan,H355,F192,GER,ITA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS020,R32,00:50:00,,F,2,N210,"1-6,3-2",D. Nestor,A. Agassi,,,CAN,USA,1-6,3-2,,,,00:50:00,,,210,/en/stats/leaderboard?page=serve,9,6,57,32,56,66,21,32,33,8,24,79,11,14,7,272,/en/stats/leaderboard?page=serve,2,5,58,21,36,81,17,21,47,7,15,75,3,4,6,52,29,56,33,12,36,45,41,92,67,24,36,48,27,56,55,51,92,A,,,,,,D. Nestor,A. Agassi,N210,A092,CAN,USA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS021,R32,01:19:00,,F,2,U032,"6-3,6-4",B. Ulihrach,T. Johansson,,,CZE,SWE,6-3,6-4,,,,01:19:00,,,280,/en/stats/leaderboard?page=serve,2,4,57,39,69,74,29,39,57,17,30,83,5,6,10,229,/en/stats/leaderboard?page=serve,2,4,42,25,60,76,19,25,43,15,35,40,2,5,9,67,46,69,43,26,60,56,72,129,57,34,60,33,23,69,44,57,129,A,,,,,,B. Ulihrach,T. Johansson,U032,J129,CZE,SWE,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS022,R32,01:27:00,,F,3,C344,"6-1,4-6,6-1",A. Corretja,I. Truyol,,,ESP,ESP,6-1,4-6,6-1,,,01:27:00,,,268,/en/stats/leaderboard?page=serve,3,4,56,40,72,78,31,40,50,16,32,60,3,5,12,206,/en/stats/leaderboard?page=serve,3,2,64,42,66,60,25,42,33,8,24,40,4,10,12,65,47,72,50,33,66,58,80,138,50,33,66,35,25,72,42,58,138,A,,,,,,A. Corretja,I. Truyol,C344,T206,ESP,ESP,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS023,R32,00:54:00,,F,2,R016,"6-3,6-1",R. Reneberg,C. Caratti,,,USA,ITA,6-3,6-1,,,,00:54:00,,,214,/en/stats/leaderboard?page=serve,1,2,53,21,40,86,18,21,74,14,19,0,0,,8,196,/en/stats/leaderboard?page=serve,4,2,55,30,55,57,17,30,36,9,25,56,5,9,8,80,32,40,53,29,55,64,61,95,47,26,55,20,8,40,36,34,95,A,,,,,,R. Reneberg,C. Caratti,R016,C270,USA,ITA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS024,R32,01:34:00,,F,3,M442,"2-6,6-2,6-1",T. Martin,M. Hadad,,,USA,COL,2-6,6-2,6-1,,,01:34:00,,,270,/en/stats/leaderboard?page=serve,5,8,51,40,78,80,32,40,53,20,38,75,6,8,12,238,/en/stats/leaderboard?page=serve,2,0,67,56,83,54,30,56,56,15,27,50,4,8,11,67,52,78,46,38,83,56,90,161,54,45,83,33,26,78,44,71,161,A,,,,,,T. Martin,M. Hadad,M442,H256,USA,COL,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS025,R32,01:53:00,,F,3,W212,"7-5,3-6,4-1",C. Woodruff,M. Knowles,,,USA,BAH,7-5,3-6,4-1,,,01:53:00,,,253,/en/stats/leaderboard?page=serve,6,8,63,52,82,75,39,52,37,11,30,50,3,6,13,231,/en/stats/leaderboard?page=serve,5,4,47,44,94,66,29,44,48,24,50,60,6,10,14,61,50,82,44,41,94,52,91,176,56,53,94,39,32,82,48,85,176,A,,,,,,C. Woodruff,M. Knowles,W212,K171,USA,BAH,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS026,R32,00:54:00,,F,2,W123,"6-1,6-1",D. Wheaton,T. Woodbridge,,,USA,AUS,6-1,6-1,,,,00:54:00,,,276,/en/stats/leaderboard?page=serve,1,3,55,23,42,87,20,23,47,9,19,75,3,4,7,120,/en/stats/leaderboard?page=serve,4,0,46,17,37,29,5,17,35,7,20,25,2,8,7,69,29,42,68,25,37,68,54,79,32,12,37,31,13,42,32,25,79,A,,,,,,D. Wheaton,T. Woodbridge,W123,W136,USA,AUS,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS027,R32,01:07:00,,F,2,E113,"6-4,6-2",T. Enqvist,S. Lareau,,,SWE,CAN,6-4,6-2,,,,01:07:00,,,207,/en/stats/leaderboard?page=serve,1,4,64,32,50,84,27,32,56,10,18,0,0,,9,233,/en/stats/leaderboard?page=serve,6,10,43,26,60,73,19,26,47,16,34,40,2,5,9,74,37,50,42,25,60,56,62,110,58,35,60,26,13,50,44,48,110,A,,,,,,T. Enqvist,S. Lareau,E113,L226,SWE,CAN,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS028,R32,01:33:00,,F,2,R280,"7-5,6-4",L. Roux,J. Stoltenberg,,,FRA,AUS,7-5,6-4,,,,01:33:00,,,233,/en/stats/leaderboard?page=serve,2,0,63,48,76,63,30,48,46,13,28,56,5,9,11,190,/en/stats/leaderboard?page=serve,5,4,43,29,67,66,19,29,37,14,38,33,3,9,11,57,43,76,51,34,67,54,77,143,49,33,67,43,33,76,46,66,143,A,,,,,,L. Roux,J. Stoltenberg,R280,S331,FRA,AUS,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS029,R32,01:22:00,,F,2,E004,"7-6(7),6-4",S. Edberg,G. Etlis,,,SWE,ARG,7-6(7),6-4,,,,01:22:00,7,5,196,/en/stats/leaderboard?page=serve,3,2,48,32,66,81,26,32,68,23,34,0,0,,11,280,/en/stats/leaderboard?page=serve,2,5,45,29,64,79,23,29,63,22,35,0,0,1,11,74,49,66,30,19,64,52,68,130,70,45,64,26,17,66,48,62,130,A,,,,,,S. Edberg,G. Etlis,E004,E138,SWE,ARG,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS030,R32,02:04:00,,F,3,K148,"2-6,6-4,7-5",P. Korda,S. Pescosolido,,,CZE,ITA,2-6,6-4,7-5,,,02:04:00,,,263,/en/stats/leaderboard?page=serve,2,3,57,52,91,71,37,52,54,21,39,57,4,7,15,247,/en/stats/leaderboard?page=serve,10,5,47,45,96,80,36,45,45,23,51,63,5,8,15,64,58,91,39,37,96,51,95,187,61,59,96,36,33,91,49,92,187,A,,,,,,P. Korda,S. Pescosolido,K148,P235,CZE,ITA,,
419,1996,Indianapolis,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Hard,56,915000,$,MS031,R32,02:05:00,,F,3,I034,"6-7(4),6-4,7-5",G. Ivanisevic,J. Frana,,,CRO,ARG,6-7(4),6-4,7-5,,,02:05:00,4,7,285,/en/stats/leaderboard?page=serve,7,21,44,50,114,86,43,50,53,34,64,83,10,12,17,258,/en/stats/leaderboard?page=serve,5,13,46,55,120,82,45,55,46,30,65,60,6,10,17,68,77,114,38,45,120,52,122,234,63,75,120,32,37,114,48,112,234,A,,,,,,G. Ivanisevic,J. Frana,I034,F041,CRO,ARG,,
