event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,servicegamesplayed_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,servicegamesplayed_isstatbetter_tot_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS090,R128,01:55:00,,F,3,V170,"6-1,7-6(7),7-6(7)",C. Van Garsse,N. Weal,,,BEL,GBR,6-1,7-6(7),7-6(7),,,01:55:00,275,/en/stats/leaderboard?page=serve,5,4,67,73.0,109,75,55.0,73.0,53,19.0,36.0,4,16,225,/en/stats/leaderboard?page=serve,5,3,53,64.0,120,67,43.0,64.0,41,23.0,56.0,67,10,15.0,15,68,74,109,45,54,120,56,128,229,55,66,120,32,35,109,44,101,229,A,7,3,,57,7,7,4,,,,,,,,,,C. Van Garsse,N. Weal,V170,W220,BEL,GBR,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS091,R128,01:27:00,,F,3,G182,"6-2,6-1,6-3",M. Gustafsson,V. Spadea,,,SWE,USA,6-2,6-1,6-3,,,01:27:00,279,/en/stats/leaderboard?page=serve,4,5,57,50.0,87,76,38.0,50.0,54,20.0,37.0,6,12,177,/en/stats/leaderboard?page=serve,5,1,52,51.0,99,61,31.0,51.0,27,13.0,48.0,56,9,16.0,12,67,58,87,56,55,99,61,113,186,44,44,99,33,29,87,39,73,186,A,,,,86,7,,,,,,,,,,,,M. Gustafsson,V. Spadea,G182,S544,SWE,USA,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS092,R128,02:45:00,,F,5,R284,"7-6(7),3-6,6-1,3-6,6-4",A. Radulescu,A. Voinea,,,GER,ROU,7-6(7),3-6,6-1,3-6,6-4,02:45:00,303,/en/stats/leaderboard?page=serve,7,23,62,103.0,166,83,85.0,103.0,56,35.0,63.0,4,23,271,/en/stats/leaderboard?page=serve,11,21,53,102.0,191,82,84.0,102.0,43,38.0,89.0,71,10,14.0,24,72,120,166,36,69,191,53,189,357,64,122,191,28,46,166,47,168,357,A,,,,57,7,,,7,5,,,,,,,,A. Radulescu,A. Voinea,R284,V166,GER,ROU,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS093,R128,01:31:00,,F,3,M543,"6-4,6-3,6-1",M. Martelli,B. Karbacher,,,ITA,GER,6-4,6-3,6-1,,,01:31:00,268,/en/stats/leaderboard?page=serve,7,7,47,47.0,100,87,41.0,47.0,42,22.0,53.0,5,13,195,/en/stats/leaderboard?page=serve,10,4,47,44.0,94,75,33.0,44.0,26,13.0,50.0,33,3,9.0,13,63,63,100,51,48,94,57,111,194,49,46,94,37,37,100,43,83,194,A,,,,83,6,,,,,,,,,,,,M. Martelli,B. Karbacher,M543,K190,ITA,GER,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS094,R128,01:53:00,,F,4,O098,"3-6,7-5,6-0,0-1",M. Ondruska,S. Schalken,,,RSA,NED,3-6,7-5,6-0,0-1,,01:53:00,266,/en/stats/leaderboard?page=serve,5,9,57,62.0,108,79,49.0,62.0,41,19.0,46.0,4,14,222,/en/stats/leaderboard?page=serve,11,5,53,57.0,108,77,44.0,57.0,27,14.0,51.0,64,7,11.0,14,63,68,108,46,50,108,55,118,216,54,58,108,37,40,108,45,98,216,A,,,,67,6,,,,,,,,,,,,M. Ondruska,S. Schalken,O098,S572,RSA,NED,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS095,R128,03:55:00,,F,5,W136,"7-6(7),3-6,6-2,3-6,8-6",T. Woodbridge,M. Chang,,,AUS,USA,7-6(7),3-6,6-2,3-6,8-6,03:55:00,238,/en/stats/leaderboard?page=serve,11,6,58,118.0,204,68,80.0,118.0,41,35.0,86.0,11,26,264,/en/stats/leaderboard?page=serve,1,2,71,124.0,174,60,75.0,124.0,56,28.0,50.0,65,11,17.0,26,56,115,204,41,71,174,49,186,378,59,103,174,44,89,204,51,192,378,A,,,,65,17,,,7,5,,,,,,,,T. Woodbridge,M. Chang,W136,C274,AUS,USA,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS096,R128,02:56:00,,F,5,W150,"7-6(7),0-6,5-7,6-3,6-4",C. Wilkinson,J. Bjorkman,,,GBR,SWE,7-6(7),0-6,5-7,6-3,6-4,02:56:00,246,/en/stats/leaderboard?page=serve,11,6,56,111.0,197,73,81.0,111.0,42,36.0,86.0,17,25,259,/en/stats/leaderboard?page=serve,10,4,55,93.0,168,74,69.0,93.0,49,37.0,75.0,67,6,9.0,24,59,117,197,37,62,168,49,179,365,63,106,168,41,80,197,51,186,365,A,,,,77,22,,,7,5,,,,,,,,C. Wilkinson,J. Bjorkman,W150,B446,GBR,SWE,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS097,R128,01:49:00,,F,3,W035,"6-3,7-5,6-4",M. Woodforde,L. Paes,,,AUS,IND,6-3,7-5,6-4,,,01:49:00,286,/en/stats/leaderboard?page=serve,3,3,62,61.0,98,80,49.0,61.0,51,19.0,37.0,2,16,244,/en/stats/leaderboard?page=serve,6,4,63,62.0,98,79,49.0,62.0,31,11.0,36.0,50,4,8.0,15,69,68,98,39,38,98,54,106,196,61,60,98,31,30,98,46,90,196,A,,,,67,3,,,,,,,,,,,,M. Woodforde,L. Paes,W035,P269,AUS,IND,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS098,R128,02:55:00,,F,4,C487,"2-6,7-6(7),7-5,6-2",A. Clement,L. Milligan,,,FRA,GBR,2-6,7-6(7),7-5,6-2,,02:55:00,204,/en/stats/leaderboard?page=serve,12,11,51,82.0,162,70,57.0,82.0,34,27.0,80.0,16,20,183,/en/stats/leaderboard?page=serve,10,3,58,94.0,161,54,51.0,94.0,33,22.0,67.0,56,14,25.0,20,52,84,162,55,88,161,53,172,323,45,73,161,48,78,162,47,151,323,A,,,,62,26,7,1,,,,,,,,,,A. Clement,L. Milligan,C487,M607,FRA,GBR,,
540,1997,Wimbledon,GS,1997-06-23T00:00:00,1997-07-06T00:00:00,Grass,128,5445815,$,MS099,R128,01:45:00,,F,3,L333,"7-5,6-3,6-3",M. Lee,N. Marques,,,GBR,POR,7-5,6-3,6-3,,,01:45:00,282,/en/stats/leaderboard?page=serve,3,11,65,69.0,106,78,54.0,69.0,51,19.0,37.0,5,15,226,/en/stats/leaderboard?page=serve,3,4,73,84.0,115,54,45.0,84.0,45,14.0,31.0,67,14,21.0,15,69,73,106,49,56,115,58,129,221,51,59,115,31,33,106,42,92,221,A,,,,63,8,,,,,,,,,,,,M. Lee,N. Marques,L333,M197,GBR,POR,,
