event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,servicegamesplayed_isstatbetter_tot_loser,servicegamesplayed_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS001,F,01:50:00,,F,3,K293,"6-3,6-4,6-2",G. Kuerten,S. Bruguera,,,BRA,ESP,6-3,6-4,6-2,,,01:50:00,291,/en/stats/leaderboard?page=serve,False,4,55,48.0,87,81,39.0,48.0,59,23.0,39.0,89,8,9,13,222,/en/stats/leaderboard?page=serve,1,1,67,76.0,114,59,45.0,76.0,39,15.0,38.0,67,12,18.0,14,71,62,87,47,54,114,58,116,201,53,60,114,29,25,87,42,85,201,A,,,,,,,,,,,,,G. Kuerten,S. Bruguera,K293,B350,BRA,ESP,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS002,SF,02:14:00,,F,4,K293,"6-1,3-6,6-1,7-6(7)",G. Kuerten,F. Dewulf,,,BRA,BEL,6-1,3-6,6-1,7-6(7),,02:14:00,272,/en/stats/leaderboard?page=serve,,14,49,71.0,145,80,57.0,71.0,51,38.0,74.0,75,9,12,18,212,/en/stats/leaderboard?page=serve,8,4,47,65.0,137,66,43.0,65.0,39,28.0,72.0,63,10,16.0,17,66,95,145,48,66,137,57,161,282,52,71,137,34,50,145,43,121,282,A,7,4,5,,,,,,,,,,G. Kuerten,F. Dewulf,K293,D228,BRA,BEL,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS003,SF,02:54:00,,F,4,B350,"6-7(6),6-1,7-5,7-6(7)",S. Bruguera,P. Rafter,,,ESP,AUS,6-7(6),6-1,7-5,7-6(7),,02:54:00,274,/en/stats/leaderboard?page=serve,,5,76,107.0,141,70,75.0,107.0,47,16.0,34.0,38,3,8,22,211,/en/stats/leaderboard?page=serve,10,4,59,86.0,146,64,55.0,86.0,33,20.0,60.0,27,3,11.0,21,65,91,141,49,71,146,56,162,287,51,75,146,35,50,141,44,125,287,A,7,1,1,6,8,,,,,,,,S. Bruguera,P. Rafter,B350,R255,ESP,AUS,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS004,QF,02:45:00,,F,4,D228,"6-2,6-7(2),6-4,6-3",F. Dewulf,M. Norman,,,BEL,SWE,6-2,6-7(2),6-4,6-3,,02:45:00,264,/en/stats/leaderboard?page=serve,,4,56,76.0,135,70,53.0,76.0,54,32.0,59.0,70,7,10,20,264,/en/stats/leaderboard?page=serve,2,23,62,109.0,176,72,78.0,109.0,46,31.0,67.0,53,8,15.0,19,63,85,135,38,67,176,49,152,311,62,109,176,37,50,135,51,159,311,A,,,5,,,2,7,,,,,,F. Dewulf,M. Norman,D228,N250,BEL,SWE,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS005,QF,02:30:00,,F,5,K293,"6-2,5-7,2-6,6-0,6-4",G. Kuerten,Y. Kafelnikov,,,BRA,RUS,6-2,5-7,2-6,6-0,6-4,02:30:00,288,/en/stats/leaderboard?page=serve,,16,58,83.0,144,80,66.0,83.0,57,35.0,61.0,56,5,9,22,237,/en/stats/leaderboard?page=serve,5,7,63,108.0,172,65,70.0,108.0,39,25.0,64.0,70,16,23.0,22,70,101,144,45,77,172,56,178,316,55,95,172,30,43,144,44,138,316,A,,,4,,,,,,,,,,G. Kuerten,Y. Kafelnikov,K293,K267,BRA,RUS,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS006,QF,02:10:00,,F,3,R255,"6-3,7-6(7),6-3",P. Rafter,G. Blanco,,,AUS,ESP,6-3,7-6(7),6-3,,,02:10:00,312,/en/stats/leaderboard?page=serve,,12,62,63.0,101,87,55.0,63.0,61,23.0,38.0,0,0,1,16,252,/en/stats/leaderboard?page=serve,4,2,67,81.0,121,64,52.0,81.0,45,18.0,40.0,83,15,18.0,14,77,78,101,42,51,121,58,129,222,58,70,121,23,23,101,42,93,222,A,,,3,,,7,3,,,,,,P. Rafter,G. Blanco,R255,B518,AUS,ESP,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS007,QF,02:17:00,,F,4,B350,"4-6,6-3,6-2,6-2",S. Bruguera,H. Arazi,,,ESP,MAR,4-6,6-3,6-2,6-2,,02:17:00,296,/en/stats/leaderboard?page=serve,,10,76,91.0,120,78,71.0,91.0,45,13.0,29.0,50,2,4,18,229,/en/stats/leaderboard?page=serve,4,7,47,59.0,126,73,43.0,59.0,42,28.0,67.0,40,4,10.0,17,70,84,120,44,55,126,57,139,246,56,71,126,30,36,120,43,107,246,A,,,1,,,,,,,,,,S. Bruguera,H. Arazi,B350,A226,ESP,MAR,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS008,R16,02:43:00,,F,4,N250,"4-6,6-3,7-6(7),6-3",M. Norman,M. Rosset,,,SWE,SUI,4-6,6-3,7-6(7),6-3,,02:43:00,289,/en/stats/leaderboard?page=serve,,3,65,90.0,138,78,70.0,90.0,54,26.0,48.0,75,6,8,21,250,/en/stats/leaderboard?page=serve,10,4,60,87.0,146,70,61.0,87.0,42,25.0,59.0,73,8,11.0,19,70,96,138,41,60,146,55,156,284,59,86,146,30,42,138,45,128,284,A,,,1,,,,,7,3,,,,M. Norman,M. Rosset,N250,R214,SWE,SUI,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS009,R16,02:57:00,,F,4,D228,"5-7,6-1,6-4,7-5",F. Dewulf,A. Corretja,,,BEL,ESP,5-7,6-1,6-4,7-5,,02:57:00,226,/en/stats/leaderboard?page=serve,,2,54,74.0,138,61,45.0,74.0,48,31.0,64.0,57,8,14,20,224,/en/stats/leaderboard?page=serve,5,3,71,105.0,148,52,55.0,105.0,51,22.0,43.0,38,6,16.0,21,55,76,138,48,71,148,51,147,286,52,77,148,45,62,138,49,139,286,A,,,9,,,,,,,,,,F. Dewulf,A. Corretja,D228,C344,BEL,ESP,,
520,1997,Roland Garros,GS,1997-05-26T00:00:00,1997-06-08T00:00:00,Clay,128,5544184,$,MS010,R16,01:34:00,,F,3,K267,"6-2,6-3,7-5",Y. Kafelnikov,M. Philippoussis,,,RUS,AUS,6-2,6-3,7-5,,,01:34:00,207,/en/stats/leaderboard?page=serve,,5,69,59.0,86,92,54.0,59.0,44,12.0,27.0,0,0,,15,248,/en/stats/leaderboard?page=serve,8,16,66,75.0,114,72,54.0,75.0,31,12.0,39.0,64,7,11.0,14,77,66,86,42,48,114,57,114,200,58,66,114,23,20,86,43,86,200,A,,,3,,,,,,,,,,Y. Kafelnikov,M. Philippoussis,K267,P338,RUS,AUS,,
