event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS011,R16,01:23:00,,F,2,S545,"7-5,6-2",S. Sargsian,D. Dilucia,,,ARM,USA,7-5,6-2,,,,01:23:00,,,275,/en/stats/leaderboard?page=serve,4,3,52,32,61,75,24,32,59,17,29,80,4,5,10,218,/en/stats/leaderboard?page=serve,7,3,51,36,70,61,22,36,50,17,34,50,4,8,10,67,41,61,44,31,70,55,72,131,56,39,70,33,20,61,45,59,131,A,,,,,,S. Sargsian,D. Dilucia,S545,D191,ARM,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS012,R16,02:15:00,,F,3,W123,"7-6(7),4-6,6-4",D. Wheaton,M. Joyce,,,USA,USA,7-6(7),4-6,6-4,,,02:15:00,7,5,253,/en/stats/leaderboard?page=serve,8,10,55,59,108,80,47,59,41,20,49,56,5,9,16,250,/en/stats/leaderboard?page=serve,3,6,58,63,108,70,44,63,44,20,45,67,8,12,16,62,67,108,41,44,108,51,111,216,59,64,108,38,41,108,49,105,216,A,,,,,,D. Wheaton,M. Joyce,W123,J100,USA,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS013,R16,01:02:00,,F,2,S406,"6-2,6-2",G. Stafford,L. Jensen,,,RSA,USA,6-2,6-2,,,,01:02:00,,,240,/en/stats/leaderboard?page=serve,3,5,31,14,45,86,12,14,71,22,31,,0,,8,192,/en/stats/leaderboard?page=serve,10,3,52,34,65,68,23,34,29,9,31,50,4,8,8,76,34,45,51,33,65,61,67,110,49,32,65,24,11,45,39,43,110,A,,,,,,G. Stafford,L. Jensen,S406,J009,RSA,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS014,R16,02:00:00,,F,3,S321,"4-6,6-3,6-4",B. Steven,B. Shelton,,,NZL,USA,4-6,6-3,6-4,,,02:00:00,,,260,/en/stats/leaderboard?page=serve,14,8,59,60,102,73,44,60,48,20,42,83,10,12,15,254,/en/stats/leaderboard?page=serve,5,5,58,60,104,63,38,60,55,24,44,67,6,9,14,63,64,102,40,42,104,51,106,206,60,62,104,37,38,102,49,100,206,A,,,,,,B. Steven,B. Shelton,S321,S380,NZL,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS015,R16,01:04:00,,F,2,W035,"6-3,6-1",M. Woodforde,D. Flach,,,AUS,USA,6-3,6-1,,,,01:04:00,,,190,/en/stats/leaderboard?page=serve,6,8,47,23,49,87,20,23,54,14,26,0,0,,8,198,/en/stats/leaderboard?page=serve,2,1,51,31,61,58,18,31,40,12,30,50,4,8,8,69,34,49,51,31,61,59,65,110,49,30,61,31,15,49,41,45,110,A,,,,,,M. Woodforde,D. Flach,W035,F191,AUS,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS016,R32,01:48:00,,F,3,R284,"6-4,6-7(3),6-3",A. Radulescu,V. Spadea,,,GER,USA,6-4,6-7(3),6-3,,,01:48:00,,,288,/en/stats/leaderboard?page=serve,7,19,54,49,90,84,41,49,51,21,41,0,0,2,16,243,/en/stats/leaderboard?page=serve,3,6,46,50,108,66,33,50,55,32,58,56,5,9,15,69,62,90,40,43,108,53,105,198,60,65,108,31,28,90,47,93,198,A,3,7,,,,A. Radulescu,V. Spadea,R284,S544,GER,USA,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS017,R32,01:31:00,,F,2,E143,"7-6(7),6-2",B. Ellwood,G. Etlis,,,AUS,ARG,7-6(7),6-2,,,,01:31:00,7,5,268,/en/stats/leaderboard?page=serve,6,2,56,44,79,80,35,44,46,16,35,75,3,4,10,236,/en/stats/leaderboard?page=serve,6,7,53,48,90,67,32,48,45,19,42,75,9,12,10,65,51,79,43,39,90,53,90,169,57,51,90,35,28,79,47,79,169,A,,,,,,B. Ellwood,G. Etlis,E143,E138,AUS,ARG,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS018,R32,01:16:00,,F,2,S454,"6-4,6-4",S. Simian,E. Ran,,,FRA,ISR,6-4,6-4,,,,01:16:00,,,248,/en/stats/leaderboard?page=serve,2,3,63,42,67,74,31,42,60,15,25,,0,,10,255,/en/stats/leaderboard?page=serve,3,1,48,30,63,77,23,30,52,17,33,60,3,5,10,69,46,67,37,23,63,53,69,130,63,40,63,31,21,67,47,61,130,A,,,,,,S. Simian,E. Ran,S454,R243,FRA,ISR,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS019,R32,01:55:00,,F,3,P269,"7-5,6-7(4),6-4",L. Paes,F. Wibier,,,IND,NED,7-5,6-7(4),6-4,,,01:55:00,,,288,/en/stats/leaderboard?page=serve,6,4,65,70,107,80,56,70,51,19,37,75,3,4,17,274,/en/stats/leaderboard?page=serve,8,6,68,67,99,79,53,67,47,15,32,50,3,6,17,70,75,107,31,31,99,51,106,206,69,68,99,30,32,107,49,100,206,A,4,7,,,,L. Paes,F. Wibier,P269,W171,IND,NED,,
315,1997,Newport,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Grass,32,255000,$,MS020,R32,00:49:00,,F,2,S443,"6-2,6-2",S. Stolle,S. Campbell,,,AUS,USA,6-2,6-2,,,,00:49:00,,,291,/en/stats/leaderboard?page=serve,2,12,51,22,43,95,21,22,48,10,21,75,3,4,8,169,/en/stats/leaderboard?page=serve,4,3,40,17,42,53,9,17,40,10,25,17,1,6,8,72,31,43,55,23,42,64,54,85,45,19,42,28,12,43,36,31,85,A,,,,,,S. Stolle,S. Campbell,S443,C355,AUS,USA,,
