event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS013,R16,01:23:00,,F,2,P226,"6-4,6-2",C. Pioline,A. Ilie,,,FRA,AUS,6-4,6-2,,,,01:23:00,266,/en/stats/leaderboard?page=serve,6,4,47,28,60,89,25,28,44,14,32,3,9,223,/en/stats/leaderboard?page=serve,2,2,51,31,61,65,20,31,47,14,30,43,3,7,10,65,39,60,44,27,61,55,66,121,56,34,61,35,21,60,45,55,121,A,75,4,,,,,,,,C. Pioline,A. Ilie,P226,I052,FRA,AUS,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS014,R16,01:56:00,,F,3,H223,"6-1,4-6,7-5",P. Haarhuis,J. Novak,,,NED,CZE,6-1,4-6,7-5,,,01:56:00,240,/en/stats/leaderboard?page=serve,7,6,43,44,102,77,34,44,48,28,58,12,15,230,/en/stats/leaderboard?page=serve,1,3,69,66,96,62,41,66,40,12,30,50,6,12,14,61,62,102,45,43,96,53,105,198,55,53,96,39,40,102,47,93,198,A,75,16,,,,,,,,P. Haarhuis,J. Novak,H223,N254,NED,CZE,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS015,R16,01:02:00,,F,2,S572,"6-1,6-1",S. Schalken,J. Tarango,,,NED,USA,6-1,6-1,,,,01:02:00,173,/en/stats/leaderboard?page=serve,2,6,54,32,59,81,26,32,48,13,27,0,7,158,/en/stats/leaderboard?page=serve,2,1,43,18,42,50,9,18,38,9,24,17,1,6,7,66,39,59,57,24,42,62,63,101,43,18,42,34,20,59,38,38,101,A,,,,,,,,,,S. Schalken,J. Tarango,S572,T136,NED,USA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS016,R32,01:05:00,,F,2,B446,"6-2,6-3",J. Bjorkman,A. Clement,,,SWE,FRA,6-2,6-3,,,,01:05:00,284,/en/stats/leaderboard?page=serve,1,4,49,21,43,95,20,21,50,11,22,1,8,183,/en/stats/leaderboard?page=serve,4,3,46,31,67,55,17,31,39,14,36,62,8,13,9,72,31,43,54,36,67,61,67,110,46,31,67,28,12,43,39,43,110,A,50,2,,,,,,,,J. Bjorkman,A. Clement,B446,C487,SWE,FRA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS017,R32,01:59:00,,F,3,B518,"3-6,6-1,6-4",G. Blanco,H. Gumy,,,ESP,ARG,3-6,6-1,6-4,,,01:59:00,290,/en/stats/leaderboard?page=serve,3,9,64,51,80,76,39,51,52,15,29,4,13,250,/en/stats/leaderboard?page=serve,5,2,58,60,104,60,36,60,59,26,44,77,10,13,13,68,54,80,40,42,104,52,96,184,60,62,104,33,26,80,48,88,184,A,80,5,,,,,,,,G. Blanco,H. Gumy,B518,G247,ESP,ARG,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS018,R32,00:57:00,,F,2,G379,"6-2,6-0",S. Grosjean,J. van Lottum,,,FRA,NED,6-2,6-0,,,,00:57:00,255,/en/stats/leaderboard?page=serve,1,5,79,37,47,70,26,37,60,6,10,0,7,155,/en/stats/leaderboard?page=serve,6,1,55,29,53,48,14,29,29,7,24,55,6,11,7,68,32,47,60,32,53,64,64,100,40,21,53,32,15,47,36,36,100,A,,,,,,,,,,S. Grosjean,J. van Lottum,G379,V201,FRA,NED,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS019,R32,01:06:00,,F,2,M680,"6-3,6-1",X. Malisse,S. Campbell,,,BEL,USA,6-3,6-1,,,,01:06:00,276,/en/stats/leaderboard?page=serve,3,4,44,23,52,78,18,23,66,19,29,0,8,203,/en/stats/leaderboard?page=serve,,3,53,27,51,59,16,27,38,9,24,43,3,7,8,71,37,52,51,26,51,61,63,103,49,25,51,29,15,52,39,40,103,A,,,,,,,,,False,X. Malisse,S. Campbell,M680,C355,BEL,USA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS020,R32,01:33:00,,F,2,C274,"7-5,6-2",M. Chang,A. Pavel,,,USA,ROU,7-5,6-2,,,,01:33:00,270,/en/stats/leaderboard?page=serve,4,7,52,37,71,81,30,37,44,15,34,3,10,210,/en/stats/leaderboard?page=serve,7,1,53,46,86,63,29,46,40,16,40,75,12,16,10,63,45,71,48,41,86,55,86,157,52,45,86,37,26,71,45,71,157,A,75,4,,,,,,,,M. Chang,A. Pavel,C274,P280,USA,ROU,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS021,R32,01:55:00,,F,3,C328,"3-6,6-3,6-4",K. Carlsen,J. Golmard,,,DEN,FRA,3-6,6-3,6-4,,,01:55:00,297,/en/stats/leaderboard?page=serve,2,11,59,46,78,78,36,46,59,19,32,2,14,270,/en/stats/leaderboard?page=serve,7,8,45,35,78,83,29,35,56,24,43,0,0,2,14,71,55,78,32,25,78,51,80,156,68,53,78,29,23,78,49,76,156,A,67,3,,,,,,,,K. Carlsen,J. Golmard,C328,G319,DEN,FRA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS022,R32,01:23:00,,F,2,R280,"6-4,6-2",L. Roux,R. Delgado,,,FRA,PAR,6-4,6-2,,,,01:23:00,267,/en/stats/leaderboard?page=serve,5,5,43,24,56,88,21,24,59,19,32,0,9,221,/en/stats/leaderboard?page=serve,9,6,49,38,77,63,24,38,46,18,39,75,9,12,9,71,40,56,45,35,77,56,75,133,55,42,77,29,16,56,44,58,133,A,,,,,,,,,,L. Roux,R. Delgado,R280,D316,FRA,PAR,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS023,R32,01:04:00,,F,2,P045,"6-2,6-2",G. Pozzi,F. Santoro,,,ITA,FRA,6-2,6-2,,,,01:04:00,272,/en/stats/leaderboard?page=serve,1,2,42,22,53,77,17,22,65,20,31,0,8,201,/en/stats/leaderboard?page=serve,1,1,49,22,45,50,11,22,52,12,23,0,0,4,8,70,37,53,49,22,45,60,59,98,51,23,45,30,16,53,40,39,98,A,,,,,,,,,,G. Pozzi,F. Santoro,P045,S424,ITA,FRA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS024,R32,00:55:00,,F,2,M099,"6-0,6-2",T. Muster,M. Filippini,,,AUT,URU,6-0,6-2,,,,00:55:00,198,/en/stats/leaderboard?page=serve,1,4,36,13,36,85,11,13,74,17,23,0,7,166,/en/stats/leaderboard?page=serve,,0,55,27,49,33,9,27,50,11,22,44,4,9,7,78,28,36,59,29,49,67,57,85,41,20,49,22,8,36,33,28,85,A,0,,,,,,,,False,T. Muster,M. Filippini,M099,F165,AUT,URU,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS025,R32,02:51:00,,F,3,L290,"6-7(8),6-4,7-5",N. Lapentti,C. Costa,,,ECU,ESP,6-7(8),6-4,7-5,,,02:51:00,230,/en/stats/leaderboard?page=serve,4,4,55,68,123,66,45,68,45,25,55,9,17,202,/en/stats/leaderboard?page=serve,11,8,43,60,138,75,45,60,35,27,78,62,13,21,17,57,70,123,48,66,138,52,136,261,52,72,138,43,53,123,48,125,261,A,60,15,8,10,,,,,,N. Lapentti,C. Costa,L290,C179,ECU,ESP,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS026,R32,01:00:00,,F,2,I052,"6-4,6-2",A. Ilie,F. Squillari,,,AUS,ARG,6-4,6-2,,,,01:00:00,294,/en/stats/leaderboard?page=serve,1,0,62,28,45,86,24,28,59,10,17,0,9,212,/en/stats/leaderboard?page=serve,4,1,63,36,57,64,23,36,33,7,21,20,1,5,9,76,34,45,47,27,57,60,61,102,53,30,57,24,11,45,40,41,102,A,0,1,,,,,,,,A. Ilie,F. Squillari,I052,S568,AUS,ARG,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS027,R32,00:58:00,,F,2,P226,"6-4,6-0",C. Pioline,A. Voinea,,,FRA,ROU,6-4,6-0,,,,00:58:00,256,/en/stats/leaderboard?page=serve,4,3,45,19,42,89,17,19,48,11,23,1,8,165,/en/stats/leaderboard?page=serve,,3,53,25,47,52,13,25,32,7,22,45,5,11,8,67,28,42,57,27,47,62,55,89,43,20,47,33,14,42,38,34,89,A,33,3,,,,,,,False,C. Pioline,A. Voinea,P226,V166,FRA,ROU,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS028,R32,01:32:00,,F,3,N254,"4-6,6-1,6-1",J. Novak,A. Gaudenzi,,,CZE,ITA,4-6,6-1,6-1,,,01:32:00,260,/en/stats/leaderboard?page=serve,4,2,63,49,78,71,35,49,45,13,29,3,12,196,/en/stats/leaderboard?page=serve,8,3,42,31,73,61,19,31,48,20,42,40,4,10,12,62,48,78,47,34,73,54,82,151,53,39,73,38,30,78,46,69,151,A,60,5,,,,,,,,J. Novak,A. Gaudenzi,N254,G254,CZE,ITA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS029,R32,01:06:00,,F,2,H223,"6-1,6-3",P. Haarhuis,L. Arnold Ker,,,NED,ARG,6-1,6-3,,,,01:06:00,222,/en/stats/leaderboard?page=serve,1,6,55,22,40,95,21,22,67,12,18,0,8,194,/en/stats/leaderboard?page=serve,7,2,47,28,59,54,15,28,48,15,31,43,3,7,8,83,33,40,49,29,59,63,62,99,51,30,59,18,7,40,37,37,99,A,0,,,,,,,,,P. Haarhuis,L. Arnold Ker,H223,A228,NED,ARG,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS030,R32,01:45:00,,F,2,S572,"7-6(7),7-6(7)",S. Schalken,D. Sanguinetti,,,NED,ITA,7-6(7),7-6(7),,,,01:45:00,265,/en/stats/leaderboard?page=serve,2,2,63,58,92,72,42,58,47,16,34,10,12,261,/en/stats/leaderboard?page=serve,3,8,49,42,86,83,35,42,41,18,44,78,7,9,12,63,58,92,38,33,86,51,91,178,62,53,86,37,34,92,49,87,178,A,83,12,7,3,7,3,,,,S. Schalken,D. Sanguinetti,S572,S480,NED,ITA,,
80,1998,Boston,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS031,R32,01:19:00,,F,2,T136,"6-2,6-3",J. Tarango,K. Kucera,,,USA,SVK,6-2,6-3,,,,01:19:00,232,/en/stats/leaderboard?page=serve,3,1,63,36,57,61,22,36,48,10,21,3,8,150,/en/stats/leaderboard?page=serve,13,3,51,38,74,45,17,38,42,15,36,56,9,16,9,56,32,57,57,42,74,56,74,131,43,32,74,44,25,57,44,57,131,A,50,6,,,,,,,,J. Tarango,K. Kucera,T136,K237,USA,SVK,,
