event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS011,R16,01:32:00,,F,3,B428,"3-6,6-3,6-3",A. Berasategui,S. Dosedel,,,ESP,CZE,3-6,6-3,6-3,,,01:32:00,254,/en/stats/leaderboard?page=serve,2,1,74,68,92,62,42,68,50,12,24,69,9,13,13,218,/en/stats/leaderboard?page=serve,2,2,63,62,98,65,40,62,33,12,36,54,7,13,14,59,54,92,47,46,98,53,100,190,53,52,98,41,38,92,47,90,190,A,,,,,,,,,A. Berasategui,S. Dosedel,B428,D198,ESP,CZE,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS012,R16,01:38:00,,F,2,C344,"7-6(7),6-4",A. Corretja,A. Gaudenzi,,,ESP,ITA,7-6(7),6-4,,,,01:38:00,263,/en/stats/leaderboard?page=serve,4,1,40,25,62,88,22,25,57,21,37,0,0,2,11,247,/en/stats/leaderboard?page=serve,1,1,62,42,68,71,30,42,42,11,26,40,2,5,11,69,43,62,40,27,68,54,70,130,60,41,68,31,19,62,46,60,130,A,,,,7,1,,,,A. Corretja,A. Gaudenzi,C344,G254,ESP,ITA,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS013,R16,01:15:00,,F,2,M605,"6-2,6-3",C. Moya,Y. Kafelnikov,,,ESP,RUS,6-2,6-3,,,,01:15:00,237,/en/stats/leaderboard?page=serve,3,1,50,27,54,70,19,27,44,12,27,67,4,6,8,170,/en/stats/leaderboard?page=serve,4,2,46,31,67,65,20,31,28,10,36,57,8,14,9,57,31,54,55,37,67,56,68,121,45,30,67,43,23,54,44,53,121,A,,,,,,,,,C. Moya,Y. Kafelnikov,M605,K267,ESP,RUS,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS014,R16,00:53:00,,F,2,K214,"6-4,6-0",R. Krajicek,B. Ulihrach,,,NED,CZE,6-4,6-0,,,,00:53:00,257,/en/stats/leaderboard?page=serve,1,1,51,21,41,81,17,21,50,10,20,0,0,2,8,158,/en/stats/leaderboard?page=serve,6,1,51,27,53,56,15,27,31,8,26,50,6,12,8,66,27,41,57,30,53,61,57,94,43,23,53,34,14,41,39,37,94,A,,,,,,,,,R. Krajicek,B. Ulihrach,K214,U032,NED,CZE,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS015,R16,02:00:00,,F,3,K148,"5-7,6-4,6-4",P. Korda,A. Costa,,,CZE,ESP,5-7,6-4,6-4,,,02:00:00,201,/en/stats/leaderboard?page=serve,6,5,40,36,90,58,21,36,48,26,54,36,4,11,16,221,/en/stats/leaderboard?page=serve,1,0,69,72,104,50,36,72,53,17,32,47,7,15,16,52,47,90,49,51,104,51,98,194,51,53,104,48,43,90,49,96,194,A,,,,,,,,,P. Korda,A. Costa,K148,C378,CZE,ESP,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS016,R32,01:20:00,,F,2,S402,"6-4,7-5",P. Sampras,A. Agassi,,,USA,USA,6-4,7-5,,,,01:20:00,269,/en/stats/leaderboard?page=serve,2,6,52,33,63,82,27,33,50,15,30,50,2,4,11,239,/en/stats/leaderboard?page=serve,2,1,67,43,64,58,25,43,52,11,21,0,0,4,11,67,42,63,44,28,64,55,70,127,56,36,64,33,21,63,45,57,127,A,,,,,,,,,P. Sampras,A. Agassi,S402,A092,USA,USA,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS017,R32,01:05:00,,F,2,S424,"6-3,6-0",F. Santoro,S. Bruguera,,,FRA,ESP,6-3,6-0,,,,01:05:00,241,/en/stats/leaderboard?page=serve,3,0,47,20,43,65,13,20,61,14,23,50,2,4,7,151,/en/stats/leaderboard?page=serve,3,0,61,43,71,42,18,43,39,11,28,59,10,17,8,63,27,43,59,42,71,61,69,114,41,29,71,37,16,43,39,45,114,A,,,,,,,,,F. Santoro,S. Bruguera,S424,B350,FRA,ESP,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS018,R32,01:25:00,,F,2,P226,"6-1,7-6(7)",C. Pioline,S. Grosjean,,,FRA,FRA,6-1,7-6(7),,,,01:25:00,282,/en/stats/leaderboard?page=serve,3,3,64,42,66,67,28,42,71,17,24,50,2,4,10,214,/en/stats/leaderboard?page=serve,,2,55,33,60,58,19,33,44,12,27,0,0,4,9,68,45,66,48,29,60,59,74,126,52,31,60,32,21,66,41,52,126,A,,,False,,,,7,5,C. Pioline,S. Grosjean,P226,G379,FRA,FRA,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS019,R32,01:34:00,,F,2,K293,"7-5,7-5",G. Kuerten,F. Clavet,,,BRA,ESP,7-5,7-5,,,,01:34:00,240,/en/stats/leaderboard?page=serve,1,3,51,35,69,71,25,35,50,17,34,56,5,9,12,205,/en/stats/leaderboard?page=serve,4,2,62,54,87,59,32,54,36,12,33,45,5,11,12,61,42,69,49,43,87,54,85,156,51,44,87,39,27,69,46,71,156,A,,,,,,,,,G. Kuerten,F. Clavet,K293,C252,BRA,ESP,,
410,1998,ATP Masters 1000 Monte-Carlo,1000,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,56,2200000,$,MS020,R32,01:55:00,,F,3,B028,"6-4,3-6,6-3",B. Becker,G. Rusedski,,,GER,GBR,6-4,3-6,6-3,,,01:55:00,263,/en/stats/leaderboard?page=serve,9,4,52,45,87,76,34,45,55,23,42,78,7,9,14,250,/en/stats/leaderboard?page=serve,4,2,46,39,85,74,29,39,54,25,46,40,2,5,14,66,57,87,36,31,85,51,88,172,64,54,85,34,30,87,49,84,172,A,,,,,,,,,B. Becker,G. Rusedski,B028,R237,GER,GBR,,
