event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS031,R32,01:52:00,,F,2,K293,"7-6(10),7-6(7)",G. Kuerten,N. Escude,,,BRA,FRA,7-6(10),7-6(7),,,,01:52:00,10,8,,,,,284,/en/stats/leaderboard?page=serve,3,9,50,45,90,84,38,45,53,24,45,89,8,9,12,275,/en/stats/leaderboard?page=serve,7,10,51,44,86,82,36,44,48,20,42,88,7,8,12,69,62,90,35,30,86,52,92,176,65,56,86,31,28,90,48,84,176,A,7,1,G. Kuerten,N. Escude,K293,E140,BRA,FRA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS033,R64,01:15:00,,F,2,S424,"6-3,7-6(7)",F. Santoro,G. Ivanisevic,,,FRA,CRO,6-3,7-6(7),,,,01:15:00,,,,,,,279,/en/stats/leaderboard?page=serve,2,4,47,29,62,76,22,29,64,21,33,75,3,4,10,243,/en/stats/leaderboard?page=serve,5,10,51,42,82,62,26,42,53,21,40,63,5,8,11,69,43,62,43,35,82,54,78,144,57,47,82,31,19,62,46,66,144,A,7,4,F. Santoro,G. Ivanisevic,S424,I034,FRA,CRO,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS034,R64,00:43:00,,F,2,R237,"6-1,6-2",G. Rusedski,J. Golmard,,,GBR,FRA,6-1,6-2,,,,00:43:00,,,,,,,320,/en/stats/leaderboard?page=serve,1,7,56,23,41,91,21,23,67,12,18,100,2,2,8,186,/en/stats/leaderboard?page=serve,3,3,55,23,42,57,13,23,32,6,19,0,0,4,7,80,33,41,55,23,42,67,56,83,45,19,42,20,8,41,33,27,83,A,,,G. Rusedski,J. Golmard,R237,G319,GBR,FRA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS037,R64,02:47:00,,F,3,C378,"7-5,6-7(4),7-6(7)",A. Costa,J. Novak,,,ESP,CZE,7-5,6-7(4),7-6(7),,,02:47:00,,,7,3,,,259,/en/stats/leaderboard?page=serve,3,6,55,72,132,72,52,72,52,31,60,64,7,11,18,268,/en/stats/leaderboard?page=serve,0,8,71,89,126,63,56,89,54,20,37,44,4,9,18,63,83,132,40,50,126,52,133,258,60,76,126,37,49,132,48,125,258,A,4,7,A. Costa,J. Novak,C378,N254,ESP,CZE,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS038,R64,00:58:00,,F,2,K214,"6-2,6-4",R. Krajicek,A. Martin,,,NED,ESP,6-2,6-4,,,,00:58:00,,,,,,,317,/en/stats/leaderboard?page=serve,1,6,52,24,46,92,22,24,68,15,22,0,0,0,9,238,/en/stats/leaderboard?page=serve,3,0,74,40,54,58,23,40,43,6,14,25,1,4,9,80,37,46,46,25,54,62,62,100,54,29,54,20,9,46,38,38,100,A,,,R. Krajicek,A. Martin,K214,M590,NED,ESP,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS041,R64,01:57:00,,F,3,R214,"3-6,6-4,6-3",M. Rosset,R. Schuettler,,,SUI,GER,3-6,6-4,6-3,,,01:57:00,,,,,,,265,/en/stats/leaderboard?page=serve,6,13,49,38,77,87,33,38,44,17,39,25,1,4,14,241,/en/stats/leaderboard?page=serve,5,5,53,50,95,66,33,50,51,23,45,67,8,12,14,65,50,77,41,39,95,52,89,172,59,56,95,35,27,77,48,83,172,A,,,M. Rosset,R. Schuettler,R214,S636,SUI,GER,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS042,R64,01:23:00,,F,3,B599,"6-4,3-6,6-1",J. Boutter,H. Arazi,,,FRA,MAR,6-4,3-6,6-1,,,01:23:00,,,,,,,153,/en/stats/leaderboard?page=serve,0,0,62,44,71,27,12,44,41,11,27,33,5,15,13,116,/en/stats/leaderboard?page=serve,0,0,56,40,72,15,6,40,38,12,32,29,5,17,13,32,23,71,75,54,72,54,77,143,25,18,72,68,48,71,46,66,143,A,,,J. Boutter,H. Arazi,B599,A226,FRA,MAR,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS045,R64,01:28:00,,F,3,H377,"6-3,3-6,6-2",D. Hrbaty,C. Moya,,,SVK,ESP,6-3,3-6,6-2,,,01:28:00,,,,,,,293,/en/stats/leaderboard?page=serve,4,8,61,43,71,79,34,43,57,16,28,50,1,2,13,260,/en/stats/leaderboard?page=serve,3,8,53,47,88,70,33,47,56,23,41,77,10,13,13,70,50,71,36,32,88,52,82,159,64,56,88,30,21,71,48,77,159,A,,,D. Hrbaty,C. Moya,H377,M605,SVK,ESP,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS046,R64,00:47:00,,F,2,F324,"7-6(7),1-0",R. Federer,J. Gambill,,,SUI,USA,7-6(7),1-0,,,,00:47:00,7,3,,,,,286,/en/stats/leaderboard?page=serve,3,6,64,34,53,71,24,34,63,12,19,50,1,2,7,284,/en/stats/leaderboard?page=serve,0,6,63,20,32,90,18,20,42,5,12,0,0,1,6,68,36,53,28,9,32,53,45,85,72,23,32,32,17,53,47,40,85,A,,,R. Federer,J. Gambill,F324,G352,SUI,USA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS049,R64,02:13:00,,F,3,F196,"6-3,6-7(6),6-4",W. Ferreira,C. Vinck,,,RSA,GER,6-3,6-7(6),6-4,,,02:13:00,,,,,,,277,/en/stats/leaderboard?page=serve,4,10,56,53,95,79,42,53,50,21,42,33,1,3,15,227,/en/stats/leaderboard?page=serve,9,4,50,65,129,69,45,65,45,29,64,69,11,16,16,66,63,95,43,55,129,53,118,224,57,74,129,34,32,95,47,106,224,A,6,8,W. Ferreira,C. Vinck,F196,V175,RSA,GER,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS050,R64,01:49:00,,F,3,C487,"6-2,1-6,6-4",A. Clement,A. Vinciguerra,,,FRA,SWE,6-2,1-6,6-4,,,01:49:00,,,,,,,248,/en/stats/leaderboard?page=serve,5,8,52,51,99,67,34,51,50,24,48,70,7,10,13,237,/en/stats/leaderboard?page=serve,7,6,43,38,88,74,28,38,46,23,50,67,6,9,12,59,58,99,42,37,88,51,95,187,58,51,88,41,41,99,49,92,187,A,,,A. Clement,A. Vinciguerra,C487,V250,FRA,SWE,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS053,R64,01:43:00,,F,3,P280,"6-4,4-6,6-0",A. Pavel,G. Gaudio,,,ROU,ARG,6-4,4-6,6-0,,,01:43:00,,,,,,,276,/en/stats/leaderboard?page=serve,5,13,60,50,84,80,40,50,44,15,34,80,8,10,13,212,/en/stats/leaderboard?page=serve,8,3,49,39,79,69,27,39,38,15,40,44,4,9,13,65,55,84,47,37,79,56,92,163,53,42,79,35,29,84,44,71,163,A,,,A. Pavel,G. Gaudio,P280,G374,ROU,ARG,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS054,R64,02:22:00,,F,3,J129,"7-6(7),6-7(2),6-4",T. Johansson,F. Clavet,,,SWE,ESP,7-6(7),6-7(2),6-4,,,02:22:00,7,3,,,,,277,/en/stats/leaderboard?page=serve,6,20,50,52,103,94,49,52,37,19,51,0,0,3,17,263,/en/stats/leaderboard?page=serve,4,2,63,71,113,66,47,71,60,25,42,33,2,6,17,66,68,103,36,41,113,50,109,216,64,72,113,34,35,103,50,107,216,A,2,7,T. Johansson,F. Clavet,J129,C252,SWE,ESP,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS057,R64,02:18:00,,F,3,C274,"6-3,6-7(3),7-6(7)",M. Chang,J. Knippschild,,,USA,GER,6-3,6-7(3),7-6(7),,,02:18:00,,,7,1,,,268,/en/stats/leaderboard?page=serve,4,1,65,68,104,75,51,68,50,18,36,25,1,4,16,247,/en/stats/leaderboard?page=serve,3,8,49,52,106,60,31,52,63,34,54,29,2,7,17,66,69,104,39,41,106,52,110,210,61,65,106,34,35,104,48,100,210,A,3,7,M. Chang,J. Knippschild,C274,K260,USA,GER,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS058,R64,02:02:00,,F,3,E121,"7-6(9),3-6,6-3",Y. El Aynaoui,K. Alami,,,MAR,MAR,7-6(9),3-6,6-3,,,02:02:00,9,7,,,,,294,/en/stats/leaderboard?page=serve,2,13,66,65,99,75,49,65,56,19,34,75,6,8,15,276,/en/stats/leaderboard?page=serve,5,12,57,54,94,81,44,54,45,18,40,33,1,3,15,69,68,99,34,32,94,52,100,193,66,62,94,31,31,99,48,93,193,A,,,Y. El Aynaoui,K. Alami,E121,A203,MAR,MAR,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS061,R64,01:18:00,,F,2,G379,"6-4,6-2",S. Grosjean,T. Haas,,,FRA,GER,6-4,6-2,,,,01:18:00,,,,,,,283,/en/stats/leaderboard?page=serve,3,3,46,29,63,72,21,29,65,22,34,100,5,5,9,237,/en/stats/leaderboard?page=serve,2,2,62,38,61,61,23,38,48,11,23,57,4,7,9,68,43,63,44,27,61,56,70,124,56,34,61,32,20,63,44,54,124,A,,,S. Grosjean,T. Haas,G379,H355,FRA,GER,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS062,R64,01:05:00,,F,2,E140,"6-3,6-4",N. Escude,B. Phau,,,FRA,GER,6-3,6-4,,,,01:05:00,,,,,,,319,/en/stats/leaderboard?page=serve,1,5,55,28,51,86,24,28,74,17,23,0,0,0,10,243,/en/stats/leaderboard?page=serve,2,2,44,25,57,72,18,25,50,16,32,60,3,5,9,80,41,51,40,23,57,59,64,108,60,34,57,20,10,51,41,44,108,A,,,N. Escude,B. Phau,E140,P436,FRA,GER,,
