event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS011,R16,01:49:00,,F,3,N289,"6-2,7-6(8),6-3",J. Nieminen,F. Verdasco,,,FIN,ESP,6-2,7-6(8),6-3,,,01:49:00,,,306,/en/stats/leaderboard?page=serve,0,1,66,66,100,71,47,66,68,23,34,100,2,2,15,263,/en/stats/leaderboard?page=serve,8,8,72,67,93,67,45,67,46,12,26,63,5,8,14,70,70,100,39,36,93,55,106,193,61,57,93,30,30,100,45,87,193,A,8.0,6.0,,,,,,,J. Nieminen,F. Verdasco,N289,V306,FIN,ESP,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS012,R16,04:32:00,,F,5,C524,"6-4,2-6,6-7(5),6-2,6-2",G. Coria,N. Massu,,,ARG,CHI,6-4,2-6,6-7(5),6-2,6-2,04:32:00,5.0,7.0,243,/en/stats/leaderboard?page=serve,20,8,61,90,148,69,62,90,52,30,58,33,3,9,23,217,/en/stats/leaderboard?page=serve,9,5,54,95,175,62,59,95,45,36,80,67,18,27,23,62,92,148,46,80,175,53,172,323,54,95,175,38,56,148,47,151,323,A,,,,,,,,,G. Coria,N. Massu,C524,M655,ARG,CHI,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS013,R16,02:57:00,,F,5,G569,"6-3,3-6,6-7(8),6-4,6-0",R. Ginepri,R. Gasquet,,,USA,FRA,6-3,3-6,6-7(8),6-4,6-0,02:57:00,8.0,10.0,303,/en/stats/leaderboard?page=serve,2,15,65,91,141,76,69,91,58,29,50,60,3,5,23,266,/en/stats/leaderboard?page=serve,5,4,71,115,161,60,69,115,63,29,46,63,10,16,23,70,98,141,39,63,161,53,161,302,61,98,161,30,43,141,47,141,302,A,,,,,,,,,R. Ginepri,R. Gasquet,G569,G628,USA,FRA,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS014,R16,02:54:00,,F,5,A092,"6-3,6-4,6-7(5),4-6,6-2",A. Agassi,X. Malisse,,,USA,BEL,6-3,6-4,6-7(5),4-6,6-2,02:54:00,5.0,7.0,293,/en/stats/leaderboard?page=serve,5,11,64,94,147,76,71,94,55,29,53,67,4,6,25,286,/en/stats/leaderboard?page=serve,4,26,58,88,152,72,63,88,55,35,64,58,7,12,24,68,100,147,36,54,152,52,154,299,64,98,152,32,47,147,48,145,299,A,,,,,,,,,A. Agassi,X. Malisse,A092,M680,USA,BEL,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS015,R16,02:20:00,,F,4,B676,"4-6,7-5,6-2,6-3",J. Blake,T. Robredo,,,USA,ESP,4-6,7-5,6-2,6-3,,02:20:00,,,280,/en/stats/leaderboard?page=serve,3,5,59,64,109,77,49,64,58,26,45,50,3,6,19,230,/en/stats/leaderboard?page=serve,7,3,62,76,123,62,47,76,45,21,47,53,8,15,20,69,75,109,45,55,123,56,130,232,55,68,123,31,34,109,44,102,232,A,,,,,,,,,J. Blake,T. Robredo,B676,R419,USA,ESP,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS016,R32,01:54:00,,F,3,F324,"6-3,7-6(8),6-2",R. Federer,O. Rochus,,,SUI,BEL,6-3,7-6(8),6-2,,,01:54:00,,,300,/en/stats/leaderboard?page=serve,2,10,69,66,95,85,56,66,45,13,29,50,1,2,15,249,/en/stats/leaderboard?page=serve,3,2,64,62,97,61,38,62,54,19,35,50,4,8,14,73,69,95,41,40,97,57,109,192,59,57,97,27,26,95,43,83,192,A,8.0,6.0,,,,,,,R. Federer,O. Rochus,F324,R397,SUI,BEL,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS017,R32,03:07:00,,F,4,K316,"6-4,6-7(5),6-4,6-1",N. Kiefer,A. Clement,,,GER,FRA,6-4,6-7(5),6-4,6-1,,03:07:00,,,285,/en/stats/leaderboard?page=serve,6,19,58,71,123,79,56,71,50,26,52,57,4,7,20,226,/en/stats/leaderboard?page=serve,8,5,56,69,123,67,46,69,43,23,54,42,5,12,19,67,82,123,44,54,123,55,136,246,56,69,123,33,41,123,45,110,246,A,5.0,7.0,,,,,,,N. Kiefer,A. Clement,K316,C487,GER,FRA,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS018,R32,01:54:00,,F,3,N301,"7-5,6-3,6-0",D. Nalbandian,F. Gonzalez,,,ARG,CHI,7-5,6-3,6-0,,,01:54:00,,,282,/en/stats/leaderboard?page=serve,3,5,66,59,90,71,42,59,58,18,31,78,7,9,14,188,/en/stats/leaderboard?page=serve,8,3,45,39,86,59,23,39,43,20,47,42,5,12,13,67,60,90,50,43,86,59,103,176,50,43,86,33,30,90,41,73,176,A,,,,,,,,,D. Nalbandian,F. Gonzalez,N301,G415,ARG,CHI,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS019,R32,04:23:00,,F,5,S480,"6-3,4-6,6-7(2),7-6(8),7-6(7)",D. Sanguinetti,P. Srichaphan,,,ITA,THA,6-3,4-6,6-7(2),7-6(8),7-6(7),04:23:00,2.0,7.0,270,/en/stats/leaderboard?page=serve,2,9,67,128,191,71,91,128,48,30,63,65,11,17,27,254,/en/stats/leaderboard?page=serve,8,11,57,104,184,70,73,104,49,39,80,50,7,14,28,63,121,191,39,72,184,51,193,375,61,112,184,37,70,191,49,182,375,A,,,7.0,5.0,8.0,6.0,,,D. Sanguinetti,P. Srichaphan,S480,S675,ITA,THA,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS020,R32,03:20:00,,F,5,H432,"6-3,3-6,6-7(2),6-2,7-5",L. Hewitt,T. Dent,,,AUS,USA,6-3,3-6,6-7(2),6-2,7-5,03:20:00,2.0,7.0,254,/en/stats/leaderboard?page=serve,8,7,50,80,161,74,59,80,51,41,81,44,4,9,25,245,/en/stats/leaderboard?page=serve,10,19,54,85,157,71,60,85,43,31,72,50,8,16,25,62,100,161,42,66,157,52,166,318,58,91,157,38,61,161,48,152,318,A,,,,,,,,,L. Hewitt,T. Dent,H432,D362,AUS,USA,,
560,2005,US Open,GS,2005-08-29T00:00:00,2005-09-11T00:00:00,Hard,128,7950000,$,MS021,R32,03:07:00,,F,4,H377,"6-7(7),7-5,7-5,7-5",D. Hrbaty,D. Ferrer,,,SVK,ESP,6-7(7),7-5,7-5,7-5,,03:07:00,,,272,/en/stats/leaderboard?page=serve,10,13,55,76,138,79,60,76,52,32,62,43,3,7,24,242,/en/stats/leaderboard?page=serve,6,3,63,107,170,63,67,107,49,31,63,65,13,20,24,67,92,138,42,72,170,53,164,308,58,98,170,33,46,138,47,144,308,A,,,,,,,7.0,9.0,D. Hrbaty,D. Ferrer,H377,F401,SVK,ESP,,
