event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS001,F,02:19:00,,F,4,M099,"6-3,4-6,6-4,6-1",T. Muster,M. Rios,,,AUT,CHI,6-3,4-6,6-4,6-1,,02:19:00,277,/en/stats/leaderboard?page=serve,3,4,57,68,119,72,49,68,59,30,51,85,11,13,18,232,/en/stats/leaderboard?page=serve,5,6,46,52,114,77,40,52,42,26,62,57,8,14,18,66,79,119,42,48,114,55,127,233,58,66,114,34,40,119,45,106,233,A,,,,,,,,,T. Muster,M. Rios,M099,R286,AUT,CHI,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS002,SF,02:06:00,,F,3,M099,"4-6,6-2,6-4",T. Muster,C. Moya,,,AUT,ESP,4-6,6-2,6-4,,,02:06:00,270,/en/stats/leaderboard?page=serve,4,1,61,59,97,69,41,59,58,22,38,80,8,10,14,247,/en/stats/leaderboard?page=serve,2,3,65,68,104,60,41,68,50,18,36,73,11,15,14,65,63,97,43,45,104,54,108,201,57,59,104,35,34,97,46,93,201,A,,,,,,,,,T. Muster,C. Moya,M099,M605,AUT,ESP,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS003,SF,02:53:00,,F,3,R286,"7-6(7),4-6,7-6(7)",M. Rios,J. Courier,,,CHI,USA,7-6(7),4-6,7-6(7),,,02:53:00,261,/en/stats/leaderboard?page=serve,3,8,45,51,113,69,35,51,66,41,62,60,6,10,17,266,/en/stats/leaderboard?page=serve,5,8,69,94,136,69,65,94,43,18,42,83,15,18,17,67,76,113,39,53,136,52,129,249,61,83,136,33,37,113,48,120,249,A,7,5,7,5,,,,,M. Rios,J. Courier,R286,C243,CHI,USA,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS004,QF,01:04:00,,F,2,M099,"6-1,6-1",T. Muster,F. Roig,,,AUT,ESP,6-1,6-1,,,,01:04:00,250,/en/stats/leaderboard?page=serve,,0,61,31,51,77,24,31,55,11,20,,0,,7,171,/en/stats/leaderboard?page=serve,4,4,42,20,48,80,16,20,21,6,28,69,11,16,7,69,35,51,54,26,48,62,61,99,46,22,48,31,16,51,38,38,99,A,,,,,False,,,,T. Muster,F. Roig,M099,R177,AUT,ESP,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS005,QF,01:04:00,,F,2,M605,"6-3,6-3",C. Moya,A. Berasategui,,,ESP,ESP,6-3,6-3,,,,01:04:00,272,/en/stats/leaderboard?page=serve,2,2,75,42,56,74,31,42,57,8,14,,0,,9,258,/en/stats/leaderboard?page=serve,,1,73,40,55,58,23,40,60,9,15,25,1,4,9,70,39,56,42,23,55,56,62,111,58,32,55,30,17,56,44,49,111,A,,,,,,False,,,C. Moya,A. Berasategui,M605,B428,ESP,ESP,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS006,QF,01:28:00,,F,3,R286,"2-6,6-1,6-2",M. Rios,M. Larsson,,,CHI,SWE,2-6,6-1,6-2,,,01:28:00,246,/en/stats/leaderboard?page=serve,2,5,49,37,75,54,20,37,68,26,38,75,9,12,11,200,/en/stats/leaderboard?page=serve,1,5,46,41,89,54,22,41,46,22,48,50,6,12,12,61,46,75,51,45,89,55,91,164,49,44,89,39,29,75,45,73,164,A,,,,,,,,,M. Rios,M. Larsson,R286,L206,CHI,SWE,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS007,QF,01:39:00,,F,2,C243,"6-3,7-6(7)",J. Courier,T. Martin,,,USA,USA,6-3,7-6(7),,,,01:39:00,268,/en/stats/leaderboard?page=serve,3,1,56,39,70,72,28,39,61,19,31,50,2,4,11,239,/en/stats/leaderboard?page=serve,4,8,54,40,74,73,29,40,38,13,34,40,2,5,10,67,47,70,43,32,74,55,79,144,57,42,74,33,23,70,45,65,144,A,,,,,,,7,4,J. Courier,T. Martin,C243,M442,USA,USA,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS008,R16,01:30:00,,F,2,M099,"6-4,7-5",T. Muster,B. Ulihrach,,,AUT,CZE,6-4,7-5,,,,01:30:00,261,/en/stats/leaderboard?page=serve,1,1,57,36,63,75,27,36,48,13,27,50,2,4,11,232,/en/stats/leaderboard?page=serve,3,6,58,52,89,65,34,52,43,16,37,64,7,11,11,63,40,63,44,39,89,52,79,152,56,50,89,37,23,63,48,73,152,A,,,,,,,,,T. Muster,B. Ulihrach,M099,U032,AUT,CZE,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS009,R16,00:58:00,,F,2,R177,"6-3,6-2",F. Roig,R. Furlan,,,ESP,ITA,6-3,6-2,,,,00:58:00,296,/en/stats/leaderboard?page=serve,2,11,57,29,51,83,24,29,59,13,22,67,2,3,9,206,/en/stats/leaderboard?page=serve,3,2,56,23,41,57,13,23,44,8,18,20,1,5,8,73,37,51,49,20,41,62,57,92,51,21,41,27,14,51,38,35,92,A,,,,,,,,,F. Roig,R. Furlan,R177,F192,ESP,ITA,,
425,1996,Barcelona,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,56,800000,$,MS010,R16,01:04:00,,F,2,B428,"6-1,6-4",A. Berasategui,J. Burillo,,,ESP,ESP,6-1,6-4,,,,01:04:00,292,/en/stats/leaderboard?page=serve,,3,85,46,54,67,31,46,75,6,8,,0,,8,214,/en/stats/leaderboard?page=serve,3,4,53,35,66,63,22,35,42,13,31,64,7,11,9,69,37,54,47,31,66,57,68,120,53,35,66,31,17,54,43,52,120,A,,,,,False,,,,A. Berasategui,J. Burillo,B428,B429,ESP,ESP,,
