event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS011,R16,01:45:00,,F,2,U032,"7-6(7),6-4",B. Ulihrach,F. Montana,,,CZE,USA,7-6(7),6-4,,,,01:45:00,238,/en/stats/leaderboard?page=serve,3,3,50,38,76,66,25,38,50,19,38,63,5,8,11,231,/en/stats/leaderboard?page=serve,2,0,64,48,75,58,28,48,48,13,27,64,7,11,11,58,44,76,45,34,75,52,78,151,55,41,75,42,32,76,48,73,151,A,,7,2,,,,,,B. Ulihrach,F. Montana,U032,M399,CZE,USA,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS012,R16,01:12:00,,F,2,V141,"6-2,6-2",D. Vacek,S. Noszaly,,,CZE,HUN,6-2,6-2,,,,01:12:00,273,/en/stats/leaderboard?page=serve,2,3,59,32,54,81,26,32,45,10,22,83,5,6,8,184,/en/stats/leaderboard?page=serve,6,2,65,34,52,47,16,34,39,7,18,29,2,7,8,67,36,54,56,29,52,61,65,106,44,23,52,33,18,54,39,41,106,A,,,,,,,,,D. Vacek,S. Noszaly,V141,N112,CZE,HUN,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS013,R16,00:27:00,,F,1,R219,4-1,C. Ruud,F. Santoro,,,NOR,FRA,4-1,,,,,00:27:00,222,/en/stats/leaderboard?page=serve,,0,69,11,16,73,8,11,80,4,5,0,0,,3,213,/en/stats/leaderboard?page=serve,2,1,57,12,21,58,7,12,33,3,9,67,2,3,3,75,12,16,52,11,21,62,23,37,48,10,21,25,4,16,38,14,37,A,,,,False,,,,,C. Ruud,F. Santoro,R219,S424,NOR,FRA,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS014,R16,02:24:00,,F,3,S015,"7-6(7),3-6,7-6(8)",J. Sanchez,G. Kuerten,,,ESP,BRA,7-6(7),3-6,7-6(8),,,02:24:00,249,/en/stats/leaderboard?page=serve,4,2,60,79,131,63,50,79,52,27,52,71,10,14,17,268,/en/stats/leaderboard?page=serve,3,5,47,50,107,72,36,50,60,34,57,71,5,7,16,59,77,131,35,37,107,48,114,238,65,70,107,41,54,131,52,124,238,A,,7,3,,8,6,,,J. Sanchez,G. Kuerten,S015,K293,ESP,BRA,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS015,R16,01:05:00,,F,2,K267,"6-4,6-2",Y. Kafelnikov,N. Marques,,,RUS,POR,6-4,6-2,,,,01:05:00,285,/en/stats/leaderboard?page=serve,1,2,62,31,50,81,25,31,53,10,19,0,0,1,9,208,/en/stats/leaderboard?page=serve,2,3,53,32,60,63,20,32,36,10,28,43,3,7,9,70,35,50,50,30,60,59,65,110,50,30,60,30,15,50,41,45,110,A,,,,,,,,,Y. Kafelnikov,N. Marques,K267,M197,RUS,POR,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS016,R32,01:21:00,,F,2,M535,"7-6(7),6-1",F. Mantilla,T. Enqvist,,,ESP,SWE,7-6(7),6-1,,,,01:21:00,297,/en/stats/leaderboard?page=serve,,1,81,55,68,65,36,55,62,8,13,75,3,4,9,210,/en/stats/leaderboard?page=serve,2,1,44,29,66,69,20,29,38,14,37,0,0,4,10,65,44,68,48,32,66,57,76,134,52,34,66,35,24,68,43,58,134,A,,7,5,False,,,,,F. Mantilla,T. Enqvist,M535,E113,ESP,SWE,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS017,R32,01:08:00,,F,2,S014,"6-1,6-2",E. Sanchez,J. Golmard,,,ESP,FRA,6-1,6-2,,,,01:08:00,264,/en/stats/leaderboard?page=serve,,4,70,31,44,71,22,31,77,10,13,,0,,7,179,/en/stats/leaderboard?page=serve,3,1,52,29,56,59,17,29,33,9,27,55,6,11,8,73,32,44,54,30,56,62,62,100,46,26,56,27,12,44,38,38,100,A,,,,False,,,,,E. Sanchez,J. Golmard,S014,G319,ESP,FRA,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS018,R32,01:20:00,,F,2,G028,"6-3,6-4",M. Gorriz,D. Dier,,,ESP,GER,6-3,6-4,,,,01:20:00,291,/en/stats/leaderboard?page=serve,,5,55,29,53,83,24,29,58,14,24,0,0,1,10,229,/en/stats/leaderboard?page=serve,2,4,45,25,56,64,16,25,52,16,31,63,5,8,9,72,38,53,43,24,56,57,62,109,57,32,56,28,15,53,43,47,109,A,,,,False,,,,,M. Gorriz,D. Dier,G028,D207,ESP,GER,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS019,R32,02:01:00,,F,3,M590,"7-6(7),3-6,6-4",A. Martin,F. Dewulf,,,ESP,BEL,7-6(7),3-6,6-4,,,02:01:00,266,/en/stats/leaderboard?page=serve,4,1,57,54,95,69,37,54,63,26,41,50,3,6,15,234,/en/stats/leaderboard?page=serve,17,1,40,44,111,80,35,44,49,33,67,73,8,11,16,66,63,95,39,43,111,51,106,206,61,68,111,34,32,95,49,100,206,A,,7,3,,,,,,A. Martin,F. Dewulf,M590,D228,ESP,BEL,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS020,R32,01:21:00,,F,2,B293,"7-6(7),6-2",P. Baur,M. Rosset,,,GER,SUI,7-6(7),6-2,,,,01:21:00,252,/en/stats/leaderboard?page=serve,6,2,45,31,69,81,25,31,50,19,38,33,1,3,10,228,/en/stats/leaderboard?page=serve,1,0,61,38,62,58,22,38,50,12,24,60,6,10,10,64,44,69,45,28,62,55,72,131,55,34,62,36,25,69,45,59,131,A,,7,3,,,,,,P. Baur,M. Rosset,B293,R214,GER,SUI,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS021,R32,01:54:00,,F,3,T243,"3-6,6-4,7-5",M. Tabara,D. Miketa,,,CZE,CZE,3-6,6-4,7-5,,,01:54:00,190,/en/stats/leaderboard?page=serve,5,0,61,63,103,51,32,63,43,17,40,36,5,14,15,169,/en/stats/leaderboard?page=serve,8,1,45,54,121,54,29,54,40,27,67,47,9,19,16,48,49,103,54,65,121,51,114,224,46,56,121,52,54,103,49,110,224,A,,,,,,,,,M. Tabara,D. Miketa,T243,M555,CZE,CZE,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS022,R32,01:07:00,,F,2,M399,"6-3,6-2",F. Montana,O. Ogorodov,,,USA,UZB,6-3,6-2,,,,01:07:00,276,/en/stats/leaderboard?page=serve,,0,65,37,57,59,22,37,65,13,20,80,4,5,8,212,/en/stats/leaderboard?page=serve,1,1,79,41,52,44,18,41,45,5,11,17,1,6,9,61,35,57,56,29,52,59,64,109,44,23,52,39,22,57,41,45,109,A,,,,False,,,,,F. Montana,O. Ogorodov,M399,O127,USA,UZB,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS023,R32,00:50:00,,F,2,U032,"6-0,6-2",B. Ulihrach,P. Luxa,,,CZE,CZE,6-0,6-2,,,,00:50:00,260,/en/stats/leaderboard?page=serve,3,6,40,17,43,82,14,17,50,13,26,67,2,3,7,139,/en/stats/leaderboard?page=serve,3,1,54,25,46,40,10,25,33,7,21,25,2,8,7,63,27,43,63,29,46,63,56,89,37,17,46,37,16,43,37,33,89,A,,,,,,,,,B. Ulihrach,P. Luxa,U032,L353,CZE,CZE,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS024,R32,01:35:00,,F,3,V141,"6-2,2-6,6-1",D. Vacek,F. Messori,,,CZE,ITA,6-2,2-6,6-1,,,01:35:00,235,/en/stats/leaderboard?page=serve,7,6,52,44,84,75,33,44,43,17,40,60,6,10,12,203,/en/stats/leaderboard?page=serve,2,4,55,42,76,57,24,42,44,15,34,45,5,11,11,60,50,84,49,37,76,54,87,160,51,39,76,40,34,84,46,73,160,A,,,,,,,,,D. Vacek,F. Messori,V141,M511,CZE,ITA,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS025,R32,02:53:00,,F,3,N112,"2-6,7-5,7-6(7)",S. Noszaly,J. Cunha-Silva,,,HUN,POR,2-6,7-5,7-6(7),,,02:53:00,234,/en/stats/leaderboard?page=serve,10,5,66,79,119,63,50,79,48,19,40,54,7,13,16,244,/en/stats/leaderboard?page=serve,2,2,70,84,120,62,52,84,44,16,36,64,9,14,16,58,69,119,43,52,120,51,121,239,57,68,120,42,50,119,49,118,239,A,,,,,7,2,,,S. Noszaly,J. Cunha-Silva,N112,C113,HUN,POR,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS026,R32,01:14:00,,F,2,R219,"6-2,6-3",C. Ruud,M. Damm,,,NOR,CZE,6-2,6-3,,,,01:14:00,270,/en/stats/leaderboard?page=serve,,1,55,33,60,64,21,33,63,17,27,83,5,6,8,203,/en/stats/leaderboard?page=serve,3,3,38,21,55,95,20,21,26,9,34,38,3,8,9,63,38,60,47,26,55,56,64,115,53,29,55,37,22,60,44,51,115,A,,,,False,,,,,C. Ruud,M. Damm,R219,D214,NOR,CZE,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS027,R32,02:02:00,,F,2,S424,"7-5,6-4",F. Santoro,J. Sekulov,,,FRA,AUS,7-5,6-4,,,,02:02:00,262,/en/stats/leaderboard?page=serve,1,1,64,58,91,62,36,58,55,18,33,83,10,12,11,228,/en/stats/leaderboard?page=serve,4,0,61,39,64,56,22,39,52,13,25,43,3,7,11,59,54,91,45,29,64,54,83,155,55,35,64,41,37,91,46,72,155,A,,,,,,,,,F. Santoro,J. Sekulov,S424,S626,FRA,AUS,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS028,R32,01:08:00,,F,2,S015,"6-0,6-4",J. Sanchez,F. Fetterlein,,,ESP,DEN,6-0,6-4,,,,01:08:00,248,/en/stats/leaderboard?page=serve,,1,50,27,54,70,19,27,52,14,27,60,3,5,8,160,/en/stats/leaderboard?page=serve,4,0,60,26,43,50,13,26,29,5,17,14,1,7,8,61,33,54,58,25,43,60,58,97,42,18,43,39,21,54,40,39,97,A,,,,False,,,,,J. Sanchez,F. Fetterlein,S015,F206,ESP,DEN,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS029,R32,01:58:00,,F,3,K293,"3-6,7-5,7-5",G. Kuerten,A. Chesnokov,,,BRA,RUS,3-6,7-5,7-5,,,01:58:00,210,/en/stats/leaderboard?page=serve,,1,49,44,90,61,27,44,43,20,46,53,8,15,16,205,/en/stats/leaderboard?page=serve,3,1,54,53,99,55,29,53,46,21,46,53,9,17,17,52,47,90,49,49,99,51,96,189,51,50,99,48,43,90,49,93,189,A,,,,False,,,,,G. Kuerten,A. Chesnokov,K293,C031,BRA,RUS,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS030,R32,01:55:00,,F,3,M197,"2-6,7-6(7),6-4",N. Marques,D. Rikl,,,POR,CZE,2-6,7-6(7),6-4,,,01:55:00,253,/en/stats/leaderboard?page=serve,2,4,61,65,107,72,47,65,45,19,42,64,7,11,15,271,/en/stats/leaderboard?page=serve,3,2,60,54,90,65,35,54,67,24,36,57,4,7,15,62,66,107,34,31,90,49,97,197,66,59,90,38,41,107,51,100,197,A,,,,,,,7,4,N. Marques,D. Rikl,M197,R203,POR,CZE,,
379,1996,Prague,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,340000,$,MS031,R32,01:00:00,,F,2,K267,"6-3,6-3",Y. Kafelnikov,D. Skoch,,,RUS,CZE,6-3,6-3,,,,01:00:00,250,/en/stats/leaderboard?page=serve,4,5,50,27,54,70,19,27,52,14,27,60,3,5,9,211,/en/stats/leaderboard?page=serve,1,2,72,42,58,50,21,42,44,7,16,44,4,9,9,61,33,54,52,30,58,56,63,112,48,28,58,39,21,54,44,49,112,A,,,,,,,,,Y. Kafelnikov,D. Skoch,K267,S552,RUS,CZE,,
