event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS019,R32,01:25:00,,F,2,R975,"6-3,6-4",M. Raonic,M. Kecmanovic,,,CAN,SRB,6-3,6-4,,,,01:25:00,A,M. Raonic,M. Kecmanovic,CAN,SRB,,,295,/en/stats/leaderboard?page=serve,7,15,65,37,57,92,34,37,40,8,20,80,4,5,10,244,/en/stats/leaderboard?page=serve,1,4,66,49,74,65,32,49,44,11,25,70,7,10,9,74,42,57,42,31,74,56,73,131,58,43,74,26,15,57,44,58,131,,,,,01:25:00,01:25:00,R975,KI95
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS021,R32,01:22:00,,F,2,MK66,"6-4,6-3",M. McDonald,I. Ivashka,,,USA,BLR,6-4,6-3,,,,01:22:00,A,M. McDonald,I. Ivashka,USA,BLR,,,298,/en/stats/leaderboard?page=serve,1,5,69,43,62,67,29,43,68,13,19,86,6,7,10,234,/en/stats/leaderboard?page=serve,4,5,48,27,56,74,20,27,45,13,29,50,3,6,9,68,42,62,41,23,56,55,65,118,59,33,56,32,20,62,45,53,118,,,,,01:22:00,01:22:00,MK66,I305
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS022,R32,02:19:00,,F,3,H0BH,"6-7(5),6-3,6-2",R. Hijikata,G. Brouwer,,,AUS,NED,6-7(5),6-3,6-2,,,02:19:00,A,R. Hijikata,G. Brouwer,AUS,NED,,,290,/en/stats/leaderboard?page=serve,0,8,62,69,112,74,51,69,53,23,43,80,4,5,15,249,/en/stats/leaderboard?page=serve,7,12,69,68,99,69,47,68,35,11,31,56,5,9,14,66,74,112,41,41,99,55,115,211,59,58,99,34,38,112,45,96,211,5,7,,,02:19:00,02:19:00,H0BH,BO10
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS023,R32,01:40:00,,F,2,HH06,"6-2,7-6(7)",M. Huesler,M. Cressy,,,SUI,USA,6-2,7-6(7),,,,01:40:00,A,M. Huesler,M. Cressy,SUI,USA,,,289,/en/stats/leaderboard?page=serve,2,6,52,31,60,74,23,31,69,20,29,80,4,5,10,228,/en/stats/leaderboard?page=serve,14,10,56,44,78,68,30,44,38,13,34,57,4,7,10,72,43,60,45,35,78,57,78,138,55,43,78,28,17,60,43,60,138,,,7,2,01:40:00,01:40:00,HH06,C0BC
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS024,R32,01:47:00,,F,3,GJ37,"6-2,3-6,6-3",T. Griekspoor,M. Ymer,,,NED,SWE,6-2,3-6,6-3,,,01:47:00,A,T. Griekspoor,M. Ymer,NED,SWE,,,312,/en/stats/leaderboard?page=serve,1,8,72,53,74,74,39,53,67,14,21,0,0,1,13,256,/en/stats/leaderboard?page=serve,4,5,69,68,98,60,41,68,50,15,30,70,7,10,13,72,53,74,43,42,98,55,95,172,57,56,98,28,21,74,45,77,172,,,,,01:47:00,01:47:00,GJ37,Y268
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS025,R32,01:26:00,,F,2,P09Z,"6-3,7-6(8)",A. Popyrin,A. Rinderknech,,,AUS,FRA,6-3,7-6(8),,,,01:26:00,A,A. Popyrin,A. Rinderknech,AUS,FRA,,,336,/en/stats/leaderboard?page=serve,2,8,65,40,62,88,35,40,77,17,22,100,1,1,11,288,/en/stats/leaderboard?page=serve,3,7,66,41,62,90,37,41,38,8,21,75,3,4,10,84,52,62,27,17,62,56,69,124,73,45,62,16,10,62,44,55,124,,,8,6,01:26:00,01:26:00,P09Z,RC91
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS026,R32,01:21:00,,F,2,DB63,"6-4,6-2",L. Djere,R. Berankis,,,SRB,LTU,6-4,6-2,,,,01:21:00,A,L. Djere,R. Berankis,SRB,LTU,,,294,/en/stats/leaderboard?page=serve,6,6,60,35,58,77,27,35,57,13,23,100,1,1,9,235,/en/stats/leaderboard?page=serve,3,5,59,39,66,67,26,39,41,11,27,40,2,5,9,69,40,58,44,29,66,56,69,124,56,37,66,31,18,58,44,55,124,,,,,01:21:00,01:21:00,DB63,BE90
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS028,R32,01:23:00,,F,2,HH26,"6-4,6-2",U. Humbert,J. Kubler,,,FRA,AUS,6-4,6-2,,,,01:23:00,A,U. Humbert,J. Kubler,FRA,AUS,,,314,/en/stats/leaderboard?page=serve,4,11,57,28,49,79,22,28,71,15,21,100,1,1,9,238,/en/stats/leaderboard?page=serve,3,5,55,37,67,68,25,37,47,14,30,63,5,8,9,76,37,49,42,28,67,56,65,116,58,39,67,24,12,49,44,51,116,,,,,01:23:00,01:23:00,HH26,KB95
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS029,R32,02:00:00,,F,3,RH24,"6-3,3-6,6-3",E. Ruusuvuori,B. Nakashima,,,FIN,USA,6-3,3-6,6-3,,,02:00:00,A,E. Ruusuvuori,B. Nakashima,FIN,USA,,,286,/en/stats/leaderboard?page=serve,6,13,53,46,87,78,36,46,56,23,41,83,5,6,14,283,/en/stats/leaderboard?page=serve,3,1,64,43,67,74,32,43,63,15,24,60,3,5,13,68,59,87,30,20,67,51,79,154,70,47,67,32,28,87,49,75,154,,,,,02:00:00,02:00:00,RH24,N0AE
440,2023,'s-Hertogenbosch,250,2023-06-12T00:00:00,2023-06-18T00:00:00,Grass,28,673630,€,MS030,R32,01:37:00,,F,2,BK92,"7-5,7-5",A. Bublik,D. Goffin,,,KAZ,BEL,7-5,7-5,,,,01:37:00,A,A. Bublik,D. Goffin,KAZ,BEL,,,261,/en/stats/leaderboard?page=serve,8,8,45,35,78,80,28,35,53,23,43,60,3,5,12,233,/en/stats/leaderboard?page=serve,3,1,57,39,69,69,27,39,43,13,30,50,4,8,12,65,51,78,42,29,69,54,80,147,58,40,69,35,27,78,46,67,147,,,,,01:37:00,01:37:00,BK92,GB88
