event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS011,R16,02:34:00,,F,3,C252,"6-7(0),7-5,6-0",F. Clavet,J. Sanchez,,,ESP,ESP,6-7(0),7-5,6-0,,,02:34:00,254,/en/stats/leaderboard?page=serve,,2,54,60,112,68,41,60,48,25,52,78,7,9,15,229,/en/stats/leaderboard?page=serve,False,3,64,86,135,59,51,86,43,21,49,73,16,22,15,59,66,112,47,63,135,52,129,247,53,72,135,41,46,112,48,118,247,A,4,,0,7,,,,F. Clavet,J. Sanchez,C252,S015,ESP,ESP,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS012,R16,01:46:00,,F,2,F165,"7-6(7),6-3",M. Filippini,O. Serrano,,,URU,ESP,7-6(7),6-3,,,,01:46:00,294,/en/stats/leaderboard?page=serve,,3,63,45,71,84,38,45,65,17,26,,0,,11,274,/en/stats/leaderboard?page=serve,False,2,41,28,69,82,23,28,59,24,41,75,3,4,10,77,55,71,32,22,69,55,77,140,68,47,69,23,16,71,45,63,140,A,2,,7,4,,,,M. Filippini,O. Serrano,F165,S676,URU,ESP,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS013,R16,02:20:00,,F,3,M099,"6-3,6-7(4),6-2",T. Muster,J. Marin,,,AUT,CRC,6-3,6-7(4),6-2,,,02:20:00,275,/en/stats/leaderboard?page=serve,,9,54,58,107,74,43,58,53,26,49,93,13,14,14,233,/en/stats/leaderboard?page=serve,,1,53,56,106,63,35,56,52,26,50,71,12,17,15,64,69,107,42,45,106,54,114,213,58,61,106,36,38,107,46,99,213,A,7,2,,,4,7,,T. Muster,J. Marin,M099,M578,AUT,CRC,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS014,R16,02:19:00,,F,3,S544,"4-6,6-3,6-3",V. Spadea,R. Fromberg,,,USA,AUS,4-6,6-3,6-3,,,02:19:00,302,/en/stats/leaderboard?page=serve,False,0,82,75,92,64,48,75,71,12,17,71,5,7,14,255,/en/stats/leaderboard?page=serve,,16,58,56,97,77,43,56,39,16,41,71,10,14,14,65,60,92,39,38,97,52,98,189,61,59,97,35,32,92,48,91,189,A,,6,,,,,,V. Spadea,R. Fromberg,S544,F164,USA,AUS,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS015,R16,01:03:00,,F,2,S572,"6-1,6-4",S. Schalken,B. Black,,,NED,ZIM,6-1,6-4,,,,01:03:00,209,/en/stats/leaderboard?page=serve,False,6,62,28,45,82,23,28,59,10,17,0,0,,8,227,/en/stats/leaderboard?page=serve,,4,67,39,58,62,24,39,42,8,19,60,6,10,9,73,33,45,45,26,58,57,59,103,55,32,58,27,12,45,43,44,103,A,,3,,,,,,S. Schalken,B. Black,S572,B397,NED,ZIM,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS016,R32,00:50:00,,F,2,R286,"6-1,6-3",M. Rios,S. Draper,,,CHI,AUS,6-1,6-3,,,,00:50:00,218,/en/stats/leaderboard?page=serve,False,0,64,27,42,81,22,27,73,11,15,0,0,,8,209,/en/stats/leaderboard?page=serve,,2,64,36,56,56,20,36,40,8,20,64,7,11,8,79,33,42,50,28,56,62,61,98,50,28,56,21,9,42,38,37,98,A,,3,,,,,,M. Rios,S. Draper,R286,D270,CHI,AUS,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS017,R32,01:47:00,,F,3,G252,"3-6,7-6(7),6-1",M. Goellner,W. Black,,,GER,ZIM,3-6,7-6(7),6-1,,,01:47:00,272,/en/stats/leaderboard?page=serve,,5,45,36,80,75,27,36,68,30,44,25,1,4,15,265,/en/stats/leaderboard?page=serve,False,0,71,61,86,62,38,61,56,14,25,67,6,9,13,71,57,80,40,34,86,55,91,166,60,52,86,29,23,80,45,75,166,A,1,,,,7,3,,M. Goellner,W. Black,G252,B499,GER,ZIM,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS018,R32,01:57:00,,F,3,N099,"6-4,5-7,6-2",T. Nydahl,A. Calatrava,,,SWE,ESP,6-4,5-7,6-2,,,01:57:00,263,/en/stats/leaderboard?page=serve,,0,67,53,79,74,39,53,50,13,26,43,3,7,15,223,/en/stats/leaderboard?page=serve,,4,55,47,85,68,32,47,42,16,38,45,5,11,15,66,52,79,44,37,85,54,89,164,56,48,85,34,27,79,46,75,164,A,1,6,,,,,,T. Nydahl,A. Calatrava,N099,C361,SWE,ESP,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS019,R32,01:26:00,,F,2,B518,"6-3,7-6(7)",G. Blanco,M. Meneschincheri,,,ESP,ITA,6-3,7-6(7),,,,01:26:00,277,/en/stats/leaderboard?page=serve,False,9,59,44,74,75,33,44,53,16,30,0,0,2,11,232,/en/stats/leaderboard?page=serve,,0,59,42,71,69,29,42,38,11,29,63,5,8,10,66,49,74,44,31,71,55,80,145,56,40,71,34,25,74,45,65,145,A,,4,,,7,3,,G. Blanco,M. Meneschincheri,B518,M445,ESP,ITA,,
306,1998,St. Polten,WS,1998-05-18T00:00:00,1998-05-24T00:00:00,Clay,32,400000,$,MS020,R32,00:13:00,,F,2,G254,"6-3,7-5",A. Gaudenzi,J. Gambill,,,ITA,USA,6-3,7-5,,,,00:13:00,283,/en/stats/leaderboard?page=serve,,0,63,41,65,66,27,41,67,16,24,67,2,3,10,227,/en/stats/leaderboard?page=serve,,8,52,42,81,64,27,42,44,17,39,56,5,9,11,66,43,65,46,37,81,55,80,146,54,44,81,34,22,65,45,66,146,A,3,4,,,,,,A. Gaudenzi,J. Gambill,G254,G352,ITA,USA,,
