event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS001,F,01:22:00,,F,2,S402,"6-4,7-6(7)",P. Sampras,T. Martin,,,USA,USA,6-4,7-6(7),,,,01:22:00,7,2,244,/en/stats/leaderboard?page=serve,False,10,73,41,56,88,36,41,73,11,15,0,0,,11,270,/en/stats/leaderboard?page=serve,3,8,49,37,75,73,27,37,53,20,38,80,4,5,11,84,47,56,37,28,75,57,75,131,63,47,75,16,9,56,43,56,131,A,,,,,,,P. Sampras,T. Martin,S402,M442,USA,USA,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS002,SF,01:16:00,,F,2,S402,"6-3,6-2",P. Sampras,M. Chang,,,USA,USA,6-3,6-2,,,,01:16:00,,,244,/en/stats/leaderboard?page=serve,,12,63,40,64,83,33,40,46,11,24,,0,,9,224,/en/stats/leaderboard?page=serve,3,5,43,20,47,65,13,20,52,14,27,57,4,7,8,69,44,64,43,20,47,58,64,111,57,27,47,31,20,64,42,47,111,A,4,,,,,,P. Sampras,M. Chang,S402,C274,USA,USA,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS003,SF,01:19:00,,F,2,M442,"6-3,7-5",T. Martin,M. Philippoussis,,,USA,AUS,6-3,7-5,,,,01:19:00,,,317,/en/stats/leaderboard?page=serve,,9,64,29,45,86,25,29,69,11,16,0,0,1,10,226,/en/stats/leaderboard?page=serve,9,8,49,36,73,72,26,36,43,16,37,56,5,9,11,80,36,45,42,31,73,57,67,118,58,42,73,20,9,45,43,51,118,A,1,,,,,,T. Martin,M. Philippoussis,M442,P338,USA,AUS,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS004,QF,01:27:00,,F,2,S402,"6-4,7-6(9)",P. Sampras,M. Woodforde,,,USA,AUS,6-4,7-6(9),,,,01:27:00,9,7,310,/en/stats/leaderboard?page=serve,,16,62,40,65,80,32,40,64,16,25,0,0,1,11,258,/en/stats/leaderboard?page=serve,4,11,56,48,86,69,33,48,45,17,38,75,6,8,11,74,48,65,42,36,86,56,84,151,58,50,86,26,17,65,44,67,151,A,2,,,,,,P. Sampras,M. Woodforde,S402,W035,USA,AUS,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS005,QF,02:32:00,,F,3,C274,"7-5,4-6,6-3",M. Chang,M. Washington,,,USA,USA,7-5,4-6,6-3,,,02:32:00,,,273,/en/stats/leaderboard?page=serve,,12,41,41,101,85,35,41,53,32,60,71,5,7,16,267,/en/stats/leaderboard?page=serve,3,10,58,57,99,72,41,57,50,21,42,75,9,12,15,66,67,101,37,37,99,52,104,200,63,62,99,34,34,101,48,96,200,A,5,,,,,,M. Chang,M. Washington,C274,W124,USA,USA,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS006,QF,01:14:00,,F,2,M442,"6-4,6-4",T. Martin,T. Enqvist,,,USA,SWE,6-4,6-4,,,,01:14:00,,,283,/en/stats/leaderboard?page=serve,,11,61,40,66,88,35,40,35,9,26,83,5,6,10,246,/en/stats/leaderboard?page=serve,3,9,57,32,56,84,27,32,29,7,24,40,2,5,10,67,44,66,39,22,56,54,66,122,61,34,56,33,22,66,46,56,122,A,2,,,,,,T. Martin,T. Enqvist,M442,E113,USA,SWE,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS007,QF,00:56:00,,F,2,P338,"6-3,6-1",M. Philippoussis,J. Novak,,,AUS,CZE,6-3,6-1,,,,00:56:00,,,266,/en/stats/leaderboard?page=serve,,8,59,29,49,86,25,29,55,11,20,,0,,8,222,/en/stats/leaderboard?page=serve,,1,64,36,56,42,15,36,65,13,20,73,11,15,8,73,36,49,50,28,56,61,64,105,50,28,56,27,13,49,39,41,105,A,4,False,,,,,M. Philippoussis,J. Novak,P338,N254,AUS,CZE,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS008,R16,01:23:00,,F,2,S402,"7-6(9),7-6(7)",P. Sampras,G. Rusedski,,,USA,GBR,7-6(9),7-6(7),,,,01:23:00,7,1,290,/en/stats/leaderboard?page=serve,,10,65,53,82,85,45,53,66,19,29,,0,,12,319,/en/stats/leaderboard?page=serve,,20,62,46,74,85,39,46,61,17,28,,0,,12,78,64,82,24,18,74,53,82,156,76,56,74,22,18,82,47,74,156,A,2,False,9,7,,,P. Sampras,G. Rusedski,S402,R237,USA,GBR,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS009,R16,01:12:00,,F,2,W035,"6-2,6-4",M. Woodforde,M. Rios,,,AUS,CHI,6-2,6-4,,,,01:12:00,,,257,/en/stats/leaderboard?page=serve,,6,55,32,58,69,22,32,54,14,26,50,2,4,9,190,/en/stats/leaderboard?page=serve,4,2,44,30,68,67,20,30,37,14,38,50,5,10,9,62,36,58,50,34,68,56,70,126,50,34,68,38,22,58,44,56,126,A,4,,,,,,M. Woodforde,M. Rios,W035,R286,AUS,CHI,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS010,R16,01:25:00,,F,2,C274,"6-3,6-4",M. Chang,C. Costa,,,USA,ESP,6-3,6-4,,,,01:25:00,,,236,/en/stats/leaderboard?page=serve,,6,45,30,66,80,24,30,36,13,36,63,5,8,10,190,/en/stats/leaderboard?page=serve,1,2,52,32,62,56,18,32,37,11,30,38,3,8,9,56,37,66,53,33,62,55,70,128,47,29,62,44,29,66,45,58,128,A,1,,,,,,M. Chang,C. Costa,C274,C179,USA,ESP,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS011,R16,00:58:00,,F,2,W124,"6-3,6-1",M. Washington,B. Black,,,USA,ZIM,6-3,6-1,,,,00:58:00,,,308,/en/stats/leaderboard?page=serve,False,5,64,23,36,83,19,23,69,9,13,0,0,1,8,194,/en/stats/leaderboard?page=serve,1,2,62,37,60,46,17,37,48,11,23,58,7,12,8,78,28,36,53,32,60,63,60,96,47,28,60,22,8,36,38,36,96,A,,,,,,,M. Washington,B. Black,W124,B397,USA,ZIM,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS012,R16,01:20:00,,F,2,M442,"6-3,6-2",T. Martin,T. Woodbridge,,,USA,AUS,6-3,6-2,,,,01:20:00,,,284,/en/stats/leaderboard?page=serve,,11,66,38,58,82,31,38,50,10,20,,0,,9,226,/en/stats/leaderboard?page=serve,2,4,63,45,72,62,28,45,37,10,27,63,5,8,8,71,41,58,47,34,72,58,75,130,53,38,72,29,17,58,42,55,130,A,2,,,,,,T. Martin,T. Woodbridge,M442,W136,USA,AUS,,
402,1996,Memphis,GP,1996-02-19T00:00:00,1996-02-25T00:00:00,Hard,48,683000,$,MS013,R16,01:44:00,,F,3,E113,"7-5,3-6,6-2",T. Enqvist,B. Steven,,,SWE,NZL,7-5,3-6,6-2,,,01:44:00,,,277,/en/stats/leaderboard?page=serve,,9,62,44,71,73,32,44,59,16,27,0,0,3,14,240,/en/stats/leaderboard?page=serve,1,8,63,53,84,72,38,53,32,10,31,50,5,10,15,68,48,71,43,36,84,54,84,155,57,48,84,32,23,71,46,71,155,A,4,,,,,,T. Enqvist,B. Steven,E113,S321,SWE,NZL,,
