event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS011,R16,01:25:00,,F,3,K267,"6-4,6-3,6-3",Y. Kafelnikov,F. Clavet,,,RUS,ESP,6-4,6-3,6-3,,,01:25:00,,,,,299,/en/stats/leaderboard?page=serve,3,9,64,58,90,84,49,58,53,17,32,67,2,3,14,246,/en/stats/leaderboard?page=serve,1,3,63,50,79,72,36,50,45,13,29,38,3,8,14,73,66,90,38,30,79,57,96,169,62,49,79,27,24,90,43,73,169,A,,,,,,,Y. Kafelnikov,F. Clavet,K267,C252,RUS,ESP,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS012,R16,01:30:00,,F,3,K190,"6-3,6-1,6-2",B. Karbacher,G. Ivanisevic,,,GER,CRO,6-3,6-1,6-2,,,01:30:00,,,,,313,/en/stats/leaderboard?page=serve,1,13,64,48,75,94,45,48,52,14,27,0,0,1,12,179,/en/stats/leaderboard?page=serve,4,2,47,40,86,58,23,40,35,16,46,50,7,14,12,79,59,75,55,47,86,66,106,161,45,39,86,21,16,75,34,55,161,A,,,,,,,B. Karbacher,G. Ivanisevic,K190,I034,GER,CRO,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS013,R16,02:16:00,,F,3,R214,"7-6(7),6-3,6-3",M. Rosset,S. Edberg,,,SUI,SWE,7-6(7),6-3,6-3,,,02:16:00,7,4,,,287,/en/stats/leaderboard?page=serve,2,10,61,64,105,83,53,64,49,20,41,71,5,7,15,214,/en/stats/leaderboard?page=serve,9,2,57,77,136,69,53,77,29,17,59,71,12,17,15,70,73,105,49,66,136,58,139,241,51,70,136,30,32,105,42,102,241,A,,,,,,,M. Rosset,S. Edberg,R214,E004,SUI,SWE,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS014,R16,01:35:00,,F,3,P226,"6-4,6-1,6-2",C. Pioline,M. Rios,,,FRA,CHI,6-4,6-1,6-2,,,01:35:00,,,,,276,/en/stats/leaderboard?page=serve,5,6,56,50,89,78,39,50,49,19,39,80,4,5,13,209,/en/stats/leaderboard?page=serve,4,4,57,49,86,61,30,49,41,15,37,54,7,13,12,65,58,89,48,41,86,57,99,175,52,45,86,35,31,89,43,76,175,A,,,,,,,C. Pioline,M. Rios,P226,R286,FRA,CHI,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS015,R16,02:35:00,,F,4,S351,"4-6,6-4,6-1,7-6(7)",M. Stich,T. Muster,,,GER,AUT,4-6,6-4,6-1,7-6(7),,02:35:00,,,,,271,/en/stats/leaderboard?page=serve,9,23,56,99,177,84,83,99,37,29,78,67,8,12,20,256,/en/stats/leaderboard?page=serve,,0,78,99,127,60,59,99,50,14,28,63,10,16,19,63,112,177,43,54,127,55,166,304,57,73,127,37,65,177,45,138,304,A,,7,1,False,,,M. Stich,T. Muster,S351,M099,GER,AUT,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS016,R32,02:21:00,,F,5,S402,"3-6,6-4,7-5,4-6,6-2",P. Sampras,T. Martin,,,USA,USA,3-6,6-4,7-5,4-6,6-2,02:21:00,,,,,287,/en/stats/leaderboard?page=serve,4,17,63,120,189,78,93,120,45,31,69,73,8,11,25,302,/en/stats/leaderboard?page=serve,2,27,62,112,181,86,96,112,46,32,69,69,9,13,24,66,124,189,29,53,181,48,177,370,71,128,181,34,65,189,52,193,370,A,,,,,,,P. Sampras,T. Martin,S402,M442,USA,USA,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS017,R32,01:22:00,,F,3,D270,"6-1,6-2,6-3",S. Draper,J. Tarango,,,AUS,USA,6-1,6-2,6-3,,,01:22:00,,,,,327,/en/stats/leaderboard?page=serve,,12,63,46,73,83,38,46,78,21,27,0,0,1,12,179,/en/stats/leaderboard?page=serve,4,1,48,42,87,71,30,42,22,10,45,50,7,14,12,81,59,73,54,47,87,66,106,160,46,40,87,19,14,73,34,54,160,A,False,,,,,,S. Draper,J. Tarango,D270,T136,AUS,USA,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS018,R32,03:05:00,,F,4,F196,"6-7(5),7-5,6-1,7-5",W. Ferreira,R. Furlan,,,RSA,ITA,6-7(5),7-5,6-1,7-5,,03:05:00,5,7,,,274,/en/stats/leaderboard?page=serve,5,11,48,72,149,82,59,72,52,40,77,67,6,9,22,239,/en/stats/leaderboard?page=serve,2,2,64,96,150,66,63,96,43,23,54,59,10,17,21,66,99,149,43,64,150,55,163,299,57,86,150,34,50,149,45,136,299,A,,,,,,,W. Ferreira,R. Furlan,F196,F192,RSA,ITA,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS019,R32,03:10:00,,F,4,C243,"6-7(2),7-5,6-4,5-4",J. Courier,K. Kucera,,,USA,SVK,6-7(2),7-5,6-4,5-4,,03:10:00,2,7,,,278,/en/stats/leaderboard?page=serve,2,10,66,94,142,77,72,94,46,22,48,56,5,9,22,238,/en/stats/leaderboard?page=serve,10,10,50,81,162,78,63,81,38,31,81,68,13,19,22,66,94,142,42,68,162,53,162,304,58,94,162,34,48,142,47,142,304,A,,,,,,,J. Courier,K. Kucera,C243,K237,USA,SVK,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS020,R32,03:35:00,,F,5,B446,"7-6(7),2-6,4-6,7-5,6-4",J. Bjorkman,C. Woodruff,,,SWE,USA,7-6(7),2-6,4-6,7-5,6-4,03:35:00,7,5,,,277,/en/stats/leaderboard?page=serve,2,14,63,111,176,67,74,111,62,40,65,53,8,15,26,251,/en/stats/leaderboard?page=serve,7,10,57,110,194,69,76,110,46,39,84,65,11,17,26,65,114,176,41,79,194,52,193,370,59,115,194,35,62,176,48,177,370,A,,,,,,,J. Bjorkman,C. Woodruff,B446,W212,SWE,USA,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS021,R32,01:50:00,,F,3,K214,"7-5,6-2,6-2",R. Krajicek,T. Woodbridge,,,NED,AUS,7-5,6-2,6-2,,,01:50:00,,,,,285,/en/stats/leaderboard?page=serve,5,11,54,58,107,86,50,58,47,23,49,86,6,7,14,205,/en/stats/leaderboard?page=serve,6,0,61,67,110,58,39,67,35,15,43,63,10,16,14,68,73,107,51,56,110,59,129,217,49,54,110,32,34,107,41,88,217,A,,,,,,,R. Krajicek,T. Woodbridge,K214,W136,NED,AUS,,
520,1996,Roland Garros,GS,1996-05-27T00:00:00,1996-06-09T00:00:00,Clay,128,5125107,$,MS022,R32,02:07:00,,F,3,C252,"6-3,7-5,6-3",F. Clavet,G. Forget,,,ESP,FRA,6-3,7-5,6-3,,,02:07:00,,,,,275,/en/stats/leaderboard?page=serve,1,1,65,59,91,61,36,59,69,22,32,67,6,9,15,217,/en/stats/leaderboard?page=serve,1,5,60,61,102,56,34,61,44,18,41,63,12,19,15,64,58,91,49,50,102,56,108,193,51,52,102,36,33,91,44,85,193,A,,,,,,,F. Clavet,G. Forget,C252,F035,ESP,FRA,,
