event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS011,R16,01:34:00,,F,2,G354,"7-5,6-4",J. Gimelstob,N. Godwin,,,USA,RSA,7-5,6-4,,,,01:34:00,256,/en/stats/leaderboard?page=serve,3,4,62,37,60,78,29,37,43,10,23,2,11,204,/en/stats/leaderboard?page=serve,4,0,51,43,85,65,28,43,38,16,42,67,10,15,11,65,39,60,48,41,85,55,80,145,52,44,85,35,21,60,45,65,145,A,,,40,5,,,,,J. Gimelstob,N. Godwin,G354,G288,USA,RSA,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS012,R16,02:08:00,,F,3,R255,"4-6,7-6(7),6-3",P. Rafter,C. Arriens,,,AUS,GER,4-6,7-6(7),6-3,,,02:08:00,276,/en/stats/leaderboard?page=serve,4,7,72,64,89,73,47,64,48,12,25,6,15,242,/en/stats/leaderboard?page=serve,5,0,55,57,103,65,37,57,52,24,46,67,8,12,16,66,59,89,41,42,103,53,101,192,59,61,103,34,30,89,47,91,192,A,,,67,9,7,3,,,P. Rafter,C. Arriens,R255,A183,AUS,GER,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS013,R16,02:08:00,,F,3,W136,"6-1,3-6,6-1",T. Woodbridge,D. Sapsford,,,AUS,GBR,6-1,3-6,6-1,,,02:08:00,274,/en/stats/leaderboard?page=serve,4,6,64,52,81,73,38,52,52,15,29,7,12,200,/en/stats/leaderboard?page=serve,5,0,43,32,75,59,19,32,49,21,43,75,15,20,11,65,53,81,47,35,75,56,88,156,53,40,75,35,28,81,44,68,156,A,,,78,9,,,,,T. Woodbridge,D. Sapsford,W136,S404,AUS,GBR,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS014,R16,01:17:00,,F,2,L226,"6-1,7-6(7)",S. Lareau,D. Vacek,,,CAN,CZE,6-1,7-6(7),,,,01:17:00,269,/en/stats/leaderboard?page=serve,5,4,63,39,62,79,31,39,48,11,23,4,10,214,/en/stats/leaderboard?page=serve,3,4,56,29,52,59,17,29,43,10,23,0,0,4,9,68,42,62,48,25,52,59,67,114,52,27,52,32,20,62,41,47,114,A,,,67,6,7,3,,,S. Lareau,D. Vacek,L226,V141,CAN,CZE,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS015,R16,01:09:00,,F,2,M448,"7-6(7),6-2",B. MacPhie,M. Rosset,,,USA,SUI,7-6(7),6-2,,,,01:09:00,322,/en/stats/leaderboard?page=serve,,8,64,38,59,84,32,38,76,16,21,0,10,276,/en/stats/leaderboard?page=serve,2,6,56,32,57,72,23,32,64,16,25,0,0,2,10,81,48,59,32,18,57,57,66,116,68,39,57,19,11,59,43,50,116,A,7,2,,,,,,False,B. MacPhie,M. Rosset,M448,R214,USA,SUI,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS017,R32,02:03:00,,F,3,T136,"3-6,7-6(7),6-0",J. Tarango,A. Cherkasov,,,USA,RUS,3-6,7-6(7),6-0,,,02:03:00,257,/en/stats/leaderboard?page=serve,2,2,66,53,80,64,34,53,56,15,27,3,14,213,/en/stats/leaderboard?page=serve,3,1,48,44,91,61,27,44,45,21,47,38,3,8,13,61,49,80,47,43,91,54,92,171,53,48,91,39,31,80,46,79,171,A,,,43,7,7,4,,,J. Tarango,A. Cherkasov,T136,C260,USA,RUS,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS018,R32,01:54:00,,F,2,R186,"7-6(7),7-6(8)",G. Raoux,D. Nestor,,,FRA,CAN,7-6(7),7-6(8),,,,01:54:00,279,/en/stats/leaderboard?page=serve,4,14,56,50,90,82,41,50,48,19,40,4,12,279,/en/stats/leaderboard?page=serve,4,7,58,45,77,76,34,45,59,19,32,50,2,4,12,67,60,90,31,24,77,50,84,167,69,53,77,33,30,90,50,83,167,A,7,5,67,6,8,6,,,G. Raoux,D. Nestor,R186,N210,FRA,CAN,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS019,R32,00:58:00,,F,2,P273,"6-2,6-2",D. Prinosil,J. Eagle,,,GER,AUS,6-2,6-2,,,,00:58:00,249,/en/stats/leaderboard?page=serve,4,1,51,25,49,76,19,25,50,12,24,1,8,166,/en/stats/leaderboard?page=serve,1,0,67,31,46,42,13,31,33,5,15,33,3,9,8,63,31,49,61,28,46,62,59,95,39,18,46,37,18,49,38,36,95,A,,,33,3,,,,,D. Prinosil,J. Eagle,P273,E122,GER,AUS,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS020,R32,02:02:00,,F,3,J129,"4-6,6-2,6-4",T. Johansson,S. Simian,,,SWE,FRA,4-6,6-2,6-4,,,02:02:00,256,/en/stats/leaderboard?page=serve,4,10,50,50,100,78,39,50,44,22,50,5,14,231,/en/stats/leaderboard?page=serve,6,7,58,58,100,60,35,58,48,20,42,62,8,13,14,61,61,100,45,45,100,53,106,200,55,55,100,39,39,100,47,94,200,A,,,63,8,,,,,T. Johansson,S. Simian,J129,S454,SWE,FRA,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS021,R32,02:00:00,,F,3,G039,"3-6,6-3,7-5",J. Grabb,M. Joyce,,,USA,USA,3-6,6-3,7-5,,,02:00:00,288,/en/stats/leaderboard?page=serve,6,12,62,63,102,83,52,63,44,17,39,6,15,273,/en/stats/leaderboard?page=serve,3,1,53,46,86,76,35,46,60,24,40,60,3,5,15,68,69,102,31,27,86,51,96,188,69,59,86,32,33,102,49,92,188,A,,,86,7,,,,,J. Grabb,M. Joyce,G039,J100,USA,USA,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS022,R32,02:11:00,,F,3,G354,"1-6,7-6(7),6-2",J. Gimelstob,H. Holm,,,USA,SWE,1-6,7-6(7),6-2,,,02:11:00,242,/en/stats/leaderboard?page=serve,10,6,67,63,94,65,41,63,45,14,31,7,13,238,/en/stats/leaderboard?page=serve,7,11,44,48,108,71,34,48,48,29,60,73,11,15,14,59,55,94,42,45,108,50,100,202,58,63,108,41,39,94,50,102,202,A,,,64,11,7,1,,,J. Gimelstob,H. Holm,G354,H191,USA,SWE,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS023,R32,01:01:00,,F,2,G288,"6-4,6-3",N. Godwin,M. Damm,,,RSA,CZE,6-4,6-3,,,,01:01:00,307,/en/stats/leaderboard?page=serve,1,9,61,27,44,85,23,27,65,11,17,1,9,225,/en/stats/leaderboard?page=serve,4,7,54,29,54,72,21,29,36,9,25,0,0,4,10,77,34,44,44,24,54,59,58,98,56,30,54,23,10,44,41,40,98,A,,,50,2,,,,,N. Godwin,M. Damm,G288,D214,RSA,CZE,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS024,R32,02:16:00,,F,3,R255,"2-6,7-6(7),6-4",P. Rafter,M. Woodforde,,,AUS,AUS,2-6,7-6(7),6-4,,,02:16:00,264,/en/stats/leaderboard?page=serve,4,5,57,54,95,70,38,54,56,23,41,4,15,281,/en/stats/leaderboard?page=serve,5,1,79,81,103,65,53,81,55,12,22,75,6,8,15,64,61,95,37,38,103,50,99,198,63,65,103,36,34,95,50,99,198,A,,,57,7,7,5,,,P. Rafter,M. Woodforde,R255,W035,AUS,AUS,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS025,R32,02:28:00,,F,3,A183,"7-5,6-7(11),6-2",C. Arriens,A. Olhovskiy,,,GER,RUS,7-5,6-7(11),6-2,,,02:28:00,274,/en/stats/leaderboard?page=serve,5,10,60,70,117,69,48,70,53,25,47,5,16,231,/en/stats/leaderboard?page=serve,9,9,51,74,145,57,42,74,55,39,71,74,14,19,16,62,73,117,44,64,145,52,137,262,56,81,145,38,44,117,48,125,262,A,,,71,7,11,13,,,C. Arriens,A. Olhovskiy,A183,O009,GER,RUS,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS026,R32,01:50:00,,F,3,S404,"6-7(5),6-2,6-0",D. Sapsford,D. Flach,,,GBR,USA,6-7(5),6-2,6-0,,,01:50:00,297,/en/stats/leaderboard?page=serve,2,4,54,38,71,79,30,38,70,23,33,4,13,193,/en/stats/leaderboard?page=serve,14,1,50,55,111,62,34,55,41,23,56,71,15,21,13,75,53,71,49,54,111,59,107,182,51,57,111,25,18,71,41,75,182,A,5,7,80,5,,,,,D. Sapsford,D. Flach,S404,F191,GBR,USA,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS027,R32,01:19:00,,F,2,W136,"6-1,6-4",T. Woodbridge,S. Matsuoka,,,AUS,JPN,6-1,6-4,,,,01:19:00,248,/en/stats/leaderboard?page=serve,5,4,54,37,69,76,28,37,53,17,32,0,9,234,/en/stats/leaderboard?page=serve,3,5,53,25,47,76,19,25,41,9,22,50,3,6,8,65,45,69,40,19,47,55,64,116,60,28,47,35,24,69,45,52,116,A,,,,,,,,,T. Woodbridge,S. Matsuoka,W136,M338,AUS,JPN,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS028,R32,01:33:00,,F,2,V141,"6-4,7-6(7)",D. Vacek,A. Volkov,,,CZE,RUS,6-4,7-6(7),,,,01:33:00,255,/en/stats/leaderboard?page=serve,3,12,53,42,80,74,31,42,47,18,38,4,11,213,/en/stats/leaderboard?page=serve,9,5,50,42,84,64,27,42,40,17,42,56,5,9,11,61,49,80,48,40,84,54,89,164,52,44,84,39,31,80,46,75,164,A,,,57,7,7,3,,,D. Vacek,A. Volkov,V141,V037,CZE,RUS,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS029,R32,00:59:00,,F,2,L226,"6-4,6-0",S. Lareau,D. Skoch,,,CAN,CZE,6-4,6-0,,,,00:59:00,219,/en/stats/leaderboard?page=serve,3,5,69,29,42,79,23,29,69,9,13,0,8,194,/en/stats/leaderboard?page=serve,3,2,42,19,45,68,13,19,35,9,26,33,2,6,8,76,32,42,51,23,45,63,55,87,49,22,45,24,10,42,37,32,87,A,,,0,,,,,,S. Lareau,D. Skoch,L226,S552,CAN,CZE,,
336,1997,Hong Kong,GP,1997-04-07T00:00:00,1997-04-13T00:00:00,Hard,32,303000,$,MS031,R32,00:54:00,,F,2,R214,"6-2,6-2",M. Rosset,N. Kiefer,,,SUI,GER,6-2,6-2,,,,00:54:00,275,/en/stats/leaderboard?page=serve,3,5,56,27,48,85,23,27,57,12,21,0,8,201,/en/stats/leaderboard?page=serve,4,4,45,19,42,63,12,19,43,10,23,0,0,4,8,73,35,48,48,20,42,61,55,90,52,22,42,27,13,48,39,35,90,A,,,,,,,,,M. Rosset,N. Kiefer,R214,K316,SUI,GER,,
