event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_winner,secondservepointswon_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS001,F,01:47:00,,F,3,M099,"6-2,6-2,6-4",T. Muster,Y. Kafelnikov,,,AUT,RUS,6-2,6-2,6-4,,,01:47:00,244,/en/stats/leaderboard?page=serve,1,1,45,37,82,70,26,37,76,34,45,0,13,223,/en/stats/leaderboard?page=serve,5,5,57,55,97,65,36,55,40,17,42,69,11,16,13,73,60,82,45,44,97,58,104,179,55,53,97,27,22,82,42,75,179,A,,,,,,,,,,,,T. Muster,Y. Kafelnikov,M099,K267,AUT,RUS,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS002,SF,01:17:00,,F,2,M099,"6-3,6-3",T. Muster,A. Berasategui,,,AUT,ESP,6-3,6-3,,,,01:17:00,214,/en/stats/leaderboard?page=serve,4,4,50,32,64,75,24,32,56,18,32,0,9,257,/en/stats/leaderboard?page=serve,,1,74,43,58,56,24,43,60,9,15,40,2,5,9,66,42,64,43,25,58,55,67,122,57,33,58,34,22,64,45,55,122,A,False,,,,,,,,,,,T. Muster,A. Berasategui,M099,B428,AUT,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS003,SF,01:37:00,,F,2,K267,"6-3,7-6(7)",Y. Kafelnikov,A. Corretja,,,RUS,ESP,6-3,7-6(7),,,,01:37:00,270,/en/stats/leaderboard?page=serve,1,4,60,45,75,69,31,45,57,17,30,3,11,252,/en/stats/leaderboard?page=serve,,1,65,45,69,62,28,45,54,13,24,67,6,9,10,64,48,75,41,28,69,53,76,144,59,41,69,36,27,75,47,68,144,A,False,7,4,60,5,,,,,,,Y. Kafelnikov,A. Corretja,K267,C344,RUS,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS004,QF,01:13:00,,F,2,M099,"6-2,6-4",T. Muster,F. Clavet,,,AUT,ESP,6-2,6-4,,,,01:13:00,206,/en/stats/leaderboard?page=serve,,3,47,23,49,91,21,23,65,17,26,0,9,240,/en/stats/leaderboard?page=serve,1,0,68,46,68,57,26,46,50,11,22,75,9,12,9,78,38,49,46,31,68,59,69,117,54,37,68,22,11,49,41,48,117,A,,,,0,,False,,,,,,T. Muster,F. Clavet,M099,C252,AUT,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS005,QF,01:03:00,,F,2,B428,"6-4,6-2",A. Berasategui,M. Goellner,,,ESP,GER,6-4,6-2,,,,01:03:00,281,/en/stats/leaderboard?page=serve,1,3,80,49,61,69,34,49,42,5,12,4,9,202,/en/stats/leaderboard?page=serve,6,3,44,23,52,65,15,23,41,12,29,0,0,4,9,64,39,61,48,25,52,57,64,113,52,27,52,36,22,61,43,49,113,A,,,,80,5,,,,,,,A. Berasategui,M. Goellner,B428,G252,ESP,GER,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS006,QF,01:17:00,,F,2,C344,"6-4,6-3",A. Corretja,A. Volkov,,,ESP,RUS,6-4,6-3,,,,01:17:00,267,/en/stats/leaderboard?page=serve,,5,71,49,69,61,30,49,60,12,20,3,10,200,/en/stats/leaderboard?page=serve,2,4,53,31,58,68,21,31,33,9,27,50,5,10,9,61,42,69,48,28,58,55,70,127,52,30,58,39,27,69,45,57,127,A,,,,50,6,False,,,,,,A. Corretja,A. Volkov,C344,V037,ESP,RUS,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS007,QF,01:34:00,,F,3,K267,"2-6,6-0,6-2",Y. Kafelnikov,F. Mantilla,,,RUS,ESP,2-6,6-0,6-2,,,01:34:00,241,/en/stats/leaderboard?page=serve,4,3,57,47,82,64,30,47,49,17,35,4,11,224,/en/stats/leaderboard?page=serve,1,3,79,55,70,45,25,55,53,8,15,54,7,13,11,57,47,82,53,37,70,55,84,152,47,33,70,43,35,82,45,68,152,A,,,,57,7,,,,,,,Y. Kafelnikov,F. Mantilla,K267,M535,RUS,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS008,R16,01:08:00,,F,2,M099,"6-3,6-0",T. Muster,G. Blanco,,,AUT,ESP,6-3,6-0,,,,01:08:00,282,/en/stats/leaderboard?page=serve,1,5,56,27,48,85,23,27,62,13,21,0,8,195,/en/stats/leaderboard?page=serve,2,2,66,40,61,63,25,40,24,5,21,64,7,11,7,75,36,48,51,31,61,61,67,109,49,30,61,25,12,48,39,42,109,A,,,,,,,,,,,,T. Muster,G. Blanco,M099,B518,AUT,ESP,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS009,R16,01:10:00,,F,2,C252,"6-3,6-1",F. Clavet,M. Gustafsson,,,ESP,SWE,6-3,6-1,,,,01:10:00,289,/en/stats/leaderboard?page=serve,4,2,77,48,62,63,30,48,64,9,14,5,8,168,/en/stats/leaderboard?page=serve,2,0,74,34,46,59,20,34,,,12,17,1,6,8,63,39,62,57,26,46,60,65,108,,0,,37,23,62,,0,,A,,,,83,6,,False,,,,,F. Clavet,M. Gustafsson,C252,G182,ESP,SWE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS010,R16,00:49:00,,F,2,G252,"6-0,6-3",M. Goellner,D. Rikl,,,GER,CZE,6-0,6-3,,,,00:49:00,258,/en/stats/leaderboard?page=serve,2,9,64,32,50,81,26,32,56,10,18,0,8,196,/en/stats/leaderboard?page=serve,2,1,54,22,41,59,13,22,42,8,19,20,1,5,7,72,36,50,49,20,41,62,56,91,51,21,41,28,14,50,38,35,91,A,,,,,,,,,,,,M. Goellner,D. Rikl,G252,R203,GER,CZE,,
321,1996,Stuttgart-1,GP,1996-07-15T00:00:00,1996-07-21T00:00:00,Clay,48,915000,$,MS011,R16,01:46:00,,F,3,B428,"6-7(5),6-1,6-1",A. Berasategui,B. Ulihrach,,,ESP,CZE,6-7(5),6-1,6-1,,,01:46:00,278,/en/stats/leaderboard?page=serve,5,7,69,72,104,68,49,72,47,15,32,7,13,205,/en/stats/leaderboard?page=serve,6,5,47,46,97,65,30,46,41,21,51,45,5,11,13,62,64,104,47,46,97,55,110,201,53,51,97,38,40,104,45,91,201,A,,,,88,8,,,5,7,,,A. Berasategui,B. Ulihrach,B428,U032,ESP,CZE,,
