event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS001,F,01:46:00,,F,3,C378,"6-7(4),6-2,6-2",A. Costa,M. Goellner,,,ESP,GER,6-7(4),6-2,6-2,,,01:46:00,4,7,309,/en/stats/leaderboard?page=serve,2,6,79,72,91,71,51,72,63,12,19,88,7,8,14,240,/en/stats/leaderboard?page=serve,3,9,54,48,89,65,31,48,51,21,41,44,4,9,14,69,63,91,42,37,89,56,100,180,58,52,89,31,28,91,44,80,180,A,,,A. Costa,M. Goellner,C378,G252,ESP,GER,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS002,SF,01:49:00,,F,3,C378,"4-6,6-2,6-3",A. Costa,M. Norman,,,ESP,SWE,4-6,6-2,6-3,,,01:49:00,,,308,/en/stats/leaderboard?page=serve,1,2,71,55,77,71,39,55,73,16,22,67,2,3,13,239,/en/stats/leaderboard?page=serve,2,7,53,51,97,71,36,51,39,18,46,43,3,7,14,71,55,77,44,43,97,56,98,174,56,54,97,29,22,77,44,76,174,A,,,A. Costa,M. Norman,C378,N250,ESP,SWE,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS003,SF,01:50:00,,F,3,G252,"2-6,7-5,6-4",M. Goellner,J. Stoltenberg,,,GER,AUS,2-6,7-5,6-4,,,01:50:00,,,267,/en/stats/leaderboard?page=serve,3,10,52,49,95,78,38,49,50,23,46,57,4,7,15,265,/en/stats/leaderboard?page=serve,2,4,61,59,96,63,37,59,59,22,37,63,5,8,15,64,61,95,39,37,96,51,98,191,61,59,96,36,34,95,49,93,191,A,,,M. Goellner,J. Stoltenberg,G252,S331,GER,AUS,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS004,QF,00:46:00,,F,2,C378,"6-1,6-1",A. Costa,D. Sapsford,,,ESP,GBR,6-1,6-1,,,,00:46:00,,,313,/en/stats/leaderboard?page=serve,,2,76,28,37,75,21,28,89,8,9,,0,,7,148,/en/stats/leaderboard?page=serve,3,0,44,17,39,47,8,17,32,7,22,29,2,7,7,78,29,37,62,24,39,70,53,76,38,15,39,22,8,37,30,23,76,A,False,,A. Costa,D. Sapsford,C378,S404,ESP,GBR,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS005,QF,02:01:00,,F,3,N250,"7-5,1-6,7-5",M. Norman,S. Bruguera,,,SWE,ESP,7-5,1-6,7-5,,,02:01:00,,,245,/en/stats/leaderboard?page=serve,3,10,52,51,99,76,39,51,44,21,48,50,5,10,15,240,/en/stats/leaderboard?page=serve,2,9,50,44,88,70,31,44,45,20,44,50,5,10,16,61,60,99,42,37,88,52,97,187,58,51,88,39,39,99,48,90,187,A,,,M. Norman,S. Bruguera,N250,B350,SWE,ESP,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS006,QF,01:33:00,,F,3,S331,"1-6,6-1,6-3",J. Stoltenberg,G. Rusedski,,,AUS,GBR,1-6,6-1,6-3,,,01:33:00,,,269,/en/stats/leaderboard?page=serve,3,5,60,42,70,69,29,42,57,16,28,33,1,3,11,234,/en/stats/leaderboard?page=serve,6,7,58,44,76,75,33,44,34,11,32,69,9,13,12,64,45,70,42,32,76,53,77,146,58,44,76,36,25,70,47,69,146,A,,,J. Stoltenberg,G. Rusedski,S331,R237,AUS,GBR,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS007,QF,01:09:00,,F,2,G252,"6-4,6-1",M. Goellner,M. Zabaleta,,,GER,ARG,6-4,6-1,,,,01:09:00,,,253,/en/stats/leaderboard?page=serve,2,4,46,27,59,81,22,27,47,15,32,50,2,4,9,199,/en/stats/leaderboard?page=serve,2,0,75,45,60,49,22,45,40,6,15,29,2,7,8,63,37,59,53,32,60,58,69,119,47,28,60,37,22,59,42,50,119,A,,,M. Goellner,M. Zabaleta,G252,Z073,GER,ARG,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS008,R16,00:57:00,,F,2,C378,"6-4,6-1",A. Costa,D. Skoch,,,ESP,CZE,6-4,6-1,,,,00:57:00,,,288,/en/stats/leaderboard?page=serve,2,5,65,34,52,76,26,34,56,10,18,80,4,5,9,205,/en/stats/leaderboard?page=serve,2,0,59,27,46,56,15,27,42,8,19,0,0,4,8,69,36,52,50,23,46,60,59,98,50,23,46,31,16,52,40,39,98,A,,,A. Costa,D. Skoch,C378,S552,ESP,CZE,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS009,R16,01:42:00,,F,2,S404,"7-5,7-5",D. Sapsford,J. Viloca-Puig,,,GBR,ESP,7-5,7-5,,,,01:42:00,,,273,/en/stats/leaderboard?page=serve,2,3,49,37,76,73,27,37,59,23,39,50,1,2,12,238,/en/stats/leaderboard?page=serve,9,8,49,37,75,70,26,37,45,17,38,40,2,5,12,66,50,76,43,32,75,54,82,151,57,43,75,34,26,76,46,69,151,A,,,D. Sapsford,J. Viloca-Puig,S404,V161,GBR,ESP,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS010,R16,01:28:00,,F,2,N250,"7-6(7),6-4",M. Norman,T. Kempers,,,SWE,NED,7-6(7),6-4,,,,01:28:00,7,4,287,/en/stats/leaderboard?page=serve,4,4,63,47,75,77,36,47,57,16,28,89,8,9,11,266,/en/stats/leaderboard?page=serve,4,8,57,42,74,74,31,42,50,16,32,60,3,5,11,69,52,75,36,27,74,53,79,149,64,47,74,31,23,75,47,70,149,A,,,M. Norman,T. Kempers,N250,K193,SWE,NED,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS011,R16,01:16:00,,F,2,B350,"6-4,6-3",S. Bruguera,P. Fredriksson,,,ESP,SWE,6-4,6-3,,,,01:16:00,,,286,/en/stats/leaderboard?page=serve,1,8,63,39,62,67,26,39,61,14,23,89,8,9,9,236,/en/stats/leaderboard?page=serve,3,3,65,43,66,63,27,43,48,11,23,33,2,6,10,65,40,62,42,28,66,53,68,128,58,38,66,35,22,62,47,60,128,A,,,S. Bruguera,P. Fredriksson,B350,F278,ESP,SWE,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS012,R16,01:13:00,,F,2,R237,"6-4,6-4",G. Rusedski,D. Orsanic,,,GBR,ARG,6-4,6-4,,,,01:13:00,,,301,/en/stats/leaderboard?page=serve,2,5,61,31,51,77,24,31,70,14,20,50,1,2,10,250,/en/stats/leaderboard?page=serve,1,2,69,46,67,67,31,46,43,9,21,63,5,8,10,75,38,51,40,27,67,55,65,118,60,40,67,25,13,51,45,53,118,A,,,G. Rusedski,D. Orsanic,R237,O086,GBR,ARG,,
620,1996,Bournemouth,GP,1996-09-09T00:00:00,1996-09-15T00:00:00,Clay,32,375000,$,MS013,R16,01:02:00,,F,2,S331,"6-1,6-2",J. Stoltenberg,G. Perez-Roldan,,,AUS,ARG,6-1,6-2,,,,01:02:00,,,304,/en/stats/leaderboard?page=serve,1,3,70,32,46,81,26,32,64,9,14,,0,,8,192,/en/stats/leaderboard?page=serve,1,1,57,30,53,50,15,30,43,10,23,64,7,11,7,76,35,46,53,28,53,64,63,99,47,25,53,24,11,46,36,36,99,A,,,J. Stoltenberg,G. Perez-Roldan,S331,P190,AUS,ARG,,
