event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS011,R16,01:27:00,,F,2,S321,"7-6(7),6-4",B. Steven,A. Radulescu,,,NZL,GER,7-6(7),6-4,,,,01:27:00,289,/en/stats/leaderboard?page=serve,4,6,69,55,80,76,42,55,52,13,25,80,4,5,11,285,/en/stats/leaderboard?page=serve,,9,59,39,66,74,29,39,63,17,27,50,2,4,11,69,55,80,30,20,66,51,75,146,70,46,66,31,25,80,49,71,146,A,1,7,4,,,,,,B. Steven,A. Radulescu,S321,R284,NZL,GER,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS012,R16,01:17:00,,F,2,H223,"6-4,6-4",P. Haarhuis,C. Woodruff,,,NED,USA,6-4,6-4,,,,01:17:00,209,/en/stats/leaderboard?page=serve,,2,64,35,55,83,29,35,60,12,20,0,0,,10,256,/en/stats/leaderboard?page=serve,,5,62,41,66,68,28,41,44,11,25,50,2,4,10,75,41,55,41,27,66,56,68,121,59,39,66,25,14,55,44,53,121,A,3,,,,,False,,,P. Haarhuis,C. Woodruff,H223,W212,NED,USA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS013,R16,00:57:00,,F,2,B446,"6-0,6-4",J. Bjorkman,J. Frana,,,SWE,ARG,6-0,6-4,,,,00:57:00,273,/en/stats/leaderboard?page=serve,1,2,62,34,55,71,24,34,52,11,21,50,1,2,8,183,/en/stats/leaderboard?page=serve,,8,52,27,52,63,17,27,24,6,25,55,6,11,8,64,35,55,56,29,52,60,64,107,44,23,52,36,20,55,40,43,107,A,1,,,,,,,,J. Bjorkman,J. Frana,B446,F041,SWE,ARG,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS014,R16,01:25:00,,F,2,W136,"7-5,6-3",T. Woodbridge,M. Norman,,,AUS,SWE,7-5,6-3,,,,01:25:00,291,/en/stats/leaderboard?page=serve,3,5,65,39,60,82,32,39,52,11,21,67,2,3,11,233,/en/stats/leaderboard?page=serve,,12,43,36,83,67,24,36,47,22,47,73,8,11,10,72,43,60,45,37,83,56,80,143,55,46,83,28,17,60,44,63,143,A,6,,,,,,,,T. Woodbridge,M. Norman,W136,N250,AUS,SWE,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS015,R16,01:42:00,,F,2,T136,"7-6(7),7-6(7)",J. Tarango,G. Kuerten,,,USA,BRA,7-6(7),7-6(7),,,,01:42:00,283,/en/stats/leaderboard?page=serve,1,4,67,56,83,71,40,56,59,16,27,67,4,6,12,267,/en/stats/leaderboard?page=serve,,14,55,49,89,69,34,49,50,20,40,60,3,5,12,67,56,83,39,35,89,53,91,172,61,54,89,33,27,83,47,81,172,A,4,7,5,7,5,,,,J. Tarango,G. Kuerten,T136,K293,USA,BRA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS016,R32,01:22:00,,F,2,C274,"6-2,6-4",M. Chang,P. Rafter,,,USA,AUS,6-2,6-4,,,,01:22:00,240,/en/stats/leaderboard?page=serve,1,6,54,32,59,78,25,32,59,16,27,,0,,9,238,/en/stats/leaderboard?page=serve,,8,53,33,62,64,21,33,52,15,29,75,9,12,9,69,41,59,42,26,62,55,67,121,58,36,62,31,18,59,45,54,121,A,5,,,,,,,,M. Chang,P. Rafter,C274,R255,USA,AUS,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS017,R32,01:13:00,,F,2,C328,"7-6(8),6-3",K. Carlsen,J. Eltingh,,,DEN,NED,7-6(8),6-3,,,,01:13:00,293,/en/stats/leaderboard?page=serve,3,15,65,45,69,80,36,45,46,11,24,,0,,11,285,/en/stats/leaderboard?page=serve,,7,57,34,60,76,26,34,58,15,26,0,0,1,10,68,47,69,32,19,60,51,66,129,68,41,60,32,22,69,49,63,129,A,3,8,6,,,,,,K. Carlsen,J. Eltingh,C328,E106,DEN,NED,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS018,R32,01:29:00,,F,2,S545,"6-4,6-4",S. Sargsian,A. O'Brien,,,ARM,USA,6-4,6-4,,,,01:29:00,222,/en/stats/leaderboard?page=serve,2,4,70,39,56,74,29,39,76,13,17,0,0,,10,263,/en/stats/leaderboard?page=serve,,5,62,53,85,70,37,53,47,15,32,75,6,8,10,75,42,56,39,33,85,53,75,141,61,52,85,25,14,56,47,66,141,A,1,,,,,,,,S. Sargsian,A. O'Brien,S545,O099,ARM,USA,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS019,R32,01:11:00,,F,2,R016,"6-3,6-2",R. Reneberg,J. Viloca-Puig,,,USA,ESP,6-3,6-2,,,,01:11:00,288,/en/stats/leaderboard?page=serve,1,5,65,32,49,78,25,32,53,9,17,0,0,1,9,204,/en/stats/leaderboard?page=serve,False,2,57,35,61,57,20,35,38,10,26,69,9,13,8,69,34,49,51,31,61,59,65,110,49,30,61,31,15,49,41,45,110,A,,,,,,,,,R. Reneberg,J. Viloca-Puig,R016,V161,USA,ESP,,
402,1997,Memphis,GP,1997-02-17T00:00:00,1997-02-23T00:00:00,Hard,48,700000,$,MS020,R32,01:12:00,,F,2,M442,"6-4,6-4",T. Martin,B. Shelton,,,USA,USA,6-4,6-4,,,,01:12:00,220,/en/stats/leaderboard?page=serve,3,14,52,27,52,93,25,27,64,16,25,0,0,,10,265,/en/stats/leaderboard?page=serve,,7,60,43,72,70,30,43,52,15,29,75,6,8,10,79,41,52,38,27,72,55,68,124,63,45,72,21,11,52,45,56,124,A,4,,,,,,,,T. Martin,B. Shelton,M442,S380,USA,USA,,
