event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS001,F,01:16:00,,F,2,B446,"7-6(7),6-0",J. Bjorkman,K. Carlsen,,,SWE,DEN,7-6(7),6-0,,,,01:16:00,7,0,265,/en/stats/leaderboard?page=serve,1,2,43,22,51,82,18,22,62,18,29,33,1,3,9,198,/en/stats/leaderboard?page=serve,2,5,59,40,68,63,25,40,29,8,28,62,8,13,9,71,36,51,51,35,68,60,71,119,49,33,68,29,15,51,40,48,119,A,,,,,,,J. Bjorkman,K. Carlsen,B446,C328,SWE,DEN,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS002,SF,01:01:00,,F,2,B446,"6-1,6-1",J. Bjorkman,M. Ondruska,,,SWE,RSA,6-1,6-1,,,,01:01:00,,,266,/en/stats/leaderboard?page=serve,2,2,52,24,46,79,19,24,50,11,22,50,1,2,7,153,/en/stats/leaderboard?page=serve,1,3,58,28,48,39,11,28,40,8,20,40,4,10,7,65,30,46,60,29,48,63,59,94,40,19,48,35,16,46,37,35,94,A,,,,,,,J. Bjorkman,M. Ondruska,B446,O098,SWE,RSA,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS003,SF,01:29:00,,F,2,C328,"7-6(7),6-4",K. Carlsen,J. Novak,,,DEN,CZE,7-6(7),6-4,,,,01:29:00,7,5,261,/en/stats/leaderboard?page=serve,2,5,53,39,73,74,29,39,50,17,34,71,5,7,11,267,/en/stats/leaderboard?page=serve,,1,71,54,76,59,32,54,64,14,22,67,6,9,11,63,46,73,39,30,76,51,76,149,61,46,76,37,27,73,49,73,149,A,False,,,,,,K. Carlsen,J. Novak,C328,N254,DEN,CZE,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS004,QF,01:27:00,,F,3,O098,"0-6,6-3,6-3",M. Ondruska,M. Rios,,,RSA,CHI,0-6,6-3,6-3,,,01:27:00,,,239,/en/stats/leaderboard?page=serve,3,2,45,36,80,75,27,36,45,20,44,63,5,8,12,262,/en/stats/leaderboard?page=serve,,0,60,40,67,60,24,40,67,18,27,40,2,5,12,59,47,80,37,25,67,49,72,147,63,42,67,41,33,80,51,75,147,A,False,,,,,,M. Ondruska,M. Rios,O098,R286,RSA,CHI,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS005,QF,01:02:00,,F,2,B446,"6-4,6-0",J. Bjorkman,J. Gambill,,,SWE,USA,6-4,6-0,,,,01:02:00,,,202,/en/stats/leaderboard?page=serve,1,2,44,18,41,83,15,18,74,17,23,0,0,,8,214,/en/stats/leaderboard?page=serve,,3,57,27,47,44,12,27,60,12,20,43,3,7,8,78,32,41,49,23,47,63,55,88,51,24,47,22,9,41,38,33,88,A,False,,,,,,J. Bjorkman,J. Gambill,B446,G352,SWE,USA,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS006,QF,01:42:00,,F,2,C328,"6-4,7-6(7)",K. Carlsen,H. Gumy,,,DEN,ARG,6-4,7-6(7),,,,01:42:00,,,284,/en/stats/leaderboard?page=serve,6,11,58,42,73,83,35,42,48,15,31,67,2,3,11,282,/en/stats/leaderboard?page=serve,1,4,69,49,71,65,32,49,64,14,22,67,4,6,11,68,50,73,35,25,71,52,75,144,65,46,71,32,23,73,48,69,144,A,,7,5,,,,K. Carlsen,H. Gumy,C328,G247,DEN,ARG,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS007,QF,00:59:00,,F,2,N254,"6-1,6-4",J. Novak,A. Radulescu,,,CZE,GER,6-1,6-4,,,,00:59:00,,,304,/en/stats/leaderboard?page=serve,,2,82,42,51,69,29,42,89,8,9,,0,,8,209,/en/stats/leaderboard?page=serve,4,4,49,31,63,71,22,31,34,11,32,50,4,8,9,73,37,51,48,30,63,59,67,114,52,33,63,27,14,51,41,47,114,A,,,,False,,,J. Novak,A. Radulescu,N254,R284,CZE,GER,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS008,R16,01:06:00,,F,2,R286,"6-2,6-4",M. Rios,J. Tarango,,,CHI,USA,6-2,6-4,,,,01:06:00,,,281,/en/stats/leaderboard?page=serve,1,5,46,26,57,85,22,26,58,18,31,,0,,9,245,/en/stats/leaderboard?page=serve,3,3,61,31,51,68,21,31,50,10,20,25,1,4,9,70,40,57,39,20,51,56,60,108,61,31,51,30,17,57,44,48,108,A,,,,,,,M. Rios,J. Tarango,R286,T136,CHI,USA,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS009,R16,01:56:00,,F,3,O098,"2-6,6-2,6-3",M. Ondruska,K. Kucera,,,RSA,SVK,2-6,6-2,6-3,,,01:56:00,,,256,/en/stats/leaderboard?page=serve,7,5,50,52,103,77,40,52,47,24,51,82,9,11,13,243,/en/stats/leaderboard?page=serve,6,1,51,39,77,69,27,39,53,20,38,50,3,6,12,62,64,103,39,30,77,52,94,180,61,47,77,38,39,103,48,86,180,A,,,,,,,M. Ondruska,K. Kucera,O098,K237,RSA,SVK,,
301,1997,Auckland,GP,1997-01-06T00:00:00,1997-01-12T00:00:00,Hard,32,303000,$,MS010,R16,01:22:00,,F,2,B446,"6-0,7-5",J. Bjorkman,C. Ruud,,,SWE,NOR,6-0,7-5,,,,01:22:00,,,250,/en/stats/leaderboard?page=serve,5,4,51,33,65,67,22,33,56,18,32,60,3,5,9,162,/en/stats/leaderboard?page=serve,2,2,39,26,66,50,13,26,40,16,40,40,4,10,9,62,40,65,56,37,66,59,77,131,44,29,66,38,25,65,41,54,131,A,,,,,,,J. Bjorkman,C. Ruud,B446,R219,SWE,NOR,,
