event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS001,F,02:06:00,,F,3,C252,"7-5,6-1,6-1",F. Clavet,Y. El Aynaoui,,,ESP,MAR,7-5,6-1,6-1,,,02:06:00,269,/en/stats/leaderboard?page=serve,1,2,70,64,92,66,42,64,54,15,28,67,6,9,14,206,/en/stats/leaderboard?page=serve,5,3,68,75,111,52,39,75,42,15,36,58,11,19,15,62,57,92,51,57,111,56,114,203,49,54,111,38,35,92,44,89,203,A,,,,,,,,,F. Clavet,Y. El Aynaoui,C252,E121,ESP,MAR,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS002,SF,01:25:00,,F,2,C252,"6-3,6-4",F. Clavet,A. Voinea,,,ESP,ROU,6-3,6-4,,,,01:25:00,237,/en/stats/leaderboard?page=serve,,1,64,42,66,60,25,42,46,11,24,75,9,12,9,193,/en/stats/leaderboard?page=serve,1,3,66,46,70,52,24,46,33,8,24,60,9,15,10,55,36,66,54,38,70,54,74,136,46,32,70,45,30,66,46,62,136,A,False,,,,,,,,F. Clavet,A. Voinea,C252,V166,ESP,ROU,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS003,SF,02:00:00,,F,3,E121,"6-3,6-7(5),6-2",Y. El Aynaoui,D. van Scheppingen,,,MAR,NED,6-3,6-7(5),6-2,,,02:00:00,285,/en/stats/leaderboard?page=serve,2,14,65,64,99,81,52,64,54,19,35,,0,,15,263,/en/stats/leaderboard?page=serve,4,2,59,55,94,69,38,55,59,23,39,40,2,5,14,72,71,99,35,33,94,54,104,193,65,61,94,28,28,99,46,89,193,A,,5,7,,,,,,Y. El Aynaoui,D. van Scheppingen,E121,S559,MAR,NED,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS004,QF,02:16:00,,F,2,V166,"7-6(9),7-5",A. Voinea,S. Dosedel,,,ROU,CZE,7-6(9),7-5,,,,02:16:00,239,/en/stats/leaderboard?page=serve,4,1,68,76,111,57,43,76,51,18,35,71,10,14,12,220,/en/stats/leaderboard?page=serve,3,2,65,68,104,62,42,68,36,13,36,62,8,13,12,55,61,111,47,49,104,51,110,215,53,55,104,45,50,111,49,105,215,A,,,,9,7,,,,A. Voinea,S. Dosedel,V166,D198,ROU,CZE,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS005,QF,01:21:00,,F,2,C252,"6-4,6-3",F. Clavet,F. Mantilla,,,ESP,ESP,6-4,6-3,,,,01:21:00,260,/en/stats/leaderboard?page=serve,2,2,56,30,54,73,22,30,54,13,24,60,3,5,9,205,/en/stats/leaderboard?page=serve,4,1,71,55,77,60,33,55,27,6,22,62,8,13,10,65,35,54,49,38,77,56,73,131,51,39,77,35,19,54,44,58,131,A,,,,,,,,,F. Clavet,F. Mantilla,C252,M535,ESP,ESP,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS006,QF,01:25:00,,F,2,S559,"7-6(11),6-2",D. van Scheppingen,C. Moya,,,NED,ESP,7-6(11),6-2,,,,01:25:00,272,/en/stats/leaderboard?page=serve,,2,49,40,81,70,28,40,61,25,41,,0,,10,266,/en/stats/leaderboard?page=serve,1,0,69,47,68,70,33,47,48,10,21,60,3,5,10,65,53,81,37,25,68,52,78,149,63,43,68,35,28,81,48,71,149,A,False,,,11,9,,,,D. van Scheppingen,C. Moya,S559,M605,NED,ESP,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS007,QF,01:21:00,,F,2,E121,"6-4,6-3",Y. El Aynaoui,H. Gumy,,,MAR,ARG,6-4,6-3,,,,01:21:00,257,/en/stats/leaderboard?page=serve,4,4,73,49,67,71,35,49,33,6,18,67,4,6,10,217,/en/stats/leaderboard?page=serve,4,2,67,36,54,58,21,36,39,7,18,20,1,5,9,61,41,67,48,26,54,55,67,121,52,28,54,39,26,67,45,54,121,A,,,,,,,,,Y. El Aynaoui,H. Gumy,E121,G247,MAR,ARG,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS008,R16,01:00:00,,F,2,V166,"6-0,7-5",A. Voinea,M. Rios,,,ROU,CHI,6-0,7-5,,,,01:00:00,274,/en/stats/leaderboard?page=serve,,7,64,28,44,82,23,28,44,7,16,0,0,2,9,164,/en/stats/leaderboard?page=serve,5,0,43,23,54,61,14,23,32,10,31,45,5,11,9,68,30,44,56,30,54,61,60,98,44,24,54,32,14,44,39,38,98,A,False,,,,,,,,A. Voinea,M. Rios,V166,R286,ROU,CHI,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS009,R16,01:05:00,,F,2,D198,"6-2,7-5",S. Dosedel,C. Costa,,,CZE,ESP,6-2,7-5,,,,01:05:00,275,/en/stats/leaderboard?page=serve,1,2,73,47,64,68,32,47,53,9,17,60,3,5,10,210,/en/stats/leaderboard?page=serve,,2,58,29,50,52,15,29,48,10,21,0,0,5,10,64,41,64,50,25,50,58,66,114,50,25,50,36,23,64,42,48,114,A,,,,,,False,,,S. Dosedel,C. Costa,D198,C179,CZE,ESP,,
317,1996,Amsterdam,GP,1996-07-29T00:00:00,1996-08-04T00:00:00,Clay,32,475000,$,MS010,R16,01:17:00,,F,2,M535,"6-4,6-2",F. Mantilla,G. Schaller,,,ESP,AUT,6-4,6-2,,,,01:17:00,220,/en/stats/leaderboard?page=serve,3,2,41,21,51,57,12,21,57,17,30,40,2,5,9,170,/en/stats/leaderboard?page=serve,2,1,60,31,52,45,14,31,33,7,21,45,5,11,9,57,29,51,60,31,52,58,60,103,40,21,52,43,22,51,42,43,103,A,,,,,,,,,F. Mantilla,G. Schaller,M535,S315,ESP,AUT,,
