event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS110,R128,02:17:00,,F,3,HG86,"6-3,7-5,6-4",L. Harris,S. Baez,,,RSA,ARG,6-3,7-5,6-4,,,02:17:00,A,L. Harris,S. Baez,RSA,ARG,,,282,/en/stats/leaderboard?page=serve,5,9,64,54,84,80,43,54,53,16,30,57,4,7,16,230,/en/stats/leaderboard?page=serve,2,3,82,77,94,58,45,77,29,5,17,45,5,11,15,70,59,84,47,44,94,58,103,178,53,50,94,30,25,84,42,75,178,02:17:00,02:17:00,,,,,,,,,,,HG86,B0BI
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS111,R128,01:58:00,,F,3,FB98,"7-5,6-2,6-3",T. Fritz,E. Nava,,,USA,USA,7-5,6-2,6-3,,,01:58:00,A,T. Fritz,E. Nava,USA,USA,,,309,/en/stats/leaderboard?page=serve,5,11,57,50,88,78,39,50,68,26,38,100,4,4,15,253,/en/stats/leaderboard?page=serve,6,9,63,63,100,65,41,63,51,19,37,60,6,10,14,74,65,88,40,40,100,56,105,188,60,60,100,26,23,88,44,83,188,01:58:00,01:58:00,,,,,,,,,,,FB98,N0AM
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS112,R128,02:07:00,,F,3,S0S1,"6-3,6-2,6-4",B. Shelton,I. Buse,,,USA,PER,6-3,6-2,6-4,,,02:07:00,A,B. Shelton,I. Buse,USA,PER,,,301,/en/stats/leaderboard?page=serve,3,5,63,55,88,78,43,55,58,19,33,100,5,5,14,233,/en/stats/leaderboard?page=serve,6,2,53,48,91,73,35,48,42,18,43,69,9,13,13,70,62,88,42,38,91,56,100,179,58,53,91,30,26,88,44,79,179,02:07:00,02:07:00,,,,,,,,,,,S0S1,B0ID
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS113,R128,02:25:00,,F,3,CD85,"7-6(9),6-4,6-2",P. Carreno Busta,P. Llamas Ruiz,,,ESP,ESP,7-6(9),6-4,6-2,,,02:25:00,A,P. Carreno Busta,P. Llamas Ruiz,ESP,ESP,,,312,/en/stats/leaderboard?page=serve,1,4,63,62,98,74,46,62,72,26,36,100,5,5,15,260,/en/stats/leaderboard?page=serve,8,12,59,70,118,73,51,70,44,21,48,79,11,14,15,73,72,98,39,46,118,55,118,216,61,72,118,27,26,98,45,98,216,02:25:00,02:25:00,,,,,9,7,,,,,CD85,L0CX
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS114,R128,02:55:00,,F,4,TC61,"6-2,6-4,1-6,6-3",J. Thompson,C. Moutet,,,AUS,FRA,6-2,6-4,1-6,6-3,,02:55:00,A,J. Thompson,C. Moutet,AUS,FRA,,,283,/en/stats/leaderboard?page=serve,2,10,63,63,100,71,45,63,59,22,37,63,5,8,17,239,/en/stats/leaderboard?page=serve,5,4,56,63,113,68,43,63,46,23,50,64,9,14,17,67,67,100,42,47,113,54,114,213,58,66,113,33,33,100,46,99,213,02:55:00,02:55:00,,,,,,,,,,,TC61,MW02
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS115,R128,02:26:00,,F,3,ME82,"7-5,6-4,6-0",A. Mannarino,T. Griekspoor,,,FRA,NED,7-5,6-4,6-0,,,02:26:00,A,A. Mannarino,T. Griekspoor,FRA,NED,,,298,/en/stats/leaderboard?page=serve,3,14,55,47,86,89,42,47,51,20,39,89,8,9,14,215,/en/stats/leaderboard?page=serve,10,14,58,57,99,70,40,57,26,11,42,63,10,16,14,72,62,86,48,48,99,59,110,185,52,51,99,28,24,86,41,75,185,02:26:00,02:26:00,,,,,,,,,,,ME82,GJ37
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS116,R128,03:12:00,,F,4,L0BV,"3-6,6-4,7-6(7),6-1",J. Lehecka,B. Coric,,,CZE,CRO,3-6,6-4,7-6(7),6-1,,03:12:00,A,J. Lehecka,B. Coric,CZE,CRO,,,283,/en/stats/leaderboard?page=serve,6,13,59,70,118,80,56,70,52,25,48,40,2,5,20,256,/en/stats/leaderboard?page=serve,7,7,61,74,122,66,49,74,52,25,48,50,4,8,18,69,81,118,39,48,122,54,129,240,61,74,122,31,37,118,46,111,240,03:12:00,03:12:00,,,,,,,7,5,,,L0BV,CG80
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS117,R128,01:45:00,,F,3,EA24,"6-3,6-2,6-0",T. Etcheverry,C. Ugo Carabelli,,,ARG,ARG,6-3,6-2,6-0,,,01:45:00,A,T. Etcheverry,C. Ugo Carabelli,ARG,ARG,,,313,/en/stats/leaderboard?page=serve,0,10,72,48,67,77,37,48,63,12,19,0,0,1,12,161,/en/stats/leaderboard?page=serve,8,4,42,27,65,48,13,27,39,15,38,36,4,11,11,73,49,67,57,37,65,65,86,132,43,28,65,27,18,67,35,46,132,01:45:00,01:45:00,,,,,,,,,,,EA24,U182
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS118,R128,02:19:00,,F,3,C0JP,"6-4,6-4,6-4",R. Collignon,D. Galan,,,BEL,COL,6-4,6-4,6-4,,,02:19:00,A,R. Collignon,D. Galan,BEL,COL,,,284,/en/stats/leaderboard?page=serve,5,6,54,51,95,75,38,51,61,27,44,83,5,6,15,245,/en/stats/leaderboard?page=serve,6,8,52,55,106,73,40,55,45,23,51,64,7,11,15,68,65,95,41,43,106,54,108,201,59,63,106,32,30,95,46,93,201,02:19:00,02:19:00,,,,,,,,,,,C0JP,GE33
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS119,R128,01:55:00,,F,3,RH16,"6-1,6-2,7-6(7)",C. Ruud,S. Ofner,,,NOR,AUT,6-1,6-2,7-6(7),,,01:55:00,A,C. Ruud,S. Ofner,NOR,AUT,,,305,/en/stats/leaderboard?page=serve,2,9,56,50,90,82,41,50,60,24,40,100,4,4,14,246,/en/stats/leaderboard?page=serve,5,13,49,44,89,80,35,44,40,18,45,20,1,5,13,72,65,90,40,36,89,56,101,179,60,53,89,28,25,90,44,78,179,01:55:00,01:55:00,,,,,,,7,5,,,RH16,O513
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS120,R128,03:45:00,,F,5,BM95,"6-3,7-5,6-7(5),0-6,6-4",B. Bonzi,D. Medvedev,,,FRA,RUS,6-3,7-5,6-7(5),0-6,6-4,03:45:00,A,B. Bonzi,D. Medvedev,FRA,RUS,,,267,/en/stats/leaderboard?page=serve,4,7,67,105,157,69,72,105,52,27,52,68,13,19,25,263,/en/stats/leaderboard?page=serve,10,21,60,89,149,75,67,89,42,25,60,63,10,16,24,63,99,157,38,57,149,51,156,306,62,92,149,37,58,157,49,150,306,03:45:00,03:45:00,,,,,,,5,7,,,BM95,MM58
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS121,R128,04:12:00,,F,5,GC88,"6-0,7-5,4-6,5-7,6-4",M. Giron,M. Navone,,,USA,ARG,6-0,7-5,4-6,5-7,6-4,04:12:00,A,M. Giron,M. Navone,USA,ARG,,,249,/en/stats/leaderboard?page=serve,5,3,56,95,171,66,63,95,53,40,76,65,11,17,25,226,/en/stats/leaderboard?page=serve,11,5,61,95,155,59,56,95,48,29,60,44,7,16,25,60,103,171,45,70,155,53,173,326,55,85,155,40,68,171,47,153,326,04:12:00,04:12:00,,,,,,,,,,,GC88,N0BS
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS122,R128,03:54:00,,F,4,RC91,"7-6(7),7-5,4-6,6-2",A. Rinderknech,R. Carballes Baena,,,FRA,ESP,7-6(7),7-5,4-6,6-2,,03:54:00,A,A. Rinderknech,R. Carballes Baena,FRA,ESP,,,302,/en/stats/leaderboard?page=serve,6,14,56,68,122,84,57,68,59,32,54,83,5,6,21,264,/en/stats/leaderboard?page=serve,6,4,59,86,146,74,64,86,48,29,60,77,10,13,21,73,89,122,36,53,146,53,142,268,64,93,146,27,33,122,47,126,268,03:54:00,03:54:00,,,,,7,2,,,,,RC91,CF59
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS123,R128,01:26:00,,F,3,DH50,"6-1,6-1,6-2",A. Davidovich Fokina,A. Shevchenko,,,ESP,KAZ,6-1,6-1,6-2,,,01:26:00,A,A. Davidovich Fokina,A. Shevchenko,ESP,KAZ,,,300,/en/stats/leaderboard?page=serve,2,6,56,37,66,78,29,37,62,18,29,100,4,4,11,169,/en/stats/leaderboard?page=serve,2,1,45,28,62,57,16,28,32,11,34,22,2,9,11,71,47,66,56,35,62,64,82,128,44,27,62,29,19,66,36,46,128,01:26:00,01:26:00,,,,,,,,,,,DH50,S0H2
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS124,R128,01:24:00,,F,3,D0FJ,"6-2,6-1,6-2",L. Darderi,R. Hijikata,,,ITA,AUS,6-2,6-1,6-2,,,01:24:00,A,L. Darderi,R. Hijikata,ITA,AUS,,,311,/en/stats/leaderboard?page=serve,6,11,56,35,62,94,33,35,56,15,27,0,0,0,12,194,/en/stats/leaderboard?page=serve,5,3,53,36,68,64,23,36,34,11,32,25,2,8,11,77,48,62,50,34,68,63,82,130,50,34,68,23,14,62,37,48,130,01:24:00,01:24:00,,,,,,,,,,,D0FJ,H0BH
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS125,R128,02:40:00,,F,3,S0JA,"7-5,6-4,7-6(7)",E. Spizzirri,S. Dostanic,,,USA,USA,7-5,6-4,7-6(7),,,02:40:00,A,E. Spizzirri,S. Dostanic,USA,USA,,,290,/en/stats/leaderboard?page=serve,3,5,72,86,119,67,58,86,61,20,33,80,8,10,17,261,/en/stats/leaderboard?page=serve,4,13,72,89,123,66,59,89,38,13,34,69,9,13,17,66,78,119,41,51,123,53,129,242,59,72,123,34,41,119,47,113,242,02:40:00,02:40:00,,,,,,,7,4,,,S0JA,D0D4
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS126,R128,02:50:00,,F,4,B0GG,"7-6(7),1-6,6-3,3-0",M. Bellucci,J. Shang,,,ITA,CHN,7-6(7),1-6,6-3,3-0,,02:50:00,A,M. Bellucci,J. Shang,ITA,CHN,,,260,/en/stats/leaderboard?page=serve,4,12,60,64,106,67,43,64,52,22,42,75,12,16,15,225,/en/stats/leaderboard?page=serve,7,3,56,69,123,62,43,69,43,23,54,55,6,11,16,61,65,106,46,57,123,53,122,229,54,66,123,39,41,106,47,107,229,02:50:00,02:50:00,,,,,7,0,,,,,B0GG,S0RE
560,2025,US Open,GS,2025-08-24T00:00:00,2025-09-07T00:00:00,Hard,128,40412800,$,MS127,R128,02:05:00,,F,3,A0E2,"6-4,7-5,6-4",C. Alcaraz,R. Opelka,,,ESP,USA,6-4,7-5,6-4,,,02:05:00,A,C. Alcaraz,R. Opelka,ESP,USA,,,318,/en/stats/leaderboard?page=serve,6,4,69,58,84,86,50,58,65,17,26,100,3,3,16,263,/en/stats/leaderboard?page=serve,9,14,61,64,105,75,48,64,41,17,41,73,8,11,16,80,67,84,38,40,105,57,107,189,62,65,105,20,17,84,43,82,189,02:05:00,02:05:00,,,,,,,,,,,A0E2,O522
