event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS001,F,01:36:00,,F,2,C252,"6-4,7-6(9)",F. Clavet,J. Viloca-Puig,,,ESP,ESP,6-4,7-6(9),,,,01:36:00,9,7,285,/en/stats/leaderboard?page=serve,3,2,67,47,70,72,34,47,57,13,23,0,0,1,11,261,/en/stats/leaderboard?page=serve,2,3,56,40,71,68,27,40,55,17,31,60,3,5,11,67,47,70,38,27,71,52,74,141,62,44,71,33,23,70,48,67,141,A,,,,F. Clavet,J. Viloca-Puig,C252,V161,ESP,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS002,SF,02:04:00,,F,2,C252,"7-5,7-6(7)",F. Clavet,N. Lapentti,,,ESP,ECU,7-5,7-6(7),,,,02:04:00,7,5,272,/en/stats/leaderboard?page=serve,4,3,78,75,96,63,47,75,57,12,21,70,7,10,12,232,/en/stats/leaderboard?page=serve,7,6,51,39,77,82,32,39,34,13,38,60,6,10,12,61,59,96,42,32,77,53,91,173,58,45,77,39,37,96,47,82,173,A,,,,F. Clavet,N. Lapentti,C252,L290,ESP,ECU,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS003,SF,00:58:00,,F,2,V161,"6-3,6-1",J. Viloca-Puig,F. Meligeni,,,ESP,BRA,6-3,6-1,,,,00:58:00,,,298,/en/stats/leaderboard?page=serve,1,3,70,31,44,77,24,31,62,8,13,0,0,1,8,168,/en/stats/leaderboard?page=serve,8,1,47,24,51,58,14,24,33,9,27,38,3,8,8,73,32,44,55,28,51,63,60,95,45,23,51,27,12,44,37,35,95,A,,,,J. Viloca-Puig,F. Meligeni,V161,M443,ESP,BRA,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS004,QF,01:42:00,,F,2,C252,"6-3,7-6(7)",F. Clavet,A. Sa,,,ESP,BRA,6-3,7-6(7),,,,01:42:00,7,4,263,/en/stats/leaderboard?page=serve,,1,64,54,85,61,33,54,65,20,31,70,7,10,11,215,/en/stats/leaderboard?page=serve,5,0,49,34,69,68,23,34,43,15,35,43,3,7,10,62,53,85,45,31,69,55,84,154,55,38,69,38,32,85,45,70,154,A,False,,,F. Clavet,A. Sa,C252,S604,ESP,BRA,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS005,QF,01:58:00,,F,3,L290,"6-2,4-6,7-5",N. Lapentti,E. Benfele Alvarez,,,ECU,ESP,6-2,4-6,7-5,,,01:58:00,,,281,/en/stats/leaderboard?page=serve,5,5,58,48,83,77,37,48,60,21,35,50,2,4,15,247,/en/stats/leaderboard?page=serve,8,3,53,44,83,77,34,44,49,19,39,20,1,5,15,70,58,83,36,30,83,53,88,166,64,53,83,30,25,83,47,78,166,A,,,,N. Lapentti,E. Benfele Alvarez,L290,A190,ECU,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS006,QF,01:47:00,,F,3,M443,"2-6,7-6(7),6-0",F. Meligeni,L. Arnold Ker,,,BRA,ARG,2-6,7-6(7),6-0,,,01:47:00,7,4,253,/en/stats/leaderboard?page=serve,3,5,43,33,76,79,26,33,53,23,43,25,1,4,13,237,/en/stats/leaderboard?page=serve,8,1,63,51,81,65,33,51,47,14,30,33,2,6,13,64,49,76,42,34,81,53,83,157,58,47,81,36,27,76,47,74,157,A,,,,F. Meligeni,L. Arnold Ker,M443,A228,BRA,ARG,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS007,QF,01:28:00,,F,2,V161,"6-4,6-2",J. Viloca-Puig,J. Marin,,,ESP,CRC,6-4,6-2,,,,01:28:00,,,227,/en/stats/leaderboard?page=serve,5,2,56,38,68,58,22,38,50,15,30,63,5,8,9,181,/en/stats/leaderboard?page=serve,5,1,63,40,63,50,20,40,39,9,23,25,2,8,9,54,37,68,54,34,63,54,71,131,46,29,63,46,31,68,46,60,131,A,,,,J. Viloca-Puig,J. Marin,V161,M578,ESP,CRC,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS008,R16,02:06:00,,F,3,C252,"3-6,6-4,7-5",F. Clavet,J. Burillo,,,ESP,ESP,3-6,6-4,7-5,,,02:06:00,,,249,/en/stats/leaderboard?page=serve,4,3,73,62,85,68,42,62,43,10,23,50,5,10,15,217,/en/stats/leaderboard?page=serve,13,10,44,55,125,71,39,55,43,30,70,74,17,23,16,61,52,85,45,56,125,51,108,210,55,69,125,39,33,85,49,102,210,A,,,,F. Clavet,J. Burillo,C252,B429,ESP,ESP,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS009,R16,01:45:00,,F,3,S604,"2-6,6-3,6-4",A. Sa,L. Herrera,,,BRA,MEX,2-6,6-3,6-4,,,01:45:00,,,203,/en/stats/leaderboard?page=serve,9,2,50,41,82,59,24,41,44,18,41,45,5,11,14,214,/en/stats/leaderboard?page=serve,4,0,64,57,89,54,31,57,47,15,32,45,5,11,13,51,42,82,48,43,89,50,85,171,52,46,89,49,40,82,50,86,171,A,,,,A. Sa,L. Herrera,S604,H228,BRA,MEX,,
807,1997,Mexico City,GP,1997-10-20T00:00:00,1997-10-26T00:00:00,Clay,32,305000,$,MS010,R16,01:02:00,,F,2,L290,"6-3,6-0",N. Lapentti,G. Blanco,,,ECU,ESP,6-3,6-0,,,,01:02:00,,,268,/en/stats/leaderboard?page=serve,3,7,48,24,50,83,20,24,46,12,26,50,1,2,8,158,/en/stats/leaderboard?page=serve,4,1,43,20,47,60,12,20,30,8,27,29,2,7,7,64,32,50,57,27,47,61,59,97,43,20,47,36,18,50,39,38,97,A,,,,N. Lapentti,G. Blanco,L290,B518,ECU,ESP,,
