event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS001,F,02:25:00,,F,4,F324,"6-2,4-6,7-5,6-1",R. Federer,A. Roddick,,,SUI,USA,6-2,4-6,7-5,6-1,,02:25:00,301,/en/stats/leaderboard?page=serve,0,17,61,63,103,84,53,63,50,20,40,75,6,8,19,242,/en/stats/leaderboard?page=serve,1,7,66,80,122,66,53,80,38,16,42,63,10,16,18,71,73,103,43,53,122,56,126,225,57,69,122,29,30,103,44,99,225,A,,,,,,,,,,,R. Federer,A. Roddick,F324,R485,SUI,USA,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS002,SF,01:41:00,,F,3,F324,"6-1,7-5,6-4",R. Federer,N. Davydenko,,,SUI,RUS,6-1,7-5,6-4,,,01:41:00,291,/en/stats/leaderboard?page=serve,1,4,67,54,81,76,41,54,59,16,27,33,1,3,15,240,/en/stats/leaderboard?page=serve,2,2,71,60,85,52,31,60,60,15,25,25,2,8,14,70,57,81,46,39,85,58,96,166,54,46,85,30,24,81,42,70,166,A,,,,,,,,,,,R. Federer,N. Davydenko,F324,D402,SUI,RUS,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS003,SF,02:44:00,,F,4,R485,"6-7(5),6-0,7-6(7),6-3",A. Roddick,M. Youzhny,,,USA,RUS,6-7(5),6-0,7-6(7),6-3,,02:44:00,321,/en/stats/leaderboard?page=serve,1,14,70,85,121,79,67,85,64,23,36,67,2,3,20,244,/en/stats/leaderboard?page=serve,6,6,67,89,132,69,61,89,35,15,43,50,5,10,19,74,90,121,42,56,132,58,146,253,58,76,132,26,31,121,42,107,253,A,5.0,7.0,7.0,3.0,,,,,,,A. Roddick,M. Youzhny,R485,Y061,USA,RUS,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS004,QF,02:45:00,,F,4,F324,"7-6(9),6-0,6-7(9),6-4",R. Federer,J. Blake,,,SUI,USA,7-6(9),6-0,6-7(9),6-4,,02:45:00,275,/en/stats/leaderboard?page=serve,4,9,61,84,137,79,66,84,45,24,53,63,5,8,20,236,/en/stats/leaderboard?page=serve,4,8,59,91,154,59,54,91,49,31,63,59,10,17,20,66,90,137,45,69,154,55,159,291,55,85,154,34,47,137,45,132,291,A,9.0,7.0,9.0,11.0,,,,,,,R. Federer,J. Blake,F324,B676,SUI,USA,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS005,QF,03:42:00,,F,5,D402,"4-6,6-7(3),6-3,6-4,6-4",N. Davydenko,T. Haas,,,RUS,GER,4-6,6-7(3),6-3,6-4,6-4,03:42:00,291,/en/stats/leaderboard?page=serve,0,6,77,133,172,65,86,133,59,23,39,60,6,10,26,262,/en/stats/leaderboard?page=serve,8,13,64,90,141,72,65,90,45,23,51,25,2,8,25,63,109,172,38,53,141,52,162,313,62,88,141,37,63,172,48,151,313,A,,,,,3.0,7.0,,,,,N. Davydenko,T. Haas,D402,H355,RUS,GER,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS006,QF,01:52:00,,F,3,R485,"6-3,7-5,6-4",A. Roddick,L. Hewitt,,,USA,AUS,6-3,7-5,6-4,,,01:52:00,317,/en/stats/leaderboard?page=serve,2,17,73,65,89,82,53,65,54,13,24,75,3,4,16,259,/en/stats/leaderboard?page=serve,3,10,49,39,79,77,30,39,53,21,40,0,0,4,15,74,66,89,35,28,79,56,94,168,65,51,79,26,23,89,44,74,168,A,,,,,,,,,,,A. Roddick,L. Hewitt,R485,H432,USA,AUS,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS007,QF,03:15:00,,F,4,Y061,"6-3,5-7,7-6(7),6-1",M. Youzhny,R. Nadal,,,RUS,ESP,6-3,5-7,7-6(7),6-1,,03:15:00,299,/en/stats/leaderboard?page=serve,3,7,66,84,128,73,61,84,66,29,44,82,9,11,21,257,/en/stats/leaderboard?page=serve,1,1,63,78,123,67,52,78,49,22,45,56,5,9,19,70,90,128,40,49,123,55,139,251,60,74,123,30,38,128,45,112,251,A,,,7.0,5.0,,,,,,,M. Youzhny,R. Nadal,Y061,N409,RUS,ESP,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS008,R16,01:44:00,,F,3,F324,"6-3,7-6(7),6-3",R. Federer,M. Gicquel,,,SUI,FRA,6-3,7-6(7),6-3,,,01:44:00,327,/en/stats/leaderboard?page=serve,2,15,65,61,94,79,48,61,70,23,33,100,5,5,16,269,/en/stats/leaderboard?page=serve,0,8,49,43,87,77,33,43,50,22,44,33,1,3,14,76,71,94,37,32,87,57,103,181,63,55,87,24,23,94,43,78,181,A,,,,,7.0,2.0,,,,,R. Federer,M. Gicquel,F324,G436,SUI,FRA,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS009,R16,01:36:00,,F,3,B676,"6-4,6-3,6-1",J. Blake,T. Berdych,,,USA,CZE,6-4,6-3,6-1,,,01:36:00,303,/en/stats/leaderboard?page=serve,1,14,60,57,95,75,43,57,55,21,38,100,15,15,13,234,/en/stats/leaderboard?page=serve,3,7,65,56,86,61,34,56,43,13,30,44,4,9,13,67,64,95,45,39,86,57,103,181,55,47,86,33,31,95,43,78,181,A,,,,,,,,,,,J. Blake,T. Berdych,B676,BA47,USA,CZE,,
560,2006,US Open,GS,2006-08-28T00:00:00,2006-09-10T00:00:00,Hard,128,8332000,$,MS010,R16,03:10:00,,F,5,H355,"4-6,6-3,2-6,6-2,7-6(7)",T. Haas,M. Safin,,,GER,RUS,4-6,6-3,2-6,6-2,7-6(7),03:10:00,263,/en/stats/leaderboard?page=serve,4,5,66,101,153,67,68,101,50,26,52,55,6,11,24,266,/en/stats/leaderboard?page=serve,2,9,53,68,129,71,48,68,57,35,61,17,1,6,23,61,94,153,36,46,129,50,140,282,64,83,129,39,59,153,50,142,282,A,,,,,,,7.0,5.0,,,T. Haas,M. Safin,H355,S741,GER,RUS,,
