event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS022,R32,01:14:00,,F,2,G182,"6-4,6-4",M. Gustafsson,B. Ulihrach,,,SWE,CZE,6-4,6-4,,,,01:14:00,296,/en/stats/leaderboard?page=serve,1,6,72,39,54,82,32,39,47,7,15,67,2,3,10,227,/en/stats/leaderboard?page=serve,4,0,51,39,76,67,26,39,43,16,37,73,8,11,10,72,39,54,45,34,76,56,73,130,55,42,76,28,15,54,44,57,130,A,,,,,,,,,M. Gustafsson,B. Ulihrach,G182,U032,SWE,CZE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS023,R32,01:15:00,,F,2,K267,"7-5,6-3",Y. Kafelnikov,M. Norman,,,RUS,SWE,7-5,6-3,,,,01:15:00,290,/en/stats/leaderboard?page=serve,1,3,43,23,54,87,20,23,68,21,31,50,1,2,11,248,/en/stats/leaderboard?page=serve,2,11,44,27,61,78,21,27,47,16,34,57,4,7,10,76,41,54,39,24,61,57,65,115,61,37,61,24,13,54,43,50,115,A,,,,,,,,,Y. Kafelnikov,M. Norman,K267,N250,RUS,SWE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS024,R32,01:48:00,,F,3,H336,"2-6,6-3,6-4",T. Henman,J. Stoltenberg,,,GBR,AUS,2-6,6-3,6-4,,,01:48:00,253,/en/stats/leaderboard?page=serve,5,3,54,51,95,80,41,51,43,19,44,50,3,6,14,264,/en/stats/leaderboard?page=serve,4,8,55,42,76,76,32,42,53,18,34,50,3,6,13,63,60,95,34,26,76,50,86,171,66,50,76,37,35,95,50,85,171,A,,,,,,,,,T. Henman,J. Stoltenberg,H336,S331,GBR,AUS,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS025,R32,00:53:00,,F,2,A226,"6-1,6-4",H. Arazi,R. Fromberg,,,MAR,AUS,6-1,6-4,,,,00:53:00,276,/en/stats/leaderboard?page=serve,3,3,49,25,51,88,22,25,62,16,26,,0,,9,236,/en/stats/leaderboard?page=serve,5,12,48,24,50,88,21,24,31,8,26,50,3,6,8,75,38,51,42,21,50,58,59,101,58,29,50,25,13,51,42,42,101,A,,,,,,,,,H. Arazi,R. Fromberg,A226,F164,MAR,AUS,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS026,R32,01:07:00,,F,2,T136,"6-3,6-3",J. Tarango,N. Escude,,,USA,FRA,6-3,6-3,,,,01:07:00,276,/en/stats/leaderboard?page=serve,1,7,70,43,61,67,29,43,56,10,18,60,3,5,9,192,/en/stats/leaderboard?page=serve,3,1,54,28,52,54,15,28,42,10,24,17,1,6,9,64,39,61,52,27,52,58,66,113,48,25,52,36,22,61,42,47,113,A,,,,,,,,,J. Tarango,N. Escude,T136,E140,USA,FRA,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS027,R32,01:17:00,,F,2,K316,"6-2,6-4",N. Kiefer,P. Korda,,,GER,CZE,6-2,6-4,,,,01:17:00,267,/en/stats/leaderboard?page=serve,1,5,66,33,50,85,28,33,35,6,17,0,0,2,9,194,/en/stats/leaderboard?page=serve,2,3,47,34,73,71,24,34,31,12,39,64,9,14,9,68,34,50,51,37,73,58,71,123,49,36,73,32,16,50,42,52,123,A,,,,,,,,,N. Kiefer,P. Korda,K316,K148,GER,CZE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS028,R32,00:55:00,,F,2,B397,"6-2,6-2",B. Black,J. Siemerink,,,ZIM,NED,6-2,6-2,,,,00:55:00,226,/en/stats/leaderboard?page=serve,1,4,65,28,43,71,20,28,87,13,15,0,0,,8,202,/en/stats/leaderboard?page=serve,5,3,63,32,51,59,19,32,32,6,19,50,4,8,8,77,33,43,51,26,51,63,59,94,49,25,51,23,10,43,37,35,94,A,,,,,,,,,B. Black,J. Siemerink,B397,S381,ZIM,NED,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS029,R32,01:03:00,,F,2,J129,"6-3,6-2",T. Johansson,B. Becker,,,SWE,GER,6-3,6-2,,,,01:03:00,294,/en/stats/leaderboard?page=serve,,13,54,27,50,93,25,27,57,13,23,,0,,9,217,/en/stats/leaderboard?page=serve,3,5,44,19,43,63,12,19,46,11,24,0,0,3,8,76,38,50,47,20,43,62,58,93,53,23,43,24,12,50,38,35,93,A,,,False,,,,,,T. Johansson,B. Becker,J129,B028,SWE,GER,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS030,R32,01:12:00,,F,2,S424,"6-3,6-4",F. Santoro,M. Damm,,,FRA,CZE,6-3,6-4,,,,01:12:00,265,/en/stats/leaderboard?page=serve,1,1,62,37,60,62,23,37,61,14,23,67,4,6,10,235,/en/stats/leaderboard?page=serve,2,7,64,36,56,56,20,36,55,11,20,33,2,6,9,62,37,60,45,25,56,53,62,116,55,31,56,38,23,60,47,54,116,A,,,,,,,,,F. Santoro,M. Damm,S424,D214,FRA,CZE,,
328,1998,Basel,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Carpet,32,975000,$,MS031,R32,01:35:00,,F,2,V141,"7-6(9),7-5",D. Vacek,P. Rafter,,,CZE,AUS,7-6(9),7-5,,,,01:35:00,289,/en/stats/leaderboard?page=serve,5,6,60,46,77,87,40,46,58,18,31,,0,,12,322,/en/stats/leaderboard?page=serve,1,10,66,42,64,88,37,42,68,15,22,67,2,3,12,75,58,77,19,12,64,50,70,141,81,52,64,25,19,77,50,71,141,A,,,,,,,9,7,D. Vacek,P. Rafter,V141,R255,CZE,AUS,,
