event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS011,R16,01:59:00,,F,3,F316,"7-6(7),6-3,6-2",J. Ferrero,G. Simon,,,ESP,FRA,7-6(7),6-3,6-2,,,01:59:00,A,J. Ferrero,G. Simon,ESP,FRA,,,,,,,292,/en/stats/leaderboard?page=serve,1,7,60,55,91,82,45,55,58,21,36,71,5,7,15,232,/en/stats/leaderboard?page=serve,4,6,44,41,93,78,32,41,44,23,52,44,4,9,14,73,66,91,41,38,93,57,104,184,59,55,93,27,25,91,43,80,184,,,7.0,4.0,F316,SD32
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS012,R16,02:15:00,,F,3,H355,"7-6(10),6-4,6-4",T. Haas,I. Andreev,,,GER,RUS,7-6(10),6-4,6-4,,,02:15:00,A,T. Haas,I. Andreev,GER,RUS,,,,,,,319,/en/stats/leaderboard?page=serve,7,12,62,57,92,95,54,57,57,20,35,0,0,0,16,287,/en/stats/leaderboard?page=serve,2,15,64,74,116,73,54,74,50,21,42,71,5,7,16,80,74,92,35,41,116,55,115,208,65,75,116,20,18,92,45,93,208,,,10.0,8.0,H355,A511
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS013,R16,01:30:00,,F,3,D643,"6-2,6-4,6-1",N. Djokovic,D. Sela,,,SRB,ISR,6-2,6-4,6-1,,,01:30:00,A,N. Djokovic,D. Sela,SRB,ISR,,,,,,,281,/en/stats/leaderboard?page=serve,4,11,64,46,72,80,37,46,46,12,26,67,4,6,13,202,/en/stats/leaderboard?page=serve,2,1,65,46,71,57,26,46,40,10,25,50,7,14,12,68,49,72,49,35,71,59,84,143,51,36,71,32,23,72,41,59,143,,,,,D643,SC56
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS014,R16,03:01:00,,F,4,K336,"7-6(7),6-7(4),6-3,7-6(11)",I. Karlovic,F. Verdasco,,,CRO,ESP,7-6(7),6-7(4),6-3,7-6(11),,03:01:00,A,I. Karlovic,F. Verdasco,CRO,ESP,,,4.0,7.0,,,354,/en/stats/leaderboard?page=serve,5,36,72,94,131,94,88,94,57,21,37,0,0,0,23,301,/en/stats/leaderboard?page=serve,8,7,68,99,146,82,81,99,57,27,47,83,5,6,22,83,109,131,26,38,146,53,147,277,74,108,146,17,22,131,47,130,277,11.0,9.0,7.0,5.0,K336,V306
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS015,R16,01:59:00,,F,3,F324,"6-4,7-6(7),7-6(7)",R. Federer,R. Soderling,,,SUI,SWE,6-4,7-6(7),7-6(7),,,01:59:00,A,R. Federer,R. Soderling,SUI,SWE,,,7.0,5.0,7.0,5.0,340,/en/stats/leaderboard?page=serve,0,23,67,68,102,88,60,68,62,21,34,100,2,2,17,314,/en/stats/leaderboard?page=serve,3,16,56,55,98,91,50,55,60,26,43,75,3,4,17,79,81,102,22,22,98,52,103,200,78,76,98,21,21,102,49,97,200,,,,,F324,SA49
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS016,R32,02:28:00,,F,3,H432,"7-5,7-6(7),6-3",L. Hewitt,P. Petzschner,,,AUS,GER,7-5,7-6(7),6-3,,,02:28:00,A,L. Hewitt,P. Petzschner,AUS,GER,,,7.0,3.0,,,300,/en/stats/leaderboard?page=serve,5,9,49,49,101,82,40,49,65,34,52,100,3,3,16,272,/en/stats/leaderboard?page=serve,4,16,49,56,114,77,43,56,52,30,58,75,9,12,17,73,74,101,36,41,114,53,115,215,64,73,114,27,27,101,47,100,215,,,,,H432,P624
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS017,R32,03:44:00,,F,5,S694,"7-5,7-5,3-6,4-6,6-4",R. Stepanek,D. Ferrer,,,CZE,ESP,7-5,7-5,3-6,4-6,6-4,03:44:00,A,R. Stepanek,D. Ferrer,CZE,ESP,,,,,,,275,/en/stats/leaderboard?page=serve,5,9,61,100,163,75,75,100,51,32,63,56,5,9,26,269,/en/stats/leaderboard?page=serve,11,12,65,110,170,72,79,110,50,30,60,44,4,9,27,66,107,163,36,61,170,50,168,333,64,109,170,34,56,163,50,165,333,,,,,S694,F401
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS018,R32,01:48:00,,F,3,BA47,"6-2,6-3,6-2",T. Berdych,N. Davydenko,,,CZE,RUS,6-2,6-3,6-2,,,01:48:00,A,T. Berdych,N. Davydenko,CZE,RUS,,,,,,,307,/en/stats/leaderboard?page=serve,1,13,60,44,73,91,40,44,52,15,29,80,4,5,13,208,/en/stats/leaderboard?page=serve,4,5,62,50,81,66,33,50,29,9,31,45,5,11,12,75,55,73,48,39,81,61,94,154,52,42,81,25,18,73,39,60,154,,,,,BA47,D402
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS019,R32,02:54:00,,F,4,R485,"7-6(7),7-6(7),4-6,6-3",A. Roddick,J. Melzer,,,USA,AUT,7-6(7),7-6(7),4-6,6-3,,02:54:00,A,A. Roddick,J. Melzer,USA,AUT,,,7.0,2.0,,,343,/en/stats/leaderboard?page=serve,1,33,72,88,123,80,70,88,69,24,35,60,3,5,22,298,/en/stats/leaderboard?page=serve,4,26,59,82,138,77,63,82,50,28,56,78,7,9,21,76,94,123,34,47,138,54,141,261,66,91,138,24,29,123,46,120,261,,,7.0,2.0,R485,M762
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS020,R32,01:37:00,,F,3,MC10,"6-2,6-3,6-4",A. Murray,V. Troicki,,,GBR,SRB,6-2,6-3,6-4,,,01:37:00,A,A. Murray,V. Troicki,GBR,SRB,,,,,,,323,/en/stats/leaderboard?page=serve,1,17,65,49,75,88,43,49,54,14,26,100,1,1,14,234,/en/stats/leaderboard?page=serve,6,4,58,49,85,73,36,49,36,13,36,50,4,8,13,76,57,75,42,36,85,58,93,160,58,49,85,24,18,75,42,67,160,,,,,MC10,T840
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS021,R32,03:08:00,,F,4,W367,"5-7,7-5,6-3,6-3",S. Wawrinka,J. Levine,,,SUI,CAN,5-7,7-5,6-3,6-3,,03:08:00,A,S. Wawrinka,J. Levine,SUI,CAN,,,,,,,284,/en/stats/leaderboard?page=serve,4,17,61,75,123,83,62,75,42,20,48,40,2,5,21,242,/en/stats/leaderboard?page=serve,9,10,61,98,161,68,67,98,41,26,63,74,17,23,21,67,82,123,42,68,161,53,150,284,58,93,161,33,41,123,47,134,284,,,,,W367,L799
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS022,R32,03:01:00,,F,5,F316,"4-6,7-5,6-4,4-6,6-4",J. Ferrero,F. Gonzalez,,,ESP,CHI,4-6,7-5,6-4,4-6,6-4,03:01:00,A,J. Ferrero,F. Gonzalez,ESP,CHI,,,,,,,304,/en/stats/leaderboard?page=serve,1,14,69,115,166,75,86,115,55,28,51,80,8,10,26,313,/en/stats/leaderboard?page=serve,5,24,64,87,135,84,73,87,58,28,48,57,4,7,26,69,114,166,25,34,135,49,148,301,75,101,135,31,52,166,51,153,301,,,,,F316,G415
540,2009,Wimbledon,GS,2009-06-22T00:00:00,2009-07-05T00:00:00,Grass,128,5616600,£,MS023,R32,01:27:00,,F,3,SD32,"6-2,7-5,6-2",G. Simon,V. Hanescu,,,FRA,ROU,6-2,7-5,6-2,,,01:27:00,A,G. Simon,V. Hanescu,FRA,ROU,,,,,,,322,/en/stats/leaderboard?page=serve,1,10,66,51,77,78,40,51,69,18,26,100,5,5,14,247,/en/stats/leaderboard?page=serve,2,5,73,60,82,62,37,60,45,10,22,38,3,8,14,75,58,77,43,35,82,58,93,159,57,47,82,25,19,77,42,66,159,,,,,SD32,H528
