event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS011,R16,03:16:00,,F,5,H355,"4-6,6-4,3-6,6-0,7-6(7)",T. Haas,J. Blake,,,GER,USA,4-6,6-4,3-6,6-0,7-6(7),03:16:00,A,T. Haas,J. Blake,GER,USA,,,,,,,269,/en/stats/leaderboard?page=serve,4,18,63,106,169,66,70,106,51,32,63,67,12,18,24,255,/en/stats/leaderboard?page=serve,5,19,55,76,138,70,53,76,47,29,62,36,4,11,23,60,102,169,41,56,138,51,158,307,59,82,138,40,67,169,49,149,307,7.0,4.0,,,,,H355,B676
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS012,R16,02:23:00,,F,4,M605,"7-5,6-2,6-7(5),6-4",C. Moya,E. Gulbis,,,ESP,LAT,7-5,6-2,6-7(5),6-4,,02:23:00,A,C. Moya,E. Gulbis,ESP,LAT,,,,,,,317,/en/stats/leaderboard?page=serve,2,7,65,72,111,83,60,72,69,27,39,0,0,1,21,281,/en/stats/leaderboard?page=serve,1,13,71,101,143,67,68,101,55,23,42,69,11,16,21,78,87,111,36,52,143,55,139,254,64,91,143,22,24,111,45,115,254,,,5.0,7.0,,,M605,G858
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS013,R16,03:51:00,,F,4,D643,"7-5,7-6(7),6-7(6),6-1",N. Djokovic,J. Monaco,,,SRB,ARG,7-5,7-6(7),6-7(6),6-1,,03:51:00,A,N. Djokovic,J. Monaco,SRB,ARG,,,,,7.0,2.0,275,/en/stats/leaderboard?page=serve,6,14,57,87,152,79,69,87,45,29,65,63,5,8,22,242,/en/stats/leaderboard?page=serve,6,3,60,87,145,66,57,87,48,28,58,57,8,14,21,64,98,152,41,60,145,53,158,297,59,85,145,36,54,152,47,139,297,,,6.0,8.0,,,D643,MA21
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS014,R16,03:38:00,,F,5,C514,"4-6,6-2,7-6(8),1-6,6-4",J. Chela,S. Wawrinka,,,ARG,SUI,4-6,6-2,7-6(8),1-6,6-4,03:38:00,A,J. Chela,S. Wawrinka,ARG,SUI,,,,,,,233,/en/stats/leaderboard?page=serve,3,2,55,78,142,65,51,78,48,31,64,33,4,12,24,240,/en/stats/leaderboard?page=serve,4,9,48,70,145,69,48,70,49,37,75,13,1,8,23,58,82,142,41,60,145,49,142,287,59,85,145,42,60,142,51,145,287,,,8.0,6.0,,,C514,W367
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS015,R16,03:26:00,,F,4,F401,"6-7(3),6-4,7-6(7),6-2",D. Ferrer,R. Nadal,,,ESP,ESP,6-7(3),6-4,7-6(7),6-2,,03:26:00,A,D. Ferrer,R. Nadal,ESP,ESP,,,3.0,7.0,,,281,/en/stats/leaderboard?page=serve,2,5,67,83,124,70,58,83,61,25,41,33,2,6,21,239,/en/stats/leaderboard?page=serve,7,2,70,97,139,65,63,97,43,18,42,50,7,14,21,67,83,124,42,58,139,54,141,263,58,81,139,33,41,124,46,122,263,,,7.0,4.0,,,F401,N409
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS016,R32,02:15:00,,F,4,F324,"6-7(4),6-2,6-4,6-2",R. Federer,J. Isner,,,SUI,USA,6-7(4),6-2,6-4,6-2,,02:15:00,A,R. Federer,J. Isner,SUI,USA,,,4.0,7.0,,,327,/en/stats/leaderboard?page=serve,1,10,66,71,107,80,57,71,72,26,36,100,1,1,19,271,/en/stats/leaderboard?page=serve,5,17,73,88,121,68,60,88,45,15,33,44,4,9,19,78,83,107,38,46,121,57,129,228,62,75,121,22,24,107,43,99,228,,,,,,,F324,I186
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS017,R32,02:39:00,,F,4,L397,"3-6,6-3,7-6(7),7-5",F. Lopez,D. Young,,,ESP,USA,3-6,6-3,7-6(7),7-5,,02:39:00,A,F. Lopez,D. Young,ESP,USA,,,,,,,296,/en/stats/leaderboard?page=serve,2,20,62,80,130,80,64,80,46,23,50,78,7,9,21,277,/en/stats/leaderboard?page=serve,5,10,61,76,124,72,55,76,54,26,48,50,3,6,21,67,87,130,35,43,124,51,130,254,65,81,124,33,43,130,49,124,254,,,7.0,5.0,,,L397,Y124
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS018,R32,02:17:00,,F,3,BA47,"7-6(7),6-1,7-6(7)",T. Berdych,F. Verdasco,,,CZE,ESP,7-6(7),6-1,7-6(7),,,02:17:00,A,T. Berdych,F. Verdasco,CZE,ESP,,,7.0,2.0,,,295,/en/stats/leaderboard?page=serve,4,10,54,53,99,85,45,53,57,26,46,86,6,7,15,252,/en/stats/leaderboard?page=serve,4,3,63,64,101,66,42,64,49,18,37,33,2,6,16,72,71,99,41,41,101,56,112,200,59,60,101,28,28,99,44,88,200,,,7.0,3.0,,,BA47,V306
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS019,R32,01:22:00,,F,3,R485,"6-3,6-2,6-0",A. Roddick,T. Johansson,,,USA,SWE,6-3,6-2,6-0,,,01:22:00,A,A. Roddick,T. Johansson,USA,SWE,,,,,,,331,/en/stats/leaderboard?page=serve,0,19,68,44,65,82,36,44,62,13,21,100,2,2,12,205,/en/stats/leaderboard?page=serve,4,5,63,48,76,60,29,48,36,10,28,40,4,10,11,75,49,65,49,37,76,61,86,141,51,39,76,25,16,65,39,55,141,,,,,,,R485,J129
560,2007,US Open,GS,2007-08-27T00:00:00,2007-09-09T00:00:00,Hard,128,8848000,$,MS020,R32,02:26:00,,F,3,D402,"7-5,6-0,7-5",N. Davydenko,N. Almagro,,,RUS,ESP,7-5,6-0,7-5,,,02:26:00,A,N. Davydenko,N. Almagro,RUS,ESP,,,,,,,283,/en/stats/leaderboard?page=serve,4,3,74,67,90,72,48,67,52,12,23,33,1,3,15,217,/en/stats/leaderboard?page=serve,3,8,58,67,115,63,42,67,38,18,48,68,15,22,15,67,60,90,48,55,115,56,115,205,52,60,115,33,30,90,44,90,205,,,,,,,D402,A479
