event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS001,F,03:01:00,,F,4,N409,"6-3,5-7,6-1,6-1",R. Nadal,D. Thiem,,,ESP,AUT,6-3,5-7,6-1,6-1,,03:01:00,302,/en/stats/leaderboard?page=serve,0,3,74,78,106,73,57,78,64,18,28,67,4,6,18,242,/en/stats/leaderboard?page=serve,1,7,70,64,92,58,37,64,50,14,28,46,6,13,17,71,75,106,45,41,92,59,116,198,55,51,92,29,31,106,41,82,198,A,,,,,,,,,R. Nadal,D. Thiem,N409,TB69,ESP,AUT,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS002,SF,04:13:00,,F,5,TB69,"6-2,3-6,7-5,5-7,7-5",D. Thiem,N. Djokovic,,,AUT,SRB,6-2,3-6,7-5,5-7,7-5,04:13:00,266,/en/stats/leaderboard?page=serve,4,4,69,103,149,65,67,103,59,27,46,42,5,12,26,253,/en/stats/leaderboard?page=serve,4,6,75,133,177,62,83,133,48,21,44,59,13,22,27,63,94,149,41,73,177,51,167,326,59,104,177,37,55,149,49,159,326,A,,,,,,,,,D. Thiem,N. Djokovic,TB69,D643,AUT,SRB,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS003,SF,02:25:00,,F,3,N409,"6-3,6-4,6-2",R. Nadal,R. Federer,,,ESP,SUI,6-3,6-4,6-2,,,02:25:00,293,/en/stats/leaderboard?page=serve,1,3,82,72,88,68,49,72,56,9,16,50,2,4,14,215,/en/stats/leaderboard?page=serve,1,3,59,55,93,62,34,55,39,15,38,63,10,16,13,66,58,88,47,44,93,56,102,181,53,49,93,34,30,88,44,79,181,A,,,,,,,,,R. Nadal,R. Federer,N409,F324,ESP,SUI,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS004,QF,02:09:00,,F,3,D643,"7-5,6-2,6-2",N. Djokovic,A. Zverev,,,SRB,GER,7-5,6-2,6-2,,,02:09:00,285,/en/stats/leaderboard?page=serve,4,1,64,55,86,80,44,55,52,16,31,88,7,8,14,229,/en/stats/leaderboard?page=serve,8,10,69,58,84,66,38,58,35,9,26,45,5,11,14,70,60,86,44,37,84,57,97,170,56,47,84,30,26,86,43,73,170,A,,,,,,,,,N. Djokovic,A. Zverev,D643,Z355,SRB,GER,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS005,QF,01:47:00,,F,3,TB69,"6-2,6-4,6-2",D. Thiem,K. Khachanov,,,AUT,RUS,6-2,6-4,6-2,,,01:47:00,306,/en/stats/leaderboard?page=serve,3,3,63,46,73,80,37,46,63,17,27,0,0,0,13,235,/en/stats/leaderboard?page=serve,4,5,68,57,84,61,35,57,44,12,27,38,3,8,13,74,54,73,44,37,84,58,91,157,56,47,84,26,19,73,42,66,157,A,,,,,,,,,D. Thiem,K. Khachanov,TB69,KE29,AUT,RUS,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS006,QF,03:35:00,,F,4,F324,"7-6(7),4-6,7-6(7),6-4",R. Federer,S. Wawrinka,,,SUI,SUI,7-6(7),4-6,7-6(7),6-4,,03:35:00,292,/en/stats/leaderboard?page=serve,2,5,63,94,149,78,73,94,58,32,55,60,3,5,22,276,/en/stats/leaderboard?page=serve,7,8,66,113,171,72,81,113,47,27,58,89,16,18,22,70,105,149,37,63,171,53,168,320,63,108,171,30,44,149,48,152,320,A,7,4,7,5,,,,,R. Federer,S. Wawrinka,F324,W367,SUI,SUI,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS007,QF,01:51:00,,F,3,N409,"6-1,6-1,6-3",R. Nadal,K. Nishikori,,,ESP,JPN,6-1,6-1,6-3,,,01:51:00,292,/en/stats/leaderboard?page=serve,3,3,72,50,69,76,38,50,53,10,19,80,4,5,12,204,/en/stats/leaderboard?page=serve,1,2,73,54,74,44,24,54,50,10,20,36,4,11,11,70,48,69,54,40,74,62,88,143,46,34,74,30,21,69,38,55,143,A,,,,,,,,,R. Nadal,K. Nishikori,N409,N552,ESP,JPN,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS008,R16,01:33:00,,F,3,D643,"6-3,6-2,6-2",N. Djokovic,J. Struff,,,SRB,GER,6-3,6-2,6-2,,,01:33:00,320,/en/stats/leaderboard?page=serve,3,6,62,43,69,86,37,43,69,18,26,100,1,1,13,223,/en/stats/leaderboard?page=serve,3,4,51,36,70,72,26,36,41,14,34,29,2,7,12,80,55,69,43,30,70,61,85,139,57,40,70,20,14,69,39,54,139,A,,,,,,,,,N. Djokovic,J. Struff,D643,SL28,SRB,GER,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS009,R16,02:55:00,,F,4,Z355,"3-6,6-2,6-2,7-6(7)",A. Zverev,F. Fognini,,,GER,ITA,3-6,6-2,6-2,7-6(7),,02:55:00,284,/en/stats/leaderboard?page=serve,12,14,70,96,137,70,67,96,54,22,41,78,7,9,18,254,/en/stats/leaderboard?page=serve,5,2,65,82,127,70,57,82,49,22,45,62,8,13,19,65,89,137,38,48,127,52,137,264,62,79,127,35,48,137,48,127,264,A,,,,,7,5,,,A. Zverev,F. Fognini,Z355,F510,GER,ITA,,
520,2019,Roland Garros,GS,2019-05-26T00:00:00,2019-06-09T00:00:00,Clay,128,20060000,€,MS010,R16,01:48:00,,F,3,TB69,"6-4,6-4,6-2",D. Thiem,G. Monfils,,,AUT,FRA,6-4,6-4,6-2,,,01:48:00,296,/en/stats/leaderboard?page=serve,0,2,60,44,73,80,35,44,62,18,29,0,0,1,14,233,/en/stats/leaderboard?page=serve,5,3,62,54,87,67,36,54,42,14,33,58,7,12,14,73,53,73,43,37,87,56,90,160,57,50,87,27,20,73,44,70,160,A,,,,,,,,,D. Thiem,G. Monfils,TB69,MC65,AUT,FRA,,
