event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS001,F,01:12:00,,F,2,R255,"7-6(7),6-2",P. Rafter,M. Damm,,,AUS,CZE,7-6(7),6-2,,,,01:12:00,7,2,233,/en/stats/leaderboard?page=serve,3,12,66,37,56,84,31,37,74,14,19,0,0,,10,262,/en/stats/leaderboard?page=serve,3,3,61,35,57,71,25,35,50,11,22,50,2,4,10,80,45,56,37,21,57,58,66,113,63,36,57,20,11,56,42,47,113,A,,,,,,P. Rafter,M. Damm,R255,D214,AUS,CZE,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS002,SF,01:10:00,,F,2,R255,"6-3,6-4",P. Rafter,D. van Scheppingen,,,AUS,NED,6-3,6-4,,,,01:10:00,,,289,/en/stats/leaderboard?page=serve,,5,76,45,59,78,35,45,50,7,14,,0,,10,264,/en/stats/leaderboard?page=serve,1,7,54,29,54,79,23,29,48,12,25,71,5,7,9,71,42,59,35,19,54,54,61,113,65,35,54,29,17,59,46,52,113,A,False,,,,,P. Rafter,D. van Scheppingen,R255,S559,AUS,NED,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS003,SF,01:41:00,,F,2,D214,"7-6(7),6-3",M. Damm,J. Siemerink,,,CZE,NED,7-6(7),6-3,,,,01:41:00,7,5,290,/en/stats/leaderboard?page=serve,2,8,59,49,83,76,37,49,59,20,34,75,3,4,11,264,/en/stats/leaderboard?page=serve,8,13,60,42,70,76,32,42,43,12,28,50,2,4,10,69,57,83,37,26,70,54,83,153,63,44,70,31,26,83,46,70,153,A,,,,,,M. Damm,J. Siemerink,D214,S381,CZE,NED,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS004,QF,01:02:00,,F,2,R255,"6-1,6-4",P. Rafter,S. Schalken,,,AUS,NED,6-1,6-4,,,,01:02:00,,,283,/en/stats/leaderboard?page=serve,,2,73,35,48,89,31,35,31,4,13,0,0,1,9,209,/en/stats/leaderboard?page=serve,2,2,62,31,50,55,17,31,42,8,19,56,5,9,8,73,35,48,50,25,50,61,60,98,50,25,50,27,13,48,39,38,98,A,False,,,,,P. Rafter,S. Schalken,R255,S572,AUS,NED,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS006,QF,01:52:00,,F,3,D214,"6-7(1),6-1,6-4",M. Damm,K. Kucera,,,CZE,SVK,6-7(1),6-1,6-4,,,01:52:00,1,7,259,/en/stats/leaderboard?page=serve,8,10,55,52,95,75,39,52,47,20,43,57,4,7,15,221,/en/stats/leaderboard?page=serve,10,10,59,48,82,73,35,48,32,11,34,33,3,9,14,62,59,95,44,36,82,54,95,177,56,46,82,38,36,95,46,82,177,A,,,,,,M. Damm,K. Kucera,D214,K237,CZE,SVK,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS007,QF,01:34:00,,F,3,S381,"2-6,6-1,6-3",J. Siemerink,S. Campbell,,,NED,USA,2-6,6-1,6-3,,,01:34:00,,,265,/en/stats/leaderboard?page=serve,3,6,63,40,64,78,31,40,46,11,24,40,2,5,12,218,/en/stats/leaderboard?page=serve,1,1,56,49,88,63,31,49,41,16,39,58,7,12,12,66,42,64,47,41,88,55,83,152,53,47,88,34,22,64,45,69,152,A,,,,,,J. Siemerink,S. Campbell,S381,C355,NED,USA,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS008,R16,02:34:00,,F,3,R255,"7-6(7),4-6,7-6(9)",P. Rafter,A. Medvedev,,,AUS,UKR,7-6(7),4-6,7-6(9),,,02:34:00,7,2,267,/en/stats/leaderboard?page=serve,6,6,61,76,125,71,54,76,53,26,49,63,5,8,17,264,/en/stats/leaderboard?page=serve,9,3,66,83,126,76,63,83,40,17,43,82,9,11,17,64,80,125,37,46,126,50,126,251,63,80,126,36,45,125,50,125,251,A,,9,7,,,P. Rafter,A. Medvedev,R255,M475,AUS,UKR,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS009,R16,01:14:00,,F,2,S572,"6-2,7-5",S. Schalken,G. Raoux,,,NED,FRA,6-2,7-5,,,,01:14:00,,,263,/en/stats/leaderboard?page=serve,6,9,60,38,63,84,32,38,36,9,25,60,3,5,10,195,/en/stats/leaderboard?page=serve,6,1,47,26,55,62,16,26,41,12,29,17,1,6,10,65,41,63,49,27,55,58,68,118,51,28,55,35,22,63,42,50,118,A,,,,,,S. Schalken,G. Raoux,S572,R186,NED,FRA,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS010,R16,01:50:00,,F,3,K214,"7-6(7),6-7(4),6-3",R. Krajicek,S. Dosedel,,,NED,CZE,7-6(7),6-7(4),6-3,,,01:50:00,7,3,295,/en/stats/leaderboard?page=serve,5,11,73,72,99,85,61,72,56,15,27,,0,,16,277,/en/stats/leaderboard?page=serve,5,2,70,90,129,68,61,90,54,21,39,82,9,11,17,77,76,99,36,47,129,54,123,228,64,82,129,23,23,99,46,105,228,A,,,,4,7,R. Krajicek,S. Dosedel,K214,D198,NED,CZE,,
440,1998,'s-Hertogenbosch,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,475000,$,MS011,R16,01:30:00,,F,2,S559,"7-6(7),7-6(7)",D. van Scheppingen,P. Wessels,,,NED,NED,7-6(7),7-6(7),,,,01:30:00,7,5,277,/en/stats/leaderboard?page=serve,7,3,49,40,81,85,34,40,56,23,41,75,3,4,12,294,/en/stats/leaderboard?page=serve,2,12,71,71,100,63,45,71,59,17,29,80,4,5,12,70,57,81,38,38,100,52,95,181,62,62,100,30,24,81,48,86,181,A,,,,7,3,D. van Scheppingen,P. Wessels,S559,W254,NED,NED,,
