event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS001,F,01:50:00,,F,3,R237,"6-3,7-6(8),7-6(7)",G. Rusedski,M. Philippoussis,,,GBR,AUS,6-3,7-6(8),7-6(7),,,01:50:00,8,6,7,3,322,/en/stats/leaderboard?page=serve,5,22,64,63,99,92,58,63,61,22,36,0,17,291,/en/stats/leaderboard?page=serve,4,9,67,68,102,82,56,68,44,15,34,80,4,5,16,81,80,99,30,31,102,55,111,201,70,71,102,19,19,99,45,90,201,A,,,,,,,G. Rusedski,M. Philippoussis,R237,P338,GBR,AUS,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS002,SF,01:28:00,,F,2,P338,"7-6(7),6-4",M. Philippoussis,T. Henman,,,AUS,GBR,7-6(7),6-4,,,,01:28:00,,,,,288,/en/stats/leaderboard?page=serve,1,10,62,49,79,78,38,49,67,20,30,0,11,296,/en/stats/leaderboard?page=serve,,14,66,46,70,80,37,46,46,11,24,75,3,4,11,73,58,79,31,22,70,54,80,149,69,48,70,27,21,79,46,69,149,A,7,2,False,,,,M. Philippoussis,T. Henman,P338,H336,AUS,GBR,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS003,SF,02:01:00,,F,3,R237,"6-7(5),6-3,7-5",G. Rusedski,P. Korda,,,GBR,CZE,6-7(5),6-3,7-5,,,02:01:00,,,,,309,/en/stats/leaderboard?page=serve,3,19,60,61,101,82,50,61,58,23,40,7,16,265,/en/stats/leaderboard?page=serve,3,3,65,72,110,74,53,72,50,19,38,69,9,13,17,72,73,101,35,38,110,53,111,211,65,72,110,28,28,101,47,100,211,A,5,7,,88,8,,G. Rusedski,P. Korda,R237,K148,GBR,CZE,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS004,QF,01:32:00,,F,3,P338,"6-3,6-7(5),6-2",M. Philippoussis,Y. Kafelnikov,,,AUS,RUS,6-3,6-7(5),6-2,,,01:32:00,5,7,,,239,/en/stats/leaderboard?page=serve,2,19,68,54,80,85,46,54,69,18,26,0,15,266,/en/stats/leaderboard?page=serve,2,1,63,54,86,70,38,54,56,18,32,25,1,4,14,80,64,80,35,30,86,57,94,166,65,56,86,20,16,80,43,72,166,A,,,,0,,,M. Philippoussis,Y. Kafelnikov,P338,K267,AUS,RUS,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS005,QF,01:10:00,,F,2,H336,"6-3,6-2",T. Henman,M. Norman,,,GBR,SWE,6-3,6-2,,,,01:10:00,,,,,242,/en/stats/leaderboard?page=serve,3,8,52,29,56,83,24,29,52,14,27,0,8,211,/en/stats/leaderboard?page=serve,2,3,43,26,60,65,17,26,47,16,34,33,2,6,9,68,38,56,45,27,60,56,65,116,55,33,60,32,18,56,44,51,116,A,,,,,,,T. Henman,M. Norman,H336,N250,GBR,SWE,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS006,QF,01:42:00,,F,3,R237,"7-6(7),4-6,6-3",G. Rusedski,T. Enqvist,,,GBR,SWE,7-6(7),4-6,6-3,,,01:42:00,,,,,308,/en/stats/leaderboard?page=serve,5,20,59,58,98,86,50,58,55,22,40,2,16,302,/en/stats/leaderboard?page=serve,2,8,59,48,82,88,42,48,56,19,34,67,2,3,15,73,72,98,26,21,82,52,93,180,74,61,82,27,26,98,48,87,180,A,7,4,,67,3,,G. Rusedski,T. Enqvist,R237,E113,GBR,SWE,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS007,QF,01:07:00,,F,2,K148,"6-3,6-4",P. Korda,L. Roux,,,CZE,FRA,6-3,6-4,,,,01:07:00,,,,,288,/en/stats/leaderboard?page=serve,4,1,52,27,52,81,22,27,68,17,25,0,10,247,/en/stats/leaderboard?page=serve,1,3,57,30,53,70,21,30,52,12,23,25,1,4,9,75,39,52,38,20,53,56,59,105,62,33,53,25,13,52,44,46,105,A,,,,0,1,,P. Korda,L. Roux,K148,R280,CZE,FRA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS008,R16,01:52:00,,F,3,K267,"6-3,4-6,6-3",Y. Kafelnikov,I. Heuberger,,,RUS,SUI,6-3,4-6,6-3,,,01:52:00,,,,,264,/en/stats/leaderboard?page=serve,8,8,54,50,93,76,38,50,49,21,43,4,14,255,/en/stats/leaderboard?page=serve,4,18,60,61,101,70,43,61,40,16,40,69,9,13,14,63,59,93,42,42,101,52,101,194,58,59,101,37,34,93,48,93,194,A,,,,67,6,,Y. Kafelnikov,I. Heuberger,K267,H380,RUS,SUI,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS009,R16,01:04:00,,F,2,P338,"6-3,6-3",M. Philippoussis,F. Santoro,,,AUS,FRA,6-3,6-3,,,,01:04:00,,,,,226,/en/stats/leaderboard?page=serve,1,9,75,39,52,74,29,39,69,9,13,0,9,246,/en/stats/leaderboard?page=serve,2,2,70,40,57,63,25,40,47,8,17,63,5,8,9,73,38,52,42,24,57,57,62,109,58,33,57,27,14,52,43,47,109,A,,,,0,,,M. Philippoussis,F. Santoro,P338,S424,AUS,FRA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS010,R16,01:07:00,,F,2,H336,"6-4,6-1",T. Henman,K. Kucera,,,GBR,SVK,6-4,6-1,,,,01:07:00,,,,,287,/en/stats/leaderboard?page=serve,3,5,53,26,49,88,23,26,57,13,23,0,8,205,/en/stats/leaderboard?page=serve,8,1,55,32,58,56,18,32,46,12,26,50,4,8,9,73,36,49,48,28,58,60,64,107,52,30,58,27,13,49,40,43,107,A,,,,,,,T. Henman,K. Kucera,H336,K237,GBR,SVK,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS011,R16,01:03:00,,F,2,N250,"6-1,6-4",M. Norman,J. Bjorkman,,,SWE,SWE,6-1,6-4,,,,01:03:00,,,,,255,/en/stats/leaderboard?page=serve,3,4,55,34,62,79,27,34,54,15,28,0,9,230,/en/stats/leaderboard?page=serve,2,2,58,25,43,60,15,25,50,9,18,25,1,4,8,68,42,62,44,19,43,58,61,105,56,24,43,32,20,62,42,44,105,A,,,,,,,M. Norman,J. Bjorkman,N250,B446,SWE,SWE,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS012,R16,01:15:00,,F,2,E113,"7-5,7-5",T. Enqvist,J. Tarango,,,SWE,USA,7-5,7-5,,,,01:15:00,,,,,215,/en/stats/leaderboard?page=serve,2,11,59,38,64,82,31,38,65,17,26,0,12,281,/en/stats/leaderboard?page=serve,2,6,56,36,64,81,29,36,57,16,28,50,2,4,12,75,48,64,30,19,64,52,67,128,70,45,64,25,16,64,48,61,128,A,,,,0,,,T. Enqvist,J. Tarango,E113,T136,SWE,USA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS013,R16,01:09:00,,F,2,R237,"6-3,7-6(7)",G. Rusedski,W. Ferreira,,,GBR,RSA,6-3,7-6(7),,,,01:09:00,7,2,,,297,/en/stats/leaderboard?page=serve,4,8,52,32,62,81,26,32,70,21,30,1,11,261,/en/stats/leaderboard?page=serve,4,5,48,29,61,79,23,29,53,17,32,50,2,4,10,76,47,62,34,21,61,55,68,123,66,40,61,24,15,62,45,55,123,A,,,,50,2,,G. Rusedski,W. Ferreira,R237,F196,GBR,RSA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS014,R16,01:26:00,,F,2,K148,"7-5,6-4",P. Korda,C. Woodruff,,,CZE,USA,7-5,6-4,,,,01:26:00,,,,,279,/en/stats/leaderboard?page=serve,3,1,55,36,66,69,25,36,67,20,30,3,11,250,/en/stats/leaderboard?page=serve,1,8,60,44,73,66,29,44,45,13,29,67,6,9,11,68,45,66,42,31,73,55,76,139,58,42,73,32,21,66,45,63,139,A,,,,75,4,,P. Korda,C. Woodruff,K148,W212,CZE,USA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS015,R16,01:53:00,,F,3,R280,"6-3,3-6,7-6(7)",L. Roux,C. Moya,,,FRA,ESP,6-3,3-6,7-6(7),,,01:53:00,,,7,4,284,/en/stats/leaderboard?page=serve,,2,59,50,85,80,40,50,57,20,35,0,15,267,/en/stats/leaderboard?page=serve,2,3,51,49,96,69,34,49,60,28,47,60,3,5,15,71,60,85,35,34,96,52,94,181,65,62,96,29,25,85,48,87,181,A,,,,0,2,False,L. Roux,C. Moya,R280,M605,FRA,ESP,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS016,R32,01:10:00,,F,2,K267,"6-1,7-6(7)",Y. Kafelnikov,L. Manta,,,RUS,SUI,6-1,7-6(7),,,,01:10:00,7,2,,,286,/en/stats/leaderboard?page=serve,2,4,56,35,63,77,27,35,71,20,28,0,10,256,/en/stats/leaderboard?page=serve,5,18,50,38,76,82,31,38,34,13,38,75,6,8,9,75,47,63,42,32,76,57,79,139,58,44,76,25,16,63,43,60,139,A,,,,,,,Y. Kafelnikov,L. Manta,K267,M551,RUS,SUI,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS017,R32,01:38:00,,F,2,H380,"7-6(7),7-5",I. Heuberger,M. Rosset,,,SUI,SUI,7-6(7),7-5,,,,01:38:00,,,,,281,/en/stats/leaderboard?page=serve,2,7,63,48,76,69,33,48,61,17,28,3,12,255,/en/stats/leaderboard?page=serve,6,11,51,37,73,68,25,37,56,20,36,0,0,3,12,66,50,76,38,28,73,52,78,149,62,45,73,34,26,76,48,71,149,A,7,4,,60,5,,I. Heuberger,M. Rosset,H380,R214,SUI,SUI,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS018,R32,01:12:00,,F,2,S424,"6-3,6-3",F. Santoro,R. Lavergne,,,FRA,FRA,6-3,6-3,,,,01:12:00,,,,,284,/en/stats/leaderboard?page=serve,,0,52,26,50,73,19,26,71,17,24,2,9,218,/en/stats/leaderboard?page=serve,,6,61,39,64,64,25,39,32,8,25,67,8,12,9,72,36,50,48,31,64,59,67,114,52,33,64,28,14,50,41,47,114,A,,,False,67,3,False,F. Santoro,R. Lavergne,S424,L314,FRA,FRA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS019,R32,01:13:00,,F,2,P338,"7-6(7),6-3",M. Philippoussis,A. Costa,,,AUS,ESP,7-6(7),6-3,,,,01:13:00,,,,,255,/en/stats/leaderboard?page=serve,1,11,62,48,77,83,40,48,55,16,29,0,11,292,/en/stats/leaderboard?page=serve,2,7,69,43,62,81,35,43,47,9,19,50,1,2,10,73,56,77,29,18,62,53,74,139,71,44,62,27,21,77,47,65,139,A,7,3,,,,,M. Philippoussis,A. Costa,P338,C378,AUS,ESP,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS020,R32,01:17:00,,F,2,K237,"6-3,6-3",K. Kucera,G. Ivanisevic,,,SVK,CRO,6-3,6-3,,,,01:17:00,,,,,277,/en/stats/leaderboard?page=serve,1,4,54,38,71,66,25,38,64,21,33,3,10,224,/en/stats/leaderboard?page=serve,7,8,62,36,58,72,26,36,23,5,22,63,5,8,9,65,46,71,47,27,58,57,73,129,53,31,58,35,25,71,43,56,129,A,,,,75,4,,K. Kucera,G. Ivanisevic,K237,I034,SVK,CRO,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS021,R32,01:16:00,,F,2,H336,"7-6(7),6-3",T. Henman,M. Goellner,,,GBR,GER,7-6(7),6-3,,,,01:16:00,,,,,266,/en/stats/leaderboard?page=serve,5,10,42,25,60,88,22,25,51,18,35,2,10,237,/en/stats/leaderboard?page=serve,4,13,53,38,72,71,27,38,41,14,34,43,3,7,11,67,40,60,43,31,72,54,71,132,57,41,72,33,20,60,46,61,132,A,7,4,,50,4,,T. Henman,M. Goellner,H336,G252,GBR,GER,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS022,R32,02:02:00,,F,3,N250,"7-5,6-7(4),6-4",M. Norman,A. Olhovskiy,,,SWE,RUS,7-5,6-7(4),6-4,,,02:02:00,4,7,,,272,/en/stats/leaderboard?page=serve,7,14,52,63,122,86,54,63,51,30,59,0,17,292,/en/stats/leaderboard?page=serve,8,22,53,60,114,85,51,60,52,28,54,71,5,7,17,69,84,122,31,35,114,50,119,236,69,79,114,31,38,122,50,117,236,A,,,,,,,M. Norman,A. Olhovskiy,N250,O009,SWE,RUS,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS023,R32,01:08:00,,F,2,B446,"6-2,6-3",J. Bjorkman,A. Boetsch,,,SWE,FRA,6-2,6-3,,,,01:08:00,,,,,269,/en/stats/leaderboard?page=serve,4,6,61,34,56,74,25,34,45,10,22,6,8,190,/en/stats/leaderboard?page=serve,5,1,62,36,58,61,22,36,27,6,22,50,5,10,9,63,35,56,52,30,58,57,65,114,48,28,58,38,21,56,43,49,114,A,,,,86,7,,J. Bjorkman,A. Boetsch,B446,B053,SWE,FRA,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS024,R32,01:24:00,,F,3,E113,"6-3,3-6,6-1",T. Enqvist,B. Ulihrach,,,SWE,CZE,6-3,3-6,6-1,,,01:24:00,,,,,280,/en/stats/leaderboard?page=serve,2,9,56,40,71,85,34,40,48,15,31,0,13,243,/en/stats/leaderboard?page=serve,5,8,59,50,85,64,32,50,51,18,35,69,9,13,12,69,49,71,41,35,85,54,84,156,59,50,85,31,22,71,46,72,156,A,,,,0,2,,T. Enqvist,B. Ulihrach,E113,U032,SWE,CZE,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS025,R32,01:20:00,,F,2,T136,"7-6(7),6-2",J. Tarango,J. Siemerink,,,USA,NED,7-6(7),6-2,,,,01:20:00,,,,,288,/en/stats/leaderboard?page=serve,2,2,66,40,61,80,32,40,52,11,21,0,10,236,/en/stats/leaderboard?page=serve,5,7,47,33,70,79,26,33,38,14,37,63,5,8,10,70,43,61,43,30,70,56,73,131,57,40,70,30,18,61,44,58,131,A,7,4,,0,1,,J. Tarango,J. Siemerink,T136,S381,USA,NED,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS026,R32,02:09:00,,F,3,F196,"6-7(2),6-1,7-6(7)",W. Ferreira,B. Steven,,,RSA,NZL,6-7(2),6-1,7-6(7),,,02:09:00,,,7,5,284,/en/stats/leaderboard?page=serve,3,11,56,60,108,75,45,60,58,28,48,5,16,250,/en/stats/leaderboard?page=serve,6,2,62,70,113,59,41,70,60,26,43,67,8,12,15,68,73,108,41,46,113,54,119,221,59,67,113,32,35,108,46,102,221,A,2,7,,71,7,,W. Ferreira,B. Steven,F196,S321,RSA,NZL,,
328,1997,Basel,GP,1997-09-29T00:00:00,1997-10-05T00:00:00,Carpet,32,975000,$,MS027,R32,01:46:00,,F,3,R237,"4-6,6-4,7-5",G. Rusedski,D. Prinosil,,,GBR,GER,4-6,6-4,7-5,,,01:46:00,,,,,286,/en/stats/leaderboard?page=serve,4,15,56,50,90,80,40,50,58,23,40,4,16,252,/en/stats/leaderboard?page=serve,2,5,51,47,93,77,36,47,46,21,46,43,3,7,16,70,63,90,39,36,93,54,99,183,61,57,93,30,27,90,46,84,183,A,,,,57,7,,G. Rusedski,D. Prinosil,R237,P273,GBR,GER,,
