event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS001,F,01:52:00,,F,3,S741,"6-2,6-4,6-3",M. Safin,D. Nalbandian,,,RUS,ARG,6-2,6-4,6-3,,,01:52:00,302,/en/stats/leaderboard?page=serve,2,15,58,42,73,81,34,42,65,20,31,33,1,3,14,201,/en/stats/leaderboard?page=serve,3,1,50,41,82,61,25,41,39,16,41,54,7,13,13,74,54,73,50,41,82,61,95,155,50,41,82,26,19,73,39,60,155,A,,,,,,,M. Safin,D. Nalbandian,RUS,ARG,,,S741,N301
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS002,SF,01:25:00,,F,2,N301,"6-4,6-4",D. Nalbandian,I. Ljubicic,,,ARG,CRO,6-4,6-4,,,,01:25:00,309,/en/stats/leaderboard?page=serve,0,3,55,33,60,73,24,33,78,21,27,100,5,5,10,275,/en/stats/leaderboard?page=serve,3,13,70,37,53,84,31,37,31,5,16,50,2,4,10,75,45,60,32,17,53,55,62,113,68,36,53,25,15,60,45,51,113,A,,,,,,,D. Nalbandian,I. Ljubicic,ARG,CRO,,,N301,L360
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS003,SF,01:34:00,,F,2,S741,"6-3,7-6(7)",M. Safin,A. Agassi,,,RUS,USA,6-3,7-6(7),,,,01:34:00,309,/en/stats/leaderboard?page=serve,2,12,53,38,72,87,33,38,59,20,34,100,4,4,11,266,/en/stats/leaderboard?page=serve,2,5,50,39,78,79,31,39,44,17,39,86,6,7,10,74,53,72,38,30,78,55,83,150,62,48,78,26,19,72,45,67,150,A,7,4,,,,,M. Safin,A. Agassi,RUS,USA,,,S741,A092
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS004,QF,02:42:00,,F,3,L360,"7-6(7),6-7(1),7-6(7)",I. Ljubicic,J. Johansson,,,CRO,SWE,7-6(7),6-7(1),7-6(7),,,02:42:00,339,/en/stats/leaderboard?page=serve,1,27,69,77,112,81,62,77,63,22,35,100,1,1,18,308,/en/stats/leaderboard?page=serve,4,15,57,69,122,78,54,69,62,33,53,100,2,2,18,75,84,112,29,35,122,51,119,234,71,87,122,25,28,112,49,115,234,A,1,7,7,2,7,3,I. Ljubicic,J. Johansson,CRO,SWE,,,L360,J194
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS005,QF,01:23:00,,F,2,N301,"7-6(7),6-3",D. Nalbandian,T. Dent,,,ARG,USA,7-6(7),6-3,,,,01:23:00,290,/en/stats/leaderboard?page=serve,0,4,61,43,71,81,35,43,54,15,28,67,2,3,11,266,/en/stats/leaderboard?page=serve,3,3,74,43,58,72,31,43,40,6,15,50,2,4,10,70,50,71,36,21,58,55,71,129,64,37,58,30,21,71,45,58,129,A,,,7,4,,,D. Nalbandian,T. Dent,ARG,USA,,,N301,D362
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS006,QF,01:19:00,,F,2,S741,"6-4,6-4",M. Safin,L. Horna,,,RUS,PER,6-4,6-4,,,,01:19:00,300,/en/stats/leaderboard?page=serve,4,9,48,29,60,86,25,29,61,19,31,100,3,3,10,266,/en/stats/leaderboard?page=serve,1,5,65,44,68,75,33,44,42,10,24,50,2,4,10,73,44,60,37,25,68,54,69,128,63,43,68,27,16,60,46,59,128,A,,,,,,,M. Safin,L. Horna,RUS,PER,,,S741,H390
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS007,QF,02:27:00,,F,3,A092,"6-7(3),6-3,6-2",A. Agassi,T. Robredo,,,USA,ESP,6-7(3),6-3,6-2,,,02:27:00,281,/en/stats/leaderboard?page=serve,2,6,53,59,112,78,46,59,53,28,53,91,10,11,15,247,/en/stats/leaderboard?page=serve,6,17,48,52,108,69,36,52,48,27,56,64,7,11,14,66,74,112,42,45,108,54,119,220,58,63,108,34,38,112,46,101,220,A,,,3,7,,,A. Agassi,T. Robredo,USA,ESP,,,A092,R419
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS008,R16,01:58:00,,F,3,L360,"6-4,4-6,6-2",I. Ljubicic,T. Henman,,,CRO,GBR,6-4,4-6,6-2,,,01:58:00,309,/en/stats/leaderboard?page=serve,1,10,54,38,70,79,30,38,75,24,32,0,0,1,14,253,/en/stats/leaderboard?page=serve,7,5,51,45,89,76,34,45,50,22,44,57,4,7,14,77,54,70,37,33,89,55,87,159,63,56,89,23,16,70,45,72,159,A,,,,,,,I. Ljubicic,T. Henman,CRO,GBR,,,L360,H336
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS009,R16,01:20:00,,F,2,J194,"6-1,7-6(8)",J. Johansson,A. Dupuis,,,SWE,FRA,6-1,7-6(8),,,,01:20:00,343,/en/stats/leaderboard?page=serve,3,21,61,34,56,82,28,34,82,18,22,0,0,0,10,271,/en/stats/leaderboard?page=serve,2,11,58,35,60,83,29,35,44,11,25,50,2,4,9,82,46,56,52,31,60,66,77,116,67,40,60,18,10,56,43,50,116,A,8,6,,,,,J. Johansson,A. Dupuis,SWE,FRA,,,J194,D272
1536,2004,ATP Masters 1000 Madrid,1000,2004-10-18T00:00:00,2004-10-24T00:00:00,Hard,48,2200000,$,MS010,R16,00:55:00,,F,2,N301,"6-3,6-1",D. Nalbandian,P. Srichaphan,,,ARG,THA,6-3,6-1,,,,00:55:00,336,/en/stats/leaderboard?page=serve,1,5,70,28,40,79,22,28,83,10,12,0,0,0,8,206,/en/stats/leaderboard?page=serve,2,5,56,27,48,59,16,27,38,8,21,33,2,6,8,80,32,40,50,24,48,64,56,88,50,24,48,20,8,40,36,32,88,A,,,,,,,D. Nalbandian,P. Srichaphan,ARG,THA,,,N301,S675
