event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS020,R32,02:06:00,,F,3,TE51,"6-2,7-6(7),6-3",S. Tsitsipas,T. Griekspoor,,,GRE,NED,6-2,7-6(7),6-3,,,02:06:00,A,S. Tsitsipas,T. Griekspoor,GRE,NED,,,314,/en/stats/leaderboard?page=serve,5,7,64,54,84,81,44,54,67,20,30,100,1,1,15,263,/en/stats/leaderboard?page=serve,2,6,64,62,97,66,41,62,51,18,35,57,4,7,14,76,64,84,39,38,97,56,102,181,61,59,97,24,20,84,44,79,181,7,5,,,02:06:00,02:06:00,,,,,,,TE51,GJ37
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS021,R32,03:33:00,,F,5,S0AG,"4-6,4-6,6-1,6-2,6-0",J. Sinner,M. Fucsovics,,,ITA,HUN,4-6,4-6,6-1,6-2,6-0,03:33:00,A,J. Sinner,M. Fucsovics,ITA,HUN,,,252,/en/stats/leaderboard?page=serve,5,6,59,80,135,71,57,80,45,25,55,58,7,12,21,216,/en/stats/leaderboard?page=serve,4,3,72,85,118,53,45,85,42,14,33,29,4,14,20,61,82,135,50,59,118,56,141,253,50,59,118,39,53,135,44,112,253,,,,,03:33:00,03:33:00,,,,,,,S0AG,F724
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS022,R32,03:12:00,,F,5,L0BV,"6-7(8),6-3,3-6,6-1,6-4",J. Lehecka,C. Norrie,,,CZE,GBR,6-7(8),6-3,3-6,6-1,6-4,03:12:00,A,J. Lehecka,C. Norrie,CZE,GBR,,,291,/en/stats/leaderboard?page=serve,2,8,61,84,137,75,63,84,62,33,53,70,7,10,24,251,/en/stats/leaderboard?page=serve,7,5,60,86,143,67,58,86,53,30,57,45,5,11,23,70,96,137,38,55,143,54,151,280,62,88,143,30,41,137,46,129,280,,,,,03:12:00,03:12:00,8,10,,,,,L0BV,N771
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS023,R32,02:35:00,,F,4,AG37,"6-1,3-6,6-1,6-4",F. Auger-Aliassime,F. Cerundolo,,,CAN,ARG,6-1,3-6,6-1,6-4,,02:35:00,A,F. Auger-Aliassime,F. Cerundolo,CAN,ARG,,,287,/en/stats/leaderboard?page=serve,5,9,65,60,93,85,51,60,45,15,33,67,4,6,17,232,/en/stats/leaderboard?page=serve,3,3,67,72,107,60,43,72,43,15,35,70,14,20,16,71,66,93,46,49,107,58,115,200,54,58,107,29,27,93,43,85,200,,,,,02:35:00,02:35:00,,,,,,,AG37,C0AU
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS024,R32,02:09:00,,F,3,RE44,"6-4,6-2,6-3",A. Rublev,D. Evans,,,RUS,GBR,6-4,6-2,6-3,,,02:09:00,A,A. Rublev,D. Evans,RUS,GBR,,,319,/en/stats/leaderboard?page=serve,1,10,63,51,81,80,41,51,67,20,30,100,4,4,14,245,/en/stats/leaderboard?page=serve,3,3,69,67,97,64,43,67,43,13,30,73,11,15,13,75,61,81,42,41,97,57,102,178,58,56,97,25,20,81,43,76,178,,,,,02:09:00,02:09:00,,,,,,,RE44,E687
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS025,R32,02:09:00,,F,3,R0DG,"6-4,6-2,7-6(7)",H. Rune,U. Humbert,,,DEN,FRA,6-4,6-2,7-6(7),,,02:09:00,A,H. Rune,U. Humbert,DEN,FRA,,,295,/en/stats/leaderboard?page=serve,2,5,67,61,91,82,50,61,50,15,30,67,2,3,15,265,/en/stats/leaderboard?page=serve,2,9,66,60,91,67,40,60,52,16,31,43,3,7,15,71,65,91,38,35,91,55,100,182,62,56,91,29,26,91,45,82,182,,,7,5,02:09:00,02:09:00,,,,,,,R0DG,HH26
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS026,R32,02:08:00,,F,3,DH58,"7-6(7),6-2,6-1",A. de Minaur,B. Bonzi,,,AUS,FRA,7-6(7),6-2,6-1,,,02:08:00,A,A. de Minaur,B. Bonzi,AUS,FRA,,,271,/en/stats/leaderboard?page=serve,4,8,53,39,74,79,31,39,57,20,35,50,3,6,14,207,/en/stats/leaderboard?page=serve,2,6,63,70,111,53,37,70,41,17,41,68,15,22,13,69,51,74,51,57,111,58,108,185,49,54,111,31,23,74,42,77,185,,,,,02:08:00,02:08:00,7,0,,,,,DH58,BM95
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS027,R32,03:07:00,,F,3,D643,"7-6(9),6-3,6-4",N. Djokovic,G. Dimitrov,,,SRB,BUL,7-6(9),6-3,6-4,,,03:07:00,A,N. Djokovic,G. Dimitrov,SRB,BUL,,,278,/en/stats/leaderboard?page=serve,2,11,72,81,112,74,60,81,42,13,31,63,5,8,16,244,/en/stats/leaderboard?page=serve,4,15,59,69,116,68,47,69,40,19,47,58,7,12,15,65,73,112,43,50,116,54,123,228,57,66,116,35,39,112,46,105,228,,,,,03:07:00,03:07:00,9,7,,,,,D643,D875
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS028,R32,02:00:00,,F,3,S0S1,"6-3,7-6(7),6-4",B. Shelton,A. Popyrin,,,USA,AUS,6-3,7-6(7),6-4,,,02:00:00,A,B. Shelton,A. Popyrin,USA,AUS,,,327,/en/stats/leaderboard?page=serve,3,12,65,60,92,87,52,60,66,21,32,100,4,4,16,298,/en/stats/leaderboard?page=serve,1,14,76,70,92,73,51,70,50,11,22,75,6,8,15,79,73,92,33,30,92,56,103,184,67,62,92,21,19,92,44,81,184,7,4,,,02:00:00,02:00:00,,,,,,,S0S1,P09Z
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS029,R32,02:03:00,,F,3,W09G,"6-4,6-1,6-2",J. Wolf,M. Mmoh,,,USA,USA,6-4,6-1,6-2,,,02:03:00,A,J. Wolf,M. Mmoh,USA,USA,,,295,/en/stats/leaderboard?page=serve,3,10,59,48,82,75,36,48,62,21,34,80,4,5,13,216,/en/stats/leaderboard?page=serve,3,6,60,40,67,55,22,40,48,13,27,25,2,8,12,70,57,82,48,32,67,60,89,149,52,35,67,30,25,82,40,60,149,,,,,02:03:00,02:03:00,,,,,,,W09G,MP01
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS030,R32,03:29:00,,F,4,BD06,"6-1,6-7(7),6-3,6-4",R. Bautista Agut,A. Murray,,,ESP,GBR,6-1,6-7(7),6-3,6-4,,03:29:00,A,R. Bautista Agut,A. Murray,ESP,GBR,,,315,/en/stats/leaderboard?page=serve,1,5,74,80,108,79,63,80,68,19,28,0,0,2,20,238,/en/stats/leaderboard?page=serve,5,7,60,82,137,61,50,82,49,27,55,57,8,14,18,76,82,108,44,60,137,58,142,245,56,77,137,24,26,108,42,103,245,7,9,,,03:29:00,03:29:00,,,,,,,BD06,MC10
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS031,R32,02:08:00,,F,3,PL56,"6-1,6-4,6-3",T. Paul,J. Brooksby,,,USA,USA,6-1,6-4,6-3,,,02:08:00,A,T. Paul,J. Brooksby,USA,USA,,,303,/en/stats/leaderboard?page=serve,2,7,59,46,78,80,37,46,59,19,32,100,4,4,13,225,/en/stats/leaderboard?page=serve,4,2,62,61,98,61,37,61,43,16,37,64,9,14,13,72,56,78,46,45,98,57,101,176,54,53,98,28,22,78,43,75,176,,,,,02:08:00,02:08:00,,,,,,,PL56,B0CD
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS032,R64,02:32:00,,F,3,MK66,"6-4,6-4,7-5",M. McDonald,R. Nadal,,,USA,ESP,6-4,6-4,7-5,,,02:32:00,A,M. McDonald,R. Nadal,USA,ESP,,,296,/en/stats/leaderboard?page=serve,2,14,66,63,95,68,43,63,63,20,32,50,2,4,16,247,/en/stats/leaderboard?page=serve,2,6,64,65,102,62,40,65,49,18,37,38,3,8,16,66,63,95,43,44,102,54,107,197,57,58,102,34,32,95,46,90,197,,,,,02:32:00,02:32:00,,,,,,,MK66,N409
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS033,R64,01:47:00,,F,3,N732,"6-3,6-4,6-2",Y. Nishioka,D. Svrcina,,,JPN,CZE,6-3,6-4,6-2,,,01:47:00,A,Y. Nishioka,D. Svrcina,JPN,CZE,,,294,/en/stats/leaderboard?page=serve,1,2,66,51,77,65,33,51,77,20,26,33,1,3,14,216,/en/stats/leaderboard?page=serve,6,1,80,73,91,55,40,73,33,6,18,54,7,13,13,69,53,77,49,45,91,58,98,168,51,46,91,31,24,77,42,70,168,,,,,01:47:00,01:47:00,,,,,,,N732,S0GD
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS034,R64,02:53:00,,F,4,KE29,"6-4,5-7,6-4,6-2",K. Khachanov,J. Kubler,,,RUS,AUS,6-4,5-7,6-4,6-2,,02:53:00,A,K. Khachanov,J. Kubler,RUS,AUS,,,301,/en/stats/leaderboard?page=serve,2,15,69,81,117,79,64,81,50,18,36,60,3,5,20,277,/en/stats/leaderboard?page=serve,2,14,70,86,123,66,57,86,54,20,37,44,4,9,20,70,82,117,37,46,123,53,128,240,63,77,123,30,35,117,47,112,240,,,,,02:53:00,02:53:00,,,,,,,KE29,KB95
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS035,R64,01:58:00,,F,3,TD51,"6-4,6-4,6-1",F. Tiafoe,J. Shang,,,USA,CHN,6-4,6-4,6-1,,,01:58:00,A,F. Tiafoe,J. Shang,USA,CHN,,,325,/en/stats/leaderboard?page=serve,1,20,64,50,78,78,39,50,64,18,28,100,4,4,13,233,/en/stats/leaderboard?page=serve,3,1,64,62,97,56,35,62,51,18,35,69,11,16,14,73,57,78,45,44,97,58,101,175,55,53,97,27,21,78,42,74,175,,,,,01:58:00,01:58:00,,,,,,,TD51,S0RE
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS036,R64,03:53:00,,F,5,HB71,"3-6,7-6(7),2-6,6-3,6-3",H. Hurkacz,L. Sonego,,,POL,ITA,3-6,7-6(7),2-6,6-3,6-3,03:53:00,A,H. Hurkacz,L. Sonego,POL,ITA,,,257,/en/stats/leaderboard?page=serve,6,9,66,99,151,79,78,99,31,16,52,50,5,10,23,258,/en/stats/leaderboard?page=serve,7,5,63,98,156,68,67,98,50,29,58,71,12,17,24,62,94,151,38,60,156,50,154,307,62,96,156,38,57,151,50,153,307,7,3,,,03:53:00,03:53:00,,,,,,,HB71,SU87
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS037,R64,02:45:00,,F,3,SU55,"6-3,7-6(7),7-5",D. Shapovalov,T. Daniel,,,CAN,JPN,6-3,7-6(7),7-5,,,02:45:00,A,D. Shapovalov,T. Daniel,CAN,JPN,,,267,/en/stats/leaderboard?page=serve,9,9,56,55,99,78,43,55,52,23,44,63,5,8,16,231,/en/stats/leaderboard?page=serve,5,2,61,71,116,58,41,71,51,23,45,33,3,9,17,67,66,99,45,52,116,55,118,215,55,64,116,33,33,99,45,97,215,7,3,,,02:45:00,02:45:00,,,,,,,SU55,DA81
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS038,R64,02:27:00,,F,3,K0AH,"6-2,7-5,6-4",S. Korda,Y. Watanuki,,,USA,JPN,6-2,7-5,6-4,,,02:27:00,A,S. Korda,Y. Watanuki,USA,JPN,,,279,/en/stats/leaderboard?page=serve,2,10,60,71,119,69,49,71,56,27,48,88,15,17,15,220,/en/stats/leaderboard?page=serve,5,6,48,46,95,70,32,46,41,20,49,25,2,8,15,64,76,119,45,43,95,56,119,214,55,52,95,36,43,119,44,95,214,,,,,02:27:00,02:27:00,,,,,,,K0AH,WB08
580,2023,Australian Open,GS,2023-01-16T00:00:00,2023-01-29T00:00:00,Hard,128,34848000,A$,MS039,R64,02:19:00,,F,3,MM58,"7-5,6-2,6-2",D. Medvedev,J. Millman,,,RUS,AUS,7-5,6-2,6-2,,,02:19:00,A,D. Medvedev,J. Millman,RUS,AUS,,,260,/en/stats/leaderboard?page=serve,3,10,68,67,98,75,50,67,32,10,31,57,4,7,14,195,/en/stats/leaderboard?page=serve,1,0,65,53,81,53,28,53,36,10,28,38,5,13,14,61,60,98,53,43,81,58,103,179,47,38,81,39,38,98,42,76,179,,,,,02:19:00,02:19:00,,,,,,,MM58,MH30
