event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS011,R16,02:15:00,,F,3,F401,"6-7(5),6-1,6-4",D. Ferrer,M. Puerta,,,ESP,ARG,6-7(5),6-1,6-4,,,02:15:00,,,323,/en/stats/leaderboard?page=serve,1,11,66,61,92,82,50,61,65,20,31,100,1,1,15,264,/en/stats/leaderboard?page=serve,3,10,70,78,111,73,57,78,36,12,33,73,8,11,14,76,70,92,38,42,111,55,112,203,62,69,111,24,22,92,45,91,203,A,,,5,7,,,D. Ferrer,M. Puerta,ESP,ARG,,,F401,P372
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS012,R16,01:12:00,,F,2,L360,"6-4,6-4",I. Ljubicic,O. Rochus,,,CRO,BEL,6-4,6-4,,,,01:12:00,,,348,/en/stats/leaderboard?page=serve,0,20,64,30,47,93,28,30,71,12,17,0,0,0,10,262,/en/stats/leaderboard?page=serve,1,1,69,54,78,63,34,54,50,12,24,78,7,9,10,85,40,47,41,32,78,58,72,125,59,46,78,15,7,47,42,53,125,A,,,,,,,I. Ljubicic,O. Rochus,CRO,BEL,,,L360,R397
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS013,R16,01:31:00,,F,2,G415,"7-5,6-3",F. Gonzalez,G. Coria,,,CHI,ARG,7-5,6-3,,,,01:31:00,,,275,/en/stats/leaderboard?page=serve,3,5,56,33,59,82,27,33,54,14,26,50,2,4,11,216,/en/stats/leaderboard?page=serve,3,0,60,47,78,57,27,47,42,13,31,64,7,11,10,69,41,59,49,38,78,58,79,137,51,40,78,31,18,59,42,58,137,A,,,,,,,F. Gonzalez,G. Coria,CHI,ARG,,,G415,C524
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS014,R16,01:23:00,,F,2,N301,"6-3,7-5",D. Nalbandian,T. Johansson,,,ARG,SWE,6-3,7-5,,,,01:23:00,,,308,/en/stats/leaderboard?page=serve,2,4,67,44,66,80,35,44,59,13,22,0,0,0,11,262,/en/stats/leaderboard?page=serve,2,9,61,41,67,68,28,41,46,12,26,60,3,5,10,73,48,66,40,27,67,56,75,133,60,40,67,27,18,66,44,58,133,A,,,,,,,D. Nalbandian,T. Johansson,ARG,SWE,,,N301,J129
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS015,R16,01:37:00,,F,2,K336,"7-6(11),7-6(7)",I. Karlovic,D. Hrbaty,,,CRO,SVK,7-6(11),7-6(7),,,,01:37:00,,,348,/en/stats/leaderboard?page=serve,2,25,71,58,82,79,46,58,75,18,24,0,0,0,12,298,/en/stats/leaderboard?page=serve,6,1,53,42,79,93,39,42,57,21,37,100,1,1,12,78,64,82,24,19,79,52,83,161,76,60,79,22,18,82,48,78,161,A,7,3,11,9,,,I. Karlovic,D. Hrbaty,CRO,SVK,,,K336,H377
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS016,R32,01:40:00,,F,2,N409,"7-6(7),6-3",R. Nadal,V. Hanescu,,,ESP,ROU,7-6(7),6-3,,,,01:40:00,,,311,/en/stats/leaderboard?page=serve,1,2,67,36,54,81,29,36,72,13,18,0,0,1,10,268,/en/stats/leaderboard?page=serve,1,9,70,51,73,59,30,51,59,13,22,50,3,6,11,78,42,54,41,30,73,57,72,127,59,43,73,22,12,54,43,55,127,A,,,7,5,,,R. Nadal,V. Hanescu,ESP,ROU,,,N409,H528
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS017,R32,01:35:00,,F,3,R419,"6-4,3-6,6-1",T. Robredo,C. Moya,,,ESP,ESP,6-4,3-6,6-1,,,01:35:00,,,295,/en/stats/leaderboard?page=serve,1,2,56,42,75,76,32,42,70,23,33,80,4,5,13,256,/en/stats/leaderboard?page=serve,4,4,46,33,72,85,28,33,49,19,39,57,4,7,13,73,55,75,35,25,72,54,80,147,65,47,72,27,20,75,46,67,147,A,,,,,,,T. Robredo,C. Moya,ESP,ESP,,,R419,M605
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS018,R32,01:50:00,,F,3,S694,"6-4,1-6,6-3",R. Stepanek,T. Henman,,,CZE,GBR,6-4,1-6,6-3,,,01:50:00,,,267,/en/stats/leaderboard?page=serve,2,5,71,55,77,67,37,55,50,11,22,50,3,6,13,262,/en/stats/leaderboard?page=serve,3,4,54,43,79,67,29,43,64,23,36,63,5,8,13,62,48,77,34,27,79,48,75,156,66,52,79,38,29,77,52,81,156,A,,,,,,,R. Stepanek,T. Henman,CZE,GBR,,,S694,H336
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS019,R32,01:36:00,,F,2,A389,"7-6(7),6-2",J. Acasuso,G. Gaudio,,,ARG,ARG,7-6(7),6-2,,,,01:36:00,,,296,/en/stats/leaderboard?page=serve,0,7,60,38,63,79,30,38,60,15,25,50,1,2,10,241,/en/stats/leaderboard?page=serve,3,3,50,33,66,73,24,33,48,16,33,40,2,5,10,71,45,63,39,26,66,55,71,129,61,40,66,29,18,63,45,58,129,A,,,7,4,,,J. Acasuso,G. Gaudio,ARG,ARG,,,A389,G374
1536,2005,ATP Masters 1000 Madrid,1000,2005-10-17T00:00:00,2005-10-23T00:00:00,Hard,48,2200000,$,MS020,R32,01:13:00,,F,2,D402,"6-4,6-1",N. Davydenko,K. Beck,,,RUS,SVK,6-4,6-1,,,,01:13:00,,,274,/en/stats/leaderboard?page=serve,2,1,78,39,50,67,26,39,55,6,11,67,4,6,8,171,/en/stats/leaderboard?page=serve,6,6,44,28,63,71,20,28,23,8,35,54,7,13,9,64,32,50,56,35,63,59,67,113,44,28,63,36,18,50,41,46,113,A,,,,,,,N. Davydenko,K. Beck,RUS,SVK,,,D402,B804
