event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,player_id_winner,player_id_loser
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS016,R32,01:25:00,,F,2,F324,"6-3,6-2",R. Federer,N. Massu,,,SUI,CHI,6-3,6-2,,,,01:25:00,300,/en/stats/leaderboard?page=serve,0,7,54,31,57,77,24,31,62,16,26,100,3,3,9,227,/en/stats/leaderboard?page=serve,2,2,62,34,55,65,22,34,38,8,21,50,3,6,8,70,40,57,45,25,55,58,65,112,55,30,55,30,17,57,42,47,112,A,,,,,,,R. Federer,N. Massu,SUI,CHI,,,F324,M655
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS017,R32,01:19:00,,F,2,SA49,"6-3,6-2",R. Soderling,J. Ferrero,,,SWE,ESP,6-3,6-2,,,,01:19:00,304,/en/stats/leaderboard?page=serve,4,10,69,40,58,85,34,40,44,8,18,100,5,5,9,223,/en/stats/leaderboard?page=serve,2,3,64,41,64,61,25,41,35,8,23,57,4,7,8,72,42,58,48,31,64,60,73,122,52,33,64,28,16,58,40,49,122,A,,,,,,,R. Soderling,J. Ferrero,SWE,ESP,,,SA49,F316
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS018,R32,01:54:00,,F,2,G569,"7-6(7),7-6(7)",R. Ginepri,M. Ancic,,,USA,CRO,7-6(7),7-6(7),,,,01:54:00,282,/en/stats/leaderboard?page=serve,2,6,62,55,89,65,36,55,68,23,34,75,6,8,12,277,/en/stats/leaderboard?page=serve,1,3,61,47,77,74,35,47,57,17,30,67,4,6,12,66,59,89,32,25,77,51,84,166,68,52,77,34,30,89,49,82,166,A,7,5,,,7,5,R. Ginepri,M. Ancic,USA,CRO,,,G569,A385
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS019,R32,02:11:00,,F,2,R419,"7-6(7),7-6(7)",T. Robredo,J. Chela,,,ESP,ARG,7-6(7),7-6(7),,,,02:11:00,266,/en/stats/leaderboard?page=serve,4,8,70,71,101,76,54,71,33,10,30,67,4,6,12,258,/en/stats/leaderboard?page=serve,1,1,71,69,97,72,50,69,32,9,28,80,8,10,12,63,64,101,39,38,97,52,102,198,61,59,97,37,37,101,48,96,198,A,7,3,,,7,2,T. Robredo,J. Chela,ESP,ARG,,,R419,C514
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS020,R32,02:16:00,,F,3,N301,"6-7(4),6-2,7-5",D. Nalbandian,J. Benneteau,,,ARG,FRA,6-7(4),6-2,7-5,,,02:16:00,283,/en/stats/leaderboard?page=serve,4,7,71,75,105,69,52,75,53,16,30,50,2,4,16,258,/en/stats/leaderboard?page=serve,2,8,71,69,97,67,46,69,46,13,28,44,4,9,16,65,68,105,39,38,97,52,106,202,61,59,97,35,37,105,48,96,202,A,,,,,4,7,D. Nalbandian,J. Benneteau,ARG,FRA,,,N301,B747
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS021,R32,01:45:00,,F,3,H336,"6-1,4-6,6-1",T. Henman,D. Ferrer,,,GBR,ESP,6-1,4-6,6-1,,,01:45:00,250,/en/stats/leaderboard?page=serve,4,3,56,45,80,69,31,45,51,18,35,63,5,8,12,194,/en/stats/leaderboard?page=serve,1,2,63,48,76,50,24,48,39,11,28,30,3,10,12,61,49,80,54,41,76,58,90,156,46,35,76,39,31,80,42,66,156,A,,,,,,,T. Henman,D. Ferrer,GBR,ESP,,,H336,F401
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS022,R32,01:16:00,,F,2,S741,"6-4,6-3",M. Safin,M. Baghdatis,,,RUS,CYP,6-4,6-3,,,,01:16:00,314,/en/stats/leaderboard?page=serve,0,6,69,35,51,83,29,35,56,9,16,100,2,2,9,233,/en/stats/leaderboard?page=serve,7,3,53,37,70,78,29,37,36,12,33,25,1,4,10,75,38,51,41,29,70,55,67,121,59,41,70,25,13,51,45,54,121,A,,,,,,,M. Safin,M. Baghdatis,RUS,CYP,,,S741,B837
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS023,R32,02:06:00,,F,3,V309,"6-4,3-6,7-6(7)",K. Vliegen,J. Blake,,,BEL,USA,6-4,3-6,7-6(7),,,02:06:00,269,/en/stats/leaderboard?page=serve,1,8,70,73,104,71,52,73,48,15,31,64,7,11,15,256,/en/stats/leaderboard?page=serve,4,7,58,57,98,74,42,57,46,19,41,60,6,10,16,64,67,104,38,37,98,51,104,202,62,61,98,36,37,104,49,98,202,A,,,7,5,,,K. Vliegen,J. Blake,BEL,USA,,,V309,B676
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS024,R32,01:51:00,,F,3,J194,"6-4,6-7(5),6-3",J. Johansson,N. Davydenko,,,SWE,RUS,6-4,6-7(5),6-3,,,01:51:00,314,/en/stats/leaderboard?page=serve,2,23,71,69,97,86,59,69,43,12,28,75,3,4,16,278,/en/stats/leaderboard?page=serve,6,8,65,62,95,79,49,62,52,17,33,79,11,14,15,73,71,97,31,29,95,52,100,192,69,66,95,27,26,97,48,92,192,A,5,7,,,,,J. Johansson,N. Davydenko,SWE,RUS,,,J194,D402
1536,2006,ATP Masters 1000 Madrid,1000,2006-10-16T00:00:00,2006-10-22T00:00:00,Hard,48,2200000,$,MS025,R32,02:25:00,,F,3,G415,"7-5,6-7(5),6-4",F. Gonzalez,P. Srichaphan,,,CHI,THA,7-5,6-7(5),6-4,,,02:25:00,286,/en/stats/leaderboard?page=serve,3,10,64,76,118,70,53,76,57,24,42,80,8,10,17,260,/en/stats/leaderboard?page=serve,8,8,65,70,107,73,51,70,46,17,37,50,4,8,17,65,77,118,36,39,107,52,116,225,64,68,107,35,41,118,48,109,225,A,5,7,,,,,F. Gonzalez,P. Srichaphan,CHI,THA,,,G415,S675
