event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,servicegamesplayed_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS030,R32,01:06:00,,F,2,R286,"7-6(7),6-1",M. Rios,J. Stark,,,CHI,USA,7-6(7),6-1,,,,01:06:00,220,/en/stats/leaderboard?page=serve,1,4,57,32.0,56,81,26.0,32.0,79,19.0,24.0,0,0,,10,264,/en/stats/leaderboard?page=serve,,9,69,42,61,74,31,42,37,7,19,50,2,4,9,80,45,56,38,23,61,58,68,117,62,38,61,20,11,56,42,49,117,A,,,2,7,3,,,,,M. Rios,J. Stark,R286,S403,CHI,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS031,R32,01:24:00,,F,2,V166,"6-3,7-5",A. Voinea,T. Muster,,,ROU,AUT,6-3,7-5,,,,01:24:00,288,/en/stats/leaderboard?page=serve,3,10,61,42.0,69,74,31.0,42.0,56,15.0,27.0,50,1,2,11,245,/en/stats/leaderboard?page=serve,,2,67,43,64,67,29,43,43,9,21,50,3,6,10,67,46,69,41,26,64,54,72,133,59,38,64,33,23,69,46,61,133,A,,,4,,,,,,,A. Voinea,T. Muster,V166,M099,ROU,AUT,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS033,R64,02:16:00,,F,3,C344,"3-6,7-5,6-4",A. Corretja,P. Korda,,,ESP,CZE,3-6,7-5,6-4,,,02:16:00,291,/en/stats/leaderboard?page=serve,3,3,67,58.0,87,72,42.0,58.0,59,17.0,29.0,75,3,4,15,264,/en/stats/leaderboard?page=serve,,4,55,67,121,70,47,67,54,29,54,75,6,8,16,68,59,87,37,45,121,50,104,208,63,76,121,32,28,87,50,104,208,A,,,6,,,,,,,A. Corretja,P. Korda,C344,K148,ESP,CZE,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS034,R64,01:05:00,,F,2,B446,"6-3,6-4",J. Bjorkman,G. Forget,,,SWE,FRA,6-3,6-4,,,,01:05:00,305,/en/stats/leaderboard?page=serve,3,4,58,30.0,52,83,25.0,30.0,73,16.0,22.0,,0,,10,265,/en/stats/leaderboard?page=serve,,1,62,34,55,71,24,34,57,12,21,67,4,6,9,79,41,52,35,19,55,56,60,107,65,36,55,21,11,52,44,47,107,A,,,3,,,,,,,J. Bjorkman,G. Forget,B446,F035,SWE,FRA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS035,R64,01:11:00,,F,2,J100,"6-3,6-4",M. Joyce,G. Schaller,,,USA,AUT,6-3,6-4,,,,01:11:00,287,/en/stats/leaderboard?page=serve,5,1,70,43.0,61,70,30.0,43.0,61,11.0,18.0,86,6,7,10,228,/en/stats/leaderboard?page=serve,,2,78,51,65,63,32,51,21,3,14,70,7,10,9,67,41,61,46,30,65,56,71,126,54,35,65,33,20,61,44,55,126,A,,,2,,,,,,,M. Joyce,G. Schaller,J100,S315,USA,AUT,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS036,R64,01:20:00,,F,3,F192,"2-6,6-1,6-2",R. Furlan,M. Rosset,,,ITA,SUI,2-6,6-1,6-2,,,01:20:00,260,/en/stats/leaderboard?page=serve,2,2,66,52.0,79,75,39.0,52.0,44,12.0,27.0,70,7,10,12,223,/en/stats/leaderboard?page=serve,,3,69,42,61,62,26,42,37,7,19,29,2,7,11,65,51,79,46,28,61,56,79,140,54,33,61,35,28,79,44,61,140,A,,,2,,,,,,,R. Furlan,M. Rosset,F192,R214,ITA,SUI,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS037,R64,01:17:00,,F,2,G254,"6-3,6-3",A. Gaudenzi,G. Stafford,,,ITA,RSA,6-3,6-3,,,,01:17:00,287,/en/stats/leaderboard?page=serve,,0,72,41.0,57,71,29.0,41.0,56,9.0,16.0,50,1,2,9,223,/en/stats/leaderboard?page=serve,,3,64,35,55,57,20,35,45,9,20,60,6,10,9,67,38,57,47,26,55,57,64,112,53,29,55,33,19,57,43,48,112,A,,,1,,,False,,,,A. Gaudenzi,G. Stafford,G254,S406,ITA,RSA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS038,R64,02:17:00,,F,3,H223,"6-7(5),6-2,7-5",P. Haarhuis,D. Nargiso,,,NED,ITA,6-7(5),6-2,7-5,,,02:17:00,284,/en/stats/leaderboard?page=serve,2,4,66,65.0,98,77,50.0,65.0,52,17.0,33.0,60,3,5,16,235,/en/stats/leaderboard?page=serve,,5,51,57,112,72,41,57,47,26,55,62,8,13,16,68,67,98,40,45,112,53,112,210,60,67,112,32,31,98,47,98,210,A,,,8,5,7,,,,,P. Haarhuis,D. Nargiso,H223,N109,NED,ITA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS041,R64,02:08:00,,F,3,C179,"7-6(7),1-6,7-5",C. Costa,A. O'Brien,,,ESP,USA,7-6(7),1-6,7-5,,,02:08:00,257,/en/stats/leaderboard?page=serve,3,4,63,59.0,93,73,43.0,59.0,47,16.0,34.0,50,4,8,15,265,/en/stats/leaderboard?page=serve,,4,64,65,102,74,48,65,46,17,37,63,5,8,16,63,59,93,36,37,102,49,96,195,64,65,102,37,34,93,51,99,195,A,,,4,7,5,,,,,C. Costa,A. O'Brien,C179,O099,ESP,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS042,R64,01:01:00,,F,2,H025,"6-2,6-4",J. Hlasek,M. Larsson,,,SUI,SWE,6-2,6-4,,,,01:01:00,212,/en/stats/leaderboard?page=serve,,5,49,23.0,47,87,20.0,23.0,71,17.0,24.0,0,0,,9,228,/en/stats/leaderboard?page=serve,,2,62,46,74,67,31,46,32,9,28,63,5,8,9,79,37,47,46,34,74,59,71,121,54,40,74,21,10,47,41,50,121,A,,,1,,,False,,,,J. Hlasek,M. Larsson,H025,L206,SUI,SWE,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS043,R64,01:06:00,,F,2,C378,"6-2,6-4",A. Costa,C. Mamiit,,,ESP,PHI,6-2,6-4,,,,01:06:00,264,/en/stats/leaderboard?page=serve,,1,62,33.0,53,64,21.0,33.0,60,12.0,20.0,50,2,4,9,200,/en/stats/leaderboard?page=serve,,2,52,28,54,57,16,28,46,12,26,29,2,7,9,62,33,53,48,26,54,55,59,107,52,28,54,38,20,53,45,48,107,A,,,1,,,False,,,,A. Costa,C. Mamiit,C378,M614,ESP,PHI,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS044,R64,01:53:00,,F,3,B429,"6-3,4-6,7-5",J. Burillo,A. Medvedev,,,ESP,UKR,6-3,4-6,7-5,,,01:53:00,264,/en/stats/leaderboard?page=serve,4,12,54,58.0,107,74,43.0,58.0,47,23.0,49.0,63,5,8,16,261,/en/stats/leaderboard?page=serve,,3,68,64,94,63,40,64,57,17,30,50,4,8,15,62,66,107,39,37,94,51,103,201,61,57,94,38,41,107,49,98,201,A,,,3,,,,,,,J. Burillo,A. Medvedev,B429,M475,ESP,UKR,,
