event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS011,R16,01:29:00,,F,2,F035,"6-3,7-6(7)",G. Forget,J. Hlasek,,,FRA,SUI,6-3,7-6(7),,,,01:29:00,304,/en/stats/leaderboard?page=serve,,11,58,38,66,82,31,38,64,18,28,0,0,1,11,271,/en/stats/leaderboard?page=serve,1,4,49,29,59,86,25,29,53,16,30,50,2,4,10,74,49,66,31,18,59,54,67,125,69,41,59,26,17,66,46,58,125,A,7,4,1,,,,,G. Forget,J. Hlasek,F035,H025,FRA,SUI,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS012,R16,01:21:00,,F,2,D249,"6-2,7-6(7)",H. Dreekmann,B. Ulihrach,,,GER,CZE,6-2,7-6(7),,,,01:21:00,276,/en/stats/leaderboard?page=serve,,3,44,27,62,89,24,27,63,22,35,,0,,10,246,/en/stats/leaderboard?page=serve,6,2,62,54,87,63,34,54,45,15,33,78,7,9,10,74,46,62,44,38,87,56,84,149,56,49,87,26,16,62,44,65,149,A,7,3,3,,,,,H. Dreekmann,B. Ulihrach,D249,U032,GER,CZE,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS013,R16,01:39:00,,F,3,D228,"6-4,5-7,6-2",F. Dewulf,C. Moya,,,BEL,ESP,6-4,5-7,6-2,,,01:39:00,288,/en/stats/leaderboard?page=serve,,10,41,35,86,86,30,35,61,31,51,50,1,2,15,267,/en/stats/leaderboard?page=serve,2,7,51,45,88,73,33,45,58,25,43,25,1,4,15,71,61,86,34,30,88,52,91,174,66,58,88,29,25,86,48,83,174,A,,,3,,,,,F. Dewulf,C. Moya,D228,M605,BEL,ESP,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS014,R16,00:54:00,,F,2,P226,"6-1,6-2",C. Pioline,M. Damm,,,FRA,CZE,6-1,6-2,,,,00:54:00,210,/en/stats/leaderboard?page=serve,,3,53,23,43,96,22,23,60,12,20,0,0,,8,195,/en/stats/leaderboard?page=serve,3,2,38,14,37,86,12,14,30,7,23,0,0,4,7,79,34,43,49,18,37,65,52,80,51,19,37,21,9,43,35,28,80,A,,,2,,,,,C. Pioline,M. Damm,P226,D214,FRA,CZE,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS015,R16,01:34:00,,F,3,B350,"6-1,3-6,6-4",S. Bruguera,T. Henman,,,ESP,GBR,6-1,3-6,6-4,,,01:34:00,261,/en/stats/leaderboard?page=serve,,4,53,47,88,72,34,47,51,21,41,75,6,8,13,244,/en/stats/leaderboard?page=serve,4,2,46,33,71,76,25,33,55,21,38,43,3,7,13,63,55,88,35,25,71,50,80,159,65,46,71,38,33,88,50,79,159,A,,,3,,,,,S. Bruguera,T. Henman,B350,H336,ESP,GBR,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS016,R32,01:17:00,,F,2,D198,"6-4,6-4",S. Dosedel,Y. Kafelnikov,,,CZE,RUS,6-4,6-4,,,,01:17:00,246,/en/stats/leaderboard?page=serve,,7,56,39,70,72,28,39,42,13,31,73,8,11,10,198,/en/stats/leaderboard?page=serve,4,2,50,36,72,64,23,36,36,13,36,55,6,11,10,59,41,70,50,36,72,54,77,142,50,36,72,41,29,70,46,65,142,A,,,1,,,,,S. Dosedel,Y. Kafelnikov,D198,K267,CZE,RUS,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS017,R32,01:01:00,,F,2,C216,"6-3,6-1",T. Carbonell,C. Steeb,,,ESP,GER,6-3,6-1,,,,01:01:00,214,/en/stats/leaderboard?page=serve,False,3,53,21,40,90,19,21,68,13,19,0,0,,8,199,/en/stats/leaderboard?page=serve,4,2,48,32,67,63,20,32,40,14,35,67,8,12,8,80,32,40,49,33,67,61,65,107,51,34,67,20,8,40,39,42,107,A,,,,,,,,T. Carbonell,C. Steeb,C216,S080,ESP,GER,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS018,R32,02:14:00,,F,3,S454,"7-5,3-6,6-4",S. Simian,C. Ruud,,,FRA,NOR,7-5,3-6,6-4,,,02:14:00,232,/en/stats/leaderboard?page=serve,,8,61,57,93,72,41,57,33,12,36,33,3,9,16,218,/en/stats/leaderboard?page=serve,2,2,55,66,121,58,38,66,45,25,55,74,17,23,15,57,53,93,48,58,121,52,111,214,52,63,121,43,40,93,48,103,214,A,,,4,,,,,S. Simian,C. Ruud,S454,R219,FRA,NOR,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS019,R32,01:06:00,,F,2,S572,"6-4,6-3",S. Schalken,H. Leconte,,,NED,FRA,6-4,6-3,,,,01:06:00,288,/en/stats/leaderboard?page=serve,,8,59,35,59,77,27,35,58,14,24,83,5,6,10,226,/en/stats/leaderboard?page=serve,3,3,38,19,50,74,14,19,48,15,31,57,4,7,9,69,41,59,42,21,50,57,62,109,58,29,50,31,18,59,43,47,109,A,,,4,,,,,S. Schalken,H. Leconte,S572,L014,NED,FRA,,
496,1996,Marseille,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,514250,$,MS020,R32,02:07:00,,F,3,V141,"3-6,7-5,6-2",D. Vacek,O. Delaitre,,,CZE,FRA,3-6,7-5,6-2,,,02:07:00,256,/en/stats/leaderboard?page=serve,,13,62,61,98,79,48,61,27,10,37,73,8,11,14,224,/en/stats/leaderboard?page=serve,6,4,45,45,99,67,30,45,48,26,54,58,7,12,15,59,58,98,43,43,99,51,101,197,57,56,99,41,40,98,49,96,197,A,,,3,,,,,D. Vacek,O. Delaitre,V141,D015,CZE,FRA,,
