event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS001,F,01:13:00,,F,2,C243,"6-4,6-3",J. Courier,C. Woodruff,,,USA,USA,6-4,6-3,,,,01:13:00,321,/en/stats/leaderboard?page=serve,False,6,66,33,50,88,29,33,71,12,17,0,10,261,/en/stats/leaderboard?page=serve,1,6,59,34,58,74,25,34,46,11,24,33,1,3,9,82,41,50,38,22,58,58,63,108,62,36,58,18,9,50,42,45,108,A,,,,,,,,,,,J. Courier,C. Woodruff,C243,W212,USA,USA,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS002,SF,01:20:00,,F,2,W212,"6-4,6-4",C. Woodruff,T. Woodbridge,,,USA,AUS,6-4,6-4,,,,01:20:00,262,/en/stats/leaderboard?page=serve,,3,73,44,60,77,34,44,31,5,16,3,10,225,/en/stats/leaderboard?page=serve,5,2,67,45,67,69,31,45,32,7,22,56,5,9,10,65,39,60,43,29,67,54,68,127,57,38,67,35,21,60,46,59,127,A,2,60,5,,,,,,,,C. Woodruff,T. Woodbridge,W212,W136,USA,AUS,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS003,SF,01:08:00,,F,2,C243,"6-2,6-1",J. Courier,M. Woodforde,,,USA,AUS,6-2,6-1,,,,01:08:00,270,/en/stats/leaderboard?page=serve,,1,61,28,46,79,22,28,44,8,18,2,8,168,/en/stats/leaderboard?page=serve,2,2,57,27,47,48,13,27,35,7,20,50,5,10,7,65,30,46,57,27,47,61,57,93,43,20,47,35,16,46,39,36,93,A,2,67,3,,,,,,,,J. Courier,M. Woodforde,C243,W035,USA,AUS,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS004,QF,01:02:00,,F,2,W136,"6-4,6-3",T. Woodbridge,T. Carbonell,,,AUS,ESP,6-4,6-3,,,,01:02:00,290,/en/stats/leaderboard?page=serve,False,2,62,36,58,72,26,36,64,14,22,3,10,251,/en/stats/leaderboard?page=serve,2,3,70,33,47,64,21,33,50,7,14,25,1,4,9,69,40,58,40,19,47,56,59,105,60,28,47,31,18,58,44,46,105,A,,75,4,,,,,,,,T. Woodbridge,T. Carbonell,W136,C216,AUS,ESP,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS005,QF,01:25:00,,F,3,W212,"1-6,6-4,6-1",C. Woodruff,M. Rios,,,USA,CHI,1-6,6-4,6-1,,,01:25:00,236,/en/stats/leaderboard?page=serve,,7,60,45,75,62,28,45,43,13,30,5,12,209,/en/stats/leaderboard?page=serve,5,3,43,30,70,60,18,30,50,20,40,38,3,8,12,55,41,75,46,32,70,50,73,145,54,38,70,45,34,75,50,72,145,A,2,56,9,,,,,,,,C. Woodruff,M. Rios,W212,R286,USA,CHI,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS006,QF,02:28:00,,F,3,W035,"7-6(7),5-7,6-2",M. Woodforde,J. Stoltenberg,,,AUS,AUS,7-6(7),5-7,6-2,,,02:28:00,252,/en/stats/leaderboard?page=serve,,5,50,55,111,69,38,55,55,31,56,5,16,255,/en/stats/leaderboard?page=serve,4,5,64,76,118,67,51,76,48,20,42,64,7,11,16,62,69,111,40,47,118,51,116,229,60,71,118,38,42,111,49,113,229,A,8,63,8,7,5,,,,,,M. Woodforde,J. Stoltenberg,W035,S331,AUS,AUS,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS007,QF,01:05:00,,F,2,C243,"6-2,6-4",J. Courier,B. Black,,,USA,ZIM,6-2,6-4,,,,01:05:00,299,/en/stats/leaderboard?page=serve,,8,65,31,48,74,23,31,65,11,17,0,9,225,/en/stats/leaderboard?page=serve,2,2,57,27,47,48,13,27,65,13,20,33,2,6,9,71,34,48,45,21,47,58,55,95,55,26,47,29,14,48,42,40,95,A,1,0,1,,,,,,,,J. Courier,B. Black,C243,B397,USA,ZIM,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS008,R16,01:52:00,,F,3,C216,"2-6,7-6(7),6-3",T. Carbonell,T. Enqvist,,,ESP,SWE,2-6,7-6(7),6-3,,,01:52:00,254,/en/stats/leaderboard?page=serve,,6,66,73,110,67,49,73,43,16,37,7,15,269,/en/stats/leaderboard?page=serve,7,13,64,56,87,79,44,56,42,13,31,40,2,5,14,59,65,110,34,30,87,48,95,197,66,57,87,41,45,110,52,102,197,A,1,64,11,,,7,5,,,,T. Carbonell,T. Enqvist,C216,E113,ESP,SWE,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS009,R16,02:23:00,,F,3,W136,"7-6(7),6-7(1),6-4",T. Woodbridge,V. Spadea,,,AUS,USA,7-6(7),6-7(1),6-4,,,02:23:00,231,/en/stats/leaderboard?page=serve,,3,67,80,120,70,56,80,28,11,40,5,17,230,/en/stats/leaderboard?page=serve,2,2,54,61,114,69,42,61,43,23,53,40,4,10,17,56,67,120,43,49,114,50,116,234,57,65,114,44,53,120,50,118,234,A,7,50,10,7,4,1,7,,,,T. Woodbridge,V. Spadea,W136,S544,AUS,USA,,
401,1996,Philadelphia,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,589250,$,MS010,R16,01:45:00,,F,3,R286,"4-6,6-4,6-4",M. Rios,G. Stafford,,,CHI,RSA,4-6,6-4,6-4,,,01:45:00,263,/en/stats/leaderboard?page=serve,,5,52,51,98,78,40,51,47,22,47,5,15,272,/en/stats/leaderboard?page=serve,1,8,64,63,98,67,42,63,54,19,35,75,9,12,15,63,62,98,38,37,98,51,99,196,62,61,98,37,36,98,49,97,196,A,5,71,7,,,,,,,,M. Rios,G. Stafford,R286,S406,CHI,RSA,,
