event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS001,F,01:27:00,,F,2,RH16,"6-3,6-3",C. Ruud,F. Coria,,,NOR,ARG,6-3,6-3,,,,01:27:00,A,C. Ruud,F. Coria,NOR,ARG,,,297,/en/stats/leaderboard?page=serve,1,3,66,31,47,71,22,31,81,13,16,33,1,3,9,199,/en/stats/leaderboard?page=serve,3,0,62,40,65,48,19,40,48,12,25,38,3,8,9,74,35,47,52,34,65,62,69,112,48,31,65,26,12,47,38,43,112,01:27:00,01:27:00,,,RH16,CE77
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS002,SF,01:19:00,,F,2,RH16,"6-1,6-4",C. Ruud,R. Carballes Baena,,,NOR,ESP,6-1,6-4,,,,01:19:00,A,C. Ruud,R. Carballes Baena,NOR,ESP,,,263,/en/stats/leaderboard?page=serve,1,2,51,25,49,76,19,25,58,14,24,33,1,3,9,166,/en/stats/leaderboard?page=serve,4,0,55,22,40,50,11,22,28,5,18,38,3,8,8,67,33,49,60,24,40,64,57,89,40,16,40,33,16,49,36,32,89,01:19:00,01:19:00,,,RH16,CF59
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS003,SF,01:12:00,,F,2,CE77,"6-2,6-1",F. Coria,Y. Hanfmann,,,ARG,GER,6-2,6-1,,,,01:12:00,A,F. Coria,Y. Hanfmann,ARG,GER,,,314,/en/stats/leaderboard?page=serve,1,2,67,26,39,77,20,26,69,9,13,0,0,0,7,177,/en/stats/leaderboard?page=serve,1,2,44,24,54,58,14,24,37,11,30,44,4,9,8,74,29,39,54,29,54,62,58,93,46,25,54,26,10,39,38,35,93,01:12:00,01:12:00,,,CE77,H997
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS005,QF,01:37:00,,F,2,CF59,"6-4,6-2",R. Carballes Baena,N. Gombos,,,ESP,SVK,6-4,6-2,,,,01:37:00,A,R. Carballes Baena,N. Gombos,ESP,SVK,,,263,/en/stats/leaderboard?page=serve,3,3,69,47,68,60,28,47,57,12,21,60,3,5,9,190,/en/stats/leaderboard?page=serve,4,2,57,32,56,53,17,32,38,9,24,44,4,9,9,59,40,68,54,30,56,56,70,124,46,26,56,41,28,68,44,54,124,01:37:00,01:37:00,,,CF59,GB93
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS006,QF,01:25:00,,F,2,H997,"6-4,6-3",Y. Hanfmann,A. Rinderknech,,,GER,FRA,6-4,6-3,,,,01:25:00,A,Y. Hanfmann,A. Rinderknech,GER,FRA,,,276,/en/stats/leaderboard?page=serve,1,4,59,30,51,93,28,30,33,7,21,0,0,1,9,231,/en/stats/leaderboard?page=serve,4,5,64,38,59,63,24,38,43,9,21,50,4,8,10,69,35,51,44,26,59,55,61,110,56,33,59,31,16,51,45,49,110,01:25:00,01:25:00,,,H997,RC91
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS007,QF,02:35:00,,F,3,CE77,"6-4,4-6,6-2",F. Coria,C. Garin,,,ARG,CHI,6-4,4-6,6-2,,,02:35:00,A,F. Coria,C. Garin,ARG,CHI,,,249,/en/stats/leaderboard?page=serve,4,3,63,61,97,66,40,61,50,18,36,56,5,9,14,211,/en/stats/leaderboard?page=serve,7,3,59,57,97,61,35,57,38,15,40,54,7,13,14,60,58,97,48,47,97,54,105,194,52,50,97,40,39,97,46,89,194,02:35:00,02:35:00,,,CE77,GD64
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS008,R16,01:05:00,,F,2,RH16,"6-0,6-2",C. Ruud,H. Rune,,,NOR,DEN,6-0,6-2,,,,01:05:00,A,C. Ruud,H. Rune,NOR,DEN,,,306,/en/stats/leaderboard?page=serve,1,6,67,30,45,87,26,30,47,7,15,100,3,3,7,151,/en/stats/leaderboard?page=serve,4,0,60,27,45,56,15,27,11,2,18,17,1,6,7,73,33,45,62,28,45,68,61,90,38,17,45,27,12,45,32,29,90,01:05:00,01:05:00,,,RH16,R0DG
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS009,R16,01:23:00,,F,2,L949,"6-2,7-5",H. Laaksonen,E. Ymer,,,SUI,SWE,6-2,7-5,,,,01:23:00,A,H. Laaksonen,E. Ymer,SUI,SWE,,,285,/en/stats/leaderboard?page=serve,3,6,56,32,57,84,27,32,52,13,25,0,0,1,10,225,/en/stats/leaderboard?page=serve,4,1,61,40,66,65,26,40,42,11,26,56,5,9,10,70,40,57,44,29,66,56,69,123,56,37,66,30,17,57,44,54,123,01:23:00,01:23:00,,,L949,Y218
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS010,R16,02:05:00,,F,3,CF59,"6-3,1-6,6-4",R. Carballes Baena,F. Fognini,,,ESP,ITA,6-3,1-6,6-4,,,02:05:00,A,R. Carballes Baena,F. Fognini,ESP,ITA,,,236,/en/stats/leaderboard?page=serve,4,1,53,41,77,61,25,41,56,20,36,60,6,10,13,239,/en/stats/leaderboard?page=serve,4,2,63,49,78,57,28,49,52,15,29,33,2,6,13,58,45,77,45,35,78,52,80,155,55,43,78,42,32,77,48,75,155,02:05:00,02:05:00,,,CF59,F510
316,2021,Bastad,250,2021-07-12T00:00:00,2021-07-18T00:00:00,Clay,28,419470,€,MS011,R16,01:13:00,,F,2,GB93,"6-2,6-4",N. Gombos,E. Ruusuvuori,,,SVK,FIN,6-2,6-4,,,,01:13:00,A,N. Gombos,E. Ruusuvuori,SVK,FIN,,,305,/en/stats/leaderboard?page=serve,0,1,72,39,54,85,33,39,47,7,15,100,2,2,9,240,/en/stats/leaderboard?page=serve,2,4,56,32,57,72,23,32,44,11,25,40,2,5,9,74,40,54,40,23,57,57,63,111,60,34,57,26,14,54,43,48,111,01:13:00,01:13:00,,,GB93,RH24
