event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS001,F,02:44:00,,F,3,C243,"7-5,3-6,7-5",J. Courier,M. Chang,,,USA,USA,7-5,3-6,7-5,,,02:44:00,273,/en/stats/leaderboard?page=serve,4,3,65,70,108,77,54,70,45,17,38,78,7,9,16,276,/en/stats/leaderboard?page=serve,1,13,59,61,103,75,46,61,48,20,42,57,4,7,17,66,71,108,36,37,103,51,108,211,64,66,103,34,37,108,49,103,211,A,,,,,,,,,J. Courier,M. Chang,C243,C274,USA,USA,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS002,SF,01:19:00,,F,2,C274,"6-3,6-4",M. Chang,M. Tillstrom,,,USA,SWE,6-3,6-4,,,,01:19:00,278,/en/stats/leaderboard?page=serve,2,2,60,38,63,68,26,38,60,15,25,83,5,6,10,234,/en/stats/leaderboard?page=serve,4,0,63,37,59,59,22,37,50,11,22,40,2,5,9,65,41,63,44,26,59,55,67,122,56,33,59,35,22,63,45,55,122,A,,,,,,,,,M. Chang,M. Tillstrom,C274,T166,USA,SWE,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS003,SF,01:51:00,,F,3,C243,"4-6,6-3,6-2",J. Courier,A. Pavel,,,USA,ROU,4-6,6-3,6-2,,,01:51:00,284,/en/stats/leaderboard?page=serve,1,4,59,44,74,80,35,44,57,17,30,0,0,2,14,244,/en/stats/leaderboard?page=serve,,8,59,59,100,59,35,59,49,20,41,60,6,10,13,70,52,74,45,45,100,56,97,174,55,55,100,30,22,74,44,77,174,A,False,,,,,,,,J. Courier,A. Pavel,C243,P280,USA,ROU,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS004,QF,01:02:00,,F,2,C274,"6-3,6-1",M. Chang,M. Carlsson,,,USA,BRA,6-3,6-1,,,,01:02:00,293,/en/stats/leaderboard?page=serve,1,7,60,28,47,82,23,28,58,11,19,,0,,8,207,/en/stats/leaderboard?page=serve,1,1,64,29,45,62,18,29,31,5,16,33,2,6,8,72,34,47,49,22,45,61,56,92,51,23,45,28,13,47,39,36,92,A,,,,,,,,,M. Chang,M. Carlsson,C274,C369,USA,BRA,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS005,QF,01:09:00,,F,2,T166,"6-3,6-3",M. Tillstrom,A. Ilie,,,SWE,AUS,6-3,6-3,,,,01:09:00,256,/en/stats/leaderboard?page=serve,1,0,56,34,61,76,26,34,59,16,27,,0,,9,245,/en/stats/leaderboard?page=serve,1,2,62,32,52,56,18,32,60,12,20,25,1,4,9,69,42,61,42,22,52,57,64,113,58,30,52,31,19,61,43,49,113,A,,,,,,,,,M. Tillstrom,A. Ilie,T166,I052,SWE,AUS,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS006,QF,01:01:00,,F,2,C243,"6-0,6-3",J. Courier,M. Craca,,,USA,GER,6-0,6-3,,,,01:01:00,270,/en/stats/leaderboard?page=serve,1,2,67,30,45,60,18,30,67,10,15,33,1,3,8,136,/en/stats/leaderboard?page=serve,2,1,52,22,42,36,8,22,35,7,20,14,1,7,7,62,28,45,64,27,42,63,55,87,36,15,42,38,17,45,37,32,87,A,,,,,,,,,J. Courier,M. Craca,C243,C439,USA,GER,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS007,QF,01:45:00,,F,3,P280,"6-4,2-6,6-4",A. Pavel,A. Calatrava,,,ROU,ESP,6-4,2-6,6-4,,,01:45:00,285,/en/stats/leaderboard?page=serve,1,8,65,53,81,74,39,53,54,15,28,60,3,5,14,278,/en/stats/leaderboard?page=serve,1,4,62,55,89,69,38,55,59,20,34,75,6,8,14,67,54,81,35,31,89,50,85,170,65,58,89,33,27,81,50,85,170,A,,,,,,,,,A. Pavel,A. Calatrava,P280,C361,ROU,ESP,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS008,R16,01:58:00,,F,2,C274,"7-6(7),6-4",M. Chang,F. Squillari,,,USA,ARG,7-6(7),6-4,,,,01:58:00,243,/en/stats/leaderboard?page=serve,3,6,54,55,101,64,35,55,50,23,46,70,7,10,11,221,/en/stats/leaderboard?page=serve,8,1,55,45,82,51,23,45,59,22,37,60,6,10,11,57,58,101,45,37,82,52,95,183,55,45,82,43,43,101,48,88,183,A,,7,2,,,,,,M. Chang,F. Squillari,C274,S568,USA,ARG,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS009,R16,01:48:00,,F,3,C369,"6-4,3-6,6-2",M. Carlsson,G. Stafford,,,BRA,RSA,6-4,3-6,6-2,,,01:48:00,245,/en/stats/leaderboard?page=serve,1,0,70,69,99,57,39,69,50,15,30,69,9,13,13,217,/en/stats/leaderboard?page=serve,5,2,59,45,76,69,31,45,35,11,31,40,4,10,14,55,54,99,45,34,76,50,88,175,55,42,76,45,45,99,50,87,175,A,,,,,,,,,M. Carlsson,G. Stafford,C369,S406,BRA,RSA,,
717,1998,Orlando,WS,1998-04-20T00:00:00,1998-04-26T00:00:00,Clay,32,264250,$,MS010,R16,01:18:00,,F,2,I052,"6-3,6-4",A. Ilie,L. Arnold Ker,,,AUS,ARG,6-3,6-4,,,,01:18:00,255,/en/stats/leaderboard?page=serve,3,3,47,28,60,75,21,28,53,17,32,75,6,8,10,206,/en/stats/leaderboard?page=serve,6,0,67,39,58,64,25,39,26,5,19,67,8,12,9,63,38,60,48,28,58,56,66,118,52,30,58,37,22,60,44,52,118,A,,,,,,,,,A. Ilie,L. Arnold Ker,I052,A228,AUS,ARG,,
